Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
5.0	9.251543477746E-9	4.468528184301E-8	2.7647237644401E-8	3.1508820362614002E-9	2.3846623021149E-7	-0.0093097949932048	1.80380394680042E-13	0.22184219739331001	
5.2	8.535134818030099E-9	4.0926820976328995E-8	2.7375287240104E-8	2.8983345298469997E-9	2.1811029672655998E-7	-0.0081339377700788	1.79411880245594E-13	0.22301802928361	
5.48	7.6509550024953E-9	3.6381532865426E-8	2.4834054488255E-8	2.5861043301546998E-9	2.01314877694866E-7	-0.0067364313301749	1.78277315841369E-13	0.2244155106236	
5.872	6.6070193308756E-9	3.1134806761618E-8	2.2218781102522E-8	2.2165904880613E-9	1.8661810010646701E-7	-0.0051781990737211	1.77032883697502E-13	0.22597371888082	
6.0	6.3059398208047E-9	2.9639599524958E-8	2.1548291353157E-8	2.1099494245840998E-9	1.8277703992823E-7	-0.0047486849093892995	1.76693612995131E-13	0.22640322654851	
6.2	5.871790412919099E-9	2.7480702657769997E-8	2.1496287213367002E-8	1.9557698296792103E-9	1.7445310388200202E-7	-0.0041485230621144	1.76222223481113E-13	0.22700337727331	
6.48	5.3333693508742E-9	2.4835706458992E-8	2.00126742273661E-8	1.76414799966273E-9	1.66803151628197E-7	-0.0034349269630507	1.75665748962527E-13	0.22771696085859	
6.872	4.6956631048214005E-9	2.1744153193213E-8	1.84921905261545E-8	1.5363931944722498E-9	1.5932588823590301E-7	-0.0026395093295401998	1.75050537042787E-13	0.22851236553003001	
7.0	4.5114010292020004E-9	2.0857167397701E-8	1.81011831621941E-8	1.4704731135964802E-9	1.57300975369142E-7	-0.0024204052992838	1.7488200184958E-13	0.22873146598438	
7.2	4.246458306421E-9	1.95773886879756E-8	1.8198579093527602E-8	1.3753100801306799E-9	1.52876343152473E-7	-0.0021145953165311	1.7464743974809E-13	0.22903726999914	
7.48	3.919610823395E-9	1.80071744477654E-8	1.72610889752801E-8	1.25732570771885E-9	1.48907534116268E-7	-0.0017518453371933099	1.74370204940671E-13	0.22940001305487	
7.872	3.5364747627269E-9	1.6176928531034902E-8	1.63258536582057E-8	1.11781310867491E-9	1.45261977887425E-7	-0.00134947835912907	1.74063954623113E-13	0.22980237309601	
8.0	3.426437528141E-9	1.5653155884032697E-8	1.60915345860302E-8	1.07752959791512E-9	1.4432623684489702E-7	-0.00123913349665686	1.73980199807611E-13	0.22991271610744	
8.2	3.2699519644649E-9	1.49045727197464E-8	1.62864781675549E-8	1.0197349153605E-9	1.4199918244326E-7	-0.0010858495454385102	1.7386401794696E-13	0.23006599696294	
8.48	3.0796625901534E-9	1.39933214115904E-8	1.5670971838727E-8	9.4849768065701E-10	1.40324249492393E-7	-9.055802917298701E-4	1.73727626501269E-13	0.23024626275224	
8.872	2.86058961609E-9	1.29441062975514E-8	1.50990423310809E-8	8.646466515045E-10	1.39400406697133E-7	-7.0867260935801E-4	1.7357894621281001E-13	0.23044316758502	
9.0	2.7980132275778E-9	1.2645324016497501E-8	1.49660358908786E-8	8.4037369449483E-10	1.39269663738081E-7	-6.5536469207974E-4	1.73538748536566E-13	0.23049647485096	
9.2	2.7102369160155E-9	1.2227246050511999E-8	1.5231744127126E-8	8.0570111094871E-10	1.38291331491984E-7	-5.8220631434322E-4	1.73483619961166E-13	0.23056963197506	
9.48	2.6029449069979E-9	1.17162856302007E-8	1.48210515819791E-8	7.622304286859899E-10	1.38196339521172E-7	-4.9789717505352E-4	1.73420142085028E-13	0.23065393994628	
9.872	2.4750842196986E-9	1.11145643849503E-8	1.44877423091509E-8	7.0887786792831E-10	1.39066489118515E-7	-4.0869096057076E-4	1.73353038703391E-13	0.23074314591377998	
10.0	2.4368988768402E-9	1.093785555863E-8	1.44219202116822E-8	6.927967061345599E-10	1.39420096031709E-7	-3.8512786270652E-4	1.73335324521256E-13	0.23076670906798	
10.2	2.3830592110324002E-9	1.06999599053374E-8	1.47319146264307E-8	6.696905312713401E-10	1.390177443592E-7	-3.5344859868056E-4	1.73311516249464E-13	0.23079838792454999	
10.48	2.3095917727818E-9	1.0383610300616301E-8	1.44421020484739E-8	6.382013338108E-10	1.39422274112818E-7	-3.1806151486359004E-4	1.7328493087739998E-13	0.23083377470144	
10.872	2.207798816436E-9	9.9588787547219E-9	1.4247684372017401E-8	5.9530416168082E-10	1.4042843400237E-7	-2.820907098058E-4	1.7325791686914398E-13	0.23086974574841002	
11.0	2.1745750511028E-9	9.8225054636659E-9	1.42191377758508E-8	5.8159260701304E-10	1.40725132317253E-7	-2.728485795287E-4	1.73250977713209E-13	0.2308789879634	
11.2	2.1279449958157E-9	9.6470596684374E-9	1.4543071009941602E-8	5.6210263985992E-10	1.40150534319227E-7	-2.6068156129999E-4	1.7324184402713002E-13	0.23089115448927	
11.48	2.0574104008102E-9	9.3845062252295E-9	1.4307413228548001E-8	5.3382377289114E-10	1.39983254808907E-7	-2.475017696252E-4	1.73231951596911E-13	0.23090433351652	
11.872	1.95398551977779E-9	8.9940012822429E-9	1.41724147283243E-8	4.940038255057901E-10	1.39898882338391E-7	-2.3453616257678E-4	1.73222221270667E-13	0.23091729837032	
12.0	1.92011528969942E-9	8.863897683757599E-9	1.4158145056231301E-8	4.812817192054899E-10	1.39830853080677E-7	-2.3127653949955E-4	1.73219775276159E-13	0.23092055773435	
12.2	1.8718025301652603E-9	8.6849266659427E-9	1.44757869439741E-8	4.6292201549385E-10	1.3903722123052E-7	-2.2706432106468002E-4	1.7321661489027102E-13	0.23092476923112	
12.48	1.80174635731747E-9	8.4221600578898E-9	1.42564063539173E-8	4.3728484159256E-10	1.3826559021752798E-7	-2.2267204153175E-4	1.73213320017404E-13	0.23092916016116	
12.872	1.70447740103368E-9	8.045194970413701E-9	1.41414330989115E-8	4.0284194256515E-10	1.37274643631536E-7	-2.1858128492861E-4	1.73210251721342E-13	0.23093324930316	
13.0	1.6737297503912598E-9	7.923034513641E-9	1.4131753404758E-8	3.9216162846512E-10	1.3694112671299402E-7	-2.1760464152094E-4	1.73209519290876E-13	0.23093422543978998	
13.2	1.6271022367962901E-9	7.733895646173E-9	1.44403123708503E-8	3.7583641989529E-10	1.36074539806117E-7	-2.1641356442854E-4	1.7320862620454298E-13	0.23093541570676002	
13.48	1.56451929248126E-9	7.4755956586708E-9	1.42257324131112E-8	3.5449390757562E-10	1.35021933155392E-7	-2.1536636463298E-4	1.7320784168886498E-13	0.23093646129717998	
13.872	1.4828582779052199E-9	7.1311553313817E-9	1.41205041193535E-8	3.2740963398886004E-10	1.3361496558329802E-7	-2.1473208747771998E-4	1.73207367247531E-13	0.23093709360899	
14.0	1.45774537690459E-9	7.0237238961759E-9	1.41136331106734E-8	3.1922484035536E-10	1.3316279051338102E-7	-2.1466705968638998E-4	1.7320731889876401E-13	0.23093715803703002	
14.2	1.41807141439541E-9	6.8478257086662E-9	1.44166599058411E-8	3.0622351467595E-10	1.32207365444502E-7	-2.1471580034022E-4	1.73207356120977E-13	0.23093710841544002	
14.48	1.36704958238671E-9	6.6182099917147E-9	1.42051524613309E-8	2.8986667639466004E-10	1.31001817315855E-7	-2.1510640243606002E-4	1.73207650473303E-13	0.23093671609932998	
14.872	1.3025187238716398E-9	6.3255264927181E-9	1.41074686989828E-8	2.6975167474949997E-10	1.2940049110061202E-7	-2.1606444917832E-4	1.73208370837681E-13	0.2309357559763	
15.0	1.2828906898924999E-9	6.2362770371249E-9	1.4103111063818099E-8	2.6374620973841997E-10	1.28893551658803E-7	-2.1644169655155E-4	1.73208654349744E-13	0.23093537810279	
15.2	1.251358421774E-9	6.0877382520923E-9	1.4402825199970199E-8	2.5405913103844E-10	1.27856792531315E-7	-2.1712022304849E-4	1.7320916414168502E-13	0.23093469864952998	
15.48	1.21134750383483E-9	5.8975261664337E-9	1.4194416722757E-8	2.4203806432307E-10	1.26551152239708E-7	-2.1829077202185E-4	1.7321004374075E-13	0.2309335263443	
15.872	1.16105798816465E-9	5.6592874509262E-9	1.4104112287907499E-8	2.2738554710465998E-10	1.24830450680001E-7	-2.2018744204086E-4	1.7321146843286E-13	0.23093162756017	
16.0	1.1457502079535998E-9	5.5871677766126E-9	1.41023202638123E-8	2.2301680487588998E-10	1.2428861452822E-7	-2.2084021045859E-4	1.7321195869663298E-13	0.23093097415636998	
16.2	1.12097771773345E-9	5.4664976535766E-9	1.4400218650784499E-8	2.1592571985372E-10	1.23191569398989E-7	-2.2192834921194E-4	1.73212775880003E-13	0.23092988506597	
16.48	1.0895224341862E-9	5.312667981851E-9	1.41954506552702E-8	2.0713489737337E-10	1.2180806059841E-7	-2.2363845792454E-4	1.7321406040425502E-13	0.23092817317495	
16.872	1.0497423622376699E-9	5.1202302971116E-9	1.4113327536095001E-8	1.9638346436516E-10	1.19983949851144E-7	-2.2623724047808998E-4	1.73216012047471E-13	0.23092557224326998	
17.0	1.0375535216436699E-9	5.0618545228995E-9	1.41144042109742E-8	1.93162423735889E-10	1.1940964273215101E-7	-2.2710662352755E-4	1.73216664893731E-13	0.23092470221325	
17.2	1.0177353149544399E-9	4.9638719684495E-9	1.4411887303442199E-8	1.87913787028728E-10	1.18251855916717E-7	-2.2852946808561E-4	1.7321773331493901E-13	0.23092327838538002	
17.48	9.9240638203352E-10	4.8385694560885E-9	1.4211352131651499E-8	1.8137334248842E-10	1.16784339239158E-7	-2.3070627600573E-4	1.73219368176407E-13	0.23092109975229	
17.872	9.600065620343E-10	4.6806562029867E-9	1.41384996944462E-8	1.73295305490704E-10	1.14841375916763E-7	-2.3395498434484E-4	1.73221807738452E-13	0.23091784882982	
18.0	9.4998910226125E-10	4.632419152168E-9	1.41428515397593E-8	1.70854990747524E-10	1.14228654406223E-7	-2.3503303595419E-4	1.73222617247327E-13	0.23091677010919998	
18.2	9.3363291939439E-10	4.5512072500007E-9	1.4441139035392E-8	1.6686296893399102E-10	1.1299417908111E-7	-2.3678781591203002E-4	1.73223934901988E-13	0.23091501429154	
18.48	9.1255117223559E-10	4.446652938251001E-9	1.4245261451786999E-8	1.61847011965034E-10	1.11421895125151E-7	-2.3944630695345E-4	1.73225931455382E-13	0.23091235390174	
18.872	8.8523398056558E-10	4.313418585697E-9	1.41828383482431E-8	1.55569176901769E-10	1.09332353068999E-7	-2.4339438682742E-4	1.7322889620443E-13	0.23090840350316	
19.0	8.7670806844931E-10	4.2723613174829994E-9	1.4190923715647301E-8	1.53653254617172E-10	1.0867259728594599E-7	-2.4470193150634E-4	1.73229878057737E-13	0.23090709525537	
19.2	8.6273539864052E-10	4.2030380720625E-9	1.4491003825131E-8	1.5050581106278401E-10	1.07343381356122E-7	-2.4682654011793E-4	1.73231473475685E-13	0.23090496953122	
19.48	8.4457483660918E-10	4.1131058222789E-9	1.43000230851639E-8	1.4651284063105901E-10	1.05646044390908E-7	-2.5002965093508E-4	1.73233879090108E-13	0.23090176442007	
19.872	8.2075900053615E-10	3.997182149166401E-9	1.42492056724673E-8	1.41442589769441E-10	1.03387952333767E-7	-2.5477773208058E-4	1.7323744475033502E-13	0.23089701388529998	
20.0	8.1326379484827E-10	3.9611564112868E-9	1.4261507451364499E-8	1.39878801609584E-10	1.02675389433564E-7	-2.5634888656726003E-4	1.73238624620745E-13	0.23089544198553	
20.2	8.0094817617671E-10	3.9002010342022E-9	1.45640952521572E-8	1.37299665051266E-10	1.01240716293417E-7	-2.5889831344604996E-4	1.73240539186647E-13	0.23089289135077	
20.48	7.848297837903199E-10	3.8205844314656E-9	1.43780017865323E-8	1.33996766468382E-10	9.9410357033032E-8	-2.6272496895525E-4	1.7324341326761798E-13	0.23088906257983	
20.872	7.6349200384084E-10	3.7169652121844E-9	1.43398167371831E-8	1.2974582740062398E-10	9.6982893417622E-8	-2.6838108617445E-4	1.7324766117701802E-13	0.23088340386786	
21.0	7.5673497424043E-10	3.6845471575449997E-9	1.43567743896235E-8	1.28422386112438E-10	9.6219366535587E-8	-2.7024922293505E-4	1.7324906419735998E-13	0.23088153494411	
21.2	7.4562075751498E-10	3.6296478610047996E-9	1.46621896848032E-8	1.26233214824825E-10	9.468225797860801E-8	-2.7327378096603E-4	1.73251335815593E-13	0.23087850908623	
21.48	7.3100502497672E-10	3.5575882591354E-9	1.4480563773928401E-8	1.23407689378258E-10	9.273177387832E-8	-2.7778887930797003E-4	1.73254727284085E-13	0.23087399176636	
21.872	7.1154002602828E-10	3.463188355438E-9	1.44555926702603E-8	1.1973190288515401E-10	9.0165973461592E-8	-2.8442667329375E-4	1.73259713025008E-13	0.23086735126416	
22.0	7.0535369534087E-10	3.4335288449715E-9	1.44774976936572E-8	1.1857941580124302E-10	8.9364010551122E-8	-2.8661094432544E-4	1.7326135367284099E-13	0.23086516617615999	
22.2	6.9518479553349E-10	3.3833253152053E-9	1.47854862365644E-8	1.16670339895327E-10	8.7746119082748E-8	-2.9013497434921E-4	1.73264000780371E-13	0.23086164077401	
22.48	6.8177950172613E-10	3.3172557487245E-9	1.4607302325708001E-8	1.1419290433771501E-10	8.5714674927595E-8	-2.9535898448470005E-4	1.73267925243673E-13	0.23085641447237	
22.872	6.638808073736499E-10	3.2304276745080997E-9	1.45953335521123E-8	1.10947072599228E-10	8.307821273604201E-8	-3.0297451184565E-4	1.7327364619968399E-13	0.23084879618871001	
23.0	6.581857113583599E-10	3.2030990446654E-9	1.46222084395155E-8	1.09925024112302E-10	8.2261907236888E-8	-3.0546592416109E-4	1.73275517834504E-13	0.23084630395302	
23.2	6.4884534395677E-10	3.1569276962815997E-9	1.49317679537575E-8	1.08232695710048E-10	8.060659313087401E-8	-3.0946552588595E-4	1.73278522662472E-13	0.23084230294839	
23.48	6.3652642418898E-10	3.0961307852938E-9	1.4755234431766E-8	1.06029950814051E-10	7.8560852802549E-8	-3.1534211985286996E-4	1.73282938077833E-13	0.23083642405691002	
23.872	6.2008276213516E-10	3.0162115191737E-9	1.47549363414155E-8	1.0313384251496E-10	7.5955193112544E-8	-3.2380893320534E-4	1.73289299641843E-13	0.23082795453844002	
24.0	6.5852932641099E-10	3.043205970883E-9	1.47633656542013E-8	1.05448416865549E-10	7.7192522769242E-8	-3.2700713670418E-4	1.7329170096823498E-13	0.23082475764864	
24.2	1.0049888257095E-9	3.8481915517857E-9	1.52254783903155E-8	1.29834219562056E-10	9.1064606069964E-8	-3.2908511010383E-4	1.7329325054545E-13	0.23082269518337	
24.48	1.22770552737382E-9	4.6085946561288E-9	1.5328812309555897E-8	1.45649301440444E-10	9.8719540536632E-8	-3.299106458798E-4	1.7329386457781002E-13	0.23082187840439	
24.872	1.3905431981803E-9	5.3735044419223E-9	1.5667878645257297E-8	1.6177633937944498E-10	1.01841980000534E-7	-3.3063883578187997E-4	1.73294408639116E-13	0.23082115461972	
25.0	1.4385980567244901E-9	5.6081505285865E-9	1.5792490584395603E-8	1.67968786584466E-10	1.0229980182017E-7	-3.3089686431336004E-4	1.73294601878779E-13	0.23082089746317	
25.2	1.13859707218642E-9	5.1140346420136E-9	1.6207440331103302E-8	1.51278487797452E-10	8.592256865633599E-8	-3.3339560580715E-4	1.73296491426779E-13	0.23081838194909998	
25.48	1.0155898730127699E-9	4.8431693012789E-9	1.5905236487517798E-8	1.51502301240504E-10	7.6040118399561E-8	-3.3978745580235997E-4	1.73301300960081E-13	0.23081197952132	
25.872	1.0424314648074401E-9	4.908619604337699E-9	1.57501122511318E-8	1.65747956523947E-10	7.131979622279299E-8	-3.4933317323902E-4	1.7330847616067402E-13	0.23080242903540998	
26.0	1.0660895097087998E-9	4.98299520759E-9	1.57461582870041E-8	1.7106206056159101E-10	7.059901555031599E-8	-3.5222646442459E-4	1.7331065051128E-13	0.23079953512301	
26.2	1.10859624880563E-9	5.1366520934108E-9	1.60226724897907E-8	1.79355957232188E-10	6.9895308794422E-8	-3.5648727023594E-4	1.7331385221316802E-13	0.23079527409453998	
26.48	1.1677929181344698E-9	5.3781244239232E-9	1.57695580970639E-8	1.89970921305484E-10	6.9199094016823E-8	-3.6199711142701E-4	1.73317993031128E-13	0.23078976361533998	
26.872	1.24093749185853E-9	5.7146371686487004E-9	1.5733262731441097E-8	2.0248945091219702E-10	6.8514950861145E-8	-3.6880214205883E-4	1.73323107209553E-13	0.23078295828647	
27.0	1.26193403280352E-9	5.817556993198601E-9	1.5761003473456202E-8	2.0602856526643E-10	6.833342624102801E-8	-3.7080470652686E-4	1.7332461221517002E-13	0.23078095569569002	
27.2	1.29189214214021E-9	5.9718993567376E-9	1.60697184253152E-8	2.1116995280568E-10	6.759082611948201E-8	-3.7382871647151004E-4	1.7332688513460201E-13	0.2307779314413	
27.48	1.32790333827997E-9	6.1648493136676004E-9	1.58423448628972E-8	2.1725533401002E-10	6.694572685051E-8	-3.7791707964636E-4	1.7332995842769499E-13	0.23077384244069	
27.872	1.36783904167454E-9	6.3885213960155006E-9	1.58241251616345E-8	2.2394214858259E-10	6.630780727788801E-8	-3.8315037150979E-4	1.73333892193571E-13	0.23076860876299	
28.0	1.3786421748552099E-9	6.4507792889187E-9	1.58551929936156E-8	2.2574673470981998E-10	6.6129588070742E-8	-3.8471968713357E-4	1.73335071815206E-13	0.23076703937509	
28.2	1.3937620031734199E-9	6.5409022198488E-9	1.6165423748060402E-8	2.2832263783703E-10	6.5586310865848E-8	-3.8709912718034E-4	1.73336860463121E-13	0.23076465980982	
28.48	1.41078730445959E-9	6.64560219013E-9	1.5936775950837E-8	2.3119889387794E-10	6.5045809546984E-8	-3.9033500241954E-4	1.73339293352234E-13	0.23076142329003002	
28.872	1.4277605175568301E-9	6.755270009019E-9	1.59182476425456E-8	2.3405827057110996E-10	6.4449854686084E-8	-3.9451964366185E-4	1.7334243938298098E-13	0.23075723816381	
29.0	1.43187624437224E-9	6.783255689779E-9	1.5949050395518E-8	2.3475331448011E-10	6.4276322991576E-8	-3.9578524437000996E-4	1.7334339085669E-13	0.23075597245318	
29.2	1.43721529119568E-9	6.8226620052134E-9	1.62567881926086E-8	2.3566954371985E-10	6.389911383327199E-8	-3.976955113313E-4	1.73344826916348E-13	0.23075406216243	
29.48	1.44209198384509E-9	6.862941200429099E-9	1.6022542152128702E-8	2.3651200786103E-10	6.3455939728611E-8	-4.0028251832231E-4	1.73346772235557E-13	0.23075147452401001	
29.872	1.44465729066435E-9	6.8947439852252E-9	1.60002311508965E-8	2.36979359068E-10	6.291804896703401E-8	-4.036350170161E-4	1.7334929299956E-13	0.23074812149996998	
30.0	1.44461227609213E-9	6.9000528794009E-9	1.6030049009946E-8	2.3698541302856E-10	6.275651428305601E-8	-4.0465370784477004E-4	1.73350058945292E-13	0.2307471026827	
