# Time [h]	Carbondioxide [vol%]	Methane [vol%]	Hydrogen [vol%]
0.2	18.346442826784	81.6508805442	0.0026766290160845
0.48	32.385651645941	67.612837085985	0.0015112680741951
0.872	37.37504758012	62.623899564072	0.0010528558086334
1	37.773200674305	62.225801292358	0.00099803333666347
1.2	37.835038645119	62.16348628617	0.0014750687104521
1.48	38.225373531177	61.773415429856	0.0012110389662048
1.872	38.242234850034	61.756716114667	0.0010490352990234
2	38.211990139541	61.786990848001	0.0010190124574827
2.2	37.446316487047	62.552585029881	0.0010984830724649
2.48	37.615730255715	62.38327172258	0.00099802170517395
2.872	37.494401745412	62.504649619865	0.0009486347226778
3	37.428107054182	62.570953168296	0.00093977752160133
3.2	36.292174183455	63.706898024299	0.00092779224599839
3.48	36.428835597779	63.570260240683	0.00090416153803989
3.872	36.29461693936	63.704487390862	0.00089566977857353
4	36.231469476199	63.767635950073	0.00089457372842905
4.2	35.177051190712	64.822079373414	0.00086943587429292
4.48	35.311850053036	64.687280462281	0.00086948468368074
4.872	35.245936227698	64.753192879655	0.00087089264741279
5	35.212874361227	64.786254166793	0.00087147198046564
5.2	34.417910270119	65.581238962855	0.00085076702514005
5.48	34.544268005114	65.454877076326	0.00085491856074382
5.872	34.525530649868	65.473612459224	0.00085689090830969
6	34.512198591724	65.486943998909	0.00085740936703563
6.2	33.922575932567	66.076582620404	0.0008414470295269
6.48	34.036681402935	65.962473184411	0.00084541265474403
6.872	34.044203566127	65.954949320914	0.00084711295868686
7	34.0412421066	65.957910362327	0.00084753107272515
7.2	33.576458341245	66.422706813671	0.00083484508387996
7.48	33.681525175232	66.317636661333	0.00083816343504826
7.872	33.703486420074	66.295673993792	0.00083958613461688
8	33.706148947282	66.293011114036	0.00083993868211576
8.2	33.315259481363	66.683911436118	0.00082908251882095
8.48	33.41440252309	66.584765451161	0.00083202574833131
8.872	33.444365536872	66.554801167177	0.00083329595101988
9	33.450130664707	66.549035722689	0.0008336126038987
9.2	33.103048140273	66.896127786909	0.00082407281756458
9.48	33.198320936996	66.800852436546	0.00082662645786051
9.872	33.232671271434	66.766500971595	0.00082775697089254
10	33.240147437021	66.759024514922	0.00082804805766144
10.2	32.919471438855	67.079709226882	0.00081933426351871
10.48	33.012115289755	66.98706308	0.00082163024520983
10.872	33.048780326527	66.950397011736	0.00082266173695127
11	33.057180223436	66.94199684179	0.0008229347735253
11.2	32.752887077407	67.246298147941	0.00081477465206376
11.48	32.843610953593	67.155572159707	0.00081688670044498
11.872	32.881376036283	67.117806125158	0.00081783855889607
12	32.890241907176	67.108939996108	0.00081809671612448
12.2	32.596509730669	67.402679973226	0.00081029610412943
12.48	32.685721468699	67.313466244157	0.00081228714464784
12.872	32.723880374079	67.275306446181	0.00081317974028939
13	32.732946734413	67.266239839568	0.000813426018505
13.2	32.446387909528	67.552806265585	0.00080582488659005
13.48	32.534337761461	67.464854479624	0.00080775891564707
13.872	32.57250140781	67.426689972897	0.00080861929250328
14	32.581621821088	67.417569321027	0.00080885788466963
14.2	32.300302438602	67.698896192584	0.00080136881381972
14.48	32.387149675582	67.612047042899	0.00080328151849494
14.872	32.425118957199	67.574076915043	0.0008041277585733
15	32.434218167263	67.564977470879	0.00080436185818226
15.2	32.157065174971	67.84213783498	0.00079699004909663
15.48	32.24290811478	67.756293014272	0.00079887094865633
15.872	32.280586759754	67.718613539314	0.00079970093214909
16	32.289627924679	67.709572144419	0.00079993090164034
16.2	32.016104400855	67.983103501045	0.00079209809985778
16.48	32.101039962865	67.898165759085	0.00079427805002614
16.872	32.138410857655	67.860793902848	0.00079523949786461
17	32.147388346542	67.851816168154	0.00079548530468205
17.2	31.877176275031	68.122035513342	0.00078821162671774
17.48	31.961184558754	68.038025325317	0.00079011592941153
17.872	31.998200671678	68.001008372905	0.00079095541677467
18	32.007093318421	67.992115497871	0.00079118370804789
18.2	31.739963958908	68.259252133213	0.00078390787933882
18.48	31.823106009872	68.176108162511	0.00078582761715771
18.872	31.859773840163	68.139439485492	0.00078667434535127
19	31.868585047107	68.130628050509	0.00078690238414863
19.2	31.604451884168	68.394768440332	0.00077967549982997
19.48	31.686746349494	68.31247205358	0.00078159692573488
19.872	31.723069772221	68.276147782723	0.0007824450561062
20	31.731799985022	68.267417342835	0.00078267214309685
