# Time [h]	AA [g/L]	MO_AcidoLCFA [g/L]	MO_ButyricValeric [g/L]	MO_hydroM [g/L]	MO_acetoM [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	MO_Propionic [g/L]	Nitrogen [g/L]	SUM [g/L]
2.872	1.3114759510583e-15	0.15573083476258	0.22244759391746	0.36314353451971	0.21736979614981	0.79592759857707	0.11588115338321	0.12881308979965	0.33307688553164	2.3323904866411
3	4.1931372584806e-16	0.1557153575416	0.22242397021678	0.36310605935994	0.21741577810039	0.79584304421886	0.11586884289607	0.12879947040312	0.3053870889244	2.3045596116612
3.2	7.4540998287979e-17	0.15569101826333	0.22238762307585	0.36304941334617	0.21746544877062	0.79571094613755	0.11584961039597	0.12877878859078	0.26674295592729	2.2656758045075
3.48	6.8957793425086e-18	0.15565666352239	0.2223364041004	0.36296903129264	0.21750877158332	0.7955260457332	0.11582269026975	0.12874962020377	0.22086526715657	2.2194344938621
3.872	2.1766881916897e-19	0.15560812507463	0.22226414540175	0.36285341629277	0.21752912645097	0.79526725730582	0.11578501259574	0.12870795723277	0.16986336304238	2.1678784033968
4	7.0187165093751e-20	0.15559218549507	0.22224053614641	0.3628154323103	0.21752926074395	0.79518277312181	0.1157727123256	0.12869430270696	0.15584160016679	2.1536688030169
4.2	1.2684814500017e-20	0.1555671961615	0.22220379479313	0.36275650541753	0.2175254575428	0.79505078447449	0.1157534957581	0.12867311111329	0.13626943562223	2.1337997808831
4.48	1.2057092838571e-21	0.15553206063847	0.22215227859429	0.36267366857998	0.21750954101191	0.79486603677888	0.11572659786443	0.12864339160938	0.11303428836121	2.1101378634386
4.872	3.987447365936e-23	0.15548263049733	0.22208002881206	0.36255685099428	0.21747164082337	0.79460746154241	0.11568895122819	0.12860159532931	0.087201030038673	2.0836901892656
5	1.307235373275e-23	0.15546644130209	0.22205643704089	0.36251863150134	0.21745785915886	0.7945230469799	0.11567666109407	0.12858793790913	0.08009699997278	2.0763840149591
5.2	2.4329322733068e-24	0.15544110123822	0.22201960715375	0.36245896975692	0.21743632705797	0.79439116718968	0.11565746037489	0.12856662643976	0.070178949518804	2.06615020873
5.48	2.4278738852838e-25	0.15540554545926	0.22196803861607	0.36237534204921	0.21740555248594	0.79420657222975	0.11563058471803	0.12853678505881	0.058399458060052	2.0539278786771
5.872	8.8342166453191e-27	0.15535563952079	0.22189583438494	0.36225804893402	0.21736148640378	0.79394821130487	0.11559296928382	0.12849498107686	0.04529485282364	2.0402020237327
6	2.9984176715372e-27	0.15533931810746	0.22187226158153	0.36221972501743	0.21734702999192	0.79386386675359	0.11558068934281	0.12848133136116	0.041690266246785	2.0363944884027
