# Time [h]	MS [g/L]	AA [g/L]	Butyric [g/L]	MO_AcidoLCFA [g/L]	MO_ButyricValeric [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_hydroM [g/L]	Valeric [g/L]	MO_acetoM [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	MO_AcidoAA [g/L]	MO_Propionic [g/L]	Hydrogen [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
2.872	1.5617829650962e-20	1.0576418960148e-14	7.7045163711739e-07	1.3660599540577	1.9512946834865	1.7341836656264e-05	0.27477605505956	3.1854696010501	2.1734528343184e-07	1.9067525978053	0.00051712973483186	6.9818210401497	0.024559065750297	1.0165013454668	1.1299393842075	2.6235683948161e-10	0.061199806959432	0.33307688553164	0.33307688347447
3	1.3598888415096e-21	3.3815623052263e-15	2.9804297023347e-07	1.3659241889614	1.951087458042	8.7397404089628e-06	0.25748013811433	3.1851408715784	8.0984304210217e-08	1.9071559482491	0.0004802824826574	6.9810793352531	0.020853716550585	1.0163933587374	1.1298199158169	2.2095817992022e-10	0.047666536287831	0.3053870889244	0.30538708708042
3.2	1.6474836448874e-23	6.0113708296757e-16	3.0061785759109e-05	1.3657106865204	1.9507686234724	0.0001284410381033	0.23990930002348	3.1846439767208	1.0538374420962e-05	1.9075916558827	0.00042403500246177	6.979920580154	0.017246709670667	1.0162246525962	1.1296384964103	6.5414382908804e-10	0.043683486177691	0.26674295592729	0.26674295436515
3.48	-3.07711326268e-25	5.5611123729908e-17	4.263673159693e-06	1.3654093291438	1.950319334214	3.3617469880365e-05	0.20692827540439	3.1839388709881	1.3777476157413e-06	1.9079716805555	0.00036066903457245	6.9782986467825	0.012835710518615	1.0159885111381	1.1293826333664	2.6189298102457e-10	0.027024331634917	0.22086526715657	0.22086526590748
3.872	1.024772859957e-26	1.7553937029756e-18	2.7792072141228e-07	1.3649835532863	1.9496854859803	5.0244088333879e-06	0.17642926964789	3.1829247043225	7.8998183798048e-08	1.9081502320261	0.00028820288338909	6.9760285728581	0.0094957129832813	1.0156580052258	1.1290171687085	1.322420966352e-10	0.012609338232527	0.16986336304238	0.16986336211679
4	8.999999799869e-28	5.6602552494961e-19	1.0790015505108e-07	1.3648437324129	1.9494783872492	2.5406871088748e-06	0.1686867389034	3.1825915114938	2.954600023011e-08	1.9081514100346	0.0002677777366627	6.9752874835247	0.0088739846811629	1.0155501081193	1.1288973921663	1.1591324502181e-10	0.0093543666692797	0.15584160016679	0.155841599326
4.2	1.1509910995501e-29	1.0229689112917e-19	7.7809961057806e-06	1.3646245277325	1.9491560946766	3.0518762354334e-05	0.15665125013683	3.1820746089257	2.6982233171863e-06	1.908118048621	0.00023746168151074	6.9741296883727	0.009002837782927	1.0153815417377	1.1287115009938	2.1415081966604e-10	0.0079059965163547	0.13626943562223	0.13626943489704
4.48	-2.1337268356001e-31	9.7234619665893e-21	1.1095817673695e-06	1.3643163213901	1.9487041981956	7.9621599140943e-06	0.13883981725021	3.1813479699998	3.5553301113785e-07	1.9079784299291	0.00020230426193599	6.9725090945515	0.0084148140027261	1.015145595302	1.1284508035911	1.0961931790971e-10	0.0044400297653685	0.11303428836121	0.1130342877692
4.872	7.1816825566517e-33	3.2156833596258e-22	7.3385408478562e-08	1.3638827236608	1.9480704281759	1.1999263004071e-06	0.12171553183365	3.1803232543358	2.0716792493338e-08	1.9076459721348	0.00016203268483373	6.9702408907229	0.0079691963235535	1.0148153616508	1.1280841695554	6.915241941254e-11	0.0030550143931278	0.087201030038673	0.087201029589841
5	6.4198160794414e-34	1.0542220752217e-22	2.8673573310628e-08	1.3637407131762	1.9478634828148	6.0990237730211e-07	0.11715994374249	3.1799879956258	7.7997038432909e-09	1.9075250803409	0.00015068661257121	6.9695004121044	0.0079076610550677	1.0147075534567	1.127964367624	6.2621354327107e-11	0.0029147090236103	0.08009699997278	0.080096999562457
5.2	8.7122693248408e-36	1.9620421558926e-23	1.5174953978632e-06	1.3635184319142	1.9475404136294	5.754703466275e-06	0.10883179357702	3.1794646469905	5.1513940932832e-07	1.9073362022629	0.00013420465555071	6.9683435718393	0.008390872920872	1.0145391260955	1.1277774249102	7.6601971244531e-11	0.0030155586145373	0.070178949518804	0.070178949161639
5.48	-1.6826478477244e-37	1.9579628107128e-24	2.196279518277e-07	1.3632065391163	1.9470880580357	1.5133035797274e-06	0.098377590225809	3.1787310706071	6.8981749701074e-08	1.9070662498767	0.00011466218127199	6.9667243178048	0.0082912476217789	1.0143033747195	1.1275156584106	5.1553576100866e-11	0.0028461873662981	0.058399458060052	0.058399457765122
5.872	5.8614323460737e-39	7.1243682623541e-26	1.4927011509204e-08	1.3627687677262	1.9464546875872	2.3220057678959e-07	0.088638020434172	3.1777021836317	4.1382530024681e-09	1.9066797052964	9.2247089609671e-05	6.9644579939023	0.0081979262453079	1.0139734147704	1.1271489568146	3.790169113961e-11	0.0028166945252863	0.04529485282364	0.045294852596829
6	8.1800320494981e-40	2.4180787673687e-26	5.8991790564074e-09	1.3626255974338	1.9462479086099	1.1903861068838e-07	0.08606768820087	3.1773660089248	1.5765211870308e-09	1.906552894666	8.593351388609e-05	6.9637181294174	0.0081941829892062	1.0138656959895	1.1270292224663	3.4981421054605e-11	0.0028205454159995	0.041690266246785	0.041690266038509
6.2	-3.4574246252237e-41	4.7746338425278e-27	2.3627529482664e-07	1.3624016918822	1.9459248962408	8.8493901714431e-07	0.081320983324372	3.1768407201915	7.7450730314253e-08	1.9063547406802	7.6878043503916e-05	6.9625622485268	0.0085833887915884	1.0136974083059	1.1268421948284	3.4429564976752e-11	0.0028438204608073	0.036657737103654	0.036657736921112
6.48	2.6173839973751e-39	5.2615827471247e-28	3.5167848696746e-08	1.3620878650003	1.9454727466884	2.3680874232729e-07	0.07545027954766	3.1761050397593	1.0679996972538e-08	1.9060768424734	6.5999412781951e-05	6.9609443375898	0.0085194365265871	1.0134618524748	1.1265803927675	2.7419490315403e-11	0.0028618102418677	0.030680265919993	0.0306802657678
6.872	-5.5900760286708e-41	2.357093160738e-29	2.5092430007751e-09	1.3616479368647	1.944839875712	3.7522911749773e-08	0.070031137865881	3.1750746093308	6.7462233139136e-10	1.9056868573894	5.3509986711213e-05	6.9586798938637	0.0084488600316744	1.0131321662654	1.1262139218641	2.166979277007e-11	0.0029063217357923	0.02402977239088	0.024029772272182
7	-4.2736812074967e-41	8.62912877873e-30	1.0115016467425e-09	1.3615041756159	1.9446332671743	1.9520097164854e-08	0.068604128155058	3.174738082122	2.6233931288408e-10	1.9055594160982	4.9991877262246e-05	6.9579406432005	0.0084433671011787	1.0130245368525	1.1260942804925	2.0193170593315e-11	0.0029226933179201	0.022200413143343	0.022200413033809
7.2	9.1164658405085e-41	1.9323956930358e-30	9.0888361493642e-08	1.3612794501504	1.9443104987896	3.2812002603434e-07	0.06595086978098	3.1742122645071	2.8333710374932e-08	1.9053601440686	4.4960328649479e-05	6.9567857212659	0.0087439554679748	1.0128563887858	1.1259073795004	1.9401561776063e-11	0.0029540791823823	0.019646351128689	0.019646351031912
7.48	1.4137044495596e-39	2.6192194484505e-31	1.419600458378e-08	1.3609646632089	1.9438587052239	9.0767098339046e-08	0.062585022006248	3.1734760465249	4.108228663199e-09	1.9050808226339	3.8893915340482e-05	6.955169152612	0.008673701073554	1.0126210283812	1.1256457657839	1.5988904295666e-11	0.0030023478545902	0.01661268523031	0.016612685148634
7.872	-2.0044408054128e-41	1.765506389883e-32	1.0992088751777e-09	1.3605236998211	1.9432263563545	1.520194874278e-08	0.05956699163642	3.1724452358395	2.8303834042435e-10	1.9046891199034	3.1919415870629e-05	6.9529065875811	0.0085973563345965	1.012291615696	1.1252795905093	1.2904891181056e-11	0.0030846930250017	0.013237387416337	0.013237387351394
8	2.6395158611191e-40	7.4368802274281e-33	4.5757786329121e-10	1.3603796640077	1.9430199191012	8.1002154915957e-09	0.058782644012269	3.1721086454054	1.1379497384309e-10	1.9045611477083	2.9952435808804e-05	6.9521679502372	0.008587368878107	1.0121840755778	1.1251600476669	1.2088877063826e-11	0.0031130698065364	0.012308924818688	0.012308924758336
