# Time [h]	Acidogenesis_MS [g/h]	Valeric_Degradation [g/h]	Propionic_Degradation [g/h]	hydro_Methanogenesis [g/h]	Acidogenesis_LCFA [g/h]	Butyric_Degradation [g/h]	Acidogenesis_AA [g/h]	aceto_Methanogenesis [g/h]
10.2	-3.7709167069757e-36	2.3763219349766e-05	0.00024214188814935	0.00019696608919138	0.00029783986774286	9.2967122832115e-05	1.1832780278219e-35	0.49885744234304
10.48	-1.217688238849e-35	4.5654310289412e-06	7.9680010582592e-05	0.00011250849686742	0.00025873168896642	1.9004809904005e-05	3.6654410575687e-36	0.49789104935
10.872	-5.6628930234819e-38	4.9069284022311e-07	1.7416746369578e-05	7.3426699848711e-05	0.00021413750042651	2.2335040846055e-06	8.0248067230493e-37	0.49761941563645
11	-6.9140793938415e-38	2.2938429711356e-07	1.0305366498169e-05	6.6831407719264e-05	0.00020164376266454	1.0748209501005e-06	4.8645850544668e-37	0.49744110918411
11.2	2.1527771533996e-38	2.9430371295268e-05	0.00032086282948889	0.00019432288169329	0.000183504474036	0.00012198671393423	2.2788603153194e-37	0.49868532901668
11.48	-4.2881886342152e-36	6.3040979111026e-06	0.00011332890014355	9.566448354529e-05	0.00016197715120465	2.7683843235034e-05	8.3549313257944e-38	0.49830290181893
11.872	-2.2450023173509e-37	7.8791949087117e-07	2.7272296703296e-05	5.3019700888046e-05	0.00013708673866929	3.7533739981558e-06	2.2408933762666e-38	0.49884189710504
12	-7.6193199828166e-38	3.8547576993463e-07	1.667373870146e-05	4.6777374442192e-05	0.00013002620359018	1.8873039354331e-06	1.4451096487022e-38	0.49902358811672
12.2	-4.6587179958443e-38	3.1330421873649e-05	0.00036763727342382	0.00019320185706116	0.00011960678309751	0.00013637367827525	7.3794070505536e-39	0.50093181861414
12.48	-3.1435707055216e-37	7.2913026157604e-06	0.000137073645058	8.7884504390248e-05	0.00010714935983155	3.3518596927309e-05	3.006867512136e-39	0.50083067636963
12.872	1.87994214895e-39	1.0155030282536e-06	3.5370654114492e-05	4.2091828345639e-05	9.2431568018864e-05	5.0369844748689e-06	9.1211360691162e-40	0.50159952077494
13	-1.862588501548e-38	5.1259026460013e-07	2.2116690519531e-05	3.5700986890765e-05	8.818402238625e-05	2.6103654776444e-06	6.1023125530214e-40	0.50188746806458
13.2	3.7301002899897e-37	2.9201854713988e-05	0.00037078843574109	0.00018148575724783	8.1803148129969e-05	0.00013337968277555	3.2792649980065e-40	0.50392281933423
13.48	-6.6211679824671e-36	7.1750829106805e-06	0.00014314914238463	7.9785876601971e-05	7.4099097990324e-05	3.4542259820254e-05	1.4209281333471e-40	0.50376703682649
13.872	-2.549002662037e-37	1.0696713053341e-06	3.8584009068492e-05	3.4645611657348e-05	6.4795094674839e-05	5.5384071210561e-06	4.6232103855644e-41	0.50431677164635
14	-6.2775600898731e-38	5.5035732255885e-07	2.445610777762e-05	2.8393433180443e-05	6.2066007445573e-05	2.9237608265118e-06	3.1575343396636e-41	0.50454173330211
14.2	2.6118109912655e-37	2.5677605269706e-05	0.00035150103761538	0.0001649217974549	5.7902236233534e-05	0.00012317093004218	1.7460693172738e-41	0.50639902277903
14.48	9.0077934807939e-37	6.5161516666901e-06	0.00013844114064994	7.1100685348556e-05	5.2834657280463e-05	3.2906342630504e-05	7.8284709111211e-42	0.50603204611052
14.872	-2.5650685080032e-38	1.0106059113151e-06	3.8251320602658e-05	2.8821764303013e-05	4.6608612673745e-05	5.4788780591308e-06	2.6468938837244e-42	0.50622808395065
15	3.315207439801e-38	5.2571176334609e-07	2.4430859342682e-05	2.2966864474741e-05	4.4760154702191e-05	2.9232160271483e-06	1.8281874546252e-42	0.5063450530993
15.2	1.8385489448245e-37	2.4147219591831e-05	0.00035142239094186	0.00015925628515934	4.1901091705765e-05	0.00012126980099689	1.0265611294166e-42	0.50810238507079
15.48	-9.8994029169558e-37	6.2411387072315e-06	0.00013992427387116	6.7057878085319e-05	3.8411774732685e-05	3.2976057762724e-05	4.6880411761168e-43	0.50744673175278
15.872	-1.5508639933672e-37	9.8972594186077e-07	3.9189561805461e-05	2.5241663793501e-05	3.4075397344784e-05	5.6083545434824e-06	1.6183788359897e-43	0.50730350287382
16	-8.7189756464942e-38	5.1805199905645e-07	2.5135133018104e-05	1.9473602319254e-05	3.2777748629272e-05	3.0102838971454e-06	1.1246281627725e-43	0.50732492177193
16.2	-2.4607023445799e-38	1.9353574134914e-07	1.2687360768164e-05	1.4228935112562e-05	3.0859244516156e-05	1.1673876913497e-06	6.4238497293991e-44	0.5073871792436
16.48	-7.2525532845496e-39	5.0569004320114e-08	4.9536460854448e-06	1.0632161272825e-05	2.8379499565787e-05	3.2076610643321e-07	2.9750012072517e-44	0.50748655934547
16.872	1.352466220042e-38	8.1248489728903e-09	1.3689707321204e-06	8.3820321719505e-06	2.5269618531074e-05	5.5238523760831e-08	1.0392098670722e-44	0.50759738641346
17	1.0518131638286e-38	4.2687889906718e-09	8.7567963905659e-07	7.9161418490466e-06	2.4334339943014e-05	2.975699934522e-08	7.2466993537431e-45	0.5076228340351
17.2	1.1618273512957e-36	1.7427812085733e-05	0.00026973458332357	0.00011934108742439	2.2867504389301e-05	9.4254874629375e-05	4.1254794488518e-45	0.5088917049357
17.48	-3.9278425513462e-37	4.5785881114743e-06	0.00010842378946216	4.9292184245732e-05	2.1071366535447e-05	2.6036502004815e-05	1.9145342325437e-45	0.50815666319103
17.872	9.8880910552171e-38	7.4068092631726e-07	3.0735035147827e-05	1.7337781485366e-05	1.8812735583828e-05	4.5131725690784e-06	6.7292823375936e-46	0.50777394820552
18	2.6049694253534e-37	3.8991402965154e-07	1.9787725872625e-05	1.2940170945798e-05	1.8131380536151e-05	2.4358429282102e-06	4.7013750372485e-46	0.50771240247077
18.2	1.5084097642113e-36	1.4050994465894e-05	0.00023060736689455	0.00010066569771943	1.7060575383869e-05	7.8153318385037e-05	2.685140195084e-46	0.50860879052555
18.48	7.6762366587805e-37	3.7054080954504e-06	9.2772361585909e-05	4.1307470701994e-05	1.5746458762782e-05	2.1667281350834e-05	1.2505405138951e-46	0.50794944650885
18.872	1.7600007508152e-37	6.0226057349184e-07	2.6345090870108e-05	1.4200163358102e-05	1.40888527588e-05	3.7727909710063e-06	4.4127069890851e-47	0.50757240131177
19	7.5143869570946e-38	3.1750293923404e-07	1.6973185139288e-05	1.0472344500439e-05	1.3587741927784e-05	2.0390796587599e-06	3.0866828085125e-47	0.50750323016449
19.2	6.1802378443676e-37	1.2253812942793e-05	0.00020434208074567	8.8477855001415e-05	1.2797532516915e-05	6.9446820479545e-05	1.7664504292646e-47	0.50824027416948
19.48	-3.152263402927e-37	3.2398542911695e-06	8.2314964231859e-05	3.5987584276093e-05	1.1828131868381e-05	1.9301541830536e-05	8.2457814355061e-48	0.50763841305885
19.872	-3.1376135911465e-38	5.2834458905279e-07	2.3419828678434e-05	1.202455245681e-05	1.0602652394486e-05	3.3715604961757e-06	2.9173976873883e-48	0.50727109084264
20	-4.665248042499e-38	2.7883260101191e-07	1.5098707836359e-05	8.7367362545627e-06	1.0231589610479e-05	1.8241014132937e-06	2.0424739754195e-48	0.50719852715377
