# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
0.2	0.3241335517552	2.6655215879358343E-5	6.500032293099555E-5	2.7243600574039257E-4	5.859856479561644E-4	7.287376739629025E-5	9.546929505629886E-4	0.4858473569124469	
0.48	0.22325677184681078	4.0578653769477345E-7	4.077532081576215E-6	2.835908494114716E-5	1.1176716306865755E-4	8.000861397298829E-6	5.564134067340345E-4	0.28460728568532645	
0.872	0.239422011101238	1.447756298642915E-8	1.306181334565307E-7	2.0551554676495063E-6	1.849990043125913E-5	5.859216044485162E-7	4.720906773144494E-4	0.23203494855624449	
1.0	0.07058092385520896	3.6804805417019036E-10	1.2217777066596975E-8	2.3577243306050582E-7	2.7701407798660075E-6	6.605047945843994E-8	1.2884765131086686E-4	0.06154827680790144	
1.2	0.3682571824361999	1.5159103898709069E-13	1.0624592914447631E-8	2.827712783969781E-7	4.999471564864652E-6	7.665261696469656E-8	5.949470573084128E-4	0.26637622802892164	
1.48	0.09526269651718682	6.725820334450654E-14	2.558564479196861E-10	1.0417398669473895E-8	3.1201630186015236E-7	2.680631025273568E-9	1.3010236901801053E-4	0.05026166823409787	
1.872	0.07509385169115819	1.779656316614533E-15	6.135390775045006E-12	5.351197831336692E-10	3.490872477139843E-8	1.2484053613368697E-10	8.112201513772254E-5	0.021599835445776455	
2.0	0.019087522085416943	3.9186127974349134E-17	4.977735620182429E-13	5.278612776570441E-11	4.451632512435531E-9	1.1922746320017641E-11	1.9093122455688603E-5	0.004192674917559477	
2.2	0.3662668632483803	4.490068935805178E-18	1.6320215750734814E-12	2.3523483394606975E-10	2.943289978809935E-8	5.046337184985074E-11	3.255887695143322E-4	0.0484591753798124	
2.48	0.011733138784244913	5.357367058715054E-21	4.955318155439208E-15	1.0894071078592628E-12	2.26994741443888E-10	2.1866189744748523E-13	8.828159947701028E-6	6.424801461611305E-4	
2.872	0.004847607142382983	7.531865737808175E-23	6.423355954199806E-17	2.9781627366890565E-14	1.3384435340879477E-11	5.3137999684222645E-15	2.891358868653965E-6	6.867837845699333E-5	
3.0	0.0011247631637500042	1.5498390314839983E-24	4.806589572410041E-18	2.703671507305278E-15	1.5658023457561616E-12	4.656553306704507E-16	6.217401747528425E-7	1.014094452458781E-5	
3.2	0.28144289118230026	2.5784071726408896E-25	2.117341529979121E-16	1.6462960442374967E-13	1.3719237301033832E-10	2.720885776151071E-14	1.3864719476028406E-4	0.0015155560620850432	
3.48	0.001198762070898447	4.070795460969962E-29	8.728073449033429E-20	1.602495007359366E-16	1.440065394023022E-13	3.2363546446984416E-17	5.009425239411597E-7	4.578901389917436E-6	
3.872	0.0013046825558593845	1.552825288466659E-30	3.143311665781713E-21	1.3185136494509043E-17	2.2984629153000185E-14	2.4708802165315235E-18	4.336961932109501E-7	4.398747453774374E-6	
4.0	4.030900650000004E-4	4.3689663176424035E-32	3.189615805759009E-22	1.6716456630079803E-18	3.624141936731053E-15	3.061849140496576E-19	1.2434157660940414E-7	1.3445445795942038E-6	
4.2	0.17214739611914015	5.658988579163412E-33	2.4985058205253987E-20	2.8635457450674147E-16	5.615503655057776E-13	5.787389481605176E-17	4.7419499968696436E-5	5.693337987649981E-4	
4.48	7.474390619791767E-4	1.327821698919927E-35	1.0921817496720586E-23	8.031367665820196E-19	6.342216188430236E-16	2.0341219674346597E-19	1.752630467588047E-7	2.4821269648311933E-6	
4.872	9.762289421354219E-4	6.33089219584631E-37	5.18842222448917E-25	1.0197275646583458E-19	1.2853749469839454E-16	2.3782228414725613E-20	1.832016736807187E-7	3.274710265939275E-6	
5.0	3.1804434500000027E-4	2.0284622883082204E-38	5.735933194201575E-26	1.4819245577949597E-20	2.1898767496917214E-17	3.362474405176944E-21	5.551376793520877E-8	1.0709572016723807E-6	
5.2	0.08839180600000007	6.685072891303435E-38	3.108087308542818E-24	1.9586443843945193E-18	2.3475295655328422E-15	4.418051293278865E-19	1.3816002253843838E-5	2.9931810660032684E-4	
5.48	7.024651794270886E-4	5.42106992317965E-41	2.6926123806738777E-27	6.774827251927358E-21	5.208497244195457E-18	1.6037189535389757E-21	9.404630005475522E-8	2.4121045585439057E-6	
5.872	9.983006795051905E-4	3.483917476570807E-42	1.642587432776846E-28	1.1385897858757807E-21	1.271153292846977E-18	2.504415806010117E-22	1.0809292204590106E-7	3.506375676358417E-6	
6.0	3.280092195833347E-4	3.1290534867908275E-43	1.9370922626812267E-29	1.7967515637929062E-22	2.279314774928561E-19	3.857396205681629E-23	3.316348508080363E-8	1.1611521838488145E-6	
6.2	0.03927005936458403	1.1156624510388518E-40	4.9741839240879435E-28	9.430223971770572E-21	1.1308742317405447E-17	1.996325535069487E-21	3.5753901886529367E-6	1.408768630844899E-4	
6.48	7.398783300781326E-4	2.9199562541149173E-41	1.175728084059505E-30	5.783012483006356E-23	6.482757656280098E-20	1.2276952682770032E-23	5.8294062034059095E-8	2.7182471005291528E-6	
6.872	0.001069890507656229	6.529358648453169E-43	9.531847844075094E-32	1.2653992019016861E-23	1.8777917419556098E-20	2.545783123407711E-24	6.931935381896663E-8	4.086282695568238E-6	
7.0	3.532731958333315E-4	1.2111427665315248E-43	1.2337425508848895E-32	2.213084484210002E-24	3.602104850556499E-21	4.377278885954409E-25	2.1502594880663438E-8	1.367142570519412E-6	
