# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
3.48	-0.0042812931103516	3.3958327175959e-26	7.2809055782787e-17	1.3367915504353e-13	1.2012937587721e-10	2.6997472836898e-14	0.0004178831947575	0.0038196915810705
3.872	-0.0033282718261719	1.190193952922e-27	2.4092539994997e-18	1.010601117896e-14	1.7617028027067e-11	1.8938554864819e-15	0.00033241510838265	0.0033715078307895
4	-0.0031491411328125	1.0838685189729e-28	7.9129109911429e-19	4.1470773113894e-15	8.9908986884384e-12	7.5959429575536e-16	0.00030847095328287	0.0033355934475691
4.2	0.8607369805957	3.2872925799278e-32	1.45137590045e-19	1.663426696902e-15	3.2620322942157e-12	3.3618803490933e-16	0.00027545871176511	0.003307246067033
4.48	-0.0026694252213542	1.776494923083e-32	1.4612318317697e-20	1.0745180542951e-15	8.4852618909646e-13	2.7214552609124e-16	0.00023448473015943	0.0033208419135316
4.872	-0.0024903799544271	6.4850486628659e-34	5.3147596844854e-22	1.0445578087736e-16	1.3166736730549e-13	2.436132282936e-17	0.00018766261250151	0.0033544490688589
5	-0.0024847214453125	6.3779228280516e-35	1.8035010791346e-22	4.6594903543874e-17	6.8854447001462e-14	1.0572344574078e-17	0.00017454725672047	0.0033673203705992
5.2	0.44195903	7.5630006827821e-37	3.516261799813e-23	2.2158664620955e-17	2.6558226059244e-14	4.9982588807823e-18	0.00015630410644448	0.0033862653128767
5.48	-0.0025088042122396	7.7172080295865e-38	3.833090179459e-24	9.6443602477958e-18	7.4145984694122e-15	2.2829871152431e-18	0.00013388037273457	0.0034337709956117
5.872	-0.002546685406901	3.4898478465402e-39	1.6453834666235e-25	1.1405279083253e-18	1.2733170666347e-15	2.508678855404e-19	0.00010827691923387	0.0035123442749697
6	-0.0025625720279948	9.5395290741084e-40	5.9056030959797e-26	5.4777471379472e-19	6.9489350873245e-16	1.1760023729155e-19	0.00010110534430383	0.0035399986174895
6.2	0.19635029682292	2.8410001642244e-39	1.2666606581639e-26	2.4013775696696e-19	2.8797364965545e-16	5.0835816583203e-20	9.1046212980198e-05	0.0035873860484036
6.48	-0.0026424226074219	3.946535714604e-38	1.5890830103584e-27	7.8161668586721e-20	8.7619239444349e-17	1.6593204833386e-20	7.8788713852321e-05	0.0036739109526861
6.872	-0.0027293125195312	6.102828842511e-40	8.909180683317e-29	1.1827371051957e-20	1.7551251539461e-17	2.3794800544447e-21	6.4791072846157e-05	0.0038193466212911
7	-0.0027599468424479	3.4283460529027e-40	3.4923185948898e-29	6.2645128764711e-21	1.0196371796789e-17	1.2390634040686e-21	6.0866760156941e-05	0.0038699300899251
7.2	0.12995165522135	2.6828706008925e-39	8.6182236374909e-30	3.1191749330364e-21	4.6734308617598e-18	6.1917356646186e-22	5.5338743235782e-05	0.0039573678020946
7.48	-0.002901762281901	9.9659106588006e-39	1.3345186219118e-30	1.414835085764e-21	1.636400917809e-18	2.9889187189957e-22	4.8613956731991e-05	0.0041058433065236
7.872	-0.0030485043782552	2.2711175659816e-39	1.0816161797144e-31	3.8060764277448e-22	4.0692909377739e-19	8.0745608771627e-23	4.0904748798971e-05	0.0043494043593026
8	-0.0030991370214844	1.3164532851677e-39	4.777832334406e-32	2.5290949967378e-22	2.5733862535924e-19	5.3587521104586e-23	3.873516825311e-05	0.0044326411566803
8.2	-0.0031861294677734	5.8776407825841e-41	1.4240301383611e-32	1.3894678533298e-22	1.3019093069164e-19	2.9215427055755e-23	3.5655481245106e-05	0.0045772013447363
8.48	-0.0033229385888672	3.0826756040081e-39	2.8810641914086e-33	6.3132873500073e-23	5.341049692111e-20	1.298571933212e-23	3.1901361711672e-05	0.0048038978760619
8.872	-0.0035401251855469	9.5668484046211e-39	3.5286711428405e-34	2.1943892235272e-23	1.7200978124953e-20	4.3098700843142e-24	2.7551924230556e-05	0.0051631670009525
9	-0.0036133452213542	4.8041186445074e-38	1.7797491496159e-34	1.5365180859932e-23	1.1971412240822e-20	2.9596835144094e-24	2.6316019480704e-05	0.0052832111447935
9.2	0.15983642730469	5.4798988515892e-39	6.4148401493998e-35	1.9466625340994e-22	9.4553426272177e-21	4.6821595540095e-23	2.4541055032335e-05	0.0054764750780369
9.48	-0.0039164289192708	5.0037123373426e-38	1.6893837780738e-35	2.5404408195319e-21	3.0461170938153e-20	6.0130342388101e-22	2.2359702103509e-05	0.0057840637868247
9.872	-0.0041924904622396	8.9084068394599e-41	3.002125709868e-36	1.5982704706001e-21	2.5932387049745e-20	3.5990709566852e-22	1.9777774179864e-05	0.0062393595429615
10	-0.0042825875341797	3.4930332632903e-40	1.7040091117187e-36	1.3440260232624e-21	2.4566415780688e-20	2.9710513037395e-22	1.9031766868915e-05	0.0063867389436392
10.2	0.1954913694222	1.513128123641e-37	7.2726183102221e-37	3.1536434631736e-21	5.8256349660182e-20	6.8895886690673e-22	1.7934636593006e-05	0.0066100194028963
10.48	-0.0046296266129557	1.5190766378228e-37	2.3833849412923e-37	2.0975845622711e-20	2.5238193579662e-19	4.6330129462914e-21	1.6577570928775e-05	0.0069577536410446
10.872	-0.0049230017203776	4.3641514342058e-39	5.5913854543834e-38	1.3081445054008e-20	2.1232548804321e-19	2.7686789320197e-21	1.492729948978e-05	0.0074399436719773
11	-0.0050154756461589	2.6329781897245e-39	3.4598626128322e-38	1.0967074468285e-20	1.9816519749595e-19	2.2847084190768e-21	1.4440613688665e-05	0.0075909155585747
11.2	0.21335220330241	1.2146257759798e-38	1.66675381293e-38	1.7880168513287e-20	3.5842592696833e-19	3.6538729717607e-21	1.3703986100457e-05	0.0078044257493788
11.48	-0.005347172257487	1.3794421357223e-37	6.3484585518744e-39	7.3911733798729e-20	9.6455150243045e-19	1.5407099012802e-20	1.2789248677908e-05	0.0081342203378342
11.872	-0.0056094857226562	7.998704140059e-39	1.782104775644e-39	4.7619339060872e-20	8.0005794321597e-19	9.5600515787512e-21	1.1647794015587e-05	0.0085640465361637
12	-0.0056893497786458	1.9687351887072e-39	1.1645269579769e-39	4.0329803443676e-20	7.4291609588328e-19	7.983900527122e-21	1.1304838844807e-05	0.0086942623930621
12.2	0.22300281451823	1.3802820557708e-39	6.0494949367568e-40	5.734891461882e-20	1.1827070815693e-18	1.1118254832019e-20	1.0771493660384e-05	0.0088630985287588
12.48	-0.0059570877473958	1.9095557606853e-39	2.5245703065281e-40	1.6526277301365e-19	2.371108951459e-18	3.2705769299356e-20	1.0109352029633e-05	0.0091310157793336
12.872	-0.0061593287239583	1.5032257530754e-40	7.8732642058624e-41	1.0810742509103e-19	1.9400227021781e-18	2.067401592477e-20	9.2670019315745e-06	0.0094617876517452
