# Time [h]	MS [1]	AA [1]	Butyric [1]	MO_AcidoLCFA [1]	MO_ButyricValeric [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_hydroM [1]	Valeric [1]	MO_acetoM [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	MO_AcidoAA [1]	MO_Propionic [1]	Hydrogen [1]	Hydrogen_gas [1]	Acetic [1]	Phi [1]
4.872	7.8973642926504e-36	3.5360325489583e-25	8.0699264353307e-11	0.015398005815992	0.021993385560721	1.3195158113573e-09	0.12171553183365	0.32262942838511	0.035905307725332	2.2781500873889e-11	0.02153696257893	1.7817496230389e-07	0.078692844088078	0.0079691963235535	0.4661936298455	0.01145709427175	0.012735878366252	6.915241941254e-11	4.9539296188518e-09	3.3593819391951e-06	0.90940264685504
5	7.0595620194697e-37	1.1592423621129e-25	3.1531229741049e-11	0.015396710769626	0.02199148943176	6.7068652119992e-10	0.11715994374249	0.31144748489491	0.035902241436689	8.5770345657507e-12	0.021536028776727	1.656982625683e-07	0.078686059434671	0.0079076610550677	0.46894046629038	0.011456106476532	0.012734780760123	6.2621354327107e-11	3.344306672974e-09	3.2050873508223e-06	0.90940425216348
5.2	9.5804194934172e-39	2.1574918581817e-26	1.6687308688639e-09	0.015394682609921	0.021988529565449	6.3282232990682e-09	0.10883179357702	0.28021085196628	0.035897455340749	5.6647884735981e-10	0.021534569599738	1.4757392571555e-07	0.078675458912406	0.008390872920872	0.55966152501049	0.011454563119109	0.012733068339578	7.6601971244531e-11	2.0198573933118e-08	3.3159787503774e-06	0.90940675970387
5.48	-1.8503122554896e-40	2.1529966611231e-27	2.4151522266731e-10	0.015391836269948	0.021984386478887	1.6641137979861e-09	0.098377590225809	0.25173966497085	0.035890747054003	7.5856200402393e-11	0.021532465949268	1.2608417119516e-07	0.078660626785145	0.0082912476217789	0.50102026536119	0.011452403671381	0.012730671229337	5.1553576100866e-11	5.685357876825e-09	3.1297151364797e-06	0.90941027645736
5.872	6.4454443005296e-42	7.8339805908258e-29	1.6414485727925e-11	0.015387840254848	0.021978587505895	2.5533937010985e-10	0.088638020434172	0.23104260213588	0.03588133778084	4.5506289770804e-12	0.021529426090504	1.0143566546579e-07	0.07863987668699	0.0081979262453079	0.49922648618116	0.011449382610978	0.012727313953354	3.790169113961e-11	1.7275650906335e-09	3.0972652564891e-06	0.90941521003968
6	8.99494249569e-43	2.6589222829026e-29	6.4870191456121e-12	0.015386532931436	0.021976694413777	1.3090056549953e-10	0.08606768820087	0.22477603723264	0.035878263051418	1.7336179272024e-12	0.021528426918048	9.4493037216102e-08	0.078633103108383	0.0081941829892062	0.50107801584192	0.011448396428168	0.012726217782176	3.4981421054605e-11	1.3542479712332e-09	3.1014939922171e-06	0.90941682173191
6.2	-3.8011766322306e-44	5.25017540038e-30	2.5981929038025e-10	0.015384487837603	0.021973737184044	9.7311993939158e-10	0.081320983324372	0.20676841233037	0.035873458325187	8.5168421627406e-11	0.02152686546769	8.453534611167e-08	0.07862252054631	0.0085833887915884	0.56644761937432	0.011446855685614	0.01272450556054	3.4429564976752e-11	3.8352194924133e-09	3.1270789820491e-06	0.90941933991996
6.48	2.8779810279011e-42	5.7855948169982e-31	3.8672030177769e-11	0.015381620547031	0.021969597675531	2.604047549301e-10	0.07545027954766	0.19116011668156	0.03586672834375	1.1744168994597e-11	0.021524673980682	7.2572885104222e-08	0.078607708054116	0.0085194365265871	0.52094935058072	0.011444699096604	0.012722108775914	2.7419490315403e-11	1.4954125030805e-09	3.1468478443217e-06	0.90942286596274
6.872	-6.1466732777152e-44	2.5918216694269e-32	2.7592521309499e-12	0.015377599658048	0.021963803578458	4.126151990462e-11	0.070031137865881	0.17980226292417	0.035857300410256	7.4183849517923e-13	0.021521595361803	5.8839202956239e-08	0.078586976450957	0.0084488600316744	0.51857431634505	0.011441680728936	0.012718753663194	2.166979277007e-11	7.5388379335005e-10	3.1957748963008e-06	0.90942780337669
7	-4.6992149393542e-44	9.4884274962712e-33	1.1122808110214e-12	0.015376285354908	0.021961911967277	2.1464948343449e-11	0.068604128155058	0.1763370605944	0.035854220979745	2.8847701470813e-13	0.021520588901361	5.497061611959e-08	0.078580208216017	0.0084433671011787	0.51956284017494	0.011440695324125	0.012717658285057	2.0193170593315e-11	6.6271908937305e-10	3.2137711714367e-06	0.90942941561148
