# Time [h]	MS [g]	AA [g]	Butyric [g]	MO_AcidoLCFA [g]	MO_ButyricValeric [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_hydroM [g]	Valeric [g]	MO_acetoM [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	MO_AcidoAA [g]	MO_Propionic [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Acetic [g]
0.2	0.0018922929044924	0.005694635891785	0.034934704402867	47.21689612572	67.460849489402	0.10319677377671	24.613164283447	1.997063999292	26.610228282739	110.08634063185	0.0098933467338984	64.080911904953	0.085364327512309	241.40744415848	2.0940014290234	3.2393216022284	5.3333230312518	35.146687394088	39.056451882108	4.3394215115002e-07	1.3372984091485e-05	1.3806926242635e-05	45.623683336573
0.48	-3.9943994957504e-05	0.00050963025358913	0.005199207833219	47.209098905858	67.449707230012	0.030148748350731	21.89277590938	3.672770431121	25.565546340501	110.08141786156	0.0014709495844365	64.318664214811	0.072720322733188	241.35151307126	2.1220148900533	2.0052639434024	4.1272788334556	35.138948037944	39.052601142458	1.336005740905e-07	3.6916797165745e-06	3.825280290665e-06	39.299519709604
0.872	1.3199855942794e-06	1.5333263081753e-05	0.00034867756013756	47.197442195606	67.42849343012	0.0047944289594974	18.600275645865	3.7759736576968	22.376249303562	110.05406158533	9.529510019623e-05	64.644845706299	0.058142419581424	241.27300358146	2.0731974375205	1.5281784390318	3.6013758765523	35.127558082767	39.041629362592	3.8077083177322e-08	6.2158503290485e-07	6.5966211608217e-07	30.606368201478
1	1.1360684906037e-07	4.8661387609e-06	0.00013536359118562	47.193477041122	67.421361750862	0.0024292012840085	17.638270090583	3.5148339586261	21.153104049209	110.04372820449	3.6164343279339e-05	64.749379841934	0.054011652831293	241.24737236125	2.0513967925119	1.4378880824571	3.489284874969	35.123827218244	39.037640178538	2.9469903999506e-08	3.9526356685888e-07	4.2473347085838e-07	27.812763316404
1.2	1.2690090197495e-09	8.5064474647253e-07	0.0064615199009625	47.187121583565	67.411233738056	0.040155103908703	17.607796022424	4.1799519596537	21.787747982078	110.03175297651	0.0022211432885175	64.909977819342	0.047406461689107	241.20732900253	2.0587919358444	2.1317062206207	4.1904981564652	35.117997529945	39.032717595875	1.4166430314647e-07	8.85473749036e-06	8.9964017935065e-06	24.958727354611
1.48	-2.3887181923272e-11	7.6591932474016e-08	0.00092811886968398	47.177942035722	67.396428281567	0.011528205112686	15.795305879692	3.1428660587536	18.938171938445	110.01371252073	0.00029049174290493	65.126576775543	0.040305772248298	241.15127942979	1.9811323047336	1.5387644660249	3.5198967707585	35.109837189293	39.025615992823	5.2161018583625e-08	2.4146362032559e-06	2.4667972218395e-06	19.127771904314
1.872	7.8851523986474e-13	2.3247207302518e-09	6.0004943238063e-05	47.164657420442	67.374634766275	0.0017893741514919	13.886144836958	2.8278482800731	16.713993117031	109.98157087685	1.6443452022143e-05	65.400723161553	0.032181492399675	241.07283189255	1.8143209559622	1.4780859654869	3.2924069214491	35.098415812668	39.013573737869	1.8171475727941e-08	3.9431797728746e-07	4.124894530154e-07	11.763886473442
2	6.8071153827531e-14	7.3982686040373e-10	2.3164322425504e-05	47.160229642823	67.367482701954	0.00090124518514176	13.349743926689	2.7499191561278	16.099663082817	109.97055362053	6.1136674810233e-06	65.481185581831	0.029886715987537	241.04722190589	1.7455906576007	1.4798134264062	3.2254040840069	35.094687187784	39.009488085166	1.483767182871e-08	2.3722614908168e-07	2.5206382091039e-07	9.5903799654601
2.2	8.4327317285844e-16	1.3019799803114e-10	0.0028877852333172	47.153223847489	67.356780592678	0.014869783240321	13.282119580977	3.2260385316128	16.50815811259	109.95516344364	0.0010112048563882	65.591654883016	0.026291566533388	241.00721176495	1.6378484606464	2.1013068404679	3.7391553011143	35.088862006986	39.00367470483	6.2281849491064e-08	3.9091093394248e-06	3.9713911889158e-06	7.5957994807141
2.48	-1.6243170936122e-17	1.1848980497804e-11	0.00041056757815816	47.143260119988	67.341515003583	0.0039886678207018	11.646474096896	2.540532635066	14.187006731962	109.93281211876	0.00013191858528654	65.704818642863	0.022347864079422	240.9512085907	1.3307939491191	1.5636018497853	2.8943957989044	35.080708359345	38.995365820487	2.2238383758332e-08	9.2789232351169e-07	9.5013070727002e-07	4.4491689627097
