Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
6.2	3.2979786461662e-13	1.4030324640922e-12	7.3079410069513e-09	1.0226378514111e-13	7.2613307969101e-09	-0.0021525388679455	8.8172501278017e-14	0.11342331021942
6.48	4.884892297016e-14	3.7362310394033e-13	6.7544113449743e-09	1.4032881544959e-14	7.2830705358049e-09	-0.0018015423234175	8.7898300584364e-14	0.11377430623048
6.872	3.466651424182e-15	5.8883156551409e-14	6.2430615355463e-09	8.8164684596539e-16	7.3694658996513e-09	-0.001411025970181	8.759568191453e-14	0.11416482215771
7	1.3953795027818e-15	3.0586848001359e-14	6.1087999417011e-09	3.4233842313729e-16	7.4036100354676e-09	-0.0013036061675754	8.7512889228102e-14	0.11427224185918
7.2	1.2512647398085e-13	5.1309741615474e-13	5.8629585956686e-09	3.6898711546615e-14	7.4727777790416e-09	-0.0011536318867829	8.7397619737642e-14	0.11442221596382
7.48	1.9495971098178e-14	1.4159044453839e-13	5.5530738004959e-09	5.337035362674e-15	7.5823894227381e-09	-0.00097549531113529	8.7261189295932e-14	0.1146003523385
7.872	1.5055041927632e-15	2.3649822615411e-14	5.2741761843982e-09	3.6670236671977e-16	7.7761672673847e-09	-0.00077729814159685	8.711000927162e-14	0.11479854942248
8	6.2624409943821e-16	1.2592212552921e-14	5.2017132181383e-09	1.4732228143749e-16	7.8437891847562e-09	-0.00072277890536322	8.7068536228571e-14	0.11485306865361
8.2	1.675502227868e-16	4.8336425363021e-15	5.0668367294513e-09	3.7435205323419e-17	7.9640595072802e-09	-0.00064666188580707	8.7010714844338e-14	0.11492918565848
8.48	2.819309720029e-17	1.3195293958584e-15	4.8857963881509e-09	5.8662518344205e-18	8.1563002092061e-09	-0.00055625038863139	8.6942157429011e-14	0.11501959716675
8.872	2.4680825543007e-18	2.2939146560155e-16	4.7324915534138e-09	4.6048875817185e-19	8.4666469338002e-09	-0.00045565445693508	8.6866033233603e-14	0.11512019325533
9	1.0755498115657e-18	1.2542692787255e-16	4.6938371920886e-09	1.9414608982041e-19	8.5707627285225e-09	-0.00042798199342891	8.6845121314523e-14	0.11514786578426
9.2	2.2704984916525e-13	8.9213325327829e-13	4.6201031997959e-09	5.871151622334e-14	8.7535859715482e-09	-0.00038934533401801	8.6815944507601e-14	0.11518650255389
9.48	4.2319825041827e-14	2.7788993691366e-13	4.5094239975704e-09	1.0235186189898e-14	9.0196475148016e-09	-0.00034345153375189	8.6781318708631e-14	0.11523239650864
9.872	4.341818276885e-15	5.6082386179502e-14	4.4256797519358e-09	9.508707353071e-16	9.4253675515273e-09	-0.00029238624375492	8.6742830935797e-14	0.11528346212026
10	1.9991747540928e-15	3.2199097811056e-14	4.4058984815641e-09	4.2445538754322e-16	9.5571876448534e-09	-0.00027833794204358	8.6732250113832e-14	0.115297510534
10.2	4.2077639682688e-13	1.6500333941695e-12	4.3664680155998e-09	1.0164935815789e-13	9.7844846293226e-09	-0.00025872109201408	8.6717480486335e-14	0.115317127574
10.48	8.7859619342546e-14	5.5455472322057e-13	4.2951764259358e-09	1.9947653670241e-14	1.008741586271e-08	-0.00023541746769805	8.6699943104505e-14	0.11534043142842
