# Time [h]	Carbondioxide [g/L/h]	Methane [g/L/h]	Hydrogen [g/L/h]
0.2	2.7351442563857	4.4365168933358	1.8315404345019e-05
0.48	4.0258330323626	2.1980291893079	4.0465518886522e-06
0.872	3.1570116984239	1.2776777271825	5.1969326072658e-07
1	2.4686869435612	1.0099185268317	2.7761747802226e-07
1.2	5.1995175499212	2.6516680467409	1.1014572285069e-05
1.48	2.1227375551856	1.0393039256429	1.6308726483166e-06
1.872	1.4936891905445	0.78073542859401	2.0828077062557e-07
2	1.3862566433429	0.74598611030936	1.1958720488057e-07
2.2	3.422592903584	2.2293343597195	4.1472834487763e-06
2.48	1.2979966299852	0.79886783556826	4.7407231683672e-07
2.872	0.6687843185517	0.42748879115036	4.4707022086697e-08
3	0.53433846957858	0.35050202432272	2.1651493195221e-08
3.2	1.6278293742232	1.4516701315455	9.7032226009358e-07
3.48	0.39174352950131	0.33116674821357	6.5377073734962e-08
3.872	0.0985007220228	0.08964786090114	3.1811516060163e-09
4	0.05857537123846	0.055389737132334	1.1914373881609e-09
4.2	0.67357966732064	0.89610167417604	1.5811449534006e-07
4.48	0.083548533799873	0.10912254215838	5.5346650974605e-09
4.872	-0.017489255752913	-0.02527166460582	-2.6854411086982e-10
5	-0.023555012990364	-0.035466339512456	-2.5293187184986e-10
5.2	0.29748223132402	0.59415732701064	2.1443541969976e-08
5.48	0.022250805396028	0.044284256824543	5.0251906224405e-10
5.872	-0.013815685792124	-0.029852320541507	-1.0330325321864e-10
6	-0.015007626686593	-0.033455494126704	-9.0418991423724e-11
6.2	0.16543728630371	0.45321984443255	3.0685928182221e-09
6.48	0.010448003281285	0.028472886438312	8.1733040013284e-11
6.872	-0.0088056568773965	-0.025396722520394	-3.6920758705558e-11
7	-0.0094140638207859	-0.027737779097546	-3.538040046321e-11
7.2	0.10853475835603	0.37251863456236	1.0677818409228e-09
7.48	0.0062324591921837	0.021132448146687	2.9467462592968e-11
7.872	-0.0063626011926492	-0.022311985071672	-1.8071341979337e-11
8	-0.0068013205423438	-0.02416897639729	-1.7563404398649e-11
8.2	0.081508226160135	0.32544597688356	1.917711805267e-10
8.48	0.0043619992724177	0.017078819058802	9.1681457395161e-12
8.872	-0.0051623821885399	-0.020534893130383	-9.144782677037e-12
9	-0.0055294616416537	-0.02215674362209	-9.2798673399663e-12
9.2	0.067802306895302	0.29813837993869	1.1010868706557e-09
9.48	0.0034454560947541	0.014769006387121	1.951955247735e-11
9.872	-0.0045450060431073	-0.019549925378779	-8.9977290891655e-12
10	-0.0048767043066146	-0.021046781117039	-7.6654243915453e-12
10.2	0.06050154528707	0.28230518137684	1.7982818255466e-09
10.48	0.0029665058180244	0.013438437925507	2.9395940595595e-11
10.872	-0.004207931747945	-0.018975707319998	-1.1144428703464e-11
11	-0.0045195352410346	-0.020397031928894	-8.3111167212194e-12
11.2	0.056506527159603	0.27320719460044	2.4169322784377e-09
11.48	0.0027187190159907	0.0127275703161	4.0070003728885e-11
11.872	-0.0040067616810311	-0.01857856822706	-1.4911861390145e-11
12	-0.004306842954932	-0.01995422849652	-1.0457964003961e-11
12.2	0.054316120303849	0.26811051583338	2.8330322516615e-09
12.48	0.0026004527885859	0.012407584835603	4.8587139308001e-11
12.872	-0.0038785059748252	-0.018272668047107	-1.8436165566313e-11
13	-0.0041729107266507	-0.019625418116306	-1.269249735129e-11
13.2	0.053129800371091	0.26534130326797	2.9044628014726e-09
13.48	0.0025488154438613	0.012291865602927	5.1334434812114e-11
13.872	-0.0037975600545555	-0.018050993211712	-1.9785368045559e-11
14	-0.0040897704539291	-0.019395393756537	-1.3572521972767e-11
14.2	0.052491202457608	0.26385705819476	2.7783957877035e-09
14.48	0.0025264068146256	0.012256091858018	5.0099873258947e-11
14.872	-0.0037496032994271	-0.017911021071106	-1.9451256041398e-11
15	-0.0040411896964409	-0.019253842585459	-1.3332941989487e-11
15.2	0.05214323471231	0.26305326665197	2.7896727789022e-09
15.48	0.0025160260396035	0.012246117272104	5.0860840014671e-11
15.872	-0.003723019287868	-0.017833758155592	-1.9774026101218e-11
16	-0.0040146265789812	-0.019177838292888	-1.3532226621659e-11
16.2	0.051884897837196	0.26238010457317	8.8648249412295e-11
16.48	0.0024857173433504	0.012126762651757	1.7747682352233e-12
16.872	-0.003714219884259	-0.017827960260037	-9.250664596997e-13
17	-0.0040033141527363	-0.019161105611515	-7.4103058680659e-13
17.2	0.05176688131088	0.26214182805995	2.1638992995733e-09
17.48	0.0024927662602472	0.012176298558313	3.9675637036236e-11
17.872	-0.0037036774324483	-0.017797428469351	-1.5549401466488e-11
18	-0.0039944735581638	-0.01913982327522	-1.0627865923338e-11
18.2	0.051660891168496	0.26187125021416	1.8389773170024e-09
18.48	0.0024808368009785	0.012130407218604	3.3700361675176e-11
18.872	-0.0037025399538793	-0.017809445075817	-1.328397104964e-11
19	-0.0039927183320021	-0.019149948742163	-9.0747941322442e-12
19.2	0.051563997721674	0.26161734016765	1.6315745394383e-09
19.48	0.0024689054993204	0.01208316712098	2.9844998297495e-11
19.872	-0.0037027772708851	-0.017826670517264	-1.1821676287733e-11
20	-0.0039923688756652	-0.019165439227354	-8.0689939305318e-12
