# Time [h]	FOS [g/L]	COD [g/L]	pH [1]
9.872	0.041440079813609	0.93850637221595	0.93757575249558
10	0.041853555684742	0.9297912383076	0.93753609761301
10.2	0.042601580079513	0.91815587329689	0.93748398503221
10.48	0.043821190685708	0.90169881035561	0.9374279581396
10.872	0.04571071769945	0.88156689450001	0.93737480634852
11	0.046320444526659	0.87556364247286	0.93736188567098
11.2	0.047256521653486	0.86751391059889	0.93734549543667
11.48	0.048522708192742	0.85552437716355	0.93732857937792
11.872	0.050075067158239	0.83981408165353	0.937313047309
12	0.050510826240521	0.83487329253105	0.93730931254008
12.2	0.051108967811783	0.82804834470069	0.93730456077714
12.48	0.05181379723676	0.81727283048332	0.93729958689739
12.872	0.052509947621475	0.80239244060388	0.93729487022737
13	0.052672051580286	0.79758343976944	0.93729371032736
13.2	0.052851438858965	0.79082709799958	0.9372922139026
13.48	0.053010252737321	0.78005211859567	0.93729063351741
13.872	0.053041528205434	0.76502770807742	0.93728916429919
14	0.053012985063184	0.76015721145552	0.93728882294381
14.2	0.052919340456764	0.75329136628532	0.93728841362316
14.48	0.052747537921943	0.74238236378343	0.937288056804
14.872	0.05240583322094	0.72720267712914	0.93728789347709
15	0.052274504417608	0.7222910819867	0.93728790737023
15.2	0.052051659922593	0.71549090901568	0.93728799099957
15.48	0.051708653183408	0.70452831676283	0.9372882260186
15.872	0.051179412629462	0.68931364382689	0.93728875109609
16	0.050997249344757	0.68439943157111	0.9372889626974
16.2	0.050689639799665	0.67748370322915	0.93728933649491
16.48	0.050266783339277	0.66654595299779	0.93728993934424
16.872	0.049651119294716	0.65139311395506	0.93729091338792
17	0.049445598114527	0.64650446017888	0.93729125840105
17.2	0.049106903452572	0.63964352689462	0.93729182989798
17.48	0.048646266024106	0.62877952309914	0.93729269088181
17.872	0.047989387806907	0.61374674987489	0.93729399803081
18	0.047772626161534	0.60890097597317	0.93729444583125
18.2	0.047418915689765	0.6021156295076	0.93729517366676
18.48	0.046939595962225	0.59135853299629	0.93729624616611
18.872	0.046261518683183	0.5764883925717	0.93729783902085
19	0.0460387427677	0.57169871283338	0.937298377697
19.2	0.045677118802366	0.56500956992313	0.93729924648021
19.48	0.045186863623528	0.55438646370481	0.93730051488561
19.872	0.044495222946232	0.53971589692671	0.9373023815805
20	0.044268317095382	0.53499429708723	0.93730300928145
20.2	0.043912570188708	0.52850450760332	0.93730401417229
20.48	0.043412244622514	0.51803994854547	0.93730547383311
20.872	0.042707382457114	0.50360360907502	0.93730761815236
21	0.042476345458915	0.49896181705739	0.93730833793808
21.2	0.042103217651246	0.49251894517933	0.93730949324506
21.48	0.041595749015085	0.48224316514872	0.937311170112
21.872	0.040880450300346	0.46808607092315	0.93731362476932
22	0.04064587246821	0.46353897711739	0.93731444700318
22.2	0.040268319322027	0.45725787750031	0.93731576473992
22.48	0.039752552603205	0.44720246745729	0.93731767442059
22.872	0.0390253801591	0.43336995624371	0.93732046705151
23	0.038786907050464	0.4289329994255	0.93732140166701
23.2	0.038403977724915	0.42283514887281	0.93732289834462
23.48	0.037879619885305	0.41303594771542	0.93732506532986
23.872	0.037140611252742	0.39958068909254	0.9373282317749
24	0.037510740794098	0.39538310798995	0.93733014903917
24.2	0.050956276757791	0.40143273832041	0.93732816924126
24.48	0.06576581207641	0.40721958084796	0.93732057989258
24.872	0.082215984168737	0.41272916181864	0.93730790556517
25	0.086975793569068	0.41418082157938	0.93730379623393
25.2	0.079455375083799	0.4053892971526	0.93730013824015
25.48	0.071370205984213	0.39213704422829	0.9372998284678
25.872	0.063596253053611	0.37602753161632	0.93730316204207
26	0.061682937202143	0.3713680875423	0.93730452013618
26.2	0.059234682520949	0.36568623055567	0.93730670850141
26.48	0.056687553863874	0.3568508236594	0.93730961807215
26.872	0.054356343313544	0.3460491986633	0.93731304461354
27	0.053804492460761	0.34285105693621	0.93731399399442
27.2	0.053113684549342	0.33915501769929	0.93731531856606
27.48	0.052416521875885	0.33262706576629	0.9373168911018
27.872	0.051802069772874	0.32421448766414	0.93731866914542
28	0.051659345605669	0.32163676821942	0.93731917845332
28.2	0.051457390839721	0.31864741514683	0.93731992986823
28.48	0.051276285300733	0.31306980290656	0.93732091854465
28.872	0.051095210137976	0.30565081842659	0.93732224671846
