# Time [h]	All Liquid [L/h]	MS [g/L]	Butyric [g/L]	AA [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
5	-0.36357034547201	0.0095395971877621	0.0032112289741228	0.0066853332143373	0.0096001667275749	0.0011342149956962	0.45097179306446	0.47550669960183
5.2	-0.31352374022135	0.0089837006089225	0.0030066883090052	0.0062258992931749	0.0089201703209286	0.0010571517586556	0.44584018197156	0.40000815975033
5.48	-0.24989093966146	0.0082980839800217	0.0027542078945405	0.0056580173581506	0.0080998122426821	0.00096145156052492	0.43782423738179	0.30448603339932
5.872	-0.17726662197266	0.0075013125096226	0.0024588960546475	0.0049914439774803	0.0071645530608273	0.0008484962240963	0.42537803590138	0.1974005675098
6	-0.15771438306641	0.0072712161958728	0.00237433705459	0.0047988202877609	0.0069000773707239	0.00081599872402703	0.4210813425209	0.16889991862926
6.2	-0.086054439804687	0.0069562345425675	0.0022553216387606	0.0045281846931438	0.0065318979161813	0.00076980125250558	0.41455829592635	0.13271692197633
6.48	-0.1059233430778	0.0065844267463294	0.002111508862268	0.0041996655960081	0.0060919143261351	0.00071313633767861	0.40477817692547	0.097319461134517
6.872	-0.084678390009766	0.0061890047376936	0.0019523477378131	0.0038287325904622	0.0056115990332763	0.0006486220674168	0.39096328969427	0.070258749033686
7	-0.080291900611979	0.0060800970103812	0.0019086099925467	0.0037239486834175	0.0054807908375734	0.00063052182351103	0.38645888466253	0.06483877564371
7.2	-0.055589348447266	0.0059545000800236	0.0018503950582991	0.0035842846635952	0.0053071740667457	0.00060555739777839	0.37964562120728	0.058951521138964
7.48	-0.071089951339518	0.0058436281545684	0.0017885623602275	0.0034290706832554	0.0051229745026404	0.00057703006104906	0.3701638740235	0.054092700743591
7.872	-0.068500165340169	0.0058167333335245	0.0017389756054037	0.0032857654086801	0.0049753136651023	0.00054896148165651	0.35758848191281	0.05094781334369
8	-0.068099003862305	0.0058257205915823	0.0017296225457482	0.0032513860113211	0.0049476309467338	0.00054204691049985	0.35366148810263	0.050408147992623
8.2	-0.052913624280599	0.0058981589176559	0.001724827760128	0.003221541133797	0.0049319602975945	0.00053407279614032	0.34787056008928	0.049962421974251
8.48	-0.068933848421224	0.0060817436941927	0.0017386847633896	0.0032192261330098	0.0049679015100873	0.00052874046419229	0.34018449584758	0.049968650070496
8.872	-0.071717767260742	0.0064989760872406	0.0017957269542446	0.0032858535653664	0.0051260797989049	0.00053166577752891	0.33056574509692	0.050965567678504
9	-0.072832350442708	0.0066517073255287	0.0018202203842426	0.0033165531300416	0.0051953045760521	0.00053427495632449	0.32767690502802	0.051449217762498
9.2	-0.059523498971354	0.0069649589188247	0.0018671313828522	0.003386816892689	0.005327023292034	0.00054043020057383	0.32352230163721	0.052402692627797
9.48	-0.079128390919596	0.0074949537957127	0.0019511865878826	0.0035173753841042	0.0055618194838017	0.00055332250335225	0.3181414861267	0.054114139173614
9.872	-0.085845111616211	0.0083569874093144	0.002096008781744	0.003736935297832	0.0059695692527344	0.00057745117139116	0.31153436393669	0.057145851386063
10	-0.088064808149414	0.0086317992889707	0.0021455783350382	0.0038069044915583	0.0061113424480698	0.00058581916365133	0.30955602247582	0.058221620547405
10.2	-0.091807426922201	0.0090979283236151	0.0022257070009559	0.0039209778548747	0.006341741312607	0.00059932091899296	0.30663189852051	0.060005968238835
10.48	-0.097140286658529	0.0097461702348173	0.0023418075674069	0.0040735302348747	0.0066791975493599	0.00061860692467062	0.30281833966598	0.062672017424318
10.872	-0.10405483127604	0.010538150098267	0.002500839273627	0.0042421194160166	0.0071557978699277	0.00064398655588011	0.29787575357263	0.066582382027905
11	-0.10603135173665	0.010748572036463	0.002548738411315	0.0042815153568051	0.0073044854319263	0.000651231216591	0.29632730816661	0.067849681665833
11.2	-0.085896230913086	0.011036784358218	0.0026183789254225	0.004326429111166	0.0075266472094786	0.00066122737727694	0.29403254061955	0.069810826745235
11.48	-0.11225997979004	0.011347337038087	0.0027053705151115	0.0043562258850763	0.007817722106879	0.00067258213120962	0.29079369677498	0.072507088039263
11.872	-0.11575272141927	0.011588682279292	0.0027997973489697	0.0043314528920672	0.0081670751767192	0.00068184568690774	0.28634949636165	0.076065960107277
12	-0.1166184293278	0.011628074967296	0.0028233537552555	0.0043101861459059	0.0082642397823647	0.00068315737769861	0.28491127174514	0.077151607093343
12.2	-0.092517466982422	0.011652020857388	0.0028521664022586	0.0042635360073559	0.0083966688532167	0.00068332581915045	0.28274712634949	0.078758091822257
12.48	-0.11881753266276	0.011634442269024	0.0028794406979823	0.0041802879125832	0.0085500851210527	0.0006805184966278	0.27962415860831	0.080856736761839
12.872	-0.11969810042806	0.011526921405676	0.0028919991355818	0.0040360375025578	0.0086969801493408	0.00067067000050166	0.27526335703594	0.083440637980626
13	-0.11985872795085	0.011478986610465	0.0028907683544219	0.0039851742858991	0.0087295100175394	0.00066626222024505	0.27384115907453	0.084194099983305
13.2	-0.093437732695312	0.011390000265667	0.0028830624317809	0.0039015036580811	0.0087629522253091	0.00065808358804825	0.27169498370103	0.085266173218064
13.48	-0.11999097847493	0.011258563744627	0.0028652413090367	0.0037838107544372	0.0087867442026622	0.0006451463022788	0.26858667322521	0.086617878265811
13.872	-0.11973512335286	0.01105745319671	0.0028273260070819	0.0036189962534491	0.0087737984203964	0.00062443385472544	0.26423888485551	0.088178749272456
14	-0.11959695437174	0.010990123371217	0.0028126359206973	0.0035663340312717	0.0087601036339672	0.0006172762368536	0.26282072160058	0.088610947307054
14.2	-0.092444130037435	0.010880082272998	0.0027867452017961	0.0034842193214655	0.0087270196156079	0.00060556957476099	0.26067976739167	0.089190691031231
14.48	-0.11885402812988	0.010733251229709	0.0027489796772657	0.003375326444342	0.0086701156593697	0.0005891593239686	0.25758280416915	0.089889904745488
14.872	-0.118086340389	0.010528764970626	0.0026923635415092	0.0032317175858518	0.0085665916088486	0.0005660812248502	0.25325598451499	0.090605828514439
15	-0.11780615872396	0.01046295374291	0.0026733946647372	0.0031872098922261	0.0085282610920387	0.00055864297294249	0.25184606721873	0.090780210211704
15.2	-0.11734184727214	0.01036129196105	0.0026434522069474	0.0031200813527789	0.0084644556004203	0.00054716255300847	0.24964618493605	0.090996350846627
15.48	-0.11664341719564	0.010221723272281	0.0026013134798927	0.0030310848878306	0.0083685382383174	0.0005314841193766	0.24657328143763	0.091190398288595
15.872	-0.11558355806641	0.010032168930743	0.0025427684000876	0.0029160825722271	0.0082248075430757	0.00051052163641401	0.24228623242465	0.091267639265689
16	-0.11521992567057	0.009971708445874	0.0025239334372501	0.0028807802880608	0.0081763331843558	0.00050395877446687	0.24089052767378	0.091249706004852
16.2	-0.087189847420247	0.009875045042075	0.002493876544902	0.0028267143805559	0.0080961477194808	0.00049379767498139	0.23878339700155	0.091153842622291
16.48	-0.11376235622396	0.0097496537849566	0.002454080041569	0.0027571692912726	0.0079869487418236	0.00048048208392758	0.23574448636055	0.090981280869795
16.872	-0.11253161813802	0.0095779955716896	0.0024003172417038	0.0026674627121848	0.0078327947478955	0.00046308918340026	0.23150817996781	0.090602008006562
17	-0.11211721803385	0.0095229524750154	0.0023832555592799	0.0026398829369145	0.0077824734099368	0.00045771074747422	0.23012988814507	0.090448052529157
17.2	-0.085655998271484	0.0094348409477891	0.0023562386481995	0.0025975152715167	0.0077011130980705	0.0004494346281166	0.22804467275343	0.090153149498162
17.48	-0.11049429554525	0.0093200213285709	0.0023207079176221	0.002542971560683	0.0075921240611613	0.00043867913340687	0.22504655789991	0.089724481415933
17.872	-0.10915090803385	0.0091620739355887	0.0022730067314669	0.0024721616046249	0.0074418241788962	0.00042472790440461	0.22086981866569	0.08903037305083
18	-0.10870375610189	0.0091112021961419	0.0022578965526247	0.0024502527092379	0.0073934010819738	0.00042042409582524	0.2195114806735	0.088783367760899
18.2	-0.082768346586914	0.0090295483855706	0.0022339486165301	0.0024163550457906	0.0073157525797272	0.00041379222443097	0.21745378116104	0.08835272159139
18.48	-0.10697561606283	0.0089227842602993	0.0022024860033259	0.002372571207981	0.007212542486455	0.00040519252737011	0.21450088993708	0.08775136822104
18.872	-0.10556196677083	0.0087750362276993	0.0021601373099222	0.0023150933421747	0.0070714872333337	0.00039400980074402	0.21038874057332	0.086847419601303
19	-0.10509450509766	0.008727220065633	0.002146677518972	0.002297145405099	0.0070262440769286	0.0003905472214728	0.20905173288651	0.086538881768609
19.2	-0.079804475732422	0.0086503120450174	0.0021252703359763	0.002269142010815	0.0069538894230359	0.00038518333739676	0.20702315352665	0.086019702776307
19.48	-0.10330241682292	0.0085492890942146	0.0020970607353477	0.0022327600541698	0.0068578987430876	0.00037820981706269	0.20411767079632	0.085305638069694
19.872	-0.10184593785482	0.0084087028233405	0.0020588396296302	0.0021843610282092	0.0067269017406312	0.00036906414455184	0.20007232357942	0.084266129273341
