# Time [h]	MS [g/L]	Lignin [g/L]	Butyric [g/L]	Initial_Substrate [g/L]	Carbohydrates [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	Valeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	Hydrogen [g/L]	Lipids [g/L]	MO_AcidoAA [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
5.48	0.0066747725022805	116.34825445773	0.0022318305137698	0	0.34390456919861	2.2634159885514	1.4153911256123	3.5093392393275	0.10802055907042	0.0045606857552467	1.9868782849247	0.0065591067244493	0.27008971054779	1.1629355883691	1.9938144850139	0.00078043741137184	0.41044293578174	7.1803467863314	0.06088538685799	8.9892113680285e-08	0.085944986132985	1.0842682252167	0.31568737411314	0.055822337215383	0.055822336933921
5.872	0.0059266598924125	116.35236244306	0.0019591708241023	0	0.30257852226207	2.2457411612778	1.4198747559272	3.5185161406298	0.092939074964325	0.0039531733341491	1.9937913757165	0.0057029088628437	0.24836254090739	1.1633506567588	1.9941345160199	0.00067734500766254	0.40147308245953	7.1824473871978	0.055098745623452	8.3030698934203e-08	0.073459129587019	1.0852428254182	0.20335921259481	0.042228695324337	0.042228695113283
6	0.0057080848677212	116.35369752675	0.0018799809621234	0	0.29043202374745	2.2399995845035	1.4213338837299	3.5213428387068	0.088510860307879	0.0037760683511829	1.9957919708131	0.0054572883288824	0.24077466825498	1.1634640464249	1.9942110354175	0.00064735924931413	0.39822006176	7.1830174831399	0.053025515528401	8.1023442396146e-08	0.069793941239665	1.0855205275668	0.17205081266677	0.038499334828779	0.038499334636825
6.2	0.0053966152605334	116.35577607957	0.0017656335721198	0	0.272704115654	2.2310577669969	1.4236028162396	3.5255949813204	0.082052489289108	0.0035216675452574	1.998565072155	0.0051067677349979	0.23882755289136	1.1636203194308	1.9943043358571	0.00060385515564892	0.3927784444068	7.1837999661093	0.050002093467652	7.8163259043028e-08	0.064449339234762	1.0859165075921	0.13097031094975	0.033314312566337	0.033314312400787
6.48	0.0050123308418884	116.35867081283	0.0016245711970954	0	0.25023767450441	2.2185992055455	1.4267491376294	3.5312304282687	0.0738771532282	0.0032065595857723	2.0017174230149	0.0046801868238367	0.21396025642373	1.1638000797108	1.9943857407902	0.0005498701601292	0.3847972343915	7.1846923584526	0.043875443044005	7.4622482480271e-08	0.057685727159769	1.0863998513895	0.089930485295616	0.02720272994535	0.027202729810698
6.872	0.0045637287240976	116.36269393823	0.0014584919953962	0	0.22287098417546	2.2012741413737	1.4310714264559	3.5385435823875	0.063936414966703	0.0028338329678781	2.0049363692225	0.0041861087504067	0.18020563184984	1.1639841936984	1.9944142352392	0.00048574699958276	0.37290638016501	7.1855880899348	0.035752898707884	7.0446042573495e-08	0.04946511269372	1.0869531609031	0.058933901984098	0.020477255455712	0.020477255354784
7	0.0044341849075254	116.36400094025	0.0014107807137971	0	0.21482164719497	2.1956462131794	1.4324607358834	3.5408032879738	0.061016951697195	0.00272585088217	2.0057921678105	0.0040452849101031	0.17032106489515	1.1640297946589	1.9944050741693	0.00046722660565739	0.3688850121072	7.1858038829271	0.03354203461187	6.9230320936019e-08	0.047051707241434	1.0871071396577	0.052888929421539	0.018638448272677	0.018638448180919
7.2	0.0042566621335903	116.36603597577	0.0013430680931398	0	0.2030675957619	2.186881387072	1.4346006360543	3.544204333426	0.056758318821056	0.0025731353884223	2.0069706043714	0.0038466699388871	0.15915596885396	1.1640872174456	1.994373283492	0.00044067072269432	0.3624817324349	7.1860689408026	0.03115627267776	6.7520698284317e-08	0.043532168543365	1.087322647912	0.046563161785833	0.016081348429959	0.016081348350918
7.48	0.0040482328981298	116.36887051905	0.0012619977497573	0	0.18815978743578	2.1746694221463	1.4375234997587	3.5487086703702	0.051366091890784	0.0023879807418853	2.0083974029447	0.0036107697325742	0.1392826303903	1.1641416513573	1.9942959652371	0.00040831650079448	0.35345553745027	7.1863048785814	0.027792328940807	6.5450456571982e-08	0.03907758996031	1.0875773658923	0.041558705065361	0.013057756501859	0.013057756437802
7.872	0.0038310047676763	116.37281070105	0.0011725819998577	0	0.1699775057025	2.1576872637317	1.4414422084441	3.5545270510787	0.044806720355318	0.002178940944611	2.0101153313196	0.0033535114641669	0.11894797104685	1.1641725349217	1.994130482201	0.00037139490118984	0.34081611087189	7.186399298282	0.024639848058529	6.3140580167302e-08	0.033662288594397	1.0878521882976	0.038151246133537	0.0097143212072966	0.0097143211597418
