# Time [h]	Carbondioxide [vol%]	Methane [vol%]	Hydrogen [vol%]
0.2	18.329331364268	81.65275860087	0.017910034861525
0.48	31.168614093546	68.809637349072	0.021748557381508
0.872	33.713092533038	66.263862571145	0.023044895816493
1	33.649589097189	66.327145933214	0.023264969596291
1.2	33.297448778437	66.681475259154	0.021075962409217
1.48	32.930546844323	67.047873435471	0.021579720206007
1.872	32.188273389964	67.790763288613	0.020963321423279
2	31.971861185314	68.007404982855	0.020733831830972
2.2	31.490928993461	68.48979122492	0.019279781619373
2.48	31.23699464374	68.743830208876	0.019175147383578
2.872	30.812439813569	69.16904818613	0.0185120003014
3	30.685140780704	69.296560721592	0.018298497704121
3.2	30.422386260402	69.560417067293	0.017196672305492
3.48	30.302525343678	69.680453450038	0.017021206283347
3.872	30.080158897898	69.903358519725	0.016482582377169
4	30.00929254446	69.974396876941	0.016310578598413
4.2	29.856646041827	70.127913302631	0.015440655542016
4.48	29.809897389666	70.174815027205	0.015287583129076
4.872	29.681749964314	70.303371863294	0.014878172392272
5	29.63660372309	70.348648602482	0.014747674428301
5.2	29.490234665656	70.49569134506	0.014073989284585
5.48	29.468414115227	70.517615789465	0.013970095308063
5.872	29.352968983928	70.633325864093	0.013705151979038
6	29.307777749176	70.678599735552	0.013622515271792
6.2	29.038388816982	70.948454924524	0.013156258493513
6.48	29.002527472827	70.984343431659	0.013129095514492
6.872	28.845829169413	71.14115385155	0.013016979036922
7	28.787672239994	71.199346788309	0.012980971697132
7.2	28.397902592662	71.589388997759	0.012708409578739
7.48	28.355397687127	71.631887647932	0.012714664940676
7.872	28.205743705152	71.781598379345	0.01265791550272
8	28.154233952323	71.833128111377	0.012637936299736
8.2	27.813121821922	72.174415483105	0.012462694972683
8.48	27.778320458942	72.209212515741	0.012467025317942
8.872	27.662751049412	72.324821608445	0.012427342142649
9	27.623910406405	72.363676101415	0.012413492180602
9.2	27.356032458792	72.631679010668	0.012288530540898
9.48	27.333880426944	72.653825980723	0.012293592332337
9.872	27.253412621072	72.734318990505	0.012268388422445
10	27.22648129424	72.761259115248	0.012259590511255
10.2	27.012040335173	72.975794812053	0.012164852774903
10.48	27.00501475161	72.982811144602	0.012174103788465
10.872	26.953015779365	73.034824595605	0.012159625029996
11	26.935107496137	73.052738428381	0.012154075482198
11.2	26.753823642741	73.234100984646	0.012075372612406
11.48	26.757107736205	73.230806606896	0.012085656898683
11.872	26.720760630474	73.267166014436	0.012073355089483
12	26.707611758211	73.280319850822	0.012068390966984
12.2	26.544266919558	73.443737192086	0.011995888355773
12.48	26.551910612403	73.436084863055	0.012004524542267
12.872	26.522552812537	73.465455704825	0.011991482638191
13	26.511544281071	73.476469297844	0.011986421084799
13.2	26.357609596643	73.630474131939	0.011916271418371
13.48	26.36709188203	73.620984243941	0.011923874028346
13.872	26.341272313773	73.646816955627	0.01191073059977
14	26.331371145353	73.656723119729	0.011905734918132
14.2	26.182914611848	73.805248490631	0.0118368975204
14.48	26.193453426315	73.794702390341	0.011844183343879
14.872	26.169868641513	73.81829992226	0.011831436226189
15	26.160685042212	73.827488348776	0.011826609012403
15.2	26.016099342849	73.972141658904	0.01175899824676
15.48	26.027369673259	73.960864167342	0.011766159398738
15.872	26.005440877322	73.982805242214	0.011753880464363
16	25.996803401592	73.991447371888	0.011749226520194
16.2	25.855457609012	74.132860115966	0.011682275022153
16.48	25.867284146117	74.121026415685	0.011689438197493
16.872	25.846726195698	74.141596182328	0.011677621974338
17	25.838550953935	74.149775920553	0.011673125511688
17.2	25.700167352518	74.288225657722	0.011606989760534
17.48	25.712438487433	74.2759474466	0.011614065966846
17.872	25.693090113677	74.295307282613	0.01160260370974
18	25.68532847435	74.303073293219	0.011598232431017
18.2	25.549727759404	74.438739423603	0.01153281699348
18.48	25.562386288767	74.426073945385	0.011539765847977
18.872	25.544157330608	74.444314084825	0.011528584566935
19	25.536781184375	74.451694500109	0.011524315516123
19.2	25.403808101911	74.584732365878	0.011459532210976
19.48	25.416835226877	74.571698443861	0.011466329262734
19.872	25.399679525878	74.588865093028	0.011455381093684
20	25.39267371771	74.595875082806	0.011451199484217
20.2	25.262178318344	74.726434557972	0.011387123684049
20.48	25.275578665023	74.713027607438	0.011393727539008
20.872	25.259476280651	74.729140746564	0.011382972785044
21	25.252833411541	74.735787719442	0.011378869016566
21.2	25.124673640779	74.864011271522	0.011315087699456
21.48	25.138482353526	74.85019606908	0.011321577394251
21.872	25.123447275495	74.865241675649	0.011311048856829
22	25.117170929866	74.871522041378	0.011307028755287
22.2	24.991218210746	74.997538146121	0.011243643132504
22.48	25.005477776598	74.983272216414	0.011250006987936
22.872	24.991536469646	74.997223820373	0.011239709980924
23	24.985633870123	75.003130351696	0.011235778180325
23.2	24.861766245213	75.12706103648	0.011172718307313
23.48	24.876531915613	75.112289090832	0.011178993554356
23.872	24.8637258075	75.125105222744	0.011168969756252
24	24.857919532746	75.130914542479	0.011165924774639
24.2	24.736755728653	75.252134409685	0.011109861661687
24.48	24.749866283727	75.239014803413	0.011118912860301
24.872	24.733372467228	75.255520575447	0.011106957325096
25	24.726924944968	75.261972631275	0.011102423757373
25.2	24.598551300207	75.390427362925	0.011021336868175
25.48	24.612471404943	75.376504299247	0.011024295809541
25.872	24.595202739197	75.393785843743	0.011011417059704
26	24.587387801047	75.401605161456	0.011007037496357
26.2	24.446975782817	75.542090592509	0.010933624674372
26.48	24.461782323992	75.527273841545	0.010943834463053
26.872	24.443787852061	75.545276357504	0.010935790434766
27	24.436157327372	75.552910221508	0.010932451120168
