# Time [h]	Lignin [g/L]	Initial_Substrate [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
3.872	6.9798629290186	0	0.05493959171698	0.15928732866453	0.39449657649764	0.025269530083902	0.0010727677781331	0.22234411646133	0.13220323420958	0.22692649334783	0.8166768695669	0.12283414673878	0.17098406106595	9.3068976451502
4	6.9799464164132	0	0.054799131882549	0.15944670805436	0.39503581585988	0.024003522725641	0.0010164036877122	0.22270286126226	0.13224675921947	0.22697255021134	0.81689535086626	0.1229198591638	0.15658384292565	9.2925692222722
4.2	6.9800763676789	0	0.054580383188363	0.15969837610767	0.39583863348399	0.022157456708265	0.0009351410850865	0.22325764414374	0.132308798075	0.22703757008092	0.81720838736256	0.12304373663923	0.13644799663789	9.2725904911916
4.48	6.9802573149305	0	0.054275603663332	0.16005524088336	0.39688838594393	0.019821318454175	0.00083466497013523	0.22401963357758	0.13238474495087	0.22711563260589	0.81759361154578	0.12319842365966	0.11247847259681	9.248923047782
4.872	6.9805087447583	0	0.053851775123768	0.16056143788993	0.3982296290419	0.01698205318129	0.00071433874087222	0.22504650359372	0.13247261351703	0.22720250559443	0.81804073007833	0.12338250405157	0.085733633675525	9.2227264692467
5	6.9805905489968	0	0.053714095819172	0.16072791944054	0.39863978171879	0.016148514265637	0.00067919005993366	0.22537056731371	0.13249739549993	0.22722602706918	0.81816674380561	0.12343558577544	0.078362453459033	9.2155588232238
5.2	6.9807179048748	0	0.053499677125463	0.16098875661001	0.39925431989078	0.014932970252222	0.00062863499233149	0.22586048839776	0.1325324392824	0.22725824805696	0.81834499540203	0.12351196051295	0.068062361141527	9.2055927565392
5.48	6.9808952674638	0	0.05320092983705	0.16135458831981	0.40006467328333	0.013394549324732	0.00056552503365058	0.22650412448141	0.13257465707407	0.22729485129159	0.81855953364178	0.12360657767471	0.055822337215383	9.1938376146413
5.872	6.9811417465837	0	0.052785488199093	0.16186572217571	0.4011108400318	0.011524445295576	0.00049019349343449	0.22729221683168	0.1326219748705	0.22733133482626	0.81879900214055	0.12371768209768	0.042228695324337	9.1809093418704
6	6.9812218516052	0	0.05265053411877	0.16203206274521	0.40143308361257	0.010975346678177	0.00046823247554668	0.22752028467269	0.13263490129244	0.2273400580376	0.81886399307794	0.12374934014262	0.038499334828779	9.1773890232875
6.2	6.9813465647743	0	0.05244035931741	0.16229072105131	0.40191782787052	0.010174508671849	0.00043668677561192	0.22783641822567	0.13265271641511	0.2273506942877	0.81895319613646	0.12379448186549	0.033314312566337	9.1725084879578
6.48	6.9815202487695	0	0.052147524479715	0.16264940168975	0.40256026882263	0.0091607670002967	0.00039761338863576	0.2281957862237	0.13267320908703	0.22735997445008	0.8190549288636	0.1238495830584	0.02720272994535	9.1667720357787
6.872	6.981761636294	0	0.051740303921016	0.16314214261597	0.40339396839217	0.0079281154558712	0.00035139528801689	0.22856274609136	0.13269419808162	0.22736322281727	0.81915704225257	0.12391266034296	0.020477255455712	9.1604846870086
7	6.9818400564147	0	0.051608021117277	0.1633005238907	0.40365157482901	0.0075661020104522	0.00033800550938907	0.22866030713039	0.13269939659111	0.2273621784553	0.81918164265369	0.12393021392098	0.018638448272677	9.1587764707957
7.2	6.9819621585461	0	0.051402006446916	0.16354447251019	0.40403929401056	0.0070380315338109	0.00031906878816437	0.22879464889834	0.1327059427888	0.22735855431809	0.8192118592515	0.12395478186197	0.016081348429959	9.1564121673844
7.48	6.9821322311431	0	0.051114967788326	0.16387767897249	0.4045527884222	0.0063693953944572	0.00029610961199378	0.2289573039357	0.13271214825473	0.22734974003703	0.81923875615828	0.12398381971172	0.013057756501859	9.1536426959319
7.872	6.9823686420633	0	0.050715807129009	0.16432441176263	0.40521608382297	0.0055560333240595	0.00027018867713176	0.22915314777043	0.13271566898107	0.22733087497091	0.81924952000414	0.12401514946592	0.0097143212072966	9.1506298491789
8	6.982445435421	0	0.050586142975238	0.16446534628044	0.40542009463756	0.0053170767246744	0.00026291209378321	0.22921163292017	0.13271571117626	0.22732331102437	0.81924721350308	0.12402336672583	0.0087991599577156	9.1498174034401
8.2	6.9825650099101	0	0.050384206457938	0.16467915879705	0.40572531311471	0.00496842329308	0.00025324108729225	0.22929784305191	0.1327146903955	0.22731013078042	0.81923803989115	0.12403428945272	0.0075286730706508	9.1486990193025
8.48	6.9827315690715	0	0.050102849684704	0.16496410629472	0.40612509113199	0.004526789357032	0.00024266285234186	0.22940879590872	0.13271121138902	0.22728912038709	0.81921481057629	0.12404599831881	0.0060363862346102	9.1473993912069
8.872	6.9829631066687	0	0.049711589972569	0.16533122053086	0.40663083563423	0.0039892330999662	0.00023313122652332	0.22954604117592	0.13270272625316	0.22725522157293	0.81916408219813	0.12405614456075	0.0044152386151485	9.1459985715089
9	6.9830383109732	0	0.049584492706856	0.16544356325486	0.40678383999289	0.0038312236654097	0.00023088780667552	0.22958693929373	0.13269919580636	0.22724320374897	0.8191436106471	0.12405812090586	0.0039790388800494	9.145622427682
9.2	6.9831554138796	0	0.049386553752669	0.16560996768628	0.40700932638864	0.0036005931279423	0.00022902248403456	0.22964639828236	0.13269289019895	0.2272234618041	0.81910773059436	0.12405990145513	0.0033837280639993	9.145104987718
9.48	6.9833185370415	0	0.049110766672201	0.16582372996841	0.40729783951258	0.0033082878528231	0.00022897800562103	0.22972076882056	0.13268258517649	0.22719403187563	0.81905037500236	0.12405997964577	0.0027054472350791	9.144501326809
9.872	6.9835453167073	0	0.048727252145657	0.16608518569027	0.40765083174799	0.0029521715457365	0.00023263002117131	0.22980833557186	0.13266561075893	0.22714976048701	0.81895768775268	0.12405593793643	0.0020075286753493	9.1438382490403
10	6.9836189767113	0	0.048602671089067	0.16616243172552	0.40775537724039	0.0028474149145851	0.00023409879338906	0.22983355317825	0.13265956978664	0.22713469185384	0.81892484996791	0.12405375534511	0.0018279988433543	9.1436553894494
10.2	6.9837336815002	0	0.048408650838173	0.16627446918092	0.4079074295186	0.0026944299755471	0.00023725714089006	0.22986930387387	0.13264960575489	0.22711051891632	0.8188708876745	0.12404949701048	0.0015920526854814	9.1433977840699
10.48	6.983893478447	0	0.048138323696472	0.1664151919224	0.40809968756276	0.0025003693840234	0.00024211664250945	0.22991274460216	0.13263474371058	0.22707558203814	0.81879073590015	0.12404202797511	0.0013383674646937	9.143083369346
10.872	6.984115663601	0	0.047762401919144	0.16658575055478	0.40833543403367	0.0022636306397686	0.00024756221074474	0.22996314043583	0.13261256133783	0.22702498856603	0.81867091397563	0.1240291069987	0.0010976998498487	9.142708854123
11	6.9841878356982	0	0.047640287468251	0.16663645777766	0.40840609387277	0.0021939129162132	0.00024861778256873	0.22997776854011	0.13260508113622	0.22700815822164	0.81863024438976	0.12402438348404	0.0010391975525756	9.14259803884
11.2	6.9843002303648	0	0.047450108693744	0.16671117917149	0.40851066584359	0.0020920183599333	0.00024956534076187	0.22999892873009	0.13259316932092	0.22698157080845	0.81856516446898	0.12401653130114	0.00096499018868015	9.1424341225926
11.48	6.9844568213603	0	0.047185133901516	0.16680824759007	0.40864725365964	0.0019626055766658	0.00024922328113411	0.23002586898634	0.13257614111102	0.22694386710534	0.81847137391857	0.12400469164004	0.00088841034471697	9.1422196384753
11.872	6.984674568295	0	0.046816655223873	0.16693316432496	0.40882372834521	0.0018044270445405	0.00024525177450513	0.23005999718611	0.13255181256572	0.22689034004642	0.8183354672586	0.12398667184148	0.00081810982176532	9.1419401937282
12	6.9847453010416	0	0.046696958681001	0.16697199181414	0.40887852619068	0.0017577693085423	0.00024329049863574	0.23007055954422	0.13254377437123	0.22687270300918	0.81829006283467	0.12398046516238	0.00080120801988119	9.1418526104762
12.2	6.9848554571779	0	0.046510545516789	0.16703099757586	0.40896164069541	0.0016895002417418	0.00023956888753306	0.23008657135568	0.13253112710527	0.22684499538133	0.81821813000281	0.12397046450101	0.00077970591353417	9.1417187043549
12.48	6.985008934045	0	0.046250817320994	0.16711084492168	0.40907355815309	0.0016026391150255	0.00023350335322109	0.23010822044992	0.13251325918764	0.22680591636622	0.81811553986104	0.1239558807481	0.00075720101849065	9.1415363145404
12.872	6.985222356923	0	0.045889634616826	0.16721852603866	0.40922295150587	0.0014961757044769	0.00022387019498343	0.23013744204334	0.13248794392154	0.22675066386649	0.81796848959544	0.12393440510327	0.0007358618262339	9.1412883213401
13	6.985291685396	0	0.045772308152275	0.16725291293665	0.40927017427791	0.0014646995710647	0.00022062185850905	0.23014677026466	0.13247960111897	0.22673248929873	0.81791968644224	0.12392714978992	0.00073061399524955	9.1412087131021
13.2	6.9853996554092	0	0.045589586096919	0.16730596434115	0.40934251562292	0.0014185695197618	0.00021543343240559	0.2301611470316	0.13246648819169	0.22670396092085	0.81784268007551	0.12391558311432	0.00072384298436786	9.1410854267407
13.48	6.9855500877394	0	0.045335000682954	0.16737905167653	0.40944106179441	0.0013597275814159	0.00020829589519184	0.23018091034248	0.1324479718114	0.22666376051472	0.81773342806452	0.12389894586702	0.00071669013149907	9.1409149321016
13.872	6.9857592789176	0	0.044980969587118	0.16747947474286	0.40957424048847	0.0012873233560489	0.00019862162853054	0.23020793165073	0.1324217384584	0.22660698917719	0.8175778667307	0.12387485575252	0.00071003654562758	9.1406793270358
14	6.9858272327337	0	0.044865966286403	0.1675118799019	0.40961665263759	0.0012658472124826	0.00019559178702466	0.23021659894236	0.1324130949294	0.22658833516063	0.81752647615787	0.12386680970708	0.00070848937976659	9.1406029748362
14.2	6.9859330622423	0	0.044686862276922	0.16756215631516	0.40968190013565	0.0012343014924764	0.0001909458930292	0.23022998404203	0.1323995119966	0.22655907503433	0.81744561027712	0.12385406752765	0.00070663237241597	9.1404841096057
14.48	6.9860805128748	0	0.044437317850745	0.16763189088352	0.40977127477942	0.0011939206347563	0.00018484013016072	0.23024841292908	0.13238034129105	0.22651789009057	0.81733131316455	0.12383590389801	0.00070500934415643	9.1403186278709
14.872	6.9862855588195	0	0.044090296819782	0.16772840509775	0.40989288269667	0.0011439630338726	0.00017691368175747	0.23027362917368	0.13235321120539	0.22645982855008	0.81716934013687	0.1238098982381	0.00070425666006401	9.1400881841135
15	6.9863521660889	0	0.043977570690562	0.16775968007463	0.4099317894272	0.0011290788329229	0.00017448037141128	0.23028171941269	0.13234428278183	0.22644077692733	0.81711600341085	0.12380127782722	0.00070431465923975	9.1400131405048
15.2	6.9864558987547	0	0.043802013101718	0.1678083173866	0.40999181875427	0.0011071485503688	0.00017083149279073	0.23029421913297	0.13233026466617	0.22641092037024	0.8170322401555	0.1237876873619	0.00070468551651129	9.1398960452438
15.48	6.9866004283335	0	0.043557409872651	0.16787597002553	0.41007435735014	0.0010789421174518	0.00016602760638361	0.23031143348962	0.13231050566788	0.22636894951017	0.81691414852104	0.12376842931523	0.00070573657497043	9.1397323383846
15.872	6.9868014130188	0	0.043217260145086	0.16796988496027	0.41018718702199	0.0010437930893509	0.00015986584280006	0.23033498596567	0.13228259415389	0.22630987891991	0.8167473246669	0.12374105686906	0.00070809467021225	9.139503339324
16	6.9868667010463	0	0.043106766103136	0.16800037093687	0.41022340166855	0.0010332591927621	0.00015798092380066	0.23034254389808	0.13227342188687	0.22629051969991	0.81669250744217	0.12373202728265	0.00070904618370073	9.1394285462648
16.2	6.9869683793121	0	0.042934684723064	0.16804782144882	0.41027937287253	0.0010176760341569	0.00015511861651713	0.23035421652308	0.1322590327668	0.2262602022955	0.81660652168334	0.12371783131732	0.00071072797545456	9.1393115855687
16.48	6.9871100468178	0	0.042694924868187	0.16811389280093	0.41035652607618	0.00099750888721023	0.00015142276748022	0.23037029122602	0.13223877667375	0.22621762686133	0.81648550403765	0.12369779178201	0.00071344194943018	9.139147754748
16.872	6.9873070520627	0	0.042361510415406	0.16820571628227	0.41046234494591	0.00097214427622287	0.00014665739647038	0.23039229969356	0.13221021540311	0.22615778704716	0.81631491245069	0.12366944349802	0.00071783017933159	9.1389179136508
17	6.9873710474393	0	0.042253204267343	0.16823554067266	0.41049638377493	0.00096448615184016	0.00014519177774536	0.2303993661515	0.1322008419226	0.22613819410553	0.81625893630702	0.12366012118763	0.00071938504250625	9.1388426988006
17.2	6.9874707126788	0	0.042084530271124	0.16828197283456	0.41054905802591	0.0009531002162899	0.00014295595302023	0.23041028281458	0.13218614898095	0.22610752803493	0.81617120619886	0.12364549205828	0.00072196104772089	9.138724949115
17.48	6.9876095756839	0	0.041849517898791	0.16834663976129	0.41062178545643	0.00093825219589563	0.00014005857824897	0.23042532224189	0.13216548816941	0.22606449603066	0.81604787139204	0.12362489176193	0.00072584271447308	9.138559741885
17.872	6.9878026813647	0	0.041522705375618	0.16843651450409	0.41072172726777	0.00091936691947182	0.00013628656556885	0.23044592239957	0.13213639787977	0.22600407301835	0.81587425471363	0.12359583826032	0.00073173807517651	9.138327506344
18	6.9878654100335	0	0.041416543801854	0.16846570243414	0.41075391510695	0.00091361453559291	0.00013511663825914	0.23045253855335	0.13212686030898	0.22598430215591	0.81581733911275	0.12358630317817	0.00073375805722728	9.1382514039167
18.2	6.9879631026128	0	0.041251209724944	0.1685111358276	0.41080375748454	0.00090501146606013	0.00013331894000006	0.23046276019894	0.13211191923154	0.22595336988077	0.81572818623385	0.12357135796225	0.00073704157761324	9.1381321711409
18.48	6.9880992172891	0	0.041020850838246	0.16857438975234	0.4108726304304	0.0008936930004007	0.00013097630562513	0.2304768426329	0.1320909269838	0.22590998764972	0.81560294472603	0.12355034600553	0.00074188054779899	9.1379646861619
18.872	6.9882885013946	0	0.040700509532996	0.16866224297158	0.41096735516739	0.0008791125588785	0.00012788685468624	0.23049612994879	0.13206140138975	0.22584911396389	0.81542680823478	0.12352077006772	0.00074906915998694	9.137728901245
19	6.9883499886843	0	0.040596450070758	0.16869075772277	0.41099787654555	0.00087462767897518	0.00012691877890209	0.23050232324522	0.13205172818903	0.22582920473816	0.81536910293129	0.12351107618316	0.00075150052259632	9.1376515552908
19.2	6.9884457480243	0	0.040434389782776	0.16873512283359	0.41104514625929	0.00086787686469281	0.00012541954544612	0.23051188907117	0.13203658138085	0.22579806455596	0.81527874713332	0.12349589387359	0.00075542214128573	9.1375303014663
19.48	6.988579169248	0	0.040208592243301	0.16879684340051	0.41111047190049	0.00085891040414094	0.00012345172300086	0.23052506167445	0.13201531297783	0.22575440696141	0.81515187998334	0.12347457075678	0.00076114803549661	9.1373598193087
19.872	6.9887647080018	0	0.039894594027904	0.16888246569069	0.41120031037593	0.00084720385380018	0.00012082058897194	0.23054308686156	0.13198542191147	0.22569317535062	0.81497357046258	0.12344459542455	0.00076957647768412	9.1371195290275
20	6.9888249786674	0	0.039792595054565	0.16891022982882	0.41122925123992	0.0008435664551465	0.00011998749889909	0.23054887009111	0.13197563413797	0.22567315535749	0.8149151784978	0.1234347790542	0.00077241091793394	9.1370406368013
20.2	6.9889188433069	0	0.039633743733474	0.16895340113222	0.4112740711424	0.0008380554343568	0.00011871455554101	0.23055780155207	0.13196031377844	0.22564184874514	0.81482377536842	0.12341941340407	0.00077694928096202	9.136916931434
20.48	6.9890496247496	0	0.039412417225378	0.16901339951494	0.41133598550593	0.00083066594362325	0.00011698456713967	0.23057009059174	0.13193881162603	0.22559796946646	0.81469548063572	0.12339784760037	0.00078354107265263	9.1367428184995
20.872	6.9892314927121	0	0.03910463650574	0.16909649268564	0.41142104645658	0.00082089136430286	0.0001146515879877	0.23058687091314	0.13190860743931	0.22553644533401	0.8145152395226	0.12336755606159	0.00079322650374783	9.1364971570868
21	6.9892905709666	0	0.039004657222386	0.16912340132432	0.41144842504974	0.00081782494001963	0.00011390692153884	0.23059224545901	0.1318987206891	0.22551633388246	0.81445623271106	0.12335764171045	0.00079647788268782	9.1364164387594
21.2	6.9893825785917	0	0.03884895132871	0.1691651989441	0.41149078795186	0.00081315049320669	0.0001127380756164	0.23060053010127	0.13188324783228	0.2254848873127	0.81436387975962	0.12334212730568	0.00080169685398256	9.1362897745507
21.48	6.9895107727143	0	0.038632007323228	0.16922320064272	0.41154924108805	0.00080682766629459	0.00011118326525481	0.23061190261777	0.13186153760337	0.225440819026	0.81423428586429	0.12332036262693	0.00080927221105413	9.1361114126492
21.872	6.9896890428215	0	0.038330320990077	0.16930335784122	0.41162941782455	0.00079836476542571	0.00010905526423929	0.23062738774338	0.13183105408178	0.22537904458635	0.81405228172824	0.12328980996553	0.00082036291967193	9.1358595005319
22	6.989746952357	0	0.038232321405323	0.16932927243604	0.41165518896951	0.00079568719857479	0.00010836988314734	0.23063233547417	0.13182107875358	0.22535885449321	0.81399271106688	0.12327981405809	0.00082407820019994	9.1357766642958
22.2	6.9898371398636	0	0.038079698657367	0.16936947851378	0.41169502380498	0.00079158372476994	0.00010729041211762	0.23063994854208	0.13180546998623	0.22532728794659	0.81389948824927	0.12326417569281	0.00083003271869791	9.1356466181123
22.48	6.9899627980703	0	0.037867050377866	0.16942517045994	0.41174989898007	0.00078599136911782	0.00010584324519366	0.23065036926169	0.13178357410134	0.22528305704522	0.8137686971589	0.12324224391852	0.00083866227409063	9.1354633562622
22.872	6.9901375417627	0	0.037571337758281	0.16950192638609	0.41182497622486	0.00077843139187646	0.00010384697840336	0.23066449430005	0.13175283859417	0.22522106412084	0.8135850537085	0.12321146852669	0.00085128335309301	9.1352042631056
23	6.9901943057807	0	0.037475278672419	0.16952668880229	0.41184905880297	0.00077602264725561	0.00010320034282268	0.23066899063194	0.13174278278119	0.22520080474156	0.81352495629621	0.12320140237796	0.00085550750543331	9.1351189993827
23.2	6.9902827092939	0	0.037325678021307	0.16956504992989	0.41188622817501	0.0007723150598805	0.00010217963156666	0.23067589022122	0.13172704994316	0.22516913186518	0.81343091847809	0.12318565659523	0.00086227230335655	9.1349850795178
23.48	6.9904058819023	0	0.037117240408837	0.16961806497703	0.41193731324724	0.00076723150179004	0.00010080445300876	0.23068529397803	0.13170498354687	0.22512475573927	0.81329900168359	0.12316357883181	0.00087206694952253	9.1347962172193
23.872	6.9905771691275	0	0.036827383218392	0.16969088274997	0.41200695897885	0.00076030482917627	9.8897538463101e-05	0.2306979562616	0.13167401489946	0.22506256584906	0.81311380985705	0.12313260675881	0.00088638069596805	9.1345289307643
24	6.9906259789876	0	0.036743147634661	0.16971451742795	0.41202788405869	0.00075445604612514	9.796007738251e-05	0.23069927480595	0.13166350582233	0.22504170955413	0.81305316436133	0.12312248095521	0.00089508018803137	9.1344391599194
24.2	6.9907266664517	0	0.04832882186799	0.16975054137487	0.41206717100734	0.00076092928309343	9.7141368132626e-05	0.23071364870501	0.13164898720855	0.2250120566026	0.81295808556456	0.12310663112961	0.00088666516488133	9.1460573457283
24.48	6.9909141735796	0	0.064470849660293	0.16979767621513	0.41212892240173	0.00079954559212151	9.9424273063801e-05	0.23075064481195	0.1316312012646	0.22497397734491	0.81282503896313	0.12308436368389	0.00085290012103463	9.1623287179114
24.872	6.9912677005271	0	0.086917707496939	0.16985614978176	0.41222141667908	0.00090459825031061	0.00011037932401613	0.23082049776106	0.13160905547149	0.22492372263771	0.81264319574014	0.12305342700556	0.00079617191151154	9.1851240225866
25	6.9914044330742	0	0.094209679879735	0.1698733196285	0.41225322265817	0.00094985369431936	0.00011565310647671	0.23084616932196	0.13160231137646	0.22490776431407	0.81258607089128	0.12304350545405	0.00077775547084821	9.1925697388701
25.2	6.9916264979245	0	0.093833596187891	0.16989859183004	0.41230054515522	0.0010211021396335	0.00012546063414414	0.23088337197924	0.13159114017747	0.22488150707234	0.81249961120868	0.12302823791766	0.00076088222494484	9.1924505444517
25.48	6.9919359046412	0	0.093309600947188	0.16993236944586	0.41236341297382	0.0011102556346092	0.00013924879696241	0.23092630371575	0.13157398191317	0.2248421543854	0.81238516016225	0.12300754540494	0.00075914610365484	9.1922850841248
25.872	6.9923661875539	0	0.092580923038133	0.1699781640397	0.41245390908082	0.001216681820615	0.00015584992741216	0.23097408294035	0.13154896062575	0.22478555620408	0.81223683551472	0.12297995544992	0.00077392131407771	9.1920510275094
