# Time [h]	MS [1]	Lignin [1]	Butyric [1]	Initial_Substrate [1]	Carbohydrates [1]	Substrate [1]	MO_AcidoLCFA [1]	MO_hydroM [1]	Proteins [1]	AA [1]	MO_acetoM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_ButyricValeric [1]	Valeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	Hydrogen [1]	Hydrogen_gas [1]	Lipids [1]	MO_AcidoAA [1]	Acetic [1]	Phi [1]
2.872	1.8884828192209e-05	1.3159241334841	6.7239477811189e-06	0	0.0099788417882917	0.026976902565522	0.015689610498881	0.038649023660712	0.0034540622406653	1.4646944994849e-05	0.021780397985147	2.5165245432087e-05	0.27861507587102	0.54238398365291	0.013073083946237	0.02246960052496	2.4291603742455e-06	0.00043780734718749	0.080817219099557	0.075191953097077	0.5465139461741	1.9969835755275e-07	1.1260355508974e-05	0.0028222043925069	0.012102805740251	0.0013619052088858	0.90980080366961
3	1.7932873234668e-05	1.3168130741601	6.3682046295491e-06	0	0.0095073280123901	0.026925781449922	0.015714297205949	0.038748094662671	0.0032807448316638	1.3828368662172e-05	0.021831640849997	2.3200343357827e-05	0.2754728193665	0.53529808903882	0.013089212106101	0.022492498472682	2.3015066038153e-06	0.00044352937941118	0.080906441682571	0.074667918666498	0.54703811635722	1.8926363380944e-07	1.0680897979452e-05	0.0026784682431657	0.012124288746759	0.0013205700397462	0.9098645332504
3.2	1.6563277300714e-05	1.3181123103646	5.8504680881445e-06	0	0.0088185334168825	0.026844249560424	0.015752344379482	0.03889416529055	0.0030276167053908	1.2655036388069e-05	0.021910132410655	2.053816769107e-05	0.2914969241974	0.67724157536037	0.013112507505451	0.022525704374885	2.1138330501706e-06	0.00045055551087332	0.081036147319209	0.074587474168805	0.6665321452896	1.7479829503777e-07	9.8067558355068e-06	0.0024685544168312	0.012155532032742	0.0012509501183044	0.90995745702738
3.48	1.4860891513805e-05	1.3197614831193	5.2161669740418e-06	0	0.0079447274164459	0.026727043807536	0.015804574211426	0.039082391214255	0.0027066117251007	1.1217160887084e-05	0.0220168848902	1.7549008464276e-05	0.28439448409202	0.55972847085929	0.013141602865643	0.022567351123817	1.8824417391335e-06	0.00045838870706297	0.081199452089033	0.073153674354974	0.55338101265941	1.5764968300568e-07	8.8699433998013e-06	0.0022023742656775	0.012194916860668	0.0011485781698279	0.91007501634349
3.872	1.2810715444469e-05	1.3217738022316	4.4577539637179e-06	0	0.0068793784102413	0.026557799053912	0.015875780759037	0.039317912528982	0.0023154583743051	9.5043734492563e-06	0.022160321010966	1.4350250227105e-05	0.27658318318135	0.53833300555785	0.013176363716157	0.022617230369544	1.6039945465604e-06	0.00046473588755456	0.081396149825227	0.071245302931031	0.54044068519027	1.3810653108473e-07	7.7836676951267e-06	0.0018780695622474	0.012242471333187	0.00099541128301607	0.91021782011053
4	1.2208804730648e-05	1.3223662975189	4.2370140590147e-06	0	0.0065658930045676	0.026501458082504	0.015898592144313	0.039388801557743	0.0022004131548957	9.0046217574831e-06	0.022205743092749	1.346864125172e-05	0.27472488316651	0.53465669095522	0.013186448863745	0.022631685972441	1.522887928761e-06	0.00046581630211453	0.08145342744447	0.070661895362419	0.53978307630945	1.3247598750231e-07	7.4664890160443e-06	0.0017826964318682	0.01225635261147	0.00094353195514916	0.91025971834312
4.2	1.1339933995009e-05	1.3232322487277	3.9153913351153e-06	0	0.0061081309759774	0.026412462282249	0.015933805922552	0.039493911129633	0.0020324757765595	8.2841799087596e-06	0.022275196860547	1.2239548793212e-05	0.29147189953858	0.67715653023663	0.013201022902574	0.022652565212364	1.4039585758392e-06	0.00046623362439531	0.081536452579308	0.070450078468369	0.65938891021831	1.2455796367464e-07	6.9880431974681e-06	0.0016434864163165	0.012276500299097	0.00086057179905707	0.9103208199473
4.48	1.025632251126e-05	1.3243321173866	3.5182794035436e-06	0	0.0055277055462208	0.026286123785113	0.015982254793897	0.039630466493805	0.0018196488392518	7.3935129732824e-06	0.022369183577577	1.0791756335079e-05	0.28429272079712	0.56315761063034	0.013219229545971	0.02267859200703	1.2564663999185e-06	0.00046562073634564	0.081640535772605	0.068688755934323	0.54377012542852	1.1493500954377e-07	6.4519802926274e-06	0.0014670877510072	0.012301818962928	0.00074384059920448	0.91039817453512
4.872	8.9512582303988e-06	1.3256777138594	3.0417077039354e-06	0	0.0048204372164993	0.026106419393837	0.016048488528264	0.039803269811851	0.0015605246859174	6.3270639729322e-06	0.022493688366503	9.1447214014475e-06	0.27395832141357	0.54080495281321	0.013240957555049	0.022709488035666	1.0786954890922e-06	0.0004618666986466	0.081765179897579	0.065942368340437	0.52859171027754	1.0364628405849e-07	5.8168741067852e-06	0.0012523584850617	0.012332256504667	0.00058162334733344	0.91049235739517
5	8.5685631881979e-06	1.3260751625744	2.9028074953564e-06	0	0.0046123944973819	0.026047176478236	0.016069748546268	0.03985571370935	0.0014843561427466	6.0155796942016e-06	0.022532550534712	8.6760035232209e-06	0.27078268906076	0.53578459679197	0.013247246827257	0.022718378197036	1.0268460400091e-06	0.00046002203189673	0.081801317212506	0.065007478338646	0.52737616907385	1.0035194351887e-07	5.6295051325532e-06	0.0011892501156321	0.012341110936723	0.00052953892284823	0.91052006537866
