Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
19	1.3055583990234e-09	4.7246207161943e-09	4.4702573898588e-09	2.2382456422403e-10	1.0476906451727e-07	-4.4128039867188e-05	8.6556241285184e-14	0.11553182195881
19.2	1.2928138749177e-09	4.6775247108078e-09	4.4946909461001e-09	2.2098062955293e-10	1.0396927327996e-07	-4.4358316947065e-05	8.6556414464552e-14	0.11553159084372
19.48	1.2759426266833e-09	4.6149673393975e-09	4.4667602182281e-09	2.1726469772273e-10	1.0288188736477e-07	-4.4694540915532e-05	8.655666730377e-14	0.11553125342134
19.872	1.2529436502362e-09	4.5294954296045e-09	4.4599870196703e-09	2.1234874804677e-10	1.0134119160604e-07	-4.5189458246505e-05	8.6557039405693e-14	0.11553075684322
20	1.2455624221622e-09	4.5020268849984e-09	4.4607220363132e-09	2.1080402195413e-10	1.0083437170299e-07	-4.5355896310863e-05	8.6557164530428e-14	0.11553058986271
20.2	1.2341569033385e-09	4.4595498507626e-09	4.4854023636771e-09	2.084476851987e-10	1.0003837915468e-07	-4.5622388560186e-05	8.6557364844053e-14	0.11553032254295
20.48	1.2184460796704e-09	4.4009717281716e-09	4.4584659938615e-09	2.0525913360035e-10	9.8916148456702e-08	-4.6009457947063e-05	8.655765581224e-14	0.11552993424697
20.872	1.1969020115726e-09	4.3205598842424e-09	4.4531295356633e-09	2.0098843704124e-10	9.7330190613931e-08	-4.6578185548239e-05	8.6558083262612e-14	0.11552936382192
21	1.1899591946572e-09	4.2946350395418e-09	4.4543287343787e-09	1.9963483958199e-10	9.6809339116181e-08	-4.6769106213192e-05	8.6558226745999e-14	0.11552917234743
21.2	1.1788825325751e-09	4.2532513977298e-09	4.4792720537928e-09	1.9750379485209e-10	9.5967003465081e-08	-4.7075563715795e-05	8.6558457047784e-14	0.11552886501798
21.48	1.1640934851555e-09	4.197930242611e-09	4.4532511088507e-09	1.9468386999706e-10	9.4819182103716e-08	-4.7520387969152e-05	8.6558791320335e-14	0.11552841894701
21.872	1.1436596191575e-09	4.1215843012659e-09	4.4493485917702e-09	1.908626107695e-10	9.3197567927003e-08	-4.8171633334024e-05	8.6559280643804e-14	0.11552776597561
22	1.1370369832893e-09	4.0968610330435e-09	4.4510220408271e-09	1.8964023832077e-10	9.2665053252069e-08	-4.8389794256509e-05	8.6559444552872e-14	0.11552754725132
22.2	1.1264613728282e-09	4.0573851534164e-09	4.4762872441873e-09	1.8770653998823e-10	9.180723029463e-08	-4.8739443021569e-05	8.6559707239506e-14	0.11552719671806
22.48	1.1122475943511e-09	4.0042973781308e-09	4.4512088318872e-09	1.851255385351e-10	9.0633477566436e-08	-4.9246169700999e-05	8.6560087930477e-14	0.11552668872272
22.872	1.0925157556749e-09	3.9307258409482e-09	4.4487908787688e-09	1.8159345475852e-10	8.8975767821076e-08	-4.9987278270636e-05	8.6560644640272e-14	0.11552594585727
23	1.0861006438209e-09	3.9068333849365e-09	4.4509525161487e-09	1.8045594352432e-10	8.8431601763051e-08	-5.0235320097983e-05	8.656083095667e-14	0.11552569724204
23.2	1.0758522310794e-09	3.8686739208998e-09	4.4765397821582e-09	1.7864997827413e-10	8.7557325787461e-08	-5.0632548394535e-05	8.6561129321937e-14	0.11552529911489
23.48	1.0620273088207e-09	3.8171765053294e-09	4.4523557540459e-09	1.7622553997231e-10	8.635845455114e-08	-5.1207689094375e-05	8.6561561316984e-14	0.11552472268345
23.872	1.0427836268492e-09	3.745625941824e-09	4.4514125109219e-09	1.7288486395673e-10	8.4666548852616e-08	-5.2048190936759e-05	8.6562192563109e-14	0.11552388039471
24	1.0886691158904e-09	3.7958757536594e-09	4.4320957490869e-09	1.7576402044218e-10	8.5422006701209e-08	-5.2559024290896e-05	8.6562574778165e-14	0.11552337039671
24.2	1.6640685023467e-09	5.0018409393239e-09	4.5493413940463e-09	2.1675576446353e-10	1.1599474529562e-07	-5.2064894924539e-05	8.6562180117819e-14	0.11552389702888
24.48	2.1332746648147e-09	6.1879597341707e-09	4.7680342812089e-09	2.491560042083e-10	1.5022614068945e-07	-5.0082214731806e-05	8.6560667203317e-14	0.11552591584062
24.872	2.5384464841092e-09	7.4174290875349e-09	5.1744903148708e-09	2.7960648752487e-10	1.8861394735576e-07	-4.6751139614555e-05	8.6558140675582e-14	0.11552928736549
25	2.6505951437245e-09	7.7833565185212e-09	5.3133022124866e-09	2.8936020909391e-10	1.9971159062833e-07	-4.5669727954329e-05	8.6557321534102e-14	0.11553038051858
25.2	2.1940276419382e-09	7.0457704599982e-09	5.5746478404476e-09	2.5964049033732e-10	1.8297464346717e-07	-4.4678932544981e-05	8.6556592366012e-14	0.11553135361681
25.48	1.8902092262848e-09	6.499608101222e-09	5.6739099178512e-09	2.4634011961951e-10	1.6419945670001e-07	-4.457698766644e-05	8.6556530622456e-14	0.11553143602272
25.872	1.7697777252465e-09	6.2775208422617e-09	5.7097674924055e-09	2.5253363147793e-10	1.4530136454041e-07	-4.5444586630088e-05	8.6557195136103e-14	0.11553054922549
26	1.764546145637e-09	6.2774681675317e-09	5.7067444107194e-09	2.5703520245068e-10	1.4051065097524e-07	-4.5801070585923e-05	8.6557465859692e-14	0.11553018794733
26.2	1.7762913472453e-09	6.3264304702231e-09	5.7307576122869e-09	2.6526672005174e-10	1.3426203297946e-07	-4.637705833782e-05	8.6557902092613e-14	0.11552960580406
26.48	1.8143314205758e-09	6.4565491466011e-09	5.6421198293949e-09	2.7755406162135e-10	1.2757752896741e-07	-4.7144457784216e-05	8.655848209707e-14	0.1155288318121
26.872	1.8825798114353e-09	6.69404233366e-09	5.5541619957221e-09	2.9402887959889e-10	1.2119539937246e-07	-4.8049817827714e-05	8.655916516429e-14	0.11552792030441
27	1.9054225555615e-09	6.77595206611e-09	5.5298665774841e-09	2.9902744659792e-10	1.1962837707134e-07	-4.8300883647172e-05	8.6559354421224e-14	0.11552766775715
27.2	1.9405989069882e-09	6.9048892928717e-09	5.5197487027383e-09	3.0639682657745e-10	1.176095600278e-07	-4.865137807083e-05	8.6559618472898e-14	0.11552731540536
27.48	1.9874134538275e-09	7.081847914002e-09	5.4266348294526e-09	3.1578165497424e-10	1.1547138893934e-07	-4.9067691833309e-05	8.6559931958216e-14	0.11552689709357
27.872	2.046370105076e-09	7.313598450383e-09	5.3586807402705e-09	3.2714707063488e-10	1.1342504610471e-07	-4.9538857031947e-05	8.656028641482e-14	0.11552642411624
28	2.0638066806354e-09	7.3839840033817e-09	5.3438198733176e-09	3.304470928788e-10	1.1291463045572e-07	-4.9673903540636e-05	8.6560387947035e-14	0.11552628863562
28.2	2.088361616332e-09	7.4852019890466e-09	5.3504433771829e-09	3.3507521434282e-10	1.1219005965819e-07	-4.9873199068112e-05	8.6560537744606e-14	0.11552608875259
28.48	2.1202760510191e-09	7.619466627541e-09	5.2852187735063e-09	3.4099544123186e-10	1.1144791081143e-07	-5.0135560004687e-05	8.656073484213e-14	0.11552582575641
28.872	2.1572980123351e-09	7.7816999010476e-09	5.2517810371078e-09	3.4784290401939e-10	1.1064918555218e-07	-5.0488238342923e-05	8.6560999621207e-14	0.11552547245203
29	2.1675522100804e-09	7.8281997607383e-09	5.2471845343134e-09	3.4974503833692e-10	1.1042162854092e-07	-5.0603874051592e-05	8.6561086413178e-14	0.11552535664283
29.2	2.1809359167602e-09	7.891237851201e-09	5.2716902549325e-09	3.5225818571669e-10	1.1003786551111e-07	-5.0789653275152e-05	8.6561225853839e-14	0.11552517058329
29.48	2.1975503724845e-09	7.9716082064654e-09	5.2277137707055e-09	3.553733344218e-10	1.0959843193232e-07	-5.1061684179942e-05	8.6561430013003e-14	0.11552489816907
29.872	2.2140448826397e-09	8.0589026935335e-09	5.2169042846668e-09	3.5856954952161e-10	1.0897833864638e-07	-5.1469649786645e-05	8.6561736154364e-14	0.11552448967953
30	2.2178708834934e-09	8.0814109924647e-09	5.2185129637399e-09	3.5934581164666e-10	1.0876587098888e-07	-5.1610380625333e-05	8.6561841762835e-14	0.11552434876495
30.2	2.2223553909719e-09	8.1107587081375e-09	5.2538148299253e-09	3.6030292197545e-10	1.0841983165773e-07	-5.1839177554325e-05	8.6562013442009e-14	0.11552411969206
30.48	2.2257351401468e-09	8.1403578939299e-09	5.2211073282244e-09	3.611481320789e-10	1.0789964067774e-07	-5.2179644437371e-05	8.6562268995902e-14	0.11552377870609
30.872	2.2252147889169e-09	8.1605421395747e-09	5.2214979851359e-09	3.614384853258e-10	1.0708739333714e-07	-5.2695965393391e-05	8.6562656551745e-14	0.11552326159321
31	2.2238639586762e-09	8.1622497157521e-09	5.2260017136511e-09	3.6133307431259e-10	1.0679941899258e-07	-5.2873483606341e-05	8.6562789807748e-14	0.11552308379179
31.2	2.2197131270011e-09	8.1566659009403e-09	5.2660628919713e-09	3.6082699778423e-10	1.0627472628339e-07	-5.3162726195572e-05	8.6563006956778e-14	0.11552279405433
31.48	2.2133183285586e-09	8.145526532812e-09	5.2375500055605e-09	3.6000325990772e-10	1.0556776826529e-07	-5.358884257905e-05	8.6563326884577e-14	0.11552236718411
31.872	2.200440253516e-09	8.1133153356259e-09	5.2417872255304e-09	3.5819542546088e-10	1.0447909579101e-07	-5.4221184249076e-05	8.6563801660111e-14	0.11552173371111
32	2.1953717357695e-09	8.0990543913069e-09	5.2471728104435e-09	3.574594733028e-10	1.0409970540223e-07	-5.4435230442876e-05	8.6563962380132e-14	0.11552151927086
32.2	2.1857949581952e-09	8.0698749360726e-09	5.2883787835704e-09	3.5603154068198e-10	1.0343605486366e-07	-5.4780111507883e-05	8.6564221361683e-14	0.11552117372718
32.48	2.1723729582738e-09	8.0278287572708e-09	5.2603045479182e-09	3.5401325746386e-10	1.0253289466374e-07	-5.5280962452184e-05	8.6564597488602e-14	0.11552067188753
32.872	2.1509367639581e-09	7.9571260087637e-09	5.264579706898e-09	3.5074439892896e-10	1.0118277035679e-07	-5.6011314722756e-05	8.6565145971412e-14	0.11551994009403
33	2.1433685926988e-09	7.9314310727223e-09	5.2698264548763e-09	3.4958032793558e-10	1.0072226836042e-07	-5.6255521832854e-05	8.6565329374583e-14	0.11551969539727
33.2	2.1302112290472e-09	7.8856284882642e-09	5.3102198466702e-09	3.4753678150734e-10	9.9938813039666e-08	-5.6645719966562e-05	8.6565622437144e-14	0.1155193043951
33.48	2.1122884748031e-09	7.8223964554264e-09	5.2807838523023e-09	3.4474252919866e-10	9.8876414847941e-08	-5.7206180802505e-05	8.656604339697e-14	0.11551874275852
33.872	2.0855936773251e-09	7.7262706005021e-09	5.2833732138128e-09	3.4056005609943e-10	9.7327416795137e-08	-5.8012402388244e-05	8.6566648941186e-14	0.11551793486358
34	2.0765407614119e-09	7.6932419146455e-09	5.2880440286093e-09	3.3913639803941e-10	9.680802335288e-08	-5.827945696502e-05	8.6566849528025e-14	0.11551766725082
34.2	2.0621113477833e-09	7.6401887701549e-09	5.3267801655389e-09	3.3686113308499e-10	9.5984405348506e-08	-5.8701639025162e-05	8.6567166613557e-14	0.11551724421416
34.48	2.04144787465e-09	7.5634089822928e-09	5.2954425867786e-09	3.3359068885901e-10	9.4809761543433e-08	-5.9302551542509e-05	8.6567618009242e-14	0.11551664199501
34.872	2.011825808261e-09	7.4519560175769e-09	5.2958728820369e-09	3.2888302561531e-10	9.3130732325696e-08	-6.0159848108818e-05	8.6568261975702e-14	0.11551578287415
35	2.0020145930316e-09	7.4147515795672e-09	5.2998631123124e-09	3.2732038364689e-10	9.257542242109e-08	-6.0442036017867e-05	8.656847394578e-14	0.1155155000864
