# Time [h]	MS [g]	Lignin [g]	Butyric [g]	Initial_Substrate [g]	Carbohydrates [g]	Substrate [g]	MO_AcidoLCFA [g]	MO_hydroM [g]	Proteins [g]	AA [g]	MO_acetoM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_ButyricValeric [g]	Valeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Lipids [g]	MO_AcidoAA [g]	Acetic [g]
0.2	1.8530203198467	4012.1177819224	0.35957302685656	0	88.172160410602	17.218817436276	47.2206710291	110.51393194514	31.671199480202	1.2140809665687	64.081267266084	0.85197974182609	24.133644047709	2.0091858934865	26.142829941195	39.076657692999	67.501047972886	0.10753343182984	1.9901829515033	241.88907645235	2.2694681784037	3.2621012862673	5.531569464671	1.6043736708557e-05	9.0109337087727e-05	0.00010615307379628	26.119470383029	35.261965900747	47.9295516004
0.48	1.6621777058262	4012.1592150555	0.54600060186332	0	78.512957912838	41.209260603109	47.24817606543	111.45849261844	28.176571390305	1.3869710483906	64.322637216227	1.6589772631835	20.254331744689	3.5368527553547	23.791184500044	39.152156303428	67.635608252309	0.18076990362303	4.2564119542643	242.66008092838	2.5498102681647	2.0916496185183	4.641459886683	1.7815696538825e-05	0.00010146727145832	0.00011928296799715	23.232348876326	35.511836586149	49.52221498029
0.872	1.3870489297697	4012.2731730649	0.52576483100149	0	66.917813220516	74.568746221461	47.309021581623	112.80441991004	23.947638099787	1.1938486980196	64.663363434189	2.0679517097738	15.761143920098	3.2352774813074	18.996421401405	39.288592047152	67.849139850865	0.17971974578031	6.889102936281	243.59230849024	2.6987351298679	1.727344513148	4.4260796430158	1.6576922818454e-05	9.4220496904371e-05	0.00011079741972283	19.731759721916	35.847452365138	51.68539348279
1	1.3079895478083	4012.3210819488	0.50211893124789	0	63.548527747166	85.407136799767	47.333146112342	113.22591940152	22.710295323529	1.1197447104371	64.775205795944	2.0971371503209	14.579558870059	2.9404956390075	17.520054509067	39.334903213043	67.914744399319	0.17228202257179	7.6343577690319	243.86402041871	2.7181863308093	1.680237093796	4.3984234246053	1.5916249158937e-05	9.0354613190385e-05	0.00010627086234932	18.705825755502	35.94710178271	52.199426942704
1.2	1.1956217979775	4012.3994796263	0.44940697594631	0	58.649180958108	85.066198517851	47.374268946991	113.85865392404	20.907838647626	1.0104559092688	64.950384206625	2.0265690502502	14.078185089394	3.3622131870603	17.440398276454	39.407002725927	68.009590288095	0.15769160917218	8.6646425380347	244.25790943206	2.7671141830018	2.2809134556545	5.0480276386563	1.4600444166317e-05	8.0748461628941e-05	9.5348905795258e-05	17.210695620139	36.091893422512	52.171434742084
1.48	1.058810883756	4012.5081691575	0.39241400686562	0	52.449397537324	84.591175060603	47.438343866048	114.68788799428	18.627314894674	0.88023032256175	65.196303071469	1.8429888069875	12.319662889835	2.4691618945001	14.788824784336	39.504465803933	68.127445790484	0.1395224310576	9.9605965224708	244.75307039472	2.7515310435129	1.8240387561959	4.5755697997088	1.2918518539608e-05	7.2170526175611e-05	8.5089044715219e-05	15.319082072938	36.274215885898	51.801208352182
1.872	0.89556061527566	4012.6584509556	0.32755524331448	0	44.914689689682	83.930610704106	47.539559638387	115.73641445259	15.856441360124	0.72883892508874	65.541505636002	1.5076170178776	10.748328788264	2.1247599329292	12.873088721194	39.629161884442	68.267572184262	0.11741752210077	11.43070473933	245.34827718709	2.711468115877	1.8322710413131	4.54373915719	1.081594159153e-05	6.0873482046354e-05	7.1689423637884e-05	13.020876782467	36.494064281821	50.387854932309
2	0.84757362206702	4012.7083096977	0.3089889914457	0	42.702554717614	83.716031538381	47.575149506805	116.05229792623	15.043103741245	0.68505134683999	65.654379027469	1.3941950394832	10.394076096201	2.0497062032266	12.443782299428	39.666483719307	68.308046134495	0.11102143470537	11.836751394608	245.52151386894	2.6975278578474	1.8479620748984	4.5454899327458	1.0158830901256e-05	5.7267510585526e-05	6.7426341486782e-05	12.346315731315	36.558268892782	49.724856898669
2.2	0.77888966637551	4012.7857895102	0.28197809542555	0	39.476686107959	83.381851661873	47.633180692565	116.518697664	13.85722147823	0.62278646744759	65.830758597133	1.2233076756786	10.68256677152	2.5026590023733	13.185225773893	39.72076419174	68.366255597567	0.10154309409856	12.37818091027	245.77225389152	2.7012059281497	2.3088193581733	5.0100252863231	9.2485617283581e-06	5.1541717646856e-05	6.0790279375214e-05	11.362810605502	36.651352922301	48.410569649424
2.48	0.6943714567456	4012.8934912944	0.2495368718102	0	35.394077349962	82.916245145828	47.719029291984	117.11891720247	12.356740010414	0.54798654959919	66.077530039044	1.0163255865891	10.121499695333	2.002255010228	12.123754705561	39.788424359538	68.438442184956	0.090038904103101	13.040959388771	246.08623873615	2.6552720312487	1.9154925319744	4.570764563223	8.1485631206257e-06	4.5705062885217e-05	5.3853626005842e-05	10.118464057704	36.768333076027	46.31246531489
