# Time [h]	hydro_Methanogenesis [g/h]	Disintegration_Initial [g/h]	Hydrolysis_Proteins [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acidogenesis_MS [g/h]	Disintegration_Substrate [g/h]	Propionic_Degradation [g/h]	Butyric_Degradation [g/h]	Hydrolysis_Lipids [g/h]	Hydrolysis_Carbohydrates [g/h]	Acidogenesis_AA [g/h]	Acidogenesis_LCFA [g/h]
7.872	1.6676646352478	0	0.64924937794856	5.0755259826656	0.11653588013376	2.5802596358733	1.4888042119749	0.76209846629617	0.36496104584645	0.48776656173282	2.4629740576292	0.61696598951532	3.0061957866825
8	1.6230129221715	0	0.62132614306881	4.91434667652	0.11113128701917	2.4920818021902	1.4849978141434	0.73277982650745	0.35060075977963	0.46472609249535	2.3854007897921	0.58897022558591	2.9480488369805
8.2	1.5545502013765	0	0.58058430255426	4.684386838711	0.10323535336435	2.3682350573056	1.4790698016651	0.6898563425702	0.32963574656649	0.43112134415074	2.2720400814836	0.54869087928424	2.8504437534143
8.48	1.4597233902619	0	0.52897724018866	4.3880745818923	0.093269424960388	2.2118133406859	1.4708103422821	0.63542974227716	0.30314417442846	0.38858042833644	2.1280944430393	0.49794774691207	2.7006271096212
8.872	1.3280413079562	0	0.46616119047186	3.9947909954745	0.081096929321517	2.0205636832597	1.4593245917759	0.56828393177631	0.27057938655237	0.33684873045474	1.9522096086756	0.43613115982267	2.467518702549
9	1.2837477942893	0	0.44769702348215	3.8649612308547	0.077398488889419	1.9582207246381	1.4555935470537	0.54741384350716	0.26047964531176	0.32165485494677	1.9003428656675	0.41710333262575	2.385376081398
9.2	1.2161249995821	0	0.42074672922487	3.6651109141884	0.072007075198116	1.874121135688	1.449782886327	0.51681744666332	0.24576359564706	0.29949037080729	1.8244664069816	0.3900676611985	2.2532851802946
9.48	1.1240432895634	0	0.38658944344682	3.3945979523144	0.065274538555527	1.7686041813638	1.441686929854	0.47834169967206	0.22737441205848	0.27142375362787	1.7279548504714	0.35629086937463	2.0647856083283
9.872	1.0032147203667	0	0.34497552982033	3.0423489399038	0.057254524033718	1.6400031738401	1.4304285456382	0.43210493680167	0.20531066805531	0.23727789104695	1.6097177277398	0.31563592616708	1.8068789778299
10	0.96488513072045	0	0.33273421058337	2.9318046807955	0.054859438906686	1.5961625194814	1.4267713663033	0.41796207628057	0.19853836171318	0.22724523118943	1.5747740031676	0.30309398953367	1.7256390897115
10.2	0.91005386570242	0	0.31485718020707	2.7725323690877	0.051485120078865	1.5400600694525	1.4210757423334	0.39811749525375	0.18905115759921	0.2126058400518	1.523575716628	0.28575618744047	1.6061199580108
10.48	0.84288251014312	0	0.29218026108467	2.5804130416973	0.047506693032362	1.4721706701552	1.4131400668515	0.37512772116654	0.17802331510068	0.19406019047491	1.4582962916331	0.26483085005398	1.4577842150845
10.872	0.76810660908742	0	0.26451619330845	2.3750054541951	0.043189518905721	1.3926385251232	1.402104574031	0.35133568518939	0.16632169762971	0.17148233561672	1.3780227201705	0.24077182083725	1.2924302481556
11	0.74734526873001	0	0.25636933996717	2.3202388918107	0.041993313982898	1.3672942634941	1.3985198039342	0.34492188890299	0.16307969831304	0.16484480109467	1.3542250944347	0.23373837883526	1.2478111530881
11.2	0.7195929054028	0	0.24446246802769	2.249147549694	0.040353893099002	1.3338144395981	1.3929369496617	0.33655431324212	0.15873538328349	0.15515561069775	1.319282367836	0.22390175358292	1.1880001065262
11.48	0.68852025992698	0	0.229339958112	2.1757426790188	0.038456141982263	1.2932325971649	1.3851583967988	0.32782020640388	0.15393864844977	0.14287326094458	1.2745788972952	0.211906820885	1.1220974146344
11.872	0.65597344115711	0	0.21085603125316	2.1092541955159	0.036262117246596	1.2431600558269	1.3743414022885	0.3190403125583	0.14861863817077	0.12790564311603	1.2193222650799	0.19730510049092	1.0567438706404
12	0.64718154377398	0	0.20540384903853	2.0931545862992	0.035610757477704	1.2278271655048	1.3708276118695	0.31658118365951	0.14704631103124	0.12350172732138	1.202871149925	0.19294154995087	1.0401426319371
12.2	0.63498437199236	0	0.1974262782487	2.0725793624335	0.034635747180785	1.2051772450636	1.3653553001829	0.31300101490486	0.14469107415749	0.11706930200607	1.1786442343676	0.18642926245983	1.0182102348745
12.48	0.62053043197527	0	0.18727613529612	2.0515396575296	0.033354498412386	1.175971303676	1.3577307654715	0.30848015211725	0.14161467973687	0.10890776891843	1.1475078297451	0.17797727565664	0.99409336350952
12.872	0.60368979262649	0	0.17483537062799	2.0301286841079	0.031642033215023	1.1383605527906	1.3471279502607	0.30226975613317	0.13741862750964	0.098947457934615	1.1087526294603	0.16713733632521	0.96924931021903
13	0.5988100961774	0	0.1711572321349	2.024187702429	0.031102399932042	1.1269084343498	1.3436837354392	0.30022308401825	0.1360709791172	0.096013268472397	1.0971488650972	0.16384814856518	0.96265611047669
13.2	0.59160349051119	0	0.16576671243023	2.0153041538981	0.030269291856851	1.1095897904664	1.3383197792875	0.29692268219607	0.13395305222335	0.091723878407352	1.0799939867513	0.15889591273854	0.9535570895597
13.48	0.5825245178524	0	0.15889074721545	2.0045775498748	0.029159710226996	1.0872803432001	1.3308462151647	0.29240239675701	0.13111699629474	0.086274101815105	1.0578144826848	0.15249203450635	0.94298191810433
13.872	0.57121107799563	0	0.15042996313829	1.9905209717956	0.02769758439858	1.0587071504438	1.3204533412958	0.28604601582991	0.12729897882	0.079609206069181	1.0299594325229	0.14438270958852	0.93110494825067
14	0.56781978815045	0	0.14792037184575	1.9860577931542	0.027245755897623	1.0500357273416	1.3170773248586	0.28399000210952	0.12610143876348	0.07764234655198	1.0215591082552	0.14194231239228	0.92775097346368
14.2	0.56268749122555	0	0.14423410182244	1.9787735986941	0.026557596868705	1.0369091313554	1.311819579418	0.28072896607744	0.12424714973349	0.07476351288292	1.0090794148822	0.13829097423234	0.92289725530365
14.48	0.55611762840012	0	0.1395154032066	1.9694299817699	0.025662616316508	1.0201066639841	1.3044939976359	0.27639514714406	0.12183158571198	0.071098777575618	0.99282420958303	0.13362588911261	0.91698671596785
14.872	0.54775309654858	0	0.13367761581302	1.9565565724123	0.024516455116112	0.99853564555285	1.2943069099844	0.27055819146478	0.11867968725846	0.066603408427297	0.97218462278601	0.12777538821085	0.90985066973479
15	0.54521408019589	0	0.13193832491171	1.9524107205094	0.024167892193639	0.99195053554588	1.2909977417885	0.26871871953415	0.11770743614914	0.065273458219544	0.96590629745472	0.12601955830563	0.90772592143806
15.2	0.54139900980138	0	0.129375665281	1.9459936150222	0.023648252053697	0.98210217876195	1.2858441044412	0.26591605911011	0.11624500970058	0.063323436035553	0.95652499707605	0.12342317887422	0.90459062170597
15.48	0.53634745156078	0	0.12607960711191	1.9371761574731	0.022970705985693	0.96915819958081	1.2786635755625	0.26214949932979	0.11431334289444	0.060834246472021	0.94419900298988	0.12007158585673	0.90053005308822
15.872	0.52984312198565	0	0.12197227310237	1.925149578774	0.022114163858134	0.95251375819624	1.2686782006712	0.2571886573863	0.11182408012641	0.057767907246124	0.92835068064957	0.11588081229132	0.89531662868472
16	0.52785011476704	0	0.1207413363155	1.9212971044281	0.021855261950916	0.94738714257398	1.2654345572321	0.25564266528718	0.11105979662999	0.05685754755214	0.92348283284614	0.11462076469777	0.89368860655203
16.2	0.52474524521776	0	0.11892036883011	1.9149434644606	0.021464050310369	0.93953014221297	1.2603829668512	0.25322739409964	0.10988059317585	0.055519490074092	0.91616246377804	0.11273016083523	0.89114330006252
16.48	0.52072901511175	0	0.11656374012642	1.906938608581	0.020966751906729	0.92947795118149	1.2533446192035	0.25012902760528	0.10838167680278	0.053804974096853	0.90645293836328	0.11033480841195	0.88783168868875
16.872	0.5154443067132	0	0.11359976260056	1.8960099567994	0.020339280800258	0.91626106765268	1.2435569638406	0.24606498429599	0.10644319154043	0.051680626072375	0.89380067297892	0.10731380651608	0.88333477897662
17	0.51380373529368	0	0.112704873711	1.8924942300485	0.020149271633493	0.91213515812306	1.2403775478252	0.24479713114132	0.10584447999854	0.051046920897926	0.8898750685439	0.10639872787369	0.88187049647188
17.2	0.51120765931062	0	0.11137437204871	1.8866750370572	0.019860979570635	0.90576665406314	1.2354259839985	0.24280944089025	0.10491421115161	0.05011242865926	0.88393287422266	0.10501744815747	0.87952103487513
17.48	0.50781365586866	0	0.10963930902038	1.8793361303854	0.019495185964091	0.89758191083707	1.2285270026039	0.24026694016774	0.10373219142876	0.048908917961319	0.87597583880921	0.10326508497776	0.87637416043204
17.872	0.50325975201535	0	0.10743247308989	1.8692530999742	0.019031623743181	0.8866739044629	1.218933152312	0.2369205800802	0.10219104522485	0.047406212454686	0.86546963540617	0.10103408804198	0.87192817369385
18	0.50182900959418	0	0.10676027919953	1.8659848408499	0.01889050548298	0.88322745450032	1.2158166920383	0.23587147037588	0.10171120262276	0.046955144638182	0.86217804618166	0.10035229848163	0.87043976439585
18.2	0.49952837417959	0	0.10575496889686	1.8605371186212	0.018674759436685	0.8778693886576	1.2109631742886	0.23421486602063	0.10095845855978	0.04628714001719	0.85716455434182	0.099314746693225	0.86801492265005
18.48	0.49649019588653	0	0.10443235141779	1.8536505224038	0.018401309451929	0.87095993644405	1.2042007997905	0.23210022092272	0.10000247648186	0.045421200334641	0.85039117682161	0.097996654520049	0.86470252600945
18.872	0.49233626782721	0	0.1027285562754	1.8440935864935	0.018051951731674	0.86163030766704	1.1947969174208	0.22929758651229	0.098742827625279	0.044329414832724	0.84133962237582	0.096298143533367	0.85991370841014
19	0.49101710570772	0	0.10220447635766	1.8409662110184	0.017944733964061	0.85864841852293	1.191742166359	0.22841253569118	0.098346804970256	0.04399913941266	0.83847905536533	0.095773450862904	0.85828585940941
19.2	0.48886610699002	0	0.10141561104354	1.8357223881411	0.017779207984627	0.8539854253638	1.1869847533748	0.22700361496369	0.097719315439099	0.043507450694278	0.83409822426245	0.094967572719669	0.85561711481878
19.48	0.48599559564281	0	0.10036783674195	1.8290478218549	0.017569327632486	0.84795051793557	1.1803562809743	0.22520545096478	0.09692170075814	0.042864991627028	0.82813379086915	0.09394141048919	0.85192296369563
19.872	0.48200603982081	0	0.098999869690037	1.8196803494496	0.017298242007094	0.83970947157576	1.1711386052219	0.22280169571834	0.095858686617777	0.042045501136785	0.82008131446139	0.092600884778005	0.84652057122178
20	0.48072800953814	0	0.098574822057039	1.8165853688936	0.01721419390781	0.83704795351413	1.1681443415057	0.22203630454351	0.095521075760524	0.041795331765112	0.81751799115715	0.092181774754527	0.84467107659307
20.2	0.47869297916643	0	0.097930832611532	1.8117398933339	0.017087521174886	0.83299112872989	1.1634811303827	0.22086511640249	0.095005279147938	0.041420635757776	0.81357469279486	0.0915502906747	0.84172371960972
20.48	0.47582529499447	0	0.097067334863717	1.8049448513638	0.016919332573851	0.82746206014517	1.156983908784	0.21927666198683	0.09430753923431	0.040926595534298	0.80817216567793	0.090709153474069	0.83747026808343
20.872	0.4718120007878	0	0.095925127973778	1.7953592171723	0.016699856748857	0.81996167254073	1.147948752731	0.21714240010552	0.093372939437496	0.040288191484125	0.80081831709755	0.089604480203992	0.83122959020379
21	0.47052037016503	0	0.095566801458746	1.7921754318502	0.016631206267715	0.81752277467176	1.1450137786747	0.21645921160154	0.093074397466659	0.040091357233414	0.79846398403969	0.089255764469267	0.82908976801446
21.2	0.46837402518783	0	0.095020569730362	1.7868091334805	0.016522838404431	0.8136807495789	1.1404429041593	0.21535520417573	0.0925932179684	0.039794618972244	0.79482946584414	0.088710188736567	0.8255802232115
21.48	0.46546186288841	0	0.09428171681136	1.7798608581985	0.016385375977941	0.80868595317547	1.1340743345277	0.2139476501939	0.09198160095281	0.039399603933075	0.78982578634359	0.088012852202345	0.82065844913098
21.872	0.46132253064604	0	0.093292785895311	1.7699330362566	0.016203452997091	0.80175219664929	1.1252180842003	0.21203611561073	0.091150436387936	0.03888226239866	0.78297214856345	0.08707669631143	0.81341822799205
