# Time [h]	MS [1]	Lignin [1]	Butyric [1]	Initial_Substrate [1]	Carbohydrates [1]	Substrate [1]	MO_AcidoLCFA [1]	MO_hydroM [1]	MO_Acetic [1]	Proteins [1]	AA [1]	MO_acetoM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_ButyricValeric [1]	Valeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	Hydrogen [1]	Hydrogen_gas [1]	Lipids [1]	MO_AcidoAA [1]	Acetic [1]	Phi [1]
0.2	4.7522450971098e-05	1.3151134954747	1.3286668822632e-05	0	0.028899251095032	0.0019400677676582	0.015466319988144	0.036305582942985	0.011669072915512	0.01038108992433	2.9417409252495e-05	0.021050622810919	3.0787219430342e-05	0.7690873166927	0.87739832478371	0.0128051046048	0.022120488974479	4.3404512350096e-06	6.3009036723694e-05	0.079282253686965	0.086760814415205	1.0500192299763	6.1022252545001e-06	0.00026256637101084	0.0085614739017705	0.01156287564819	0.00136164510388	0.90957401041534
0.48	4.1811790212059e-05	1.3172547411167	1.987592520766e-05	0	0.025764293406923	0.004637699718556	0.015487641296187	0.036771901811766	0.011730872720821	0.0092493088390193	2.9467092722307e-05	0.0212251088278	5.9256255852481e-05	0.69315532550817	1.4310479519454	0.012846417217652	0.022191244345718	7.0123510634468e-06	0.00012868959827429	0.079641216838522	0.1085821158706	0.59577807573138	6.0342091815695e-06	0.00023172407240452	0.0076269289744394	0.011663052660256	0.0011883395572551	0.90974957736808
0.872	3.5237214771005e-05	1.3190563058185	1.9093638966233e-05	0	0.021959544799277	0.0083706400701331	0.015505227854797	0.03738782538313	0.011805768752661	0.0078681782287133	2.4560356414518e-05	0.021444932063786	7.2293359922191e-05	0.57122243515148	1.3206786698838	0.012904567260619	0.02227684996905	6.8050185543111e-06	0.00019368606180651	0.080022178253703	0.11879411989551	0.49422975079983	5.3968105800022e-06	0.00020168293935938	0.0064849693913753	0.011781002172576	0.0009812907301132	0.90990862453444
1	3.332152374447e-05	1.3194022797417	1.8265142795716e-05	0	0.020845520822501	0.0095775912784432	0.015508483266146	0.037574654454203	0.011827791423617	0.0074619174427016	2.3044747098411e-05	0.021511393221008	7.2975665892435e-05	0.5346198040575	1.1805941439949	0.012921839002099	0.02229937524555	6.5113682230004e-06	0.00020919031086198	0.080121272634681	0.11969085586847	0.48075757233053	5.1085744303423e-06	0.00019111469214093	0.006148686679679	0.011813844449712	0.00091847928542583	0.90994284359547
1.2	3.0679428945648e-05	1.3223049935079	1.6936345377848e-05	0	0.019257990334898	0.0095220563021657	0.015541790879623	0.037925930971435	0.011882988642375	0.0068820425399762	2.1085627707777e-05	0.021651645316958	7.2991154545381e-05	0.55633150726096	1.7892296414051	0.012972178198869	0.022372748097844	6.0881079928063e-06	0.00023708394275234	0.080410265381099	0.12010329763759	0.65855788354894	4.7032607958822e-06	0.00019270225115804	0.0056685079789047	0.011883224626157	0.00080653368704988	0.91015269719812
1.48	2.7249165200155e-05	1.3259757793448	1.5070814822316e-05	0	0.017238641089822	0.0094419789585828	0.015584850492876	0.038387725934845	0.011955703161179	0.0061446002586224	1.8499281033067e-05	0.02183607502036	6.9364125365959e-05	0.48840466536866	1.1033660688811	0.013038347110048	0.022465167776697	5.4489540907269e-06	0.00026701308791162	0.080773313907487	0.11639368644237	0.49770911934493	4.1305817701251e-06	0.00017429320901106	0.0050578843402961	0.011970869984126	0.00066453578351791	0.91041693318321
1.872	2.3125816890637e-05	1.330448154583	1.2714406830028e-05	0	0.014768917111678	0.0093262198465714	0.01563942890934	0.038973796335266	0.01204840390074	0.0052429932398155	1.5436546319975e-05	0.02206848599929	6.0840558962189e-05	0.41181657305347	0.91140349917219	0.013121313075795	0.022576160515092	4.6162884247688e-06	0.00029414548718772	0.081209803678096	0.10740295012888	0.49520001358166	3.4073680128172e-06	0.00015555458586496	0.004311388621859	0.012076816960901	0.00049938574476652	0.91073695311024
2	2.1912632177395e-05	1.3317656730571	1.2022192910194e-05	0	0.014040578840043	0.0092877040197459	0.01565607245744	0.039150881614133	0.012076554154981	0.0049771785912706	1.4543262146149e-05	0.022138256814724	5.7763003628573e-05	0.39186927382903	0.87505197097002	0.013145986647663	0.022608395332694	4.3706227782244e-06	0.00029990765832926	0.081336832029336	0.10400395472204	0.49692049614786	3.1771930872217e-06	0.00014972415966846	0.0040913193917257	0.012107788033603	0.00045382501527951	0.91083077288323
2.2	2.0172023801589e-05	1.3336955727473	1.1016135581786e-05	0	0.012975857026331	0.0092269349902547	0.015681254489449	0.039412710506819	0.012118076056111	0.0045886741044582	1.3279803243782e-05	0.022239832220443	5.2982644911922e-05	0.41476020506113	1.3773653617455	0.013182133096819	0.022655064609884	4.0107114016692e-06	0.00031253113782529	0.08152107791518	0.098545948486309	0.64315806935257	2.8627310225723e-06	0.00014357651649727	0.0037696899665745	0.012152799719112	0.00037675058214081	0.91096778359269
2.48	1.7986153516634e-05	1.3361594028462	9.765711734261e-06	0	0.011623917835898	0.0091408698312287	0.015715283664655	0.039748975880758	0.012171070350463	0.004095520608118	1.1718311813666e-05	0.022366718815179	4.6563912844912e-05	0.36791855261291	0.91212516161243	0.013227985084545	0.022713509745443	3.560151768134e-06	0.00032481962692643	0.081752472492699	0.088503262678259	0.48625011047095	2.4697282983167e-06	0.00013137665521569	0.0033614557912509	0.012209510664897	0.00029444981913873	0.91114189844173
