# Time [h]	MS [g]	Lignin [g]	Butyric [g]	Initial_Substrate [g]	Carbohydrates [g]	Substrate [g]	MO_AcidoLCFA [g]	MO_hydroM [g]	MO_Acetic [g]	Proteins [g]	AA [g]	MO_acetoM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_ButyricValeric [g]	Valeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Lipids [g]	MO_AcidoAA [g]	Acetic [g]
2.872	1.3992247926465	11650.436495601	0.75416549637442	0	86.767902850924	78.460636977777	137.11538970785	349.42866576569	106.44699768895	30.395389798967	0.899273302857	195.89585070048	3.5193041372503	30.791820839245	7.7758722870661	38.567693126311	115.5611337712	198.20651887025	0.27515409470457	30.360156176361	713.63240355332	7.459177278888	4.6487394977072	12.107916776595	0.00020358671444848	0.0012036131001364	0.0014071998145849	24.911102208053	106.81420853375	20.199130816067
3	1.3287657251016	11650.530486449	0.71471869331413	0	82.485500763844	78.059959344724	137.1510549119	350.27799759893	106.54320304648	28.835481045507	0.85002791266807	196.14881605906	3.3075283502125	29.18105646022	7.4965948022022	36.677651262423	115.62500781488	198.25051589786	0.26081838031605	30.450267886309	713.85923760828	7.053426783115	4.6198111912923	11.673237974407	0.00019190494404466	0.0011713624855866	0.0013632674296313	23.620243801315	106.91678567075	18.670522612952
3.2	1.2271456378327	11650.676113802	0.65745782326446	0	76.239349303874	77.438000866107	137.21367967283	351.52571335619	106.68202654548	26.560902713164	0.77962467117425	196.5069888278	3.0012134281046	30.380593287652	10.782048527591	41.162641815243	115.71566648453	198.31038922332	0.23987602306299	31.060387922522	714.17599486065	6.5159541921647	5.9440256732514	12.459979865416	0.00017465077164058	0.001082913180343	0.0012575639519836	21.738109810981	107.06403624599	14.925313364897
3.48	1.0992020673282	11650.877590733	0.58593861006067	0	68.331767324182	76.575592127454	137.31637861148	353.11387946613	106.85227259726	23.682594322631	0.69187864474477	196.93116278918	2.6268326574417	26.811474355018	7.5092286989343	34.320703053952	115.82527010616	198.37758367592	0.21362223981131	31.651468762265	714.54872940585	5.6976874095859	4.454176665467	10.151864075053	0.00015334107060652	0.00096993452868218	0.0011232755992887	19.356668191462	107.24582103353	11.33766928163
3.872	0.94468359443098	11651.155074398	0.50016061954443	0	58.714951151967	75.384372167091	137.48770469972	355.07210253541	107.05057433845	20.184586751574	0.5869751847199	197.40677188543	2.1939720099328	22.452376069032	6.4328723645315	28.885248433564	115.94873320968	198.44288162006	0.18199910503325	32.070607132778	714.94767756005	4.7375365397996	4.2036477948222	8.9411843346218	0.00013085424650061	0.00089132317874329	0.0010221774252439	16.462992443592	107.45805653536	8.7448588844862
4	0.89926751881339	11651.245259731	0.47513809832122	0	55.890116254613	74.999402018908	137.54938006205	355.65917713304	107.10846432531	19.15768864581	0.55626393097329	197.54306461376	2.070588725854	21.309730154811	6.1957710880013	27.505501242812	115.98267162378	198.45799830447	0.1727677500058	32.132062885485	715.05133316873	4.4830839367221	4.1807687681249	8.6638527048469	0.00012504540252249	0.00087199748429134	0.00099704288681383	15.613626632419	107.51822234228	8.2341859010813
4.2	0.83360743693041	11651.385116624	0.43873321953608	0	51.769116919029	74.401824665097	137.65224011024	356.52345904596	107.1905018612	17.660221381993	0.51209046016349	197.73211690149	1.8903508809887	21.512096364488	7.7253913993656	29.237487763854	116.02956529901	198.47580723824	0.1592815431438	32.452883823145	715.18848949681	4.1879383321638	5.4248197529869	9.6127580851508	0.00011530547946519	0.00075394740959538	0.00086925288906057	14.375168495046	107.60369328005	6.7322257413264
4.48	0.75088011217169	11651.578799362	0.39313307467678	0	46.550368924597	73.57322075351	137.80986386928	357.62913491574	107.28853504997	15.76509648986	0.45679641554804	197.951201481	1.6717396082246	19.100600537019	5.7872564851779	24.887857022197	116.08375894313	198.48983778203	0.14235080005274	32.779329682011	715.3339028047	3.7346111097063	4.1940261226385	7.9286372323448	0.0001042238006324	0.00066597017357794	0.00077019397421035	12.808081009044	107.70735192219	5.5968558112533
4.872	0.65094499232969	11651.845882765	0.33828381774413	0	40.200561797169	72.428689342439	138.05222920083	359.02121366779	107.40482713276	13.461587929924	0.39041617914566	198.20613273971	1.4182957899087	16.463595898271	5.0969060870272	21.560501985298	116.14011494121	198.49059359729	0.12193009411535	33.055982024401	715.45647751536	3.2594272078138	4.0320856658962	7.29151287371	9.3380190340704e-05	0.00062080404816282	0.00071418423850353	10.903769209592	107.8247025922	4.8907686318388
5	0.62159197059767	11651.932414214	0.32226295279598	0	38.334664825441	72.058811485108	138.13567608014	359.44543745544	107.4395495757	12.785277266514	0.37097511827454	198.28174495788	1.3457112626601	15.793820939911	4.9378427135223	20.731663653433	116.1543723981	198.48675931	0.11596297378303	33.112076569878	715.47893784883	3.1402302835037	4.0346649895449	7.1748952730486	9.0442946522394e-05	0.00060999867100067	0.00070044161752306	10.344778606436	107.85700967275	4.744548086921
5.2	0.57917523430499	11652.066655895	0.29894976941913	0	35.611847290435	71.484660633475	138.27051336374	360.07765173564	107.48967965862	11.798960424826	0.34293966784028	198.38983985588	1.2395755031597	15.734927566267	5.6088563267249	21.343783892992	116.17271114736	198.47694957042	0.10725392628505	33.191031097761	715.4976686033	3.030820574181	5.1653388038771	8.1961593780581	8.5614105463039e-05	0.00054821798821471	0.00063383209367775	9.5296776296928	107.90187960084	4.3179143714821
