# Time [h]	All Liquid [L/h]	MS [g/L]	Butyric [g/L]	AA [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
0.2	26.491692416667	0.051373151456686	0.014673171585961	0.032080618415964	0.034252633612201	0.0048096587437559	0.07010951608939	1.4512262091888
0.48	26.98795813737	0.045267716888969	0.022597961524406	0.032440346705003	0.06917502369567	0.0080068550393753	0.15133662992088	1.2541130738423
0.872	27.583139407444	0.038160021110346	0.022085317746628	0.027060466323645	0.089380320689492	0.0078996229443219	0.24851041297543	0.99697763308875
1	27.769873783746	0.036087764659737	0.021176967507858	0.025381455831032	0.091707716956606	0.0075744326367128	0.27618639915862	0.91287221914249
1.2	17.982632084852	0.033136063510078	0.019425780201465	0.023036559191739	0.091786886818031	0.0069878249845053	0.31581372145733	0.77605355688238
1.48	18.372036360026	0.029440772840318	0.017156096382035	0.020176325067885	0.087586224796221	0.0062004028804434	0.36399623240791	0.59386246261078
1.872	18.838650638346	0.025013635773244	0.014427199904545	0.016841328384197	0.077248504220621	0.0052374515105882	0.41770827962115	0.3767969755301
2	18.96913704069	0.023711218382957	0.013635541277803	0.015870095662766	0.073412928521162	0.0049573375347407	0.43190041806659	0.31663830621853
2.2	19.142657265842	0.021844788586375	0.012494960421168	0.014499003456105	0.067298948105601	0.0045498399606609	0.45072156563167	0.23977606300976
2.48	19.320420643338	0.019502856861453	0.011078657671786	0.012806268300126	0.058980594651338	0.004040282220367	0.4702552680162	0.16611560086561
2.872	19.473628377387	0.016686218368808	0.0093947492169726	0.010803666781708	0.048568914383358	0.0034297813617826	0.48472734413486	0.11156458627583
3	19.509260030707	0.01585828953407	0.0089059229226312	0.01021871749085	0.045510232741111	0.0032522719772269	0.48665642285361	0.10030921030375
3.2	19.557136785156	0.014667001501113	0.0081997364715663	0.0093844927105717	0.04113472963243	0.0029942545958754	0.48701446857984	0.087684880041377
3.48	19.609716737413	0.013170136420925	0.0073183483302947	0.0083465479486267	0.035796283352682	0.0026707716051504	0.48267416084198	0.075849697734672
3.872	19.665577618924	0.011368204568909	0.0062642536714495	0.0071093003751917	0.029676980026966	0.0022819825196948	0.46904408672836	0.064874109926955
4	19.680646736762	0.010839028830672	0.0059573614665893	0.0067474925351811	0.027945995006617	0.0021686727099195	0.46335914131925	0.062003077688387
4.2	19.704382910807	0.010077420294033	0.0055132907601222	0.0062289853219537	0.025500025682175	0.0020040495490273	0.45350686964763	0.058106923597229
4.48	19.732041904514	0.0091215689870292	0.0049578692149123	0.0055818526463691	0.022534609545291	0.0017975065274038	0.4384909173319	0.053548319623589
4.872	19.762775341146	0.0079743893453909	0.0042927053263459	0.0048088322024717	0.019117427717907	0.0015492549441411	0.41703111179394	0.048443618795215
5	19.771463301649	0.0076380287389146	0.0040989944320758	0.0045828430320342	0.018144009047545	0.0014768928613861	0.41031152753046	0.047003391976779
5.2	19.784782023763	0.0071565945929727	0.0038189994432843	0.0042590630674634	0.016758006273041	0.001371960486458	0.40027442151435	0.044983434594449
