# Time [h]	FOS [g/L]	COD [g/L]	pH [1]
10.48	0.032754269939475	0.77634267948402	0.93772075878888
10.872	0.032795398929149	0.75184345328242	0.9376539860966
11	0.032805580962444	0.74468653044352	0.93763683795519
11.2	0.032567304270112	0.73322875749922	0.9376143212327
11.48	0.032402298151021	0.71649302771118	0.93759002773288
11.872	0.032225821606658	0.69574362643005	0.93756615203969
12	0.03216236638981	0.68961753462213	0.93756013603759
12.2	0.031898889531542	0.67927937129639	0.93755237861062
12.48	0.031623408379849	0.66371926702233	0.93754432299966
12.872	0.031276703179264	0.64394317642736	0.9375367862765
13	0.031164814519085	0.6380030747435	0.93753496573577
13.2	0.030902147143125	0.62772199377297	0.93753273887789
13.48	0.030585041935567	0.61203173670702	0.93753078124543
13.872	0.030175751821416	0.5917656630505	0.93752954023131
14	0.030047508958228	0.58561701137055	0.9375293815376
14.2	0.029777448470912	0.57512620606301	0.93752941373611
14.48	0.029444129505258	0.55909805169587	0.93753007840664
14.872	0.029017508427829	0.53833139705029	0.93753175048352
15	0.028885566119144	0.53202632862538	0.93753240165332
15.2	0.028609599323785	0.52150300372643	0.93753358852274
15.48	0.028271218860271	0.5054731518222	0.93753568437234
15.872	0.027841707226872	0.4848048444866	0.93753907225593
16	0.02770953147826	0.4785577838568	0.93754022361481
16.2	0.027432459870948	0.46826203220976	0.93754215209677
16.48	0.027093254022879	0.45260791768084	0.93754522026445
16.872	0.026662472804785	0.4325616663543	0.93754985818748
17	0.026529859284129	0.42653534279833	0.93755139048219
17.2	0.026250506339924	0.41663187343854	0.937553905905
17.48	0.025907384180904	0.401555716339	0.93755779120775
17.872	0.025469231039818	0.38235215398703	0.93756355920006
18	0.025333945202102	0.37660282778101	0.93756545128076
18.2	0.025046803620189	0.36715667128823	0.93756854051569
18.48	0.024692558831384	0.35271889611677	0.93757326466703
18.872	0.024237303660488	0.33439364326997	0.93758025393577
19	0.024096264406998	0.32892367334085	0.93758254554386
19.2	0.02379498179221	0.31997696511544	0.9375862825072
19.48	0.023422080001955	0.30622295019905	0.93759197121304
19.872	0.022940778700842	0.28882686677462	0.93760038610442
20	0.022791404657135	0.28365175486004	0.93760314687514
20.2	0.022471211689565	0.27528297421234	0.93760764465513
20.48	0.022074787209168	0.26232181388303	0.93761446207205
20.872	0.021563100612354	0.24601385061251	0.93762453085124
21	0.021404472937031	0.24118693401133	0.93762783217001
21.2	0.021063705666368	0.23351749739801	0.93763320013373
21.48	0.020643538083732	0.22151832454997	0.93764129177339
21.872	0.020104089362144	0.20653522362759	0.93765319144264
22	0.019937597095635	0.20213252054898	0.9376570832225
22.2	0.019578709097806	0.19530074014784	0.9376633912074
22.48	0.019140264186723	0.18444779973883	0.9376728343568
22.872	0.018583452366884	0.17102910182641	0.93768662250879
23	0.018412914563199	0.16712325284712	0.93769111159902
23.2	0.018043166374886	0.16125510552714	0.93769835491807
23.48	0.017597897925914	0.15170574119441	0.93770910590157
23.872	0.017041498541355	0.14003628832129	0.93772464344129
24	0.017314919385107	0.13677280949971	0.93773048648245
24.2	0.02044309477495	0.13611919707696	0.93773428035129
24.48	0.022257541393167	0.13256355308387	0.93773598273926
24.872	0.023138994657078	0.12713335673614	0.93773780860838
25	0.023310834160853	0.12552113352141	0.93773845508161
25.2	0.019746362003469	0.11949233681508	0.93774339710427
25.48	0.01763123389317	0.1104653504584	0.9377556654151
25.872	0.016715983523309	0.10139390428077	0.93777390067591
26	0.016603145135202	0.099150472709314	0.93777942302707
26.2	0.0165263999095	0.096901929780765	0.93778758024518
26.48	0.016473780155786	0.092269893008235	0.93779822972089
26.872	0.016447911706948	0.087123256530168	0.93781154046437
27	0.016444652414814	0.085766421788728	0.9378154797145
27.2	0.01631323172619	0.084722763245319	0.93782150176102
27.48	0.016222783046857	0.081374171787084	0.93782978881142
27.872	0.016147490953367	0.077504929248226	0.93784053531176
28	0.016126792101646	0.076479408072065	0.93784377053225
28.2	0.016021822590948	0.076100483378488	0.93784871317093
28.48	0.015925304355597	0.073517921650644	0.93785550605117
28.872	0.015819899139101	0.070490701952529	0.93786434678606
29	0.015788402015157	0.069694992555912	0.93786702123657
29.2	0.01570998404507	0.069804494082598	0.93787107010652
29.48	0.015617509724889	0.067787737903413	0.93787657796952
29.872	0.015501673982167	0.065386363996627	0.93788372380558
30	0.015465916324585	0.064761768154586	0.93788588961252
