Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
2.872	2.0412695702762E-8	8.6796857403246E-8	6.1687721073468E-8	6.9760412045796E-9	7.6550432833244E-6	-0.039634279839882	2.1084119264302E-13	0.19152529496552	
3.0	1.89548572636114E-8	7.8451577635112E-8	5.9657957251312E-8	6.4802519700934E-9	7.2776886612928E-6	-0.03633025304477	2.0690075860876E-13	0.194828874338454	
3.2	1.69532654917796E-8	6.7606536669888E-8	6.1453957036342E-8	5.7943641984298E-9	6.7113246195666E-6	-0.031711303240212	2.0168838910534E-13	0.199447247460836	
3.48	1.46616524509326E-8	5.602955538674E-8	5.7813091203372E-8	5.0052450695932E-9	5.9768737579272E-6	-0.026214203702172	1.95892828780078E-13	0.20494359509954	
3.872	1.21282186248748E-8	4.4347131412942E-8	5.4184465077006E-8	4.1281603729892E-9	5.0138929224644E-6	-0.020080170985344	1.89891851238858E-13	0.21107664779628	
4.0	1.14274301039094E-8	4.126066056641E-8	5.3296613323398E-8	3.8853409843468E-9	4.7113403743212E-6	-0.0183890074600218	1.88316237590422E-13	0.2127674881452	
4.2	1.0433416379679E-8	3.7045590586418E-8	5.5867189553144E-8	3.5389689560758E-9	4.2456459794072E-6	-0.016024249182753	1.86166414541552E-13	0.21513177833	
4.48	9.2444375735614E-9	3.2207776096152E-8	5.358603440753E-8	3.1230000414982E-9	3.6187489216172E-6	-0.0132092579866108	1.83684915030814E-13	0.21794613452174	
4.872	7.8703279516076E-9	2.6876075977484E-8	5.0747525515584E-8	2.6402491387532E-9	2.7868150827706E-6	-0.010068319704962	1.81010567690888E-13	0.22108623185058	
5.0	7.4796138595768E-9	2.5392230956158E-8	4.9925732620436E-8	2.5028611849196E-9	2.5268363728346E-6	-0.0092026378577334	1.8029027767064E-13	0.22195164488094	
5.2	6.9216710901032E-9	2.3314369934674E-8	5.187197414706E-8	2.3058112354542E-9	2.1371007913108E-6	-0.007992974667858	1.79295533957968E-13	0.22316091773016	
