# Time [h]	MS [g]	Lignin [g]	Butyric [g]	Initial_Substrate [g]	Carbohydrates [g]	Substrate [g]	MO_AcidoLCFA [g]	MO_hydroM [g]	Proteins [g]	AA [g]	MO_acetoM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_ButyricValeric [g]	Valeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Lipids [g]	MO_AcidoAA [g]	Acetic [g]
0.2	3.7060406396934	8024.2355638448	0.71914605371312	0.0	176.344320821204	34.437634872552	94.4413420582	221.02786389028	63.342398960404	2.4281619331374	128.162534532168	1.70395948365218	48.267288095418	4.018371786973	52.28565988239	78.153315385998	135.002095945772	0.21506686365968	3.9803659030066	483.7781529047	4.5389363568074	6.5242025725346	11.063138929342	3.2087473417114E-5	1.80218674175454E-4	2.1230614759256E-4	52.238940766058	70.523931801494	95.8591032008	
0.48	3.3243554116524	8024.318430111	1.09200120372664	0.0	157.025915825676	82.418521206218	94.49635213086	222.91698523688	56.35314278061	2.7739420967812	128.645274432454	3.317954526367	40.508663489378	7.0737055107094	47.582369000088	78.304312606856	135.271216504618	0.36153980724606	8.5128239085286	485.32016185676	5.0996205363294	4.1832992370366	9.282919773366	3.563139307765E-5	2.0293454291664E-4	2.385659359943E-4	46.464697752652	71.023673172298	99.04442996058	
0.872	2.7740978595394	8024.5463461298	1.05152966200298	0.0	133.835626441032	149.137492442922	94.618043163246	225.60883982008	47.895276199574	2.3876973960392	129.326726868378	4.1359034195476	31.522287840196	6.4705549626148	37.99284280281	78.577184094304	135.69827970173	0.35943949156062	13.778205872562	487.18461698048	5.3974702597358	3.454689026296	8.8521592860316	3.3153845636908E-5	1.88440993808742E-4	2.2159483944566E-4	39.463519443832	71.694904730276	103.37078696558	
1.0	2.6159790956166	8024.6421638976	1.00423786249578	0.0	127.097055494332	170.814273599534	94.666292224684	226.45183880304	45.420590647058	2.2394894208742	129.550411591888	4.1942743006418	29.159117740118	5.880991278015	35.040109018134	78.669806426086	135.829488798638	0.34456404514358	15.2687155380638	487.72804083742	5.4363726616186	3.360474187592	8.7968468492106	3.1832498317874E-5	1.8070922638077E-4	2.1254172469864E-4	37.411651511004	71.89420356542	104.398853885408	
1.2	2.3919428090482	8024.7989585128	0.89958190887724	0.0	117.298362135638	170.132397035912	94.748540483462	227.71766489402	41.815677376102	2.0220706084408	129.900775951558	4.0576605975614	28.15568032747	6.7238250986002	34.879505426072	78.814057526124	136.019282673412	0.31565962267302	17.3493325792068	488.51600190012	5.53424138976	4.5619527440934	10.0961941338534	2.9219484696122E-5	1.62965724910244E-4	1.92185209606366E-4	34.421391307366	72.1838889461	104.392609624908	
1.48	2.1176716866094	8025.0163388998	0.78509499830074	0.0	104.898794951994	169.182350123134	94.876713312674	229.37664988354	37.254629744136	1.76071569597526	130.392636253896	3.6894714727916	24.638061515518	4.9377704345314	29.57583195005	79.009104704646	136.255126390002	0.27914425898858	19.9394249748704	489.50639727518	5.503102784838	3.648363383564	9.151466168402	2.5846346787494E-5	1.45044160722572E-4	1.70890507510066E-4	30.638164108356	72.548625004904	103.65694422699	
1.872	1.79111918295232	8025.316902885	0.65514682345012	0.0	89.829379219268	167.861221412196	95.079184221442	231.47409245686	31.712882661224	1.45769157359352	131.083075171526	3.0170564437052	21.495296485224	4.2490867709378	25.744383256162	79.258613311704	136.535423682036	0.23484838129326	22.879490439614	490.69681526884	5.4229900619418	3.6648070348316	9.0877970967734	2.1636169270508E-5	1.2206615758357E-4	1.43702326854076E-4	26.041753515948	72.98834173286	100.831539773606	
2.0	1.69514609979366	8025.4166203684	0.61799408752746	0.0	85.40510928077	167.432063080436	95.150377063408	232.10594855342	30.086207425544	1.37010476245944	131.308833616666	2.7897956743644	20.786847855208	4.099025837839	24.885873693046	79.333284821274	136.616375114716	0.22204865785928	23.691533452402	491.0432885281	5.395110339755	3.6961726948382	9.0912830345932	2.0320985962836E-5	1.1478111734507E-4	1.35102103307906E-4	24.692631415372	73.116751898532	99.505704689074	
2.2	1.55792840510194	8025.5715801526	0.56408299825808	0.0	78.95337200447	166.763703323268	95.266463211776	233.03891540966	27.71444287855	1.2457649816191	131.661616501348	2.4481570477458	21.363953560338	5.0049856458744	26.368939206212	79.441888701202	136.732809882332	0.2031328456811	24.78123365789	491.54479420394	5.4024583491196	4.6178067240356	10.0202650731552	1.85025034714774E-5	1.03466666583832E-4	1.21969170055308E-4	22.725621146356	73.30293399157	96.901242065042	
2.48	1.38874802493816	8025.7869839522	0.4991125992589	0.0	70.788154462906	165.832490289932	95.438200134864	234.23956446126	24.713479933508	1.09600375603008	132.155202281316	2.0335259948066	20.242074710144	4.004293834824	24.246368544968	79.5772628624	136.877205889566	0.18009331477518	26.106451212428	492.17277879648	5.3106022253136	3.8312147732962	9.1418169986098	1.62998659061348E-5	9.1607644245576E-5	1.0790751015171E-4	20.236928042952	73.536909832004	92.706246342658	
2.872	1.18558969006936	8026.0856984166	0.42213332749878	0.0	60.862960800884	164.537549119462	95.694614556376	235.73358152102	21.067019514748	0.91953423750152	132.844402715702	1.58018580880098	19.2239456187618	3.7423820479728	22.966327666734	79.736216198748	137.047472982828	0.152504287716492	27.5098466077	492.92319913376	5.1883086115064	3.7711574796076	8.959466091114	1.37804343410126E-5	7.778530301232E-5	9.1565737353332E-5	17.2131915593654	73.818494924636	85.580901172648	
