# Time [h]	Carbondioxide [NL]	Methane [NL]	Hydrogen [NL]	Sum [NL]
0.2	1.9585902034568	8.7897038678187	0.0001057285191482	10.748399799795
0.48	4.5724568941647	9.9488178617097	7.8887034835066e-05	14.521353642909
0.872	6.9611531721421	11.807110687629	7.1731292268687e-05	18.768335591063
1	7.4068120177496	12.301582793508	7.1487258657522e-05	19.708466298516
1.2	9.5815212700388	15.818441750656	0.00012062647793946	25.400083647173
1.48	10.083636132807	16.360085870683	0.00010462448668733	26.443826627977
1.872	10.910703967112	17.684341239137	0.00010022230881691	28.595145428558
2	11.166295652154	18.121249456037	9.997847060418e-05	29.287645086661
2.2	12.529007435766	21.064945123434	0.00011945687714229	33.594072016077
2.48	12.742103218297	21.26110876257	0.00011186983459155	34.003323850702
2.872	12.896788398778	21.642249830273	0.00010974689188206	34.539147975942
3	12.922726537062	21.753677350018	0.00010957857552394	34.676513465655
3.2	13.315932707613	23.675002608672	0.00011492772366417	36.991050244008
3.48	13.246925112129	23.394076576505	0.00011209188393256	36.641113780518
3.872	13.148732471013	23.341220149566	0.00011130500037449	36.490063925579
4	13.116093277708	23.340898760503	0.00011123136294534	36.457103269574
4.2	13.211257201613	24.619121589194	0.00011238028298581	37.830491171089
4.48	13.155121765803	24.359019606131	0.00011164828555583	37.51425302022
4.872	13.088701253078	24.289775008379	0.00011143364937205	37.378587695106
5	13.067759291742	24.279250122668	0.00011141048557458	37.347120824896
5.2	13.105816652842	25.186622087863	0.0001116156854834	38.292550356391
5.48	13.073463102966	24.979618799947	0.0001114671989795	38.053193370112
5.872	13.035566806924	24.916902846119	0.0001114152239145	37.952581068267
6	13.023664691901	24.90494170242	0.00011140782309699	37.928717802144
6.2	13.047199812305	25.598659689432	0.000111432609862	38.645970934347
6.48	13.028617518865	25.427999680313	0.00011140877341897	38.456728607951
6.872	13.007010781406	25.36989817605	0.00011139543096152	38.377020352887
7	13.000171473976	25.35744504485	0.00011139257595431	38.357727911402
7.2	13.019693824021	25.928580198171	0.00011140416011716	38.948385426352
7.48	13.008655581788	25.779788972157	0.00011139261707421	38.788555946562
7.872	12.99614350585	25.724188230068	0.00011138555725352	38.720443121475
8	12.992106524295	25.711441159128	0.00011138398015905	38.703659067403
8.2	13.010543296677	26.212252339482	0.00011139572576153	39.222907031884
8.48	13.003657267179	26.076154464161	0.00011138566913385	39.079923117009
8.872	12.99623710641	26.021814864616	0.00011138053926741	39.018163351566
9	12.993761653372	26.008857004733	0.00011137953202708	39.002730037637
9.2	13.011930182744	26.469224857143	0.00011139835823557	39.481266438245
9.48	13.007353955039	26.340412627153	0.00011138473022204	39.347877966922
9.872	13.00280105988	26.286689166837	0.00011137911898566	39.289601605836
10	13.001203914114	26.273582171581	0.00011137826074699	39.274897463956
10.2	13.019324615533	26.710601713461	0.0001114150623952	39.730037744057
10.48	13.01605520345	26.585998423709	0.00011139084522033	39.602165018004
10.872	13.013145482956	26.532639970243	0.00011138157147617	39.545896834771
11	13.012052859298	26.519454932898	0.00011138039324386	39.531619172589
11.2	13.030198651619	26.943026880643	0.0001114316752509	39.973336963938
11.48	13.027689039637	26.820918998612	0.00011139921435135	39.848719437464
11.872	13.025748963393	26.767883951133	0.00011138629774444	39.793744300825
12	13.024954570101	26.754692371412	0.0001113846840426	39.779758326197
12.2	13.043161466147	27.170655648082	0.00011144570050231	40.213928559929
12.48	13.041102758017	27.050067257361	0.00011140794040208	40.091281423318
12.872	13.039742025854	26.997346368855	0.00011139219077357	40.0371997869
13	13.039124961281	26.984192348263	0.0001113901811174	40.023428699725
13.2	13.057397689963	27.395971013045	0.00011145278642128	40.453480155794
13.48	13.055602494517	27.276302947498	0.00011141440043389	40.332016856415
13.872	13.054578193557	27.223840462295	0.00011139782473646	40.278530053676
14	13.054062983631	27.210732820829	0.00011139566399621	40.264907200124
14.2	13.072382744778	27.620255009443	0.00011145543166183	40.692749209652
14.48	13.070734161006	27.501125998609	0.00011141893620645	40.571971578551
14.872	13.069893884151	27.448837655517	0.00011140284393527	40.518842942512
15	13.069433688146	27.435764857305	0.00011140071767908	40.505309946168
15.2	13.087776213316	27.844056187177	0.00011146139647457	40.93194386189
15.48	13.086204529342	27.72523414683	0.00011142462074904	40.811550100793
15.872	13.085457789879	27.673043712392	0.00011140822985645	40.758612910502
16	13.085025223181	27.659990111716	0.00011140605024856	40.745126740947
16.2	13.103365181996	28.067548766189	0.00011145537070771	41.171025403556
16.48	13.101830346616	27.948896392924	0.00011142514347689	41.050838164684
16.872	13.101127575755	27.896749097938	0.00011141157849042	40.997988085272
17	13.100707959301	27.883701835011	0.00011140976646473	40.984521204079
17.2	13.119032845885	28.290765714434	0.00011145416131611	41.409910014481
17.48	13.117515127529	28.172214920595	0.00011142714513241	41.289841475269
17.872	13.116830986788	28.120078669411	0.00011141498205284	41.237021071181
18	13.116416843922	28.107029806159	0.00011141335467056	41.223558063435
18.2	13.134718212407	28.513702454964	0.00011145279964593	41.648532120171
18.48	13.133207614692	28.395218100208	0.00011142880575347	41.528537143705
18.872	13.132529761421	28.343074763058	0.00011141798313823	41.475715942462
19	13.132117512338	28.33001960603	0.00011141653394032	41.462248534902
19.2	13.150390855765	28.736342706182	0.00011145146799117	41.886845013414
19.48	13.148882777889	28.617908347572	0.00011143022696377	41.766902555688
19.872	13.148205566355	28.565748396357	0.00011142063391281	41.714065383346
20	13.147793591941	28.552684383383	0.00011141934878079	41.700589394673
20.2	13.166037718835	28.958675786462	0.00011145355539665	42.124824958852
