# Time [h]	Acidogenesis_MS [g/h]	Valeric_Degradation [g/h]	Propionic_Degradation [g/h]	hydro_Methanogenesis [g/h]	Acidogenesis_LCFA [g/h]	Butyric_Degradation [g/h]	Acidogenesis_AA [g/h]	aceto_Methanogenesis [g/h]
7.2	3.8113113808876e-38	2.5726194555781e-06	2.2374773966543e-05	0.0005309844937305	0.0016667223087654	8.2434570085725e-06	5.5524957313258e-28	0.51244951837463
7.48	1.3420854271285e-37	3.6975150287593e-07	6.1467335376605e-06	0.00044499749593006	0.0014148722618101	1.2761869981383e-06	7.1722001351505e-29	0.51095499902389
7.872	3.0475622019581e-38	2.5108066353103e-08	1.0167729464074e-06	0.00035279835970669	0.0011266296403375	9.737809635856e-08	4.4352166699212e-30	0.50896322845652
8	-1.1296996957774e-36	1.0038808744103e-08	5.3926146489356e-07	0.0003273185303098	0.0010457335938389	4.0311311615482e-08	1.812831277483e-30	0.50795130768199
8.2	4.0741877200916e-38	2.4218108906561e-06	2.1994864094843e-05	0.00030062537171412	0.00093081880891751	8.2564173668244e-06	4.8325063635733e-31	0.50665056243944
8.48	-1.167365870354e-37	3.744314544906e-07	6.3189049793925e-06	0.00025035162570593	0.00079238475033273	1.3706395117035e-06	8.4985310813607e-32	0.50519286670868
8.872	-5.5873498422381e-36	2.8767334126768e-08	1.1257946003524e-06	0.00019890702771658	0.00063454287992234	1.1742506075982e-07	8.7726179597375e-33	0.50339892337878
9	-1.6197825075493e-36	1.203391404178e-08	6.162255342764e-07	0.00018490906056549	0.00059039771751882	5.0771939794066e-08	4.2185299129413e-33	0.50243732301665
9.2	-2.1521334134817e-38	3.4530107408608e-06	3.3175971169747e-05	0.00017932487932128	0.00052771506561988	1.2637277305336e-05	1.4288492420202e-33	0.50130493959393
9.48	-1.4796075086051e-37	5.908974099187e-07	1.0154798651999e-05	0.00014555936955402	0.00045251544064894	2.3120022185104e-06	3.4678704575205e-34	0.50018014821965
9.872	3.3006861962114e-38	5.3423239998276e-08	1.9976608161366e-06	0.00011554196359968	0.00036701507244506	2.3081250856258e-07	5.5652785924318e-35	0.49906583198346
10	-1.2188266419886e-37	2.3629195359237e-08	1.1372596808238e-06	0.00010775562726894	0.00034315321176083	1.0530246696319e-07	3.0647410503502e-35	0.49842519206808
10.2	-3.3291544618523e-37	5.9346987615267e-06	6.0429714438107e-05	0.00012263428055428	0.00030917994714358	2.3217229475656e-05	1.258663481404e-35	0.49786017475452
10.48	3.3138865763211e-36	1.1415629818889e-06	1.9936051577549e-05	9.1898049810131e-05	0.0002685203361897	4.7515193207154e-06	3.9064300316031e-36	0.49742017789133
10.872	-1.088180294127e-38	1.2289483646302e-07	4.3728372600513e-06	7.1104025197375e-05	0.00022213483107266	5.5926793583193e-07	8.5510573337788e-37	0.49737250232367
11	2.0745485164979e-38	5.7480074640713e-08	2.5906089521218e-06	6.6365146437131e-05	0.00020913888584662	2.6927185064836e-07	5.1832023127585e-37	0.49721981633684
11.2	2.8429961692982e-39	7.3102381034317e-06	7.9688851466901e-05	9.3612278643654e-05	0.00019050251936443	3.0302491357185e-05	2.4372842695907e-37	0.49736533347949
11.48	-9.3368664572082e-36	1.5677352234894e-06	2.8211777546149e-05	6.3784850379844e-05	0.00016809367211742	6.884392057453e-06	8.9533429813195e-38	0.49768637137548
11.872	-2.5228397186836e-37	1.9625080869587e-07	6.8111679882269e-06	4.7005328467161e-05	0.00014217342386306	9.3476469883959e-07	2.4014264956601e-38	0.49854764603258
12	-1.614955360803e-37	9.6064616927284e-08	4.1692060219645e-06	4.3699799575869e-05	0.00013482155762472	4.7027343572916e-07	1.5486222798302e-38	0.49877036750587
12.2	-2.7747066121974e-38	7.7793373960105e-06	9.12705134903e-05	7.7528058621819e-05	0.00012414532454839	3.3864309142763e-05	7.9409146656719e-39	0.49939325049998
12.48	-8.6294212506425e-38	1.8126374454941e-06	3.4106348547331e-05	4.830441772584e-05	0.0001111666238238	8.3326575345132e-06	3.2423406237149e-39	0.50011086071404
12.872	3.2422073811113e-38	2.5285893250738e-07	8.8286387319798e-06	3.3265417663909e-05	9.5827659182011e-05	1.2540685683933e-06	9.8372775757937e-40	0.50127439272587
13	-2.3785150546719e-38	1.2770736416103e-07	5.5269268421717e-06	3.061951959902e-05	9.1401872812044e-05	6.5026628635326e-07	6.5817621456036e-40	0.50161580321787
13.2	-1.76091953376e-38	7.2463359714022e-06	9.2000060348882e-05	6.5250453083369e-05	8.4881715176365e-05	3.3100947575729e-05	3.5522060707279e-40	0.50232461127889
13.48	-5.8476808175175e-37	1.7827315346729e-06	3.5596865119797e-05	3.8119401550264e-05	7.6851393068213e-05	8.5823977764557e-06	1.5424274424949e-40	0.50301593318556
13.872	3.7340492063749e-38	2.6620846019663e-07	9.6247212370339e-06	2.4591888920285e-05	6.7150445325164e-05	1.3782148917002e-06	5.0200391303711e-41	0.50398498978107
14	8.6169173292433e-39	1.3704874937738e-07	6.1077267723396e-06	2.2357694772733e-05	6.4305860475767e-05	7.2798593184393e-07	3.4288523008703e-41	0.50426842196834
14.2	1.9449758289425e-38	6.3682554359561e-06	8.7167235066326e-05	5.5210565666647e-05	6.0062152010731e-05	3.0550622175261e-05	1.9043624973635e-41	0.50483086172928
14.48	-2.0016576025677e-37	1.6181758193958e-06	3.4408024639337e-05	3.070186166285e-05	5.4778958474666e-05	8.1717873880497e-06	8.5560793114521e-42	0.50529322669814
14.872	3.0693336556382e-39	2.5138956780836e-07	9.536771985119e-06	1.8655453400014e-05	4.8286217133831e-05	1.3627676103982e-06	2.8939579291157e-42	0.50590378122317
15	1.2769076713834e-38	1.308516475588e-07	6.0982647058088e-06	1.6739402956249e-05	4.6359341306059e-05	7.275236819885e-07	1.9990428825463e-42	0.50607912876216
15.2	-1.1898582197532e-38	6.0295413589606e-06	8.7713618760623e-05	5.0088681745487e-05	4.3454724681616e-05	3.0281384130427e-05	1.1275354855642e-42	0.50647814395535
15.48	-3.1488259995629e-37	1.5604851388857e-06	3.5002949163746e-05	2.6227687870907e-05	3.9816856339795e-05	8.2443668326855e-06	5.1602224675247e-43	0.50668707035004
15.872	3.7764276960682e-38	2.478847663818e-07	9.834344516154e-06	1.4700174272731e-05	3.529446219388e-05	1.4044132393132e-06	1.78210088838e-43	0.50697693248848
16	1.511567450545e-38	1.2983071629563e-07	6.314947021933e-06	1.2933751606033e-05	3.3941733648271e-05	7.5426849562866e-07	1.2385451947223e-43	0.50705952932867
16.2	6.6841418378517e-38	4.6765701988955e-06	7.2131274488448e-05	3.9865611186999e-05	3.1892031732914e-05	2.450943487445e-05	7.0473492686777e-44	0.5072573116809
16.48	4.9518979845553e-37	1.2229316039315e-06	2.8941090285729e-05	2.0529573481411e-05	2.9311077137706e-05	6.7398846700953e-06	3.258397014083e-44	0.50732368872554
16.872	1.7886424279092e-37	1.9672305370645e-07	8.1891800793091e-06	1.1202157567057e-05	2.6079106909401e-05	1.1620092677728e-06	1.1382329600632e-44	0.50741800836368
17	3.4076927165826e-38	1.0340249740453e-07	5.2704103936526e-06	9.7856704975655e-06	2.5107605633727e-05	6.26234254565e-07	7.9374135089686e-45	0.50744226131804
17.2	-1.2584807785685e-38	4.0320532603335e-06	6.4387355273403e-05	3.4042012248752e-05	2.3629131887064e-05	2.1853475451622e-05	4.5382190059858e-45	0.50752544711263
17.48	-3.1741824459162e-37	1.0607767227367e-06	2.5916605028916e-05	1.6977105742819e-05	2.1763329544495e-05	6.0446124695248e-06	2.1103072100727e-45	0.50749901112563
17.872	-9.9961461901672e-37	1.7190932858196e-07	7.3644665298652e-06	8.8113758811021e-06	1.9416211543891e-05	1.0495569599761e-06	7.4199182239523e-46	0.50747467336407
18	-2.2748023982837e-37	9.055604709972e-08	4.7461672463254e-06	7.5919248296071e-06	1.8708483773448e-05	5.6681768027644e-07	5.1844212011701e-46	0.50746435291299
18.2	-4.5682586238166e-38	3.4859849790635e-06	5.7140061196473e-05	2.9148304475033e-05	1.762813435539e-05	1.9388919878999e-05	2.9727755601406e-46	0.50746733601648
18.48	3.6363098763826e-37	9.2057845707487e-07	2.3042490129129e-05	1.41265049502e-05	1.6263101003642e-05	5.3824485947851e-06	1.3871205803593e-46	0.50739638962082
18.872	-1.4639847252928e-35	1.4989535225355e-07	6.5648892518025e-06	6.9890775227206e-06	1.4540698128993e-05	9.3881487280999e-07	4.896584716358e-47	0.50731045898085
19	-5.1602753461427e-36	7.9073884763067e-08	4.234642625342e-06	5.937984933306e-06	1.4020237853501e-05	5.0771792579192e-07	3.4255614288017e-47	0.50728173726504
19.2	-1.1328849640242e-36	3.03101809346e-06	5.0535874069769e-05	2.5035968178376e-05	1.3223901870002e-05	1.7178806801336e-05	1.9679651654054e-47	0.5072288683413
19.48	1.0087880453619e-37	8.0251136348097e-07	2.040611862813e-05	1.1827213720204e-05	1.2217031860188e-05	4.7808537689139e-06	9.2034911610895e-48	0.50714180542603
19.872	3.2587876378862e-38	1.3110718159305e-07	5.8247624751374e-06	5.5891333827236e-06	1.0943729167015e-05	8.3654843557145e-07	3.2575668988662e-48	0.50702709413197
20	4.9608851582129e-38	6.9236619709487e-08	3.7597477195113e-06	4.6812361338243e-06	1.0558362090605e-05	4.5287847471891e-07	2.2809063235219e-48	0.5069891929003
20.2	4.1731322825855e-38	2.9225331156128e-06	4.9074961964916e-05	2.3426806411771e-05	9.9667362529184e-06	1.6775800060088e-05	1.3119539905773e-48	0.50691358627916
20.48	-1.245901943481e-37	7.7533234384468e-07	1.9839814895073e-05	1.0672293672935e-05	9.2194899130989e-06	4.6776742094189e-06	6.1452832920888e-49	0.50681425981735
20.872	3.3347307426313e-38	1.2700009875917e-07	5.6724379874707e-06	4.6980675582122e-06	8.2728560833854e-06	8.2055535422183e-07	2.1794779868886e-49	0.5066827710511
21	-1.6111260417747e-38	6.7126743237332e-08	3.663579521181e-06	3.8419164155857e-06	7.9859802965007e-06	4.4459735373412e-07	1.5270690404395e-49	0.50663989443339
21.2	4.8672635562967e-38	2.305224992389e-06	3.920736774758e-05	1.8573067652514e-05	7.5455406850831e-06	1.335843246849e-05	8.7950876987464e-50	0.5065138960364
21.48	-2.4255781044185e-38	6.12593723253e-07	1.5863202275958e-05	8.4101663528639e-06	6.9881336841017e-06	3.730830666761e-06	4.1256165238695e-50	0.5064319023237
21.872	2.9593004880853e-38	1.0056940165523e-07	4.541147784377e-06	3.6536960159636e-06	6.2808418358344e-06	6.5587222178023e-07	1.4656444392114e-50	0.50630369444167
22	6.5460775225324e-38	5.3197979816718e-08	2.9343373338573e-06	2.9737195890995e-06	6.0662476879291e-06	3.5563439362181e-07	1.0275106759208e-50	0.5062599066676
22.2	3.4858078882919e-38	2.0198913052111e-06	3.4335962968223e-05	1.6006233916647e-05	5.7363071330948e-06	1.1770187107294e-05	5.9237790793427e-51	0.50611021205752
22.48	1.0516742262824e-37	5.3758743194394e-07	1.3907196486543e-05	7.1246742596547e-06	5.31858194479e-06	3.2920817801906e-06	2.7820778571574e-51	0.50603718650745
22.872	1.0287692698128e-37	8.8438290712773e-08	3.9869434849306e-06	2.9813399618052e-06	4.7877552348785e-06	5.7988832677582e-07	9.8983013842752e-52	0.50591057577722
