# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
4.872	-0.0024541896940104	2.6807227011948e-33	5.6202900946854e-22	6.83217225433e-18	1.243741249884e-13	7.6097593529629e-19	0.0001877759803011	0.0033542684697269
5	-0.0024602673242187	2.6931960588118e-34	1.9067044406522e-22	2.8274722725106e-18	6.4717969952743e-14	3.0969893465891e-19	0.00017465119696506	0.0033669973044248
5.2	0.21986963622396	5.0730053494101e-36	3.738063679384e-23	8.0027824855498e-19	2.4032888152042e-14	9.2606754844148e-20	0.00015625956536266	0.0033887986328559
5.48	-0.002500359835612	8.0914726960333e-38	4.0792504419034e-24	1.6781882064259e-19	6.3206057533661e-15	2.3620755639684e-20	0.0001338268476308	0.0034338618757887
5.872	-0.0025448925	2.6898442379719e-39	1.7490517863421e-25	1.8148040810723e-20	1.0503554070116e-15	2.7756420969114e-21	0.00010823002792949	0.0035116463107317
6	-0.0025613279166667	1.751545335889e-39	6.2756231510777e-26	8.7028734378337e-21	5.6605395239866e-16	1.3688612652582e-21	0.00010106025151021	0.0035391832454757
6.2	0.087750018971354	5.1523197392982e-40	1.3501814798013e-26	3.4637431650632e-21	2.2265181988226e-16	6.0036523651388e-22	9.0964535967996e-05	0.0035882131670383
6.48	-0.0026414062874349	5.1668466973737e-39	1.6961598090731e-27	1.0461948259603e-21	6.3714591777846e-17	1.9733359210805e-22	7.8711243939819e-05	0.0036732109013576
6.872	-0.0027283103873698	1.1600652745751e-39	9.4966950518099e-29	1.9247155538831e-22	1.2091944164389e-17	3.7095427429394e-23	6.4724087939299e-05	0.0038180040961227
7	-0.002758902109375	4.7629810757469e-40	3.7211018428034e-29	1.1137687270587e-22	6.8847223977644e-18	2.1532471421448e-23	6.0802703643804e-05	0.0038684582146549
7.2	0.063779710851237	1.0469542408936e-40	9.2012468519443e-30	6.2827539480676e-23	2.9549551899971e-18	1.2532257561177e-23	5.5268329105395e-05	0.0039572082835837
7.48	-0.0029006609472656	1.2275625546989e-39	1.4259919055651e-30	3.1461134361728e-23	9.6026190494143e-19	6.655342829459e-24	4.8548288827094e-05	0.0041043585942111
7.872	-0.0030470487597656	1.0248080762009e-39	1.1540668126436e-31	1.3247515117109e-23	2.207074975573e-19	2.9050983458874e-24	4.0846821699082e-05	0.004347232723144
8	-0.0030975954899089	8.1522228505579e-38	5.0955508378068e-32	1.0509170831276e-23	1.354797714124e-19	2.3149686916181e-24	3.867944684967e-05	0.0044303151087196
8.2	0.064137015514323	4.288101569853e-39	1.5132462270123e-32	1.2115725529001e-23	6.5552443623245e-20	2.7266958151164e-24	3.560626698578e-05	0.0045725092588985
8.48	-0.0033206516910807	2.0453686899615e-39	3.0532795059534e-33	1.5305892012917e-23	2.5342346874665e-20	3.5996139305748e-24	3.185677548705e-05	0.0048003512369998
