# Time [h]	MS [g/L]	AA [g/L]	Butyric [g/L]	MO_AcidoLCFA [g/L]	MO_ButyricValeric [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_hydroM [g/L]	Valeric [g/L]	MO_acetoM [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	MO_AcidoAA [g/L]	MO_Propionic [g/L]	Hydrogen [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
2.872	1.4581766998175e-20	1.1099890650376e-14	1.8665729465313e-07	1.3660676115604	1.9511581963964	3.9024668915116e-06	0.26407603417462	3.1847251942408	5.3181634404169e-08	1.9047749349897	0.0005298312731296	6.9818212781622	0.022942644754917	1.0165015407936	1.1297002483645	2.2520585062993e-10	0.017426891644834	0.33330867925241	0.33330867719336
3	1.2717849737691e-21	3.5486110023586e-15	7.2247833969229e-08	1.3659320751777	1.9509509334221	1.9687117918894e-06	0.24611531384303	3.1843955122407	1.9827641024592e-08	1.904912510329	0.00049208209797119	6.9810795699242	0.019305201209311	1.0163935535573	1.1295803640988	2.0384570382518e-10	0.010710281932419	0.30563492747749	0.30563492563159
3.2	1.5765963211334e-23	6.3334945644325e-16	7.5257538156986e-06	1.3657189285484	1.9506283622012	3.1839588370739e-05	0.22340787014	3.1838838169827	2.6412881962604e-06	1.9049502716593	0.00043654817421863	6.9799208083931	0.01577892189292	1.0162248464468	1.1293944126205	2.9732276258127e-10	0.0077964907478918	0.2670135770111	0.26701357544701
3.48	-2.9659557084821e-25	5.8999457123774e-17	1.0653102699279e-06	1.3654180494919	1.9501760945432	8.245784064427e-06	0.1896330698031	3.1831634699861	3.4537711364494e-07	1.9048195926391	0.00037147753762738	6.9782988646639	0.011727892598461	1.0159887034341	1.1291336247741	1.7822414155581e-10	0.0041700051669522	0.22115659465561	0.22115659340457
3.872	9.92169075449e-27	1.8612597505125e-18	6.9529126331846e-08	1.3649928218739	1.9495418401608	1.2312950710132e-06	0.15960221861495	3.1821457484701	1.9844460705003e-08	1.9044826831225	0.00029684047607785	6.9760287757438	0.0089691795231936	1.015658195274	1.1287667855466	1.2335446787978e-10	0.002985457501188	0.17015177677976	0.17015177585239
4	8.7694076008026e-28	6.0002752548794e-19	2.7011704786261e-08	1.3648531554079	1.9493347381911	6.2352245115353e-07	0.1521508193575	3.1818124268605	7.4270256268791e-09	1.9043615876016	0.00027580319018387	6.975287682102	0.0085005171542061	1.0155502975199	1.1286469123171	1.1290254820409e-10	0.0028759731595558	0.15612324772229	0.15612324687981
4.2	1.1420309890703e-29	1.0870052422602e-19	1.9461052089954e-06	1.3646341801087	1.9490114992942	7.6190586401706e-06	0.13954351581311	3.1812920913354	6.7506866235325e-07	1.904179061278	0.00024528948667992	6.9741298810263	0.0087245919704002	1.0153817302451	1.1284599459323	1.2839513650386e-10	0.0032101607224085	0.13653659410435	0.13653659337759
4.48	-2.1260459413023e-31	1.0376355592976e-20	2.7770472773956e-07	1.3643262686382	1.9485588605739	1.9869690168532e-06	0.12348762922099	3.180562065557	8.9072653837372e-08	1.9039173498874	0.00020902681514804	6.9725092822698	0.008318039016629	1.0151457830501	1.1281981185977	9.1143221914091e-11	0.0028796158456655	0.11327284726633	0.11327284667297
4.872	7.2189191305145e-33	3.4272168206567e-22	1.8406549829239e-08	1.3638930106485	1.9479250201251	3.0037522714603e-07	0.1087775752683	3.1795368792962	5.2034310011456e-09	1.9035356431949	0.0001674108812004	6.9702410764933	0.0080335605808473	1.0148155490618	1.1278312225368	6.8348391414141e-11	0.0027874553426128	0.087391584627098	0.087391584177227
5	6.5399126921231e-34	1.1230515527248e-22	7.1970706154347e-09	1.3637510958982	1.9477180852781	1.5291593013745e-07	0.10494189997558	3.1792017043615	1.9604990378458e-09	1.9034099324529	0.00015568561913303	6.9695005976654	0.0080021220097	1.0147077408201	1.1277114179954	6.3143633819687e-11	0.0027816353111738	0.080272603426652	0.080272603015381
