# Time [h]	AA [g/L]	MO_AcidoLCFA [g/L]	MO_ButyricValeric [g/L]	MO_hydroM [g/L]	MO_acetoM [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	MO_Propionic [g/L]	Nitrogen [g/L]	SUM [g/L]
10.872	8.6010456992081e-40	0.15471597387625	0.22096034632188	0.36067063781437	0.21632187382133	0.79066017568681	0.11511427387864	0.12793408852897	0.0035700815526185	1.9899474514809
11	5.3166735133611e-40	0.15469954949113	0.22093687276383	0.36063233255535	0.21630721309538	0.79057618043681	0.11510204479137	0.12792049759931	0.003448284315863	1.9896229750491
11.2	2.5722165943764e-40	0.15467388851844	0.2209002016241	0.36057249226826	0.21628430766578	0.79044495572282	0.11508293944341	0.12789926603343	0.0032781958219028	1.9891362470981
11.48	9.8018699325847e-41	0.15463796783809	0.22084887174905	0.3604887297008	0.21625225253766	0.79026127771654	0.11505619728398	0.12786954762446	0.0030760920768789	1.9884909365275
11.872	2.7482389630505e-41	0.15458768882367	0.22077702841515	0.36037148491636	0.21620741767036	0.79000420021443	0.11501876870073	0.1278279515637	0.0028510846469279	1.9876456249513
12	1.7953680868411e-41	0.1545712738688	0.22075357434301	0.36033320791756	0.21619279520991	0.78992027465189	0.11500654975945	0.127814371946	0.0027891491642579	1.9873811968609
12.2	9.3767883067363e-42	0.15454562821581	0.22071693376288	0.36027341281019	0.21616996190142	0.7897891588099	0.11498746026244	0.12779315821316	0.002702625696665	1.9869783396725
12.48	3.9185467546308e-42	0.1545097300271	0.22066564667095	0.36018971449137	0.21613802490279	0.78960563319402	0.11496074028992	0.12776346479731	0.0025997659985819	1.986432720372
12.872	1.2216563539673e-42	0.15445948418311	0.22059386302625	0.36007256019106	0.21609337549875	0.78934876897905	0.11492334275971	0.12772190344191	0.0024851666820202	1.9856984647619
13	8.2372540454617e-43	0.15444308040295	0.2205704284223	0.36003431292661	0.21607881381121	0.78926491304635	0.11491113395601	0.12770833512108	0.0024536013994995	1.985464619086
13.2	4.4937382209597e-43	0.15441745251341	0.22053381819325	0.35997456441705	0.21605607871271	0.78913390598611	0.11489206029682	0.12768713901184	0.0024094766792098	1.9851044958104
13.48	1.9778651342331e-43	0.15438157973723	0.22048257363789	0.35989093190532	0.21602428072162	0.78895053263445	0.11486536249284	0.12765747028806	0.0023569760621507	1.9846097074796
13.872	6.5382010419481e-44	0.15433137035507	0.2204108495679	0.35977387047101	0.21597982047487	0.78869388152984	0.11482799598991	0.12761594347652	0.0022984107100184	1.9839321425751
14	4.4854091205064e-44	0.15431497866437	0.22038743441012	0.35973565366109	0.21596531689224	0.78861009516922	0.1148157973154	0.12760238642507	0.0022822612735832	1.9837139238111
14.2	2.5059703484724e-44	0.15428936982824	0.22035085443406	0.35967595249744	0.21594267001662	0.78847919680051	0.11479673948089	0.12758120781929	0.0022596616237999	1.9833756525008
14.48	1.1344761313741e-44	0.15425352402413	0.22029965228262	0.35959238660197	0.2159109886649	0.78829597558665	0.11477006382705	0.12755156361053	0.0022327325553035	1.9829068871531
14.872	3.870523129488e-45	0.15420335289538	0.22022798769917	0.35947541926405	0.21586667617289	0.78803953741542	0.11473272832564	0.12751007122701	0.0022026277101721	1.9822584007097
15	2.6801099752639e-45	0.15418697379989	0.22020459196717	0.35943723328942	0.21585221645789	0.78795582056908	0.11472053977189	0.12749652542216	0.0021943097079252	1.9820482109854
15.2	1.5164529481946e-45	0.15416138473829	0.22016804231655	0.35937758039038	0.21582963458068	0.78782503080162	0.11470149774892	0.12747536439611	0.0021826460943599	1.9817211810669
15.48	6.9695503931067e-46	0.15412556679277	0.22011688263251	0.35929408226138	0.21579803628277	0.78764196159914	0.11467484422681	0.12744574480785	0.0021687115495193	1.9812658301527
15.872	2.418621671517e-46	0.15407543496067	0.22004527750936	0.35917721001987	0.21575382490056	0.78738573618438	0.11463753970117	0.127404286872	0.0021530740662496	1.9806323842143
16	1.6832095338958e-46	0.15405906876026	0.22002190118859	0.3591390551392	0.21573939470912	0.78730208879453	0.11462536125977	0.12739075230987	0.0021487378333197	1.9804263599947
16.2	9.5935537288501e-47	0.15403349990601	0.21998538161577	0.35907944991414	0.21571685487794	0.78717140753803	0.11460633503519	0.12736960856477	0.0021426379295531	1.9801051753814
16.48	4.4464225095305e-47	0.15399771036034	0.21993426410524	0.35899601864345	0.21568530940709	0.78698849022061	0.11457970362642	0.12734001315886	0.0021353159981121	1.9796568255201
16.872	1.5575925927352e-47	0.15394761847536	0.2198627183092	0.35887924139121	0.2156411629015	0.78673247738557	0.11454243005082	0.12729858943844	0.0021270389394902	1.9790312768916
17	1.0870458438656e-47	0.1539312653598	0.21983936137532	0.35884111766684	0.21562675178037	0.78664889939452	0.11453026171337	0.12728506608069	0.002124728333476	1.9788274517044
17.2	6.2207475129262e-48	0.15390571698887	0.21980287198423	0.35878156076761	0.21560423935602	0.78651832655886	0.11451125127406	0.12726393972776	0.0021214587069332	1.9785093653643
17.48	2.8969768746118e-48	0.15386995619166	0.21975179675779	0.35869819727175	0.21557272852823	0.78633556100035	0.11448464196027	0.12723436868109	0.0021175007548587	1.978064751146
17.872	1.0203626187368e-48	0.15381990467863	0.21968031028245	0.35858151560376	0.21552862486251	0.78607976056851	0.114447399309	0.12719297923774	0.0021129686097547	1.9774434631524
18	7.1330457699495e-49	0.15380356477302	0.21965697272324	0.35854342316335	0.21551422648247	0.78599625191864	0.11443524106711	0.12717946708724	0.002111688711993	1.9772408359271
18.2	4.092150912102e-49	0.15377803706833	0.21962051350083	0.35848391477236	0.21549173234893	0.7858657874138	0.11441624639997	0.12715835812697	0.0021098598824257	1.9769244495136
18.48	1.9113188686773e-49	0.15374230525233	0.21956948053337	0.3584006192548	0.21546024498063	0.78568317348822	0.11438965916281	0.12712881143051	0.002107614646295	1.976481908749
18.872	6.7550843842186e-50	0.15369229439693	0.21949805333159	0.35828403337951	0.21541617128206	0.78542758528328	0.11435244741021	0.12708745623959	0.0021049886364383	1.9758630299596
19	4.7274095766635e-50	0.15367596778575	0.21947473513109	0.35824597228066	0.21540178203194	0.78534414591702	0.1143402992555	0.1270739552874	0.0021042333045813	1.975661090994
19.2	2.7166667383576e-50	0.1536504608711	0.21943830606448	0.35818651252015	0.21537930109245	0.78521378965308	0.11432132034744	0.12705286371701	0.002103138216678	1.9753456924824
19.48	1.2714258529325e-50	0.15361475819411	0.21938731533377	0.35810328513455	0.21534783103939	0.78503132723456	0.11429475516859	0.12702334136633	0.0021017652776455	1.9749043787489
19.872	4.5043069982177e-51	0.15356478819036	0.21931594735992	0.35798679519068	0.21530378032358	0.78477595108037	0.114257574289	0.12698202040631	0.0021001094988713	1.9742869663391
20	3.1547317447848e-51	0.15354847493098	0.21929264850238	0.35794876546917	0.21528939825845	0.78469258094023	0.11424543621311	0.12696853064403	0.0020996211074564	1.9740854560658
20.2	1.814901869087e-51	0.15352298889035	0.21925624964064	0.35788935469208	0.21526692809731	0.78456233282737	0.11422647305104	0.12694745654112	0.0020988990676592	1.9737706828076
20.48	8.5062945931196e-52	0.15348731545923	0.21920530119559	0.35780619591903	0.21523547251886	0.7843800217902	0.1141999299122	0.12691795864758	0.0020979695318611	1.9733301649745
20.872	3.0191548016215e-52	0.15343738643798	0.21913399242675	0.35768980215994	0.21519144127632	0.78412485751079	0.11416277988002	0.12687667195266	0.0020968073209063	1.9727137389654
21	2.1158990018756e-52	0.15342108656898	0.21911071289863	0.35765180385838	0.21517706539211	0.78404155653933	0.11415065187457	0.12686319337979	0.0020964547804524	1.9725125252922
21.2	1.2188256570348e-52	0.15339562145873	0.21907434409706	0.3575924416026	0.21515460402897	0.78391141648778	0.11413170444543	0.12684213658449	0.0020959241729008	1.972198192878
21.48	5.7203584732056e-53	0.15335997734493	0.2190234377645	0.35750935077149	0.21512316047248	0.78372925670634	0.1141051833283	0.12681266291188	0.0020952225152524	1.9717582518152
21.872	2.0335894693376e-53	0.15331008939291	0.2189521881078	0.35739305290615	0.21507914649564	0.78347430412591	0.11406806411793	0.1267714103501	0.0020943121195728	1.971142567616
22	1.4259853083709e-53	0.1532938029396	0.21892892788884	0.35735508598712	0.21506477623862	0.78339107226573	0.11405594617457	0.12675794294277	0.0020940286602361	1.9709415830975
22.2	8.2221178301911e-54	0.15326835879643	0.21889258919479	0.35729577253538	0.21504232327984	0.78326104018586	0.11403701446531	0.12673690352238	0.0020935951999369	1.9706275971799
22.48	3.8634099589852e-54	0.15323274404584	0.21884172502422	0.35721275006549	0.21501089136427	0.78307903153465	0.11401051535163	0.12670745417866	0.0020930090404367	1.9701881206052
22.872	1.3754495937112e-54	0.15318289721772	0.21877053445723	0.35709654827842	0.21496689390278	0.78282429047754	0.11397342693749	0.126666235783	0.002092226279275	1.9695730533335
23	9.6498585611443e-55	0.1531666241958	0.21874729353399	0.35705861276449	0.21495252903168	0.78274112767131	0.11396131904788	0.12665277954059	0.002091977843466	1.9693722636292
23.2	5.5715532182222e-55	0.15314120104221	0.21871098483061	0.35699934774503	0.21493008389932	0.78261120347351	0.11394240304545	0.12663175737158	0.0020915949390186	1.9690585763467
23.48	2.6212995478248e-55	0.15310561568246	0.2186601626805	0.35691639309476	0.21489866295837	0.78242934582714	0.11391592591695	0.12660233217277	0.0020910691830875	1.968619507516
23.872	9.345411381431e-56	0.15305581000995	0.21858903112036	0.35680028712266	0.21485468150474	0.78217481611787	0.11387886827349	0.12656114783615	0.0020903516266027	1.9680049936118
24	6.5598132459555e-56	0.1530395504282	0.21856580947355	0.35676238297233	0.21484032190268	0.78209172230828	0.11386677042928	0.12654770273828	0.0020901208871858	1.9678043811398
24.2	3.7961518595041e-56	0.15301414827648	0.21852953070516	0.35670316615988	0.21481788560658	0.78196190590305	0.11384787012066	0.12652669773655	0.002089763503035	1.9674909680114
24.48	1.7889338162008e-56	0.15297859232197	0.21847875050687	0.35662027902765	0.2147864774477	0.78178019913625	0.11382141495911	0.12649729656922	0.0020892683310789	1.9670522782998
24.872	6.3867651494605e-57	0.15292882782009	0.2184076778939	0.35650426870289	0.21474251306116	0.78152588059948	0.1137843880608	0.12645614621813	0.0020885835590771	1.9664382859155
25	4.4852801702763e-57	0.15291258168228	0.21838447550652	0.35646639588495	0.21472815890928	0.7814428557293	0.11377230025366	0.12644271224916	0.0020883616687379	1.9662378418839
25.2	2.5861519481647e-57	0.15288720053684	0.21834822879784	0.35640723583201	0.21470574398368	0.7813131470276	0.11375341562588	0.12642172695382	0.0020879904805603	1.9659246892382
25.48	1.2177958459717e-57	0.152851673991	0.21829749298257	0.35632442816653	0.21467436574064	0.78113159101552	0.1137269824131	0.1263923534807	0.0020874741344278	1.9654863619245
25.872	4.3530544822902e-58	0.15280195066083	0.21822648005373	0.35620851885695	0.21463042567036	0.78087748347614	0.11368998623446	0.12635123885235	0.0020867978901857	1.964872881695
26	3.0584406784802e-58	0.15278571796647	0.21820329698613	0.35617067808965	0.21461607773808	0.78079452748819	0.11367790845606	0.12633781625191	0.0020865823917005	1.9646726053682
26.2	1.7639566368147e-58	0.15276035782602	0.21816708065271	0.35611156903702	0.21459367212578	0.78066492640032	0.11365903949605	0.12631684900952	0.0020862199466763	1.9643597144941
26.48	8.3129069958778e-59	0.15272486068602	0.21811638724471	0.35602883234476	0.21456230618688	0.78048352101758	0.11363262821379	0.12628750067621	0.0020857160081419	1.9639217523781
26.872	2.975301074933e-59	0.15267517852092	0.21804543333165	0.35591302020575	0.21451838219351	0.78022962430043	0.11359566272931	0.12624642052996	0.0020850588505475	1.9633087806621
27	2.0914140492328e-59	0.15265895926723	0.21802226950737	0.35587521095857	0.21450403940538	0.78014673713753	0.11358359497133	0.12623300911791	0.0020848492467945	1.9631086696121
27.2	1.2069005673176e-59	0.15263362012682	0.21798608356273	0.3558161524502	0.21448164138651	0.7800172435742	0.1135647416661	0.12621205974402	0.0020844936155085	1.9627960361261
27.48	5.6928801361511e-60	0.1525981523846	0.21793543260155	0.35573348642923	0.21445028622703	0.7798359886958	0.11353835229617	0.12618273641071	0.002083997797974	1.9623584328431
27.872	2.0402125793067e-60	0.15254851137121	0.21786453767946	0.35561777126944	0.21440637783543	0.77958230262597	0.11350141748037	0.12614169066263	0.0020833522934702	1.961745961218
28	1.4347930488671e-60	0.15253230555334	0.21784139308489	0.35557999350288	0.21439204017065	0.77949948423102	0.1134893597345	0.12612829042197	0.0020831462397182	1.961546012939
28.2	8.2874024718029e-61	0.15250698740498	0.21780523720482	0.35552098428705	0.2143696484785	0.77937009810298	0.11347052207105	0.12610735853627	0.0020827972318417	1.9612336333175
28.48	3.9132369836584e-61	0.1524715490485	0.21775462831125	0.35543838719182	0.21433830223585	0.77918899360403	0.11344415459525	0.12607805965774	0.0020823097352366	1.9607963843797
28.872	1.4042655997927e-61	0.15242194916844	0.21768379222147	0.35532276816908	0.214294408565	0.77893551800672	0.11340725042271	0.12603704802542	0.0020816719904276	1.9601844065693
29	9.8802679348056e-62	0.15240575678005	0.21766066682993	0.35528502175507	0.21428007591154	0.77885276832268	0.11339520268063	0.12602365891083	0.0020814679020962	1.9599846190928
29.2	5.7107194810588e-62	0.15238045961348	0.21762454111873	0.35522606232158	0.21425769205033	0.77872348954081	0.113376380646	0.12600274465596	0.0020811203843049	1.9596724903312
29.48	2.6991334399126e-62	0.15234505062769	0.21757397441193	0.35514353491164	0.21422635698669	0.77854253529658	0.11335003504617	0.12597347046413	0.002080634333335	1.9592355920782
29.872	9.6984970841496e-63	0.15229549185875	0.21750319715509	0.35502801232421	0.21418247913875	0.7782892699972	0.11331316149145	0.12593249304027	0.0020799996488549	1.9586241046546
30	6.8269822206602e-63	0.15227931289233	0.21748009095549	0.35499029728997	0.21416815165067	0.77820658896705	0.11330112374487	0.1259191150596	0.0020797966060759	1.9584244771661
