# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
0.2	0.06877957428906199	5.6449259777692826E-6	1.3783521871106301E-5	5.777486322394226E-5	1.2427644048532228E-4	1.5454222328915672E-5	2.025070192040881E-4	0.10305334050281045	
0.48	0.22318719914531318	3.7588968431764295E-7	4.08261468915097E-6	2.835713102893453E-5	1.1169720030560995E-4	7.999816090663703E-6	5.561174798377065E-4	0.28444516408248766	
0.872	0.23931644382260386	1.3408541982714187E-8	1.3076196498277005E-7	2.055245336324602E-6	1.8488322893237992E-5	5.859141048957941E-7	4.717824983884267E-4	0.23186007134224929	
1.0	0.0705458253041664	3.4090801731704127E-10	1.2230512947819E-8	2.357614276743325E-7	2.768260003019268E-6	6.604809564156369E-8	1.2875671907893607E-4	0.06149694342639429	
1.2	0.13104154442187396	4.025126736084662E-12	3.9146319072420266E-9	1.0304081153028277E-7	1.80368747441827E-6	2.795872023617297E-8	2.12286195884492E-4	0.09503034899818717	
1.48	0.095472477546614	4.5593662349586167E-14	2.6344246813143003E-10	1.0652868354125548E-8	3.1659752988973564E-7	2.743603266032862E-9	1.307417453619426E-4	0.05053323182335833	
1.872	0.07521389011937699	1.2014379115706893E-15	6.311267841357624E-12	5.468172930825669E-10	3.5400166304338964E-8	1.276993136280268E-10	8.147291075784514E-5	0.021737080973766747	
2.0	0.019102040059166703	2.6759951978080512E-17	5.115804783803084E-13	5.3892756594424223E-11	4.5104840780134285E-9	1.2185355458215397E-11	1.9159870158621946E-5	0.00421920198170383	
2.2	0.17227344293229216	2.369164290918399E-18	8.06751642802214E-13	1.1468815026764544E-10	1.4146553803705216E-8	2.4654574654635836E-11	1.536022460867723E-4	0.022937427100981626	
2.48	0.011323252594791753	2.1780305921816187E-21	4.978693602790665E-15	1.0749018700059222E-12	2.2315888463199588E-10	2.1520167916098403E-13	8.544966493104183E-6	6.219000028312658E-4	
2.872	0.004175008978619808	2.722212662531332E-23	5.75737378212366E-17	2.616901594767152E-14	1.1740290781364086E-11	4.653014754114614E-15	2.4979032779651155E-6	5.933884464901664E-5	
3.0	9.182918091666695E-4	5.378912871503531E-25	4.083733952734144E-18	2.250456106828974E-15	1.3018769754983416E-12	3.861343419867269E-16	5.092037887090823E-7	8.302415915479159E-6	
3.2	0.14062909362825612	1.0071050929963641E-24	1.1182353677053272E-16	8.266488287118354E-14	7.008665780385508E-11	1.3434996345637846E-14	6.942116343238487E-5	7.595783914413566E-4	
3.48	8.277574862630074E-4	8.300031078611828E-29	6.331207330498632E-20	7.083478818179552E-17	1.0040523704133079E-13	1.069573944820021E-17	3.4658780521801576E-7	3.1626118455612513E-6	
3.872	9.79677635507827E-4	3.413304852122354E-30	2.478298153622247E-21	5.7428875278274825E-18	1.7382402546148528E-14	7.683494275756254E-19	3.263282657804938E-7	3.3032392202454303E-6	
4.0	3.151031241666691E-4	1.0272073879675192E-31	2.6176531386768434E-22	7.334914988325708E-19	2.850487753869035E-15	9.470432632986506E-20	9.740129513370566E-8	1.051101588742824E-6	
4.2	0.08589781780078207	4.1632465438493585E-31	1.3215566721664561E-20	4.959816186911909E-17	2.787616210407649E-13	6.0998850379602485E-18	2.3679256517786214E-5	2.845412188524964E-4	
4.48	6.865119766275965E-4	5.079586841025221E-35	1.061746088893871E-23	6.210843923806167E-20	5.573734109210764E-16	7.458456823720693E-21	1.6107602562970972E-7	2.2805098742456477E-6	
4.872	9.620423600520756E-4	2.5789687941026205E-36	5.406957146868445E-25	6.5728391198379434E-21	1.1965317673325215E-16	7.320910847352784E-22	1.806484472499623E-7	3.226948354864331E-6	
5.0	3.149142174999939E-4	8.481257294347856E-38	6.004483369317511E-26	8.904112182006051E-22	2.038060886585618E-17	9.752859766869238E-23	5.5000145027689176E-8	1.0603153214475246E-6	
5.2	0.04397392724479204	2.2307996814740053E-37	1.6437734027363165E-24	3.519137747754629E-20	1.0568204750801195E-15	4.072282699892857E-21	6.871346758560436E-6	1.4901878452845606E-4	
5.48	7.001007539713605E-4	5.664846135231591E-41	2.8558863100145764E-27	1.174900828624618E-22	4.4250608534873264E-18	1.6536908832716035E-23	9.369227692793346E-8	2.4040492882731794E-6	
5.872	9.975978599999988E-4	2.683382855534095E-42	1.7448503190840539E-28	1.8104446675969905E-23	1.0478323062742E-18	2.768974616004722E-24	1.0797004425019933E-7	3.5032108446628348E-6	
6.0	3.278499733333379E-4	5.74244091663341E-43	2.0574628827309017E-29	2.8532368245171933E-24	1.855807731991312E-19	4.4878112931194E-25	3.313260076268277E-8	1.1603211326510045E-6	
6.2	0.017550003794270814	9.042323097397981E-42	2.3695690093466998E-28	6.078870568923875E-23	3.907540283734965E-18	1.0536412178766888E-23	1.5964279513824137E-6	6.297315469617466E-5	
6.48	7.395937604817726E-4	3.821367578743442E-42	1.2544692115704194E-30	7.7375916552855195E-25	4.7122914530538154E-20	1.4594669345656894E-25	5.821434489764887E-8	2.716683863577709E-6	
6.872	0.0010694976718489601	1.2406871103508942E-42	1.0156693248170228E-31	2.058478803849457E-25	1.2932306131941655E-20	3.967347327197894E-26	6.922226136362765E-8	4.083346491913021E-6	
7.0	3.531394700000003E-4	1.6819966127092917E-43	1.3140679325836173E-32	3.9331569797608435E-26	2.4312672186436517E-21	7.603965545560301E-27	2.1471834539340032E-8	1.3661052836403789E-6	
