# Time [h]	MS [1]	AA [1]	Butyric [1]	MO_AcidoLCFA [1]	MO_ButyricValeric [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_hydroM [1]	Valeric [1]	MO_acetoM [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	MO_AcidoAA [1]	MO_Propionic [1]	Hydrogen [1]	Hydrogen_gas [1]	Acetic [1]	Phi [1]
4.872	7.9380878833786e-36	3.7686282866223e-25	2.0240383866196e-11	0.01539904030528	0.021993056460584	3.303014549294e-10	0.1087775752683	0.2860459192116	0.035898575303143	5.7218457827237e-12	0.021491861549743	1.8408820311291e-07	0.078697539681377	0.0080335605808473	0.47877021088018	0.011457779725614	0.012733783554186	6.8348391414141e-11	3.5060445480951e-09	3.0651393037378e-06	0.90940743178059
5	7.1914232955634e-37	1.2349250291652e-25	7.9140965307824e-12	0.015397747087562	0.021991161480785	1.6815056457688e-10	0.10494189997558	0.27688974596161	0.035895511522876	2.1558185633994e-12	0.021490873551292	1.7119457839386e-07	0.078690758827647	0.0080021220097	0.48139102003334	0.011456792483443	0.012732686478096	6.3143633819687e-11	2.9301580335699e-09	3.0587339697969e-06	0.90940904128157
5.2	1.0201747706933e-38	2.3005700241075e-26	4.1779053569845e-10	0.015395721690122	0.021988201429859	1.5850722592416e-09	0.097935992807772	0.250652160831	0.035890722667397	1.4183673078753e-10	0.021489338624228	1.5269134715588e-07	0.078680164388787	0.008456106876598	0.56218458308353	0.011455250011472	0.012730973028646	6.1549075050835e-11	6.9606314420915e-09	3.1098686611349e-06	0.90941155552518
5.48	-1.8692813568501e-40	2.3000198135269e-27	6.0558899949197e-11	0.015392878102348	0.021984058094343	4.1791746192046e-10	0.08927330330022	0.22758516823125	0.035884011453259	1.9026184595414e-11	0.021487179638045	1.3046626579334e-07	0.078665336310407	0.008377434222915	0.50884178936815	0.011453091152886	0.01272857459025	4.9113190621784e-11	3.0198533033358e-09	3.0824290908927e-06	0.90941507710339
5.872	6.5737723886509e-42	8.350229606598e-29	4.1262181555615e-12	0.015388884126346	0.021978258992187	6.4401826923793e-11	0.081239218578743	0.21062208742663	0.035874603807797	1.144538953689e-12	0.021484133047027	1.0494896112724e-07	0.078644585130386	0.0082984158618359	0.50691794391461	0.011450069934494	0.012725217157683	3.8615613268175e-11	1.6992236502714e-09	3.0956374392113e-06	0.90942001054772
6	8.8986263272214e-43	2.8319934266605e-29	1.6319007174346e-12	0.015387577288809	0.021976365820044	3.3069739377845e-11	0.079121091706428	0.20546594749606	0.035871529875068	4.3636202287552e-13	0.0214831360558	9.776132744176e-08	0.078637810798675	0.0082949801061593	0.50844089279776	0.011449083641881	0.012724121047067	3.5890756884914e-11	1.5178391195716e-09	3.1037525848509e-06	0.90942162178641
6.2	-1.5105619809848e-44	5.5919906543564e-30	5.3210939240619e-11	0.015385532921735	0.021973408215156	2.0135540895001e-10	0.075203722177058	0.19058196395632	0.035866725409494	1.7409076883447e-11	0.021481576600388	8.7516038947272e-08	0.078627227317948	0.0086499323942798	0.5680548381871	0.011447542765334	0.012722408672459	3.2763277008614e-11	1.8855760815754e-09	3.1218798771708e-06	0.90942413952925
6.48	6.2607335184196e-43	6.1638339836255e-31	7.9332000955162e-12	0.015382666455744	0.021969268327957	5.4012305677481e-11	0.070337103739746	0.17759087667501	0.035859996087754	2.4048464775217e-12	0.0214793897254	7.5126028444095e-08	0.078612413348507	0.0085841208422156	0.52550792808879	0.011445385960907	0.01272001177955	2.7685255810671e-11	1.2459347056422e-09	3.1499211830543e-06	0.90942766475315
6.872	2.6692399838133e-43	2.7536708393862e-32	5.6747064783318e-13	0.015378646350481	0.021963473918135	8.5927091261725e-12	0.065876052079093	0.16834138829456	0.035850570117391	1.5232345327711e-13	0.021476321368502	6.0894380272244e-08	0.078591679231551	0.0085118308257742	0.52292442566298	0.011442367226773	0.012716656892611	2.232651056652e-11	9.1392718416811e-10	3.2012973442086e-06	0.90943260056462
7	1.7510750215955e-43	1.0072994079045e-32	2.2891990148454e-13	0.015377332240859	0.021961582211424	4.476952308142e-12	0.064704840664772	0.16551220739325	0.035847491355726	5.9278436614226e-14	0.021475318496976	5.6885387065857e-08	0.078584910155264	0.0085046495249886	0.52370626615705	0.011441381699311	0.012715561613666	2.0846553404101e-11	8.4477144986545e-10	3.2194899378506e-06	0.90943421225499
7.2	5.9773414111502e-44	2.2559869957992e-33	2.5144461867897e-11	0.015375277687692	0.021958626817898	9.0548304495604e-11	0.062520067056842	0.15715172173596	0.035842680206507	7.8401768237719e-12	0.021473749357895	5.1175577691554e-08	0.078574334760681	0.0087841054878185	0.57138454388203	0.011439842000048	0.012713850486563	1.9069124939826e-11	1.0208999478408e-09	3.2523637980981e-06	0.90943673057672
7.48	2.4400696544047e-43	3.0590044629019e-34	3.9335123722538e-12	0.015372399080828	0.021954489964921	2.5136032597209e-11	0.05970378019689	0.14934064598027	0.035835943358615	1.1386602128928e-12	0.021471548750025	4.4260674838349e-08	0.078559531785093	0.0087117305788145	0.53504325313263	0.011437686796246	0.012711455313418	1.6293541216792e-11	7.1206291982438e-10	3.3065988324198e-06	0.90944025627992
7.872	7.6576962939455e-44	2.0595444880286e-35	3.0528655275283e-13	0.015368365481178	0.02194869969967	4.2291730502229e-12	0.05722065745981	0.14451519516458	0.03582650993882	7.8646289107476e-14	0.021468460794115	3.6308411016513e-08	0.078538812519427	0.0086335332025132	0.53196098229526	0.01143467022435	0.012708102812382	1.3312185307199e-11	5.3615108241981e-10	3.3974851257725e-06	0.90944519221532
8	1.9757766262935e-43	8.6738832284097e-36	1.2716935780259e-13	0.015367047683385	0.021946809314088	2.2570465255713e-12	0.056580519235257	0.14301949630102	0.035823429342973	3.1641446569893e-14	0.02146745162074	3.4065679276394e-08	0.07853204817141	0.0086224072570658	0.53230171681423	0.011433685385291	0.012707008297022	1.2484885515663e-11	4.9774243453617e-10	3.4286998136464e-06	0.90944680382349
8.2	1.8398490039259e-43	2.4246981621363e-36	2.631560113084e-11	0.015364988029626	0.021943855967519	9.3010491277622e-11	0.055367417306824	0.13832514204856	0.035818615884542	7.7122153071724e-12	0.021465872117458	3.086572408567e-08	0.0785214801045	0.0088573493245286	0.57324774757917	0.011432146752883	0.012705298354077	1.1641642527032e-11	7.2498121787533e-10	3.4832464522586e-06	0.90944932195619
8.48	-2.74531495285e-43	4.5677098340381e-37	4.4383930554122e-12	0.015362103480646	0.02193972194314	2.7147524252513e-11	0.053678229094536	0.13328695065944	0.035811876807583	1.2114148256314e-12	0.021463656416287	2.6984487527812e-08	0.078506687248613	0.0087803266273821	0.54047854807107	0.011429993022435	0.012702904818569	9.9742357147289e-12	4.5841481777704e-10	3.5703717153056e-06	0.90945284725464
8.872	-1.6786156847558e-41	5.2026217283859e-38	3.8970660708153e-13	0.015358063538205	0.021933935562563	4.957017708443e-12	0.052300169485813	0.13098527162139	0.035802441898915	9.538835791287e-14	0.021460546864691	2.2501533150267e-08	0.078485981881498	0.0086979999479763	0.53708567332273	0.011426978474067	0.012699554567276	8.2581093042453e-12	3.2923279569613e-10	3.7094006717365e-06	0.90945778235211
9	-4.6319783730486e-42	2.5814818425217e-38	1.6996673038376e-13	0.015356744069407	0.021932046422137	2.7369366328999e-12	0.051959133739942	0.13024898600481	0.03579936113843	4.0249998723969e-14	0.021459530890774	2.1232240871343e-08	0.078479221988822	0.0086845474078146	0.53717186045907	0.011425994283672	0.012698460772981	7.7863150134004e-12	3.0449228133702e-10	3.7558833972956e-06	0.90945939360275
9.2	-9.8991825569165e-44	9.1664066748758e-39	4.289609754472e-11	0.015354682169849	0.021929095021307	1.4941005892254e-10	0.051293084532033	0.12761799443378	0.035794547787466	1.1710597201285e-11	0.021457940772875	1.9411446658565e-08	0.078468660816706	0.0088942226522409	0.57429529239559	0.011424456655096	0.012696751965806	7.6497385119666e-12	7.2283276535494e-10	3.834420908137e-06	0.90946191110954
9.48	-7.4375648587405e-44	2.3715750101486e-39	8.0101921424732e-12	0.015351795136484	0.021924963674922	4.6678046263068e-11	0.050232616478491	0.12410295434483	0.035787809381379	2.0454309221331e-12	0.021455710655465	1.7194401956414e-08	0.078453877475571	0.0088150955555594	0.54358686417092	0.011422304309927	0.01269435999618	6.4535827310991e-12	3.6414483273108e-10	3.9543833523275e-06	0.90946543539241
9.872	1.2523544853422e-43	4.1401554874711e-40	8.2379578014116e-13	0.015347752786708	0.021919180933078	9.4594626809316e-12	0.049478479974777	0.12323921419151	0.03577837615723	1.9050628725289e-13	0.021452582865878	1.4607409839263e-08	0.078433185112718	0.0087313888944729	0.54001257985982	0.011419291654884	0.012691011859518	5.3805811280033e-12	2.2065072039158e-10	4.1348163250881e-06	0.90947036874789
10	-3.514416417186e-43	2.3404457828908e-40	3.7958762745286e-13	0.015346432746186	0.02191729295522	5.4389894847618e-12	0.049307394450107	0.12293574065709	0.03577529610008	8.510230308098e-14	0.02145156160021	1.3868639751314e-08	0.078426429378923	0.0087169609705816	0.53995341388446	0.011418308069991	0.012689918739385	5.0973296120539e-12	1.992114854535e-10	4.1932214963498e-06	0.90947197934109
10.2	-1.0337098601675e-42	9.9928816879229e-41	8.4983345915568e-11	0.015344370135589	0.021914343377534	2.934760225325e-10	0.048952800172181	0.12147595464395	0.035770484128888	2.1703909922566e-11	0.021449964273503	1.2797693893887e-08	0.078415874567983	0.0089128901795163	0.57489005227719	0.011416771367555	0.012688211010728	5.7451768302506e-12	1.0580656572656e-09	4.2882891483834e-06	0.90947449568126
10.48	7.3572680464791e-42	3.2650598951743e-41	1.777014662744e-11	0.015341482440844	0.021910214504876	9.8920580353555e-11	0.048249864099231	0.11881625015722	0.035763747859172	4.2655622718921e-12	0.02144772616264	1.1484842225118e-08	0.078401099910217	0.0088338302449274	0.54537557358136	0.011414620286621	0.012685820511688	4.5366797462738e-12	4.2257786454428e-10	4.425628307663e-06	0.90947801810507
10.872	5.3432731252653e-44	7.6265591582548e-42	2.1530732315162e-12	0.015337439698078	0.021904435052198	2.2335101406301e-11	0.047855124177673	0.11878065990207	0.035754317745461	4.727062110121e-13	0.02144459172186	9.9274285619257e-09	0.07838041927362	0.0087511514716021	0.54169729308766	0.011411609338835	0.01268247429984	3.7063716855486e-12	1.8280570075779e-10	4.6189323872047e-06	0.90948294842036
11	7.3959058677233e-44	4.7142932780732e-42	1.0461687168551e-12	0.015336119637436	0.021902548120736	1.3353614017568e-11	0.047782481828026	0.11872715975323	0.035751238754736	2.2312431176945e-13	0.021443569172155	9.4768667659264e-09	0.078373667280814	0.0087366586496667	0.54155478448881	0.011410626298603	0.012681381788419	3.5128060792954e-12	1.5275699495443e-10	4.6793303120528e-06	0.90948455793142
11.2	6.7970453205196e-45	2.2807775201238e-42	1.1933546536994e-10	0.015334057076439	0.021899600160976	4.1638365289322e-10	0.047609080005074	0.11794488736706	0.035746428576094	2.876323516039e-11	0.021441971450083	8.8152628725467e-09	0.078363118156421	0.0089255550373683	0.57523409355642	0.011409090424086	0.012679675015095	4.7219196790496e-12	1.3639593123263e-09	4.7738095693373e-06	0.90948707241897
11.48	-2.8863883439243e-41	8.6912574751152e-43	2.7609017307486e-11	0.015331169603239	0.02189547347817	1.5010945756159e-10	0.047114285386098	0.11577606938325	0.03573969487695	6.2816782060243e-12	0.021439735519205	7.9961439690017e-09	0.078348351210755	0.0088477131174617	0.54640962384051	0.011406940465977	0.01267728581466	3.4299551837784e-12	5.1267591464686e-10	4.9030639364971e-06	0.90949059199546
11.872	-1.0328220810746e-42	2.4368331208503e-43	3.8356596631306e-12	0.015327127418017	0.021889696943936	3.7080671291687e-11	0.046930974878056	0.11622710229141	0.035730268308794	8.0457723732591e-13	0.021436608686977	7.0055702805964e-09	0.078327680976185	0.0087668615169151	0.54266963710615	0.011403931032649	0.012673941311245	2.6823409651058e-12	1.7762081007467e-10	5.0735730155157e-06	0.90949551792243
