# Time [h]	MS [g]	AA [g]	Butyric [g]	MO_AcidoLCFA [g]	MO_ButyricValeric [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_hydroM [g]	Valeric [g]	MO_acetoM [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	MO_AcidoAA [g]	MO_Propionic [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Acetic [g]
0.2	0.0018260477259611	0.0057078484049495	0.026841512061892	47.216912100986	67.459608684737	0.064246923087785	24.621937812704	1.9794592301208	26.601397042824	110.08209590794	0.0073233721787562	64.080747096107	0.086053496462051	241.40745915994	2.0936192451085	3.2376530728645	5.331272317973	35.146692240253	39.055222779422	3.1573921787794e-07	4.9045063995017e-06	5.2202456173796e-06	44.332767779445
0.48	-3.6509585193753e-05	0.00051752282998492	0.004017555063056	47.209150133981	67.447424849643	0.017759834541278	21.9185339227	3.5067026842936	25.425236606994	110.07141594204	0.0011385713595908	64.317912261969	0.073340546049292	241.35152232369	2.1213041310016	2.0053773819854	4.126681512987	35.138954239279	39.049533804984	9.5518413829954e-08	1.2254344985082e-06	1.3209529123382e-06	38.031192633398
0.872	1.2065860414385e-06	1.5570714278438e-05	0.00027168714353422	47.197527028161	67.426049729969	0.0027453909237265	18.730117383821	3.8017278984214	22.531845282242	110.04209234993	7.6654164183649e-05	64.642930903655	0.058631061164191	241.27301251209	2.0738113556217	1.5468567429705	3.6206680985922	35.127564914326	39.037868784616	3.2568719217755e-08	2.6922984688529e-07	3.0179856610304e-07	29.358375066241
1	1.0385549391225e-07	4.9414572293858e-06	0.00010568938769031	47.193570791201	67.418911568859	0.0013938782155914	17.75834158401	3.5520520114999	21.310393595509	110.03158148846	2.9255810570351e-05	64.746984016699	0.054465363331606	241.24738127796	2.0515759085645	1.4436062552409	3.4951821638054	35.123834061906	39.03381274644	2.6343755920807e-08	1.8777553073512e-07	2.1411928665593e-07	26.576312620599
1.2	1.198154708982e-09	8.698314869637e-07	0.0015107652735201	47.187235561366	67.407979767084	0.0090451010870105	17.705568821412	4.2050403288121	21.910609150225	110.01600074743	0.00052176000561536	64.906381204603	0.048198231023658	241.20733782507	2.056840176583	2.1290356204841	4.1858757970672	35.11800436454	39.027775223334	5.0738499737467e-08	2.4817148589814e-06	2.5324533587189e-06	22.568934619558
1.48	-2.3204402166451e-11	7.9222702370344e-08	0.00021330439042562	47.178089855341	67.392517137272	0.0023575498573773	15.849154671342	3.1520122006642	19.001166872007	109.99340794632	6.7802861935579e-05	65.120141185907	0.041000230435763	241.15128817378	1.9754292008187	1.5281403344231	3.5035695352418	35.10984401245	39.019166259871	2.4180896441822e-08	6.311907248485e-07	6.5537162129032e-07	16.81811264651
1.872	7.678169276671e-13	2.4043870915824e-09	1.3739350556681e-05	47.16484144819	67.370624224222	0.00034845547939859	13.876821592675	2.8215101566714	16.698331749347	109.95982827662	3.8379264176327e-06	65.387517842503	0.032733852815237	241.07284057769	1.8019975955657	1.462644652325	3.2646422478907	35.098422625546	39.006608166187	1.4195448502972e-08	1.3849465124258e-07	1.5269009974555e-07	9.6209975990761
2	6.644041143142e-14	7.65156078017e-10	5.3063728474946e-06	47.160423679808	67.363468437411	0.00017535617612844	13.317876783754	2.7379312698735	16.055808053627	109.94869100313	1.4277201146525e-06	65.464884005475	0.030399770463173	241.04723056943	1.7305044923676	1.4625759185884	3.193080410956	35.094693996899	39.002475850586	1.2725226109595e-08	9.5991854818863e-08	1.0871708092846e-07	7.5263677798649
2.2	7.9570272146663e-16	1.3539888429106e-10	0.00070523209232258	47.153435038063	67.352405231746	0.0035219614932846	13.139517781172	3.1567390742675	16.29625685544	109.93170830274	0.0002477184736865	65.568133705181	0.02692213706362	241.00722034021	1.6125084350598	2.0812227202294	3.6937311552892	35.088868802223	38.99616935699	2.3725211223261e-08	1.0796153844287e-06	1.103340595652e-06	4.9418441834948
2.48	-1.5151670508116e-17	1.2438138503491e-11	9.9522297404797e-05	47.14349617687	67.336848742221	0.00090956211202824	11.396645731908	2.4717770275214	13.868422759429	109.90760726013	3.2241996843049e-05	65.665257645311	0.022896761733739	240.95121705034	1.2855664840896	1.5359586996464	2.821525183736	35.080715136316	38.987289078105	1.2294056956428e-08	2.7365562429149e-07	2.8594968124791e-07	2.2057638730274
