# Time [h]	Lignin [g/L]	Initial_Substrate [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	MO_Acetic [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
5.872	6.9915056264513	0	0.016356659664372	0.15831884940331	0.41257929399999	0.12242987951105	0.011200612871425	0.00033226852292628	0.22560323149613	0.13268388533822	0.22629136041	0.81566831934976	0.12317694563299	0.044247477225773	9.2803944098773
6	6.9915554594459	0	0.016273129414047	0.1584318803234	0.41295620038173	0.1224550499951	0.010647942312156	0.00031682307758536	0.22565586939008	0.13268758709037	0.22627368550833	0.81563352272122	0.1231932773428	0.04058195392262	9.2766623809254
6.2	6.9916327824533	0	0.016143467643621	0.1586105061779	0.41352248508768	0.12249201990229	0.009841831818191	0.00029458221390939	0.22573300701586	0.13269027280277	0.2262431189894	0.81556676434477	0.12321455067076	0.035459806091782	9.2714451952122
6.48	6.9917399413986	0	0.015963677272744	0.15886365084476	0.41427123543212	0.12253942138695	0.0088212922935835	0.00026676329485626	0.22583170906858	0.13268822907007	0.22619478554972	0.81545001751651	0.12323636714156	0.0293689616674	9.2652360519375
6.872	6.9918878486258	0	0.015715335538334	0.15922031497597	0.41524259820783	0.12259860286947	0.0075801459259847	0.00023351372108951	0.2259549389547	0.13267534229528	0.22611749683951	0.81524605049898	0.12325307092698	0.022580585058756	9.2583058444386
7	6.9919356617667	0	0.015635080140109	0.15933690562093	0.41554284547572	0.12261638961434	0.0072155827618304	0.00022380433349033	0.22599200240968	0.13266898159008	0.2260901795506	0.81517065239487	0.12325552744749	0.020711010676358	9.2563946237822
7.2	6.9920098558535	0	0.015510501727698	0.15951834940832	0.4159945894028	0.1226423964745	0.006683737868107	0.00020991683366954	0.22604621729553	0.13265700882342	0.22604554251954	0.81504462001374	0.12325656446166	0.018101398003836	9.2537206986863
7.48	6.9921126855152	0	0.015337759796784	0.15976976282808	0.41659227503906	0.12267539835815	0.0060102146594485	0.00019267374549841	0.22611515371443	0.13263642514339	0.22597938120171	0.81485273067808	0.12325276181605	0.015005412460927	9.2505326349568
7.872	6.9922546275606	0	0.015099153561128	0.160113061087	0.41736563048382	0.12271560016001	0.0051907088231598	0.00017230016877825	0.22619964187266	0.13260097507147	0.22588037887025	0.81455718228493	0.1232383073555	0.011571374529404	9.2469589418287
8	6.9923004953403	0	0.015022044658102	0.16022283649293	0.41760398814298	0.12272741366551	0.0049499000536035	0.00016637014327388	0.22622461631316	0.13258797610469	0.22584667691382	0.81445483935982	0.123231611653	0.010629719144091	9.2459684879853
8.2	6.9923716722717	0	0.014902350397451	0.16039099612899	0.41796128486831	0.12274431099955	0.0045984966482374	0.00015800159276853	0.22626051852308	0.13256631106357	0.22579271832131	0.81428944092989	0.12321929703431	0.0093213029740021	9.2445767017531
8.48	6.9924703230366	0	0.014736380762316	0.16061863602174	0.41843082030177	0.12276492804095	0.0041532866134357	0.00014771722240856	0.22630477497324	0.13253343710329	0.22571474166029	0.81404760223924	0.12319858854817	0.0077818069916023	9.242903043515
8.872	6.9926065047193	0	0.014507128761169	0.16091953817659	0.41903124342554	0.12278829858049	0.0036112074532174	0.00013565409134774	0.22635604951971	0.13248300588964	0.22560135726972	0.81369111295677	0.12316357739887	0.0060995350975073	9.2409942133399
9	6.9926505046937	0	0.014433043030003	0.1610136050298	0.41921469267272	0.12279473962108	0.0034518285043954	0.00013211250939623	0.22637048994189	0.13246560052668	0.22556343145686	0.81357082977127	0.12315084589068	0.0056440213180374	9.2404557449665
9.2	6.9927187864792	0	0.014318041525394	0.16115555107608	0.41948780420892	0.12280339027675	0.0032191587579057	0.00012712665853281	0.22639029379233	0.13243751426052	0.22550331988914	0.8133792174944	0.12312973354502	0.0050184458583924	9.2396883838226
9.48	6.99281343252	0	0.01415857886427	0.16134384874175	0.41984325232013	0.12281280101909	0.0029241907046601	0.00012086378177219	0.22641279290303	0.13239653974677	0.22541758006696	0.81310412274316	0.12309790272615	0.0042966343763265	9.2387425405141
9.872	6.9929441058665	0	0.013938314754709	0.16158700330608	0.42029291118784	0.12282130811418	0.0025646877397162	0.00011304221941245	0.22643537132297	0.13233635444491	0.22529483616265	0.8127071063224	0.1230494103899	0.0035319642356879	9.2376164160669
10	6.9929863270512	0	0.013867133727164	0.16166199843037	0.42042953584533	0.12282312394409	0.0024589016034545	0.00011061653393208	0.22644091307005	0.13231611001381	0.22525418214147	0.81257489919719	0.1230327287902	0.0033298653722598	9.2372863357205
10.2	6.9930518545115	0	0.013756641111965	0.16177454375466	0.42063260830477	0.12282486134528	0.0023043798665197	0.00010700351855666	0.22644744277944	0.13228393518603	0.22519013163753	0.81236590114012	0.12300587696118	0.0030577375249443	9.2368029176425
10.48	6.9931426953638	0	0.013603430522428	0.16192339999744	0.42089711287393	0.12282530342178	0.0021083054610732	0.00010203152482666	0.22645275457912	0.13223790297265	0.22509948796977	0.81206879457761	0.12296681552798	0.0027529985917316	9.2361810333842
10.872	6.9932681396693	0	0.013391802298416	0.16211676924139	0.42123476569613	0.12282280161298	0.0018689937155213	9.5112078377749e-05	0.22645425622496	0.13217179417702	0.22497092810812	0.81164500716449	0.12290958720579	0.00244264579176	9.2353926029843
11	6.9933086747414	0	0.013323412151741	0.16217693334572	0.42133836065946	0.12282137724568	0.0017984914570915	9.2882732307594e-05	0.22645359354184	0.13214985448369	0.22492859264643	0.81150491736906	0.12289034699365	0.0023628762269076	9.235150313595
11.2	6.9933715907627	0	0.01321725175316	0.16226812049308	0.42149388763367	0.12281848401743	0.0016954235891412	8.9440950572601e-05	0.22645125685825	0.13211526602932	0.2248621275238	0.81128443283606	0.12285977842228	0.0022576098195855	9.234784670689
11.48	6.9934588213012	0	0.013070048272227	0.16239086899258	0.42169976156704	0.12281326537047	0.0015644694758576	8.457847173418e-05	0.22644571400087	0.13206628227004	0.22476848650302	0.81097274946179	0.12281602447626	0.0021431464307041	9.2342942165938
11.872	6.9935792965881	0	0.012866717588236	0.16255482680699	0.42196928020272	0.12280424016296	0.001404315825109	7.7910490701912e-05	0.22643464191641	0.1319967218692	0.22463634443472	0.81053111838947	0.12275308882329	0.0020304437237153	9.2336389468216
12	6.9936182283308	0	0.012801008936623	0.16260686344428	0.422053460171	0.1228009602861	0.0013570548628844	7.5819942094257e-05	0.22643038326352	0.13197378789662	0.22459296342936	0.81038574706456	0.12273216907348	0.0020021722310689	9.2334306189324
12.2	6.9936786586856	0	0.012699010957065	0.16268678127412	0.42218145837926	0.12279547749761	0.0012878828119153	7.2655024842653e-05	0.22642301833707	0.13193775863358	0.22452497297688	0.8101575231354	0.12269914421116	0.0019655683132655	9.2331099102378
12.48	6.993762448026	0	0.012557579137873	0.16279629354468	0.42235375219944	0.12278716280907	0.0011998342896558	6.8357877016451e-05	0.2264114360364	0.13188695026371	0.22442939136085	0.8098359486038	0.12265226553649	0.0019272534107866	9.2326686730958
12.872	6.9938781786127	0	0.01236222077104	0.16294572819172	0.42258395535239	0.12277455327174	0.0010918483013962	6.2762006867319e-05	0.22639329601151	0.13181514443375	0.22429486292864	0.80938210211691	0.1225855009511	0.0018917259447794	9.2320618788945
13	6.9939155780958	0	0.01229908849487	0.16299376359104	0.42265677608086	0.12277023848195	0.0010599072722327	6.1056284172598e-05	0.22638697766045	0.13179154183359	0.22425077506947	0.80923309884839	0.12256345097826	0.0018833408824022	9.2318655935735
13.2	6.9939736313745	0	0.012201089758293	0.16306805473218	0.42276836481652	0.12276328721189	0.0010130815731646	5.8497620203666e-05	0.22637667833123	0.13175451478678	0.22418173773524	0.80899952735348	0.12252876604776	0.0018731469254988	9.2315603782668
13.48	6.9940541270883	0	0.012065203337641	0.1631706992412	0.42291997970106	0.12275316474085	0.00095332581842895	5.5153930863419e-05	0.22636145910393	0.13170238974437	0.22408479982651	0.80867108864103	0.12247976852039	0.0018641907355129	9.2311353504301
13.872	6.9941653121632	0	0.011877504755879	0.16331194245551	0.42312467996298	0.12273835350212	0.00087975267770099	5.092688834298e-05	0.22633883761283	0.13162889431947	0.22394858318151	0.80820872532749	0.12241040436446	0.00185902422152	9.230542941433
14	6.9942012431106	0	0.011816847846652	0.16335754089551	0.42318983999462	0.12273337913797	0.00085792064361162	4.965368204262e-05	0.22633116511015	0.13160477748439	0.22390399338412	0.80805718187156	0.12238758670548	0.0018586401398947	9.2303497700066
14.2	6.9942570174903	0	0.011722691560278	0.16342820163298	0.42329002926013	0.12272545448521	0.00082584354112689	4.7742668708831e-05	0.22631885787996	0.13156697761818	0.22383421428401	0.80781986235754	0.12235177540619	0.0018593319581048	9.2300480001428
14.48	6.9943343544445	0	0.011592133128701	0.16352600816897	0.42342667273645	0.1227140657965	0.00078476732380953	4.5290881196423e-05	0.22630100925275	0.1315138290336	0.22373632024827	0.8074865984095	0.1223013415554	0.0018629888132578	9.2296253797929
14.872	6.9944411783415	0	0.011411794031847	0.16366072816857	0.42361192255284	0.12269761902788	0.00073392630707437	4.2220632848345e-05	0.2262749615432	0.13143901768112	0.22359892048291	0.80701822100144	0.12223021566534	0.0018717503574429	9.229032475794
15	6.9944757000839	0	0.01135351543713	0.16370421727991	0.42367103028749	0.12269213676912	0.00071877492338777	4.1297074320962e-05	0.22626621884151	0.13141449986621	0.2235539800311	0.80686487668392	0.12220687745802	0.0018752314948651	9.2288383562309
15.2	6.9945292873378	0	0.011263050949614	0.16377157333061	0.42376200431156	0.12268343979379	0.00069644762934439	3.9908233657492e-05	0.22625227890309	0.13137610049091	0.22348368631863	0.80662489396711	0.12217030355067	0.0018814208087601	9.2285343956255
15.48	6.9946035922097	0	0.01113761161362	0.16386468305113	0.42388616619406	0.1226710057188	0.00066772587104176	3.8132810981495e-05	0.22623221102684	0.13132216586306	0.22338513569722	0.8062881876848	0.12211889801639	0.0018918804442997	9.2281073962019
15.872	6.9947062289536	0	0.010964343463476	0.16399260218978	0.42405456146568	0.12265314984505	0.00063193110685026	3.5905365712536e-05	0.22620315731135	0.13124635357597	0.22324693058907	0.80581549255533	0.12204657933437	0.0019088583748924	9.2275060941311
16	6.9947393976147	0	0.010908349933986	0.1640338033061	0.42410828537366	0.12264721794373	0.00062120442090972	3.5232429390325e-05	0.22619345246954	0.13122153194828	0.223201752447	0.80566084849979	0.12202288823567	0.001914767024205	9.227308731647
16.2	6.994790884681	0	0.010821432497366	0.16409749528194	0.42419092694893	0.12263782532623	0.00060533746432283	3.4217759377444e-05	0.2261780218384	0.13118268041344	0.22313111164678	0.80541893726921	0.12198579735746	0.001924574519284	9.2269992430037
