# Time [h]	MS [g/L]	Lignin [g/L]	Butyric [g/L]	Initial_Substrate [g/L]	Carbohydrates [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	MO_Acetic [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	Valeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	Hydrogen [g/L]	Lipids [g/L]	MO_AcidoAA [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
11.2	0.0018822029755454	116.55619317938	0.00080280141601506	0	0.063823874254532	0.56232361040382	1.4234045657287	3.6973148038041	1.07735512296	0.013672770880171	0.00072129798848871	1.9864145338443	0.0032582075839595	0.080507755184669	1.1589058423625	1.9724748028403	0.00022456507242988	0.2160303006737	7.116530112597	0.013952581502711	4.899324416584e-07	0.0094025139707628	1.0777173545814	0.027327814631388	0.0022576098195855	0.002257609808586
11.48	0.0018300760796813	116.55764702169	0.00077628726944276	0	0.0606427680502	0.55606088692636	1.4244813069525	3.6991207155003	1.077309345355	0.012616689321432	0.00068208444946919	1.9863659122884	0.0031682727977034	0.079322216240359	1.1584761602635	1.9716533903774	0.00021326457281795	0.21036122898351	7.1137960479105	0.013566997434029	4.8492799802939e-07	0.0085490835888362	1.0773335480373	0.027313326462112	0.0021431464307041	0.002143146420263
11.872	0.001753305814127	116.55965494313	0.00073764847077817	0	0.056705711447769	0.54741025013265	1.4259195333947	3.7014849140589	1.0772301768681	0.011325127621847	0.00062831040888639	1.9862687887404	0.0030362734875033	0.078699210168315	1.1578659813088	1.9704942494273	0.00019743383698682	0.20293080102946	7.1099220911357	0.013117691477867	4.7802111893593e-07	0.0075087516789876	1.076781480906	0.027285677237127	0.0020304437237153	0.002030443713824
12	0.0017281713733775	116.56030380551	0.0007249842362365	0	0.055532474746697	0.54461469725221	1.4263759951253	3.7022233348333	1.0772014060184	0.010943990829713	0.00061145114592143	1.9862314321361	0.0029924241255599	0.078652264812204	1.1576648061107	1.9701137142926	0.00019237408107727	0.20061699316294	7.1086469040751	0.013003521032413	4.7573622833434e-07	0.0072025828525963	1.0765979743287	0.027265180523655	0.0020021722310689	0.0020021722213155
12.2	0.0016886536734054	116.56131097809	0.00070631316155157	0	0.053803643617083	0.54027522690014	1.4270770287204	3.7033461261339	1.0771533113825	0.010386151708995	0.00058592761969882	1.9861668275182	0.0029289762359441	0.080406130654528	1.1573487599437	1.9695173068148	0.00018490124585144	0.19666390945346	7.1066449397842	0.013163705549762	4.7173790414348e-07	0.0067553163002621	1.076308282554	0.027136782459698	0.0019655683132655	0.0019655683036907
12.48	0.0016334516059686	116.5627074671	0.00067961954895802	0	0.051579813553722	0.53425805686516	1.4280376626726	3.7048574754337	1.0770803755182	0.0096760829810955	0.00055127320174557	1.9860652283895	0.0028372641494405	0.079290632960292	1.1569030724887	1.9686788715864	0.00017455555397458	0.19133663448322	7.1038241105597	0.012892605400252	4.6595091719639e-07	0.0061876829813883	1.0758970661095	0.026992233140166	0.0019272534107866	0.0019272534013986
12.872	0.0015584730603264	116.56463631021	0.00064276889465016	0	0.048808592024288	0.52594659967178	1.4293484929098	3.7068768013367	1.0769697655416	0.0088052282370659	0.00050614521667193	1.9859061053641	0.0027070765675718	0.07875675343402	1.1562731967873	1.9674987976197	0.00016071333589229	0.18426200325059	7.0998430010256	0.012570628357741	4.5815253140979e-07	0.0054947044457446	1.0753114118518	0.026782344091558	0.0018917259447794	0.0018917259355647
13	0.0015349874751988	116.56525963493	0.00063112145429823	0	0.047978193552336	0.52326065783367	1.4297698560618	3.7075155796567	1.0769319165084	0.0085476392921989	0.00049238938848869	1.985850681232	0.0026650146773858	0.078729725843322	1.156066156435	1.9671120620129	0.00015642144939887	0.18204227392973	7.0985359548105	0.012490850169559	4.5565219596365e-07	0.0052905076904388	1.0751179910374	0.026709140912191	0.0018833408824022	0.0018833408732284
13.2	0.0014991350341766	116.56622718958	0.00061342146115937	0	0.046749924666771	0.51909133395333	1.4304215327384	3.7084944282151	1.0768709404552	0.0081700126868113	0.00047175500164247	1.9857603362389	0.002599983062116	0.080429639754693	1.1557413577787	1.9665064713618	0.00014989372939266	0.17819117569303	7.0964870820481	0.012700403983977	4.514699345139e-07	0.0049919471292017	1.074813737261	0.026545777645515	0.0018731469254988	0.0018731469163747
13.48	0.0014509088175924	116.56756878481	0.00058964856050286	0	0.045160822194955	0.51331009106764	1.4313219231684	3.7098243833426	1.0767821468496	0.0076881114389432	0.00044478976502758	1.985626834245	0.0025111632618707	0.079314994032543	1.1552841205647	1.965656138829	0.00014132625577247	0.17297793613175	7.0936060407107	0.012486062102875	4.4546319440738e-07	0.0046125206510867	1.0743839343894	0.026333898343697	0.0018641907355129	0.0018641907264325
13.872	0.0013877209930127	116.56942186939	0.00055858585360439	0	0.043163458785945	0.50532451690025	1.4325608987325	3.7116199996753	1.0766522237028	0.007094779658879	0.00041070071244339	1.9854284001125	0.0023925779706219	0.078807614423403	1.154639423855	1.9644612559782	0.00013041887221062	0.16602357575928	7.089550222171	0.012223519508836	4.3750914671388e-07	0.0041483272802145	1.0737754768813	0.02603761107534	0.00185902422152	0.0018590242124648
