# Time [h]	hydro_Methanogenesis [g/h]	Disintegration_Initial [g/h]	Hydrolysis_Proteins [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acetic_Degradation [g/h]	Acidogenesis_MS [g/h]	Disintegration_Substrate [g/h]	Propionic_Degradation [g/h]	Butyric_Degradation [g/h]	Hydrolysis_Lipids [g/h]	Hydrolysis_Carbohydrates [g/h]	Acidogenesis_AA [g/h]	Acidogenesis_LCFA [g/h]
9	5.2001202685714	0	1.1691677192307	10.830681392046	0.2003564874473	3.525658063849	4.5597201058305	2.4561961948874	1.3047816776661	0.62783050216746	0.8802972922566	4.4088177122464	1.0826430220237	6.9899678201116
9.2	5.0019109666284	0	1.0903602244519	10.456345472138	0.1860331801361	3.4055992010255	4.3195465218128	2.4366253907652	1.2230874207194	0.58899214795514	0.81571622224603	4.1837535217636	1.0080106575346	6.7691663385787
9.48	4.7410816265746	0	0.9904516902881	10.008842766575	0.16807638393827	3.2598557781391	4.0154740932999	2.4094882457665	1.1207384354108	0.54024910226413	0.73392686892102	3.8972784274365	0.91397723034706	6.4590734724047
9.872	4.4129322704064	0	0.86868455700065	9.4648172029695	0.14657130376372	3.0810824075873	3.6442915759756	2.3720039905993	0.99871158546674	0.48172769402439	0.63440157198468	3.5459482980133	0.80008937131969	6.0412775442957
10	4.3128117143843	0	0.83285376891202	9.2985889259885	0.14030149227364	3.0263638924634	3.5312416494124	2.3598904973713	0.96317387211524	0.464555214031	0.60515451821332	3.4420318759248	0.76639460969843	5.9115980288036
10.2	4.1621819175184	0	0.78051576124053	9.0109778916099	0.13141261057713	2.9335805945423	3.3711296411246	2.341087010092	0.91362050781461	0.44023076368342	0.56247322033558	3.2896932814009	0.7180152782064	5.7201412606057
10.48	3.9748820767799	0	0.71410346262157	8.6926893784983	0.12025016871665	2.8293736004424	3.1682550800624	2.3150138343762	0.85210828808072	0.40972546697904	0.50839394414065	3.095295870591	0.65687725829481	5.4779343880238
10.872	3.7581384882337	0	0.63304625848301	8.3433067810962	0.10683111804656	2.7142002202311	2.9195871317907	2.2789992228027	0.77934112556024	0.37308701018641	0.44253997807115	2.8559603234886	0.58259366047987	5.19280359365
11	3.6961544432035	0	0.60916646127294	8.2445254630155	0.10291649957089	2.6816442741743	2.8453899461151	2.267360677994	0.75826229599337	0.3623701519963	0.42317606917372	2.784943030782	0.56084164031467	5.1124068338736
11.2	3.6045795843362	0	0.57425637696719	8.0659163489377	0.097473878085503	2.6245432269522	2.7377493178737	2.2492944416153	0.73007915764622	0.34755144792759	0.39490558677204	2.6806027186903	0.52941487259361	4.999894977235
11.48	3.4943907673765	0	0.52990095150015	7.881101813248	0.090423760804385	2.5646793088223	2.6000026306923	2.2242435477054	0.69406856941638	0.32831347577496	0.35906151073112	2.5469962581084	0.4890527168619	4.8682684996191
11.872	3.3716034780025	0	0.47565536011757	7.6884610805325	0.081629216457344	2.5021142560169	2.4293494622043	2.1896410005306	0.64931034517063	0.30425469976888	0.31536757051748	2.3816398808063	0.43942765572925	4.7244543017851
12	3.3371064843109	0	0.45964761484795	7.6354490771818	0.079008698872264	2.484955743122	2.3787541123952	2.1784587890088	0.6358815403877	0.29705664128206	0.30250847980905	2.3323639393613	0.42484405266707	4.6856168464515
12.2	3.285433888865	0	0.43621837177777	7.5361384337511	0.075299340667876	2.4537821519381	2.3040435848811	2.1611009076006	0.61745183392527	0.28697566104782	0.28372328461101	2.2597530319175	0.40363638432829	4.6302437747193
12.48	3.2213489651013	0	0.40639548520601	7.4310834129062	0.070427985987108	2.4206044221248	2.2075373041835	2.1370322274606	0.59299219768209	0.27357596593993	0.25988268521831	2.1663521692563	0.37621736116087	4.5667577110922
12.872	3.1480876982883	0	0.36981958595677	7.3162403262276	0.064264903906564	2.3844784422512	2.0869764260204	2.1037863986871	0.56123074529714	0.25642997127976	0.23077758672127	2.0499608650201	0.34233820159811	4.4956966808589
13	3.1269737635946	0	0.35900085027235	7.2836036439992	0.062414701457745	2.3742720634264	2.0509715337126	2.0930426313347	0.55146710148747	0.25123960754251	0.22220132299843	2.0150841291981	0.33232002195797	4.475871792741
13.2	3.0941716373432	0	0.34314053284607	7.2236417834431	0.059646573487516	2.3558836373949	1.9975525495954	2.0763653358133	0.53679196165408	0.24354826554489	0.20966177942647	1.9634968360044	0.31754546101303	4.4444100139453
13.48	3.0510942656119	0	0.32290068043561	7.155083594729	0.056102430269713	2.33487461082	1.9283343420794	2.0532403642706	0.51748227465762	0.23355033721855	0.19372586734564	1.8967545321881	0.29867349143123	4.4067926203261
13.872	2.999790782536	0	0.29798074567292	7.073842894274	0.051705359791272	2.3101429914485	1.8412655142276	2.021298067601	0.4926958562429	0.22093557268824	0.17422974576901	1.8128652690097	0.27538228590971	4.3600427171665
14	2.9845633535968	0	0.2905860244491	7.0497864807212	0.050393534435114	2.3028570641267	1.8150037610488	2.0109755549246	0.4851233254442	0.21712832325132	0.16847480356863	1.7875551515763	0.26846266198227	4.3458697942515
14.2	2.9597123490289	0	0.27972119941395	7.0043036096316	0.048351568228025	2.2892359921415	1.7759432383236	1.9949521625023	0.47307587085984	0.21123909038722	0.16005003658911	1.7499445676826	0.25812809341795	4.3209043741376
14.48	2.9257258538786	0	0.26580828709678	6.9502688704134	0.045797997214878	2.2730892686736	1.7251612866047	1.9727339011015	0.45757002231151	0.20376184700513	0.14932279076204	1.7009429692254	0.24506336378772	4.2890541014861
14.872	2.8840454086872	0	0.24858794271874	6.8834236002521	0.042684386492077	2.2532142440724	1.6607188577629	1.9420440318506	0.43811559577154	0.19445805530427	0.13616001943271	1.6387169157649	0.22892630882655	4.2456045760009
15	2.8714304994997	0	0.24345602243779	6.8631347822931	0.041759638527325	2.2472004710719	1.6410741691359	1.9321262575955	0.43223396832838	0.19165485793518	0.13226504214917	1.6197914219543	0.224107250135	4.2315750718023
15.2	2.8498787183315	0	0.23589355187471	6.822521901566	0.040294225955663	2.2352204214365	1.6117698489168	1.9167311306256	0.42266775613493	0.1872289563822	0.12655337636162	1.5915171877462	0.21686133464975	4.2058645375814
15.48	2.8196975767326	0	0.22616521438511	6.7740018992363	0.038479999087681	2.2209377637593	1.5734458603132	1.8953840301481	0.41052077350235	0.18166115666381	0.11926133727077	1.5543832080173	0.20772024033457	4.1716125215827
15.872	2.7818278156603	0	0.21404118135251	6.7128197093754	0.036279350169075	2.2029827020261	1.5242855761527	1.8658974852668	0.39545997838938	0.17474653665443	0.11027712236391	1.5066808101101	0.19637670485371	4.1230235264872
16	2.7702192833572	0	0.21040794901781	6.6939570181572	0.035625014076065	2.1974543912022	1.5091294522206	1.856368580393	0.39092241102702	0.17265490813305	0.10760968844885	1.4920436226461	0.19296685282444	4.1069239882686
16.2	2.7496424379606	0	0.20503365727064	6.6546745892737	0.034578985974279	2.1859374583185	1.4864411316648	1.8415770858583	0.38346399219788	0.16931628495134	0.10368902504522	1.470048298272	0.18781839544213	4.0771981940567
