# Time [h]	MS [1]	Lignin [1]	Butyric [1]	Initial_Substrate [1]	Carbohydrates [1]	Substrate [1]	MO_AcidoLCFA [1]	MO_hydroM [1]	MO_Acetic [1]	Proteins [1]	AA [1]	MO_acetoM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_ButyricValeric [1]	Valeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	Hydrogen [1]	Hydrogen_gas [1]	Lipids [1]	MO_AcidoAA [1]	Acetic [1]	Phi [1]
2.872	1.5426746904654e-05	1.3392185983434	8.5274723468745e-06	0	0.0099739748988474	0.0090190562276581	0.015764224647448	0.040171298701172	0.012225916930365	0.0034939515879464	9.9592838390062e-06	0.022477879201586	4.2032957501165e-05	0.28150708914611	0.73010016748387	0.013294859864732	0.022789595169019	3.1129725064422e-06	0.00039046168172025	0.082036120200299	0.067760166901279	0.45162524453294	1.9850263638849e-06	0.00012678911645609	0.002863532446159	0.012281028696289	0.00015992743174512	0.91135647190104
3	1.4648750049828e-05	1.3401279789083	8.0795529761322e-06	0	0.0094880744462255	0.0089790188707772	0.015779422059411	0.04029383771595	0.012243570658808	0.0033168640005515	9.4126074361879e-06	0.022516508012984	3.9476676069112e-05	0.26410141082774	0.69892833286388	0.013311914594189	0.022810241010076	2.9502286865377e-06	0.00039475331722637	0.082117437940015	0.063393022785879	0.44778530670174	1.8665796020663e-06	0.00012252546264833	0.0027169699725639	0.012301191294183	0.00014572552993706	0.91141992813956
3.2	1.3526942300138e-05	1.3414651908629	7.4307109359442e-06	0	0.0087782381543848	0.0089162533803407	0.015803053746782	0.040473752760599	0.012269094274216	0.0030582360590486	8.6315536933697e-06	0.022571572711183	3.5776515242947e-05	0.26769248817519	0.94542273179387	0.013336618773134	0.022840038644008	2.7130229077253e-06	0.00040307408899793	0.082235086474238	0.05787708271412	0.5755363130651	1.6972831258732e-06	0.00011287578018529	0.0025029371862504	0.012330445319564	0.00011918979011151	0.91151295129245
3.48	1.2114890766126e-05	1.3431786864829	6.6201289045403e-06	0	0.0078776687608924	0.0088280647019404	0.015836061112333	0.040703643852152	0.012301008107381	0.0027302620556335	7.6583470316725e-06	0.022639004632452	3.12243439569e-05	0.23402191173028	0.67283215248292	0.013367499079993	0.022877106290602	2.4154894645167e-06	0.00041140309988357	0.082382011408155	0.050413451091687	0.4365361484302	1.4979312392113e-06	9.9055623934479e-05	0.0022315450674299	0.012367164326262	9.4862136666687e-05	0.91163162524288
3.872	1.0410064565804e-05	1.3452935678306	5.6485098358281e-06	0	0.006779484845864	0.0087042107280352	0.015882133483964	0.040989016947998	0.012339537666416	0.0023306005644268	6.4954369793295e-06	0.022718824652036	2.5949536675468e-05	0.19650432085774	0.57720323263874	0.013404178960882	0.022920779518043	2.0572269895481e-06	0.00041741624926199	0.082556234103127	0.042620209186145	0.41524161930906	1.2896575025873e-06	8.7851073840616e-05	0.0019008890213729	0.012411119541969	7.659519704753e-05	0.91177727565579
4	9.90907830622e-06	1.3459207792034	5.3652130766487e-06	0	0.0064562758142155	0.0086637307329397	0.015897106548301	0.041074657364238	0.012350920796134	0.002213044605258	6.155084827686e-06	0.022742196434436	2.4447380812351e-05	0.18691975164742	0.5557194493203	0.013414728923856	0.022933227844394	1.9526830387483e-06	0.00041821149130124	0.082606179419501	0.040628646244558	0.41412885534017	1.2329641000019e-06	8.5229948251549e-05	0.0018036440987303	0.012423839553286	7.2658488514305e-05	0.91182029453947
4.2	9.1848899090196e-06	1.3468428003373	4.9538804212572e-06	0	0.0059842540722195	0.008600484755242	0.015920547965524	0.041201160380347	0.012367445722123	0.0020414342885325	5.66577427762e-06	0.022775790231219	2.228876605929e-05	0.18694300295127	0.66223015433879	0.013429875034975	0.022951004222626	1.8002851054754e-06	0.00041996261331991	0.082677807709254	0.038476145836621	0.53235575338254	1.1453576798557e-06	7.4510830472033e-05	0.0016616984088613	0.012442197220764	6.3043328331815e-05	0.91188336398319
4.48	8.2726246112364e-06	1.3480241547026	4.438382618163e-06	0	0.0053856229570895	0.0085120204509836	0.015953540819109	0.041364258706672	0.012388200202351	0.0018239353716668	5.0533547494301e-06	0.022817441041891	1.9666481434435e-05	0.16769264247111	0.51155563066103	0.013448569896423	0.022972736382225	1.6088101057433e-06	0.00042036780001761	0.082765999938304	0.035101521608768	0.42366572437692	1.044575354416e-06	6.5223647302936e-05	0.0014818248609103	0.012465043083626	5.5183097290805e-05	0.91196385436953
4.872	7.1708606838229e-06	1.3494817051335	3.8185172283555e-06	0	0.0046559070766894	0.0083884725465757	0.015999819891908	0.041569806849061	0.01241359969706	0.0015590802376968	4.3184174208195e-06	0.022868004204659	1.6631420290171e-05	0.14696589865563	0.45573689212933	0.013470359323748	0.022997576366406	1.3778967637085e-06	0.00041760216042432	0.08286806467546	0.03145245651177	0.41082620618097	9.3827495415684e-07	5.95324558711e-05	0.0012628414346197	0.012492004687214	4.9146518235935e-05	0.9120626601752
5	6.8473018381874e-06	1.3499142588144	3.6375262784502e-06	0	0.0044411946758262	0.0083482474621335	0.016014913150961	0.041632149274135	0.012421164821632	0.0014812156197632	4.1032221529465e-06	0.022883018896844	1.5764065851798e-05	0.14161485044319	0.44245409503133	0.013476525929797	0.023004462874245	1.3104409679615e-06	0.0004160378713119	0.082896695304598	0.030488599684057	0.41136101240592	9.0823655642281e-07	5.8175289546618e-05	0.0011984759706169	0.012499711430542	4.7688228970265e-05	0.91209187010303
5.2	6.3797838864839e-06	1.3505503172041	3.3746263547286e-06	0	0.0041276439227575	0.0082855369852762	0.016038514372812	0.041724946542741	0.012432228851108	0.0013675759638356	3.7930116989813e-06	0.022904896222165	1.4512789785319e-05	0.14102594291832	0.49490214170084	0.013485277874581	0.023014091165594	1.2121837463101e-06	0.00041311843880322	0.082937091400189	0.02962437273667	0.5153699278189	8.6243098496305e-07	5.3266262698164e-05	0.0011045513785983	0.012510734722524	4.4458042472803e-05	0.91213471232999
5.48	5.7916395463436e-06	1.3513656037288	3.0449433207902e-06	0	0.0037299993090986	0.0081980763924847	0.016071573607545	0.041846092951458	0.012446328639138	0.0012235948256752	3.404199359804e-06	0.022932662975928	1.2977392055658e-05	0.12960747464846	0.40699175697894	0.013495872396919	0.023025436974858	1.0887422934451e-06	0.0004079600597133	0.082985463060015	0.027849306434271	0.42914666656799	8.0899288071954e-07	4.9434437838296e-05	0.00098557656826937	0.012524250166187	4.1568351846794e-05	0.91218941764242
5.872	5.0835370390382e-06	1.3523744430168	2.6486785961622e-06	0	0.0032452370750616	0.0080763897114473	0.016117644304173	0.042000934934357	0.012463822859292	0.0010483289974209	2.9373891210886e-06	0.022967043838959	1.1176784484679e-05	0.11757860903489	0.37460247492472	0.013507822191962	0.023037581726405	9.4002147083901e-07	0.00039911733738196	0.083038835120496	0.025796458041727	0.41961459246609	7.490669842865e-07	4.6643459064146e-05	0.00084080260817429	0.012539820519087	3.8799437855897e-05	0.91225675070637
6	4.8758717253827e-06	1.3526749021872	2.5330538833717e-06	0	0.0031025816922358	0.0080368730712808	0.016132612581455	0.042048309750064	0.012469061666874	0.0009968157312636	2.800784216471e-06	0.022977332125457	1.0658327789502e-05	0.114441277238	0.36651959597756	0.013511101301417	0.023040733167039	8.9660206265859e-07	0.00039593373862762	0.083053135054585	0.025231365446735	0.42014520575191	7.3168621138614e-07	4.5880962800038e-05	0.00079826419577409	0.012544175822249	3.8046027214749e-05	0.912276719654
6.2	4.5774092468062e-06	1.3531178591122	2.3654161450497e-06	0	0.0028942240954684	0.0079753591540369	0.016155899936524	0.042119239288648	0.012476765771208	0.0009216425650224	2.6040868572306e-06	0.022992443247326	9.9086582671297e-06	0.11448512173108	0.40155823170446	0.013515645935234	0.023044905589498	8.3348973134171e-07	0.00039004702775292	0.083072592725741	0.024833470192322	0.51001220093832	7.0565760194729e-07	4.367792178414e-05	0.00073620117274163	0.012550305245079	3.6571281268231e-05	0.91230607409325
6.48	4.2040493831946e-06	1.3536882423054	2.1558460294566e-06	0	0.0026299040333913	0.0078897408045254	0.016188240854154	0.042212569372099	0.012486654613259	0.00082640925407351	2.3580723815063e-06	0.02301181845312	8.9829574124501e-06	0.10733740222804	0.34330891127586	0.013520922524715	0.023049335491993	7.5441472223884e-07	0.00038142347081875	0.083094412414178	0.023689956907369	0.43637711184979	6.7431163672225e-07	4.165106353461e-05	0.00065760278831857	0.012557617622278	3.5113550890152e-05	0.91234370632522
6.872	3.7592476404212e-06	1.3544002600013	1.9054463021312e-06	0	0.0023074910224364	0.0077709235980216	0.016232750214953	0.042332806399897	0.012498978721605	0.00071049284701457	2.0640544198261e-06	0.023035968354273	7.8920741031388e-06	0.099909919414033	0.32332486407488	0.013526427542798	0.023053083998271	6.5959901914375e-07	0.00036892645836398	0.083115528450358	0.022292569960166	0.4275366179318	6.3830743642982e-07	4.0004715464341e-05	0.00056198410620737	0.012565648567643	3.3600824387459e-05	0.9123903782969
7	3.629259487793e-06	1.3546139635528	1.8326774872363e-06	0	0.0022125622495781	0.0077324058793652	0.016247080316531	0.04236977798545	0.01250267481539	0.00067642415176363	1.9782015293629e-06	0.023043214941219	7.5774593838458e-06	0.097980011957877	0.31829495631883	0.013527818620573	0.023053775956086	6.3199886459378e-07	0.00036480152030487	0.083120374703872	0.021897390184779	0.42771617661043	6.2781762058456e-07	3.9541420341763e-05	0.00053389336892561	0.012567792242001	3.3181323527992e-05	0.91240431324194
7.2	3.4454077075728e-06	1.3549308989196	1.7278004199318e-06	0	0.0020738554527092	0.0076725083111573	0.016269200903806	0.042425262612712	0.012508113216619	0.00062670634627064	1.8554077362424e-06	0.02305387589588	7.1236715942495e-06	0.098589477824939	0.34602432592938	0.013529615843778	0.023054369038431	5.9206313306598e-07	0.00035753996475643	0.083126068388858	0.021682567945075	0.50724099724204	6.1206097001957e-07	3.8220085642245e-05	0.00049291205155158	0.012570699706462	3.2367367076809e-05	0.91242490425849
7.48	3.2189503889186e-06	1.3553430323107	1.5979373169873e-06	0	0.0018977733335579	0.0075892550224556	0.016299539517988	0.042498446736143	0.012515091601478	0.00056371599890344	1.702949113459e-06	0.023067560992551	6.5647493662577e-06	0.093885235433448	0.3036032509508	0.013531427991627	0.023054287922441	5.4235783141939e-07	0.00034746067729557	0.083130530179028	0.020814456321825	0.44114397247413	5.930301867609e-07	3.6937891614074e-05	0.00044101566528184	0.012573943309892	3.1581860827953e-05	0.91245153019913
7.872	2.9563369944269e-06	1.3558659034371	1.4451411023982e-06	0	0.0016827490858671	0.0074739211625744	0.016340503862424	0.042592806136336	0.012523755840791	0.00048703003024844	1.5228191045157e-06	0.023084585166613	5.9110219307016e-06	0.089163716883569	0.29104795115313	0.01353274998949	0.023052603655401	4.8335043810814e-07	0.00033373708588256	0.08313071840299	0.019704076615855	0.4322720241956	5.7137955415751e-07	3.5945188190235e-05	0.00037788358337841	0.012577054132303	3.0815838872688e-05	0.91248502916799
8	2.8801334283285e-06	1.3560249350292	1.4011474596466e-06	0	0.0016193775969728	0.0074365764402727	0.016353508234195	0.042621819251001	0.012526344287713	0.00046448702859671	1.4703914506948e-06	0.023089680990474	5.7235558327655e-06	0.087974270257487	0.28799715177407	0.013532919997291	0.02305171445755	4.6626761454113e-07	0.00032937817541222	0.083129467728485	0.019383200537248	0.43208890816592	5.6512174086542e-07	3.5672119411357e-05	0.00035933672410664	0.012577760414994	3.0614033423948e-05	0.91249515082474
8.2	2.7764807077101e-06	1.3562631276537	1.3385241071843e-06	0	0.0015267155637217	0.0073785432430928	0.016373365711773	0.042665297246351	0.012530135671505	0.00043158356005577	1.3964052523277e-06	0.023097152175357	5.4558042662719e-06	0.089029122050525	0.31219362900781	0.013532945084294	0.023050017607684	4.4173281630721e-07	0.00032207361427381	0.083126323742445	0.019236711808887	0.50476936251901	5.5570865030551e-07	3.4820460322897e-05	0.00033227803448849	0.01257858005793	3.0192411650474e-05	0.91251024138153
8.48	2.6529490704352e-06	1.3565776803999	1.2623237133381e-06	0	0.0014089512426456	0.0072979565935781	0.016400154192598	0.042722465178523	0.012534961252302	0.00038988408391678	1.3054826505023e-06	0.023106681754503	5.1296991085056e-06	0.085878774050319	0.2792793696806	0.01353253263617	0.023047072301905	4.1145739274151e-07	0.00031223392204131	0.083119716060423	0.018486387532881	0.4431625221913	5.4455672883366e-07	3.399718253053e-05	0.00029800989464805	0.012579199309107	2.9861419358616e-05	0.91253003200913
8.872	2.5162276465379e-06	1.3569861260106	1.1745879225826e-06	0	0.0012648818746075	0.0071864463757929	0.016435474959587	0.042795727523034	0.012540865929415	0.00033909260934346	1.1988360629984e-06	0.023118397747082	4.7545137090018e-06	0.082956428404715	0.27193976135035	0.013531188120457	0.023041976633698	3.757884391405e-07	0.00029933592045242	0.083106685499501	0.01750061242804	0.43384323100839	5.3237161210429e-07	3.3477558762954e-05	0.00025631574435856	0.012579157772103	2.9653352318309e-05	0.91255547382766
9	2.4763361373817e-06	1.3571125714416	1.1495158982403e-06	0	0.0012223572590607	0.0071503675001352	0.016446501420285	0.042818154395775	0.012542609550703	0.00032415507870262	1.1675266425155e-06	0.023121872442311	4.6477358033063e-06	0.082277443669886	0.27035714790286	0.013530584562835	0.023040103163464	3.6545339513833e-07	0.00029533993089934	0.083101611670417	0.017213924235427	0.43329953594735	5.2889521078257e-07	3.3342825197254e-05	0.00024406493066711	0.012578947795455	2.9618098684098e-05	0.91256329038314
9.2	2.4251852773273e-06	1.3573042412084	1.1142615541707e-06	0	0.0011601100681076	0.0070943264086812	0.016463148902184	0.04285163803488	0.01254513613003	0.00030234521971781	1.1234490151253e-06	0.023126921408293	4.497810321075e-06	0.083701644487745	0.29282207928717	0.013529492050765	0.023036988839167	3.5065001748463e-07	0.00028885430203571	0.083092949093279	0.017100222297363	0.50193041065099	5.2358366306533e-07	3.2777158121587e-05	0.00022618937775653	0.012578440928401	2.9466038165296e-05	0.91257507875081
9.48	2.3647479608073e-06	1.3575617310145	1.0712984921951e-06	0	0.001080863972312	0.0070165514751848	0.016485266940537	0.042895442413086	0.012548299367536	0.0002746900359893	1.0680823121863e-06	0.023133275425124	4.3153084281174e-06	0.08159432232802	0.26596581533014	0.0135276861148	0.023032283394942	3.3212052799828e-07	0.00028028726897793	0.083079461937564	0.016424651146077	0.44263784790122	5.1741003916582e-07	3.2249576705217e-05	0.00020354591772924	0.012577399440912	2.9460480581984e-05	0.91259079811553
9.872	2.2938960303944e-06	1.357903618045	1.0202237571966e-06	0	0.0009836560091677	0.0069090058752144	0.016513930729765	0.042951313087848	0.012552082930564	0.00024097553472886	9.9893785517617e-07	0.023140950316423	4.1015243446647e-06	0.079910978684232	0.26254475393426	0.01352468549242	0.023025104588107	3.0939304092874e-07	0.00026930235732724	0.083058233521764	0.015557968227825	0.43271891863622	5.1072587061849e-07	3.2046986589353e-05	0.00017598477721747	0.012575369259677	2.9625168772623e-05	0.91261145822015
10	2.2708691971347e-06	1.3580110930376	1.0049649434023e-06	0	0.00095489910911894	0.0068742250818681	0.016522793377743	0.042968390039572	0.012553182510122	0.00023105286445823	9.7749488955496e-07	0.023143200167637	4.0388712199382e-06	0.079585314853197	0.26207103089135	0.01352360402079	0.023022631459976	3.0253610796e-07	0.00026594262860371	0.083050786058052	0.015313513615748	0.43189154339377	5.0873051898759e-07	3.1997689967537e-05	0.00016788383540557	0.012574581580593	2.969048600035e-05	0.91261790509723
10.2	2.2387852521246e-06	1.3581754301965	9.8308780009997e-07	0	0.00091273875400138	0.0068202129411042	0.016536127195719	0.042993903103422	0.01255475589066	0.00021655726682623	9.4555643060316e-07	0.023146438503442	3.9522001136748e-06	0.081265548692509	0.28348399646482	0.013521823241972	0.023018652542164	2.9254395401676e-07	0.00026052034024669	0.0830386833905	0.015268667943257	0.49877769288431	5.0530724627766e-07	3.1562823993363e-05	0.00015606047882266	0.012573237520452	2.966054785304e-05	0.9126277163534
10.48	2.1933999289993e-06	1.3583986509248	9.5350212984013e-07	0	0.00085893239246525	0.0067452756218098	0.016553827551866	0.043027395136726	0.01255669363005	0.00019816089424918	9.016064123091e-07	0.023150467461447	3.8381538106304e-06	0.079795110923696	0.26035200276773	0.013519161569149	0.023012867053202	2.7901191873146e-07	0.00025338101015767	0.083020862857355	0.014720791339292	0.44045391921329	5.0092008917898e-07	3.1143902934632e-05	0.00014107731445821	0.012571142993032	2.9763209601448e-05	0.91264095434154
10.872	2.1247693104952e-06	1.3586986470278	9.1259285109831e-07	0	0.00079267852673344	0.0066416868884217	0.016576930831758	0.043070575008159	0.012558975009904	0.00017570348339564	8.4044512166764e-07	0.02315529439301	3.6861151400331e-06	0.078854642852249	0.25952812342684	0.013515141699934	0.023004386952566	2.6060067954504e-07	0.00024419673323611	0.082994353871005	0.014060717986501	0.43021680830209	4.9529720364392e-07	3.1027548683041e-05	0.00012282801576367	0.012567836286204	2.9959448302096e-05	0.91265858882345
11	2.1007662448266e-06	1.3587937017629	8.9920857430633e-07	0	0.0007730171057307	0.0066081926573322	0.016584137726674	0.043083907642278	0.012559631768176	0.00016908643776587	8.2074052941566e-07	0.023156704657082	3.6373140650807e-06	0.078730453676019	0.25973607270776	0.013513764354158	0.02300153257403	2.5470544691984e-07	0.00024137299351137	0.082985347017421	0.013884944443033	0.42928728286179	4.9342695444567e-07	3.0992880596546e-05	0.00011746105334682	0.012566673407251	3.0013334240536e-05	0.91266414144553
11.2	2.0623131168168e-06	1.3589395756557	8.796261407381e-07	0	0.0007441285313416	0.0065561836400515	0.016595080480516	0.043104013212864	0.012560565952741	0.00015941211763491	7.9032020959864e-07	0.023158731481257	3.5700126903772e-06	0.080507755184669	0.2801653629208	0.013511554693034	0.022996995738615	2.4605492953424e-07	0.00023670949481456	0.082970950411796	0.013952581502711	0.49602063546206	4.899324416584e-07	3.0616630676739e-05	0.00010962479214612	0.012564780490996	2.9943474509606e-05	0.91267262942499
11.48	2.0051718461177e-06	1.3591386454234	8.5056360393765e-07	0	0.00070713446903297	0.0064840347957968	0.016609840003623	0.043130795356041	0.012561708217718	0.00014711887704283	7.4734444677351e-07	0.023161251863604	3.4714265563441e-06	0.079322216240359	0.25897817646442	0.013508353168058	0.022990497219411	2.3366996712741e-07	0.00023049497339459	0.082950176058573	0.013566997434029	0.43808570138023	4.8492799802939e-07	3.0178899419273e-05	9.968792506679e-05	0.012561985377968	2.9927217496597e-05	0.91268414955118
11.872	1.9210229457316e-06	1.3594077284911	8.08213675999e-07	0	0.00066134532226733	0.006384316455282	0.016629588247712	0.043166092347883	0.012563045464057	0.0001320822896425	6.8841342392687e-07	0.023164283186105	3.326739457147e-06	0.078699210168315	0.2594233565735	0.01350367591523	0.022981130996727	2.1632074132007e-07	0.0002223497954485	0.082919971294745	0.013117691477867	0.42787477059229	4.7802111893593e-07	3.0002654116927e-05	8.757279822358e-05	0.012557812611746	2.9896417340537e-05	0.91269961005759
12	1.8934737975611e-06	1.3594933750344	7.9433357555151e-07	0	0.00064769933853039	0.0063520773975445	0.016635858277436	0.043177160909922	0.012563428234887	0.00012764451213804	6.699377499602e-07	0.023165170701251	3.2786773001704e-06	0.078652264812204	0.25991349222711	0.013502104318721	0.022978011646097	2.1077579550061e-07	0.00021981345909506	0.0829098553913	0.013003521032413	0.42697291745027	4.7573622833434e-07	2.994830027587e-05	8.4006848188993e-05	0.012556392067172	2.9873800772322e-05	0.912704506213
12.2	1.8501606391133e-06	1.3596251314969	7.7387009071835e-07	0	0.00062759062634438	0.0063020205302572	0.016645489921062	0.043194033062159	0.012563971251957	0.00012114888586705	6.4196748247551e-07	0.023166450795404	3.20913371636e-06	0.080406130654528	0.27940888060262	0.013499608475601	0.022973081794825	2.0258646156392e-07	0.00021548041857909	0.082893814038957	0.013163705549762	0.49415316724835	4.7173790414348e-07	2.9656068000801e-05	7.8797139507652e-05	0.012554119082488	2.9732870025102e-05	0.91271201490908
