# Time [h]	MS [g]	Lignin [g]	Butyric [g]	Initial_Substrate [g]	Carbohydrates [g]	Substrate [g]	MO_AcidoLCFA [g]	MO_hydroM [g]	MO_Acetic [g]	Proteins [g]	AA [g]	MO_acetoM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_ButyricValeric [g]	Valeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Lipids [g]	MO_AcidoAA [g]	Acetic [g]
0.2	4.3229156256821	11648.658000325	1.2086317770306	0	255.9760002848	17.18420956442	136.99340109232	321.57785201077	103.35917601543	91.950821448237	2.6759767671211	186.45655353679	2.8005823957191	76.90873166927	8.7739832478371	85.682714917107	113.42160690713	195.93291017094	0.39483239153769	5.7316640592163	702.24501503028	8.6760814415205	10.500192299763	19.176273741284	0.00061022252545001	0.0026256637101084	0.0032358862355584	75.833516886352	102.41853229404	123.86308077725
0.48	3.8041161770917	11648.72911082	1.8083487665424	0	227.83844710792	41.012042703846	136.96009618704	325.18108891501	103.73833092791	81.793361433192	2.6809717224103	187.69770966394	5.3912439438463	69.315532550817	14.310479519454	83.626012070271	113.60327754601	196.24133765621	0.63799676306194	11.708417537135	704.28232133415	10.85821158706	5.9577807573138	16.815992344374	0.00060342091815695	0.0023172407240452	0.0029206616422022	67.446354002134	103.13860950675	108.11741520676
0.872	3.20645134724	11648.933475476	1.7374460261192	0	193.93052088947	73.923326072394	136.93075209435	330.1828188715	104.25997713328	69.485953205225	2.2348973910218	189.38622846049	6.5784079429985	57.122243515148	13.206786698838	70.329030213986	113.96370692251	196.73284523881	0.61922986190147	17.624656904887	706.69757584416	11.879411989551	4.9422975079983	16.821709497549	0.00053968105800022	0.0020168293935938	0.002556510451594	57.270471838183	104.04134289428	89.293781323119
1	3.032228527333	11649.028295455	1.662109308185	0	184.04550724674	84.560739064669	136.92470558244	331.74878414685	104.42796340438	65.881413683628	2.0970502494914	189.92501283955	6.6407065078913	53.46198040575	11.805941439949	65.267921845699	114.08727214398	196.88177497341	0.59252778384894	19.036086701535	707.39311007623	11.969085586847	4.8075757233053	16.776661310152	0.00051085744303423	0.0019111469214093	0.0024220043644435	54.28687383159	104.30493581538	83.580907786709
1.2	2.8056050126992	11649.183666544	1.5689761809871	0	169.65819230502	83.88698809763	136.91945801432	334.1303434193	104.68610990475	60.629114322207	1.9358365932565	190.7445728758	6.8036672710224	55.577542058169	17.854288426843	73.431830485012	114.28460201638	197.1016817702	0.56424223037321	22.106906519268	708.40050594142	12.005483201428	6.5839484683604	18.589431669788	0.00047498627586343	0.0021077632220715	0.0025827494979349	49.938171169503	104.6911141873	72.074494412521
1.48	2.4931685513441	11649.397795003	1.410639723591	0	151.45057395513	82.952774075352	136.92176691472	337.29883640351	105.03515028494	53.983561211396	1.7014846679362	191.83035819926	6.6254371973857	48.635527286227	10.977726969501	59.613254255728	114.5622726626	197.3804055597	0.51031329940205	25.648700763238	709.65003736852	11.605785658477	4.9701472064409	16.575932864918	0.00041926081563551	0.001943534728491	0.0023627955441265	44.436187454768	105.17831596768	57.372828852494
1.872	2.116477566889	11649.69126069	1.1939403322518	0	129.31981593541	81.662393797323	136.9455213914	341.34828845447	105.48779101328	45.908776793864	1.4199102281999	193.1841682318	5.9392416022829	40.535987129337	8.9810549876616	49.517042116998	114.92888242133	197.70699811326	0.43367079661671	29.456356236954	711.11438577279	10.589282570306	4.9204017827223	15.509684353028	0.00034466568517868	0.0017287939491111	0.0020734596342898	37.751446310522	105.76156068565	39.881194277526
2	2.005606910957	11649.789048749	1.1291810974748	0	122.82173198799	81.245367678823	136.95832097117	342.57313297453	105.62587248517	43.538496547144	1.3377109345431	193.5834376134	5.6676549853247	38.350313997515	8.5858843023556	46.93619829987	115.04009658459	197.799090516	0.41067592392087	30.449747729783	711.53103249296	10.195036348687	4.9263531543631	15.12138950305	0.00032061352208347	0.0016570399663649	0.0019776534884484	35.789331611004	105.93063838947	34.992484345556
2.2	1.8465213939313	11649.940337961	1.0349187895556	0	113.34516280749	80.598033945113	136.98484090619	344.37741380041	105.82662169951	40.082440057196	1.2215013941536	194.14776010789	5.2271449324358	39.936077027618	13.190681149898	53.126758177516	115.20388258975	197.92904403386	0.37693049519459	32.060869544991	712.12445360727	9.5335085522999	6.3552803902394	15.888788942539	0.0002866178831239	0.0015734102390117	0.0018600281221356	32.92854723062	106.17466538153	27.829362164201
2.48	1.6466862337011	11650.149280476	0.91737180270213	0	101.35044878846	79.700443177963	137.03691607468	346.67288673829	106.0740940337	35.709375707854	1.0778698451798	194.81492879525	4.6140210787764	34.721785907922	8.7277218366522	43.449507744574	115.41134676873	198.08475372765	0.33457919994633	33.861100515207	712.8472608845	8.3474547224768	4.7761841728845	13.123638895361	0.00024406051459901	0.0014156557960348	0.0016597163106338	29.308969257429	106.47873175828	20.519199261795
