# Time [h]	All Liquid [L/h]	MS [g/L]	Butyric [g/L]	AA [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
5.2	9.7843468411458	0.0071629334225633	0.0038354489056363	0.0042665377751785	0.016914156397652	0.0013780805742391	0.53055901561288	0.045967276005038
5.48	9.7996587300347	0.0065630136530974	0.0034878926935262	0.0038637849566302	0.015212887813283	0.0012474164874977	0.51976233510402	0.043608500749376
5.872	9.81745175	0.005851661523375	0.0030744116108241	0.0033851922466038	0.013234845949497	0.0010912945579273	0.50196534990596	0.040922554189164
6	9.82259125	0.0056440137733309	0.0029545628981371	0.0032456832608283	0.012668990162813	0.001045957444736	0.49563508024197	0.040160694534317
6.2	9.8300131759983	0.0053522791632827	0.0027824908397537	0.0030474378314763	0.011862138717902	0.00098058363954851	0.48532029364335	0.039098466218491
6.48	9.8389031891276	0.0049951744594334	0.0025703117308478	0.0028028828746698	0.010874752071119	0.00089951584337092	0.47020630419744	0.037840869575889
6.872	9.8489753479818	0.0045860185689107	0.002322480259729	0.0025170552200396	0.0097307616979371	0.00080392522003735	0.44825119812528	0.036469036514196
7	9.8518473100043	0.0044679918605114	0.0022514949347192	0.0024342958502607	0.0094047593052531	0.0007763862131539	0.44099072140007	0.036092841415496
7.2	9.8558107439236	0.0043107419026568	0.0021510859438373	0.0023191722240191	0.0089427422473163	0.00073705636371263	0.42964718267479	0.035598130832391
7.48	9.8602875555556	0.0041285081242723	0.0020305046404935	0.0021804036314528	0.0083848852394219	0.0006890765496528	0.41391208880852	0.035076351520373
7.872	9.864813851237	0.0039398887127786	0.0018952583077296	0.0020236063920819	0.0077536183452759	0.00063374290060931	0.39251999599039	0.03464616740796
8	9.8660347304687	0.0038870664857936	0.0018574280951275	0.0019785700309095	0.0075764368670099	0.00061796958566143	0.38573347884416	0.034555629240576
8.2	9.8674778166233	0.0038280129341455	0.0018052613250432	0.0019181738226041	0.007328789244985	0.00059565417420187	0.37539388870533	0.034494782853894
8.48	9.8687092315538	0.0037716120150489	0.0017452983909581	0.0018473534270231	0.0070369386316773	0.00056879478699435	0.36151759655958	0.034553293017037
8.872	9.8692794346788	0.0037322620272761	0.0016811237911404	0.001767766878672	0.006715658565582	0.00053782251982544	0.34336590707302	0.034871680409596
9	9.8693678674045	0.0037209507686319	0.0016633053592493	0.0017439426844165	0.0066260938975282	0.00052883478521684	0.33773782682527	0.035004000549675
9.2	9.8692221073134	0.0037178925156355	0.0016385827370976	0.0017111732252789	0.006500398130726	0.00051579070121783	0.3292654131943	0.035268595434888
9.48	9.868663539388	0.0037207421594409	0.0016092423030953	0.0016687100123888	0.0063495226641072	0.00049919175845005	0.3180427056295	0.035724759855952
9.872	9.8677014530165	0.0037217475096933	0.0015728622080988	0.0016086982693627	0.0061701489073881	0.00047756797279821	0.30349452729827	0.036452675065892
10	9.867473133572	0.0037163429319019	0.0015610595313365	0.0015879459127519	0.0061155364269836	0.00047063635986194	0.29899167782909	0.036683285821116
10.2	9.8671705428602	0.0037074725975148	0.0015422237898652	0.0015542847396937	0.0060324069285576	0.00045975594484145	0.29219503269337	0.037050545528714
10.48	9.8669061939019	0.0036826579449183	0.0015142626032483	0.0015028572683822	0.0059175677244859	0.00044416175436411	0.28312212941532	0.037546564676213
10.872	9.8671438428819	0.0036180629463258	0.0014695630681476	0.0014215538330466	0.0057506973490141	0.00042105629811709	0.27115715524701	0.038139192838552
11	9.8673784883898	0.0035905507546403	0.0014535454369282	0.0013936461108109	0.0056936236752274	0.00041323614527113	0.26739883420924	0.038294874433199
11.2	9.8679537748481	0.003541388432366	0.001426974849698	0.0013481226676216	0.0056012207257541	0.00040070991930463	0.26166150212794	0.038503942094857
11.48	9.8690309558377	0.0034609921095886	0.0013867050728777	0.0012817609638362	0.0054646245400478	0.00038257953617628	0.25387050536768	0.03871618679378
11.872	9.8710551818576	0.0033318360648479	0.0013252981689346	0.001186914667545	0.0052593348094085	0.00035642510187447	0.24335143266421	0.038847168028697
12	9.8718027169054	0.0032879101444024	0.001304522601082	0.0011565014045487	0.0051897082491802	0.00034787160077071	0.23999538461682	0.038852159416977
12.2	9.8730889031033	0.0032172460611042	0.0012715151138886	0.0011093687473345	0.0050786430672599	0.00033454772932021	0.23482273999922	0.038824966310194
12.48	9.874996859158	0.0031167436442796	0.0012247024731942	0.0010451950921288	0.0049196163747368	0.00031613622428781	0.22771110915633	0.038720580567651
12.872	9.8778149444444	0.0029772060344487	0.0011594879658247	0.00096056387290462	0.0046937739674327	0.00029128570076754	0.21797682949139	0.038463621335315
13	9.8787458810764	0.0029329437082799	0.0011386448883796	0.00093454080576635	0.0046203584103037	0.00028350573607762	0.2148481017127	0.038359051465525
13.2	9.8802226805556	0.0028649848787388	0.0011066589657511	0.00089543115559406	0.0045064021419845	0.0002717154680215	0.210007065973	0.038177108249194
13.48	9.8822753094618	0.0027731276823046	0.0010633519739331	0.00084403895244453	0.0043494814826066	0.00025602814068313	0.20332367912546	0.037890752999058
13.872	9.8851000477431	0.0026517936499535	0.0010061763844256	0.00077870093625065	0.0041374505417935	0.00023579178849967	0.19414605699014	0.037442665468296
14	9.8860021189236	0.0026141044089157	0.00098844957523133	0.00075894689964049	0.0040706427726818	0.0002296215028454	0.19119317688189	0.03728897599555
14.2	9.8873989444444	0.0025571562080976	0.0009617142148877	0.0007296192857534	0.0039688627672269	0.00022041434981927	0.18662324240205	0.037042050406029
14.48	9.8893000048828	0.0024813030980421	0.00092628213127038	0.00069156765947866	0.0038320984029298	0.00020840039315414	0.18031548839655	0.036685516479623
14.872	9.8918664827474	0.002382222361973	0.00088051122935006	0.00064371536550165	0.0036524208963222	0.00019322119480555	0.17166145769889	0.036170662489954
15	9.8926805748698	0.0023514908526691	0.00086646728204713	0.00062929211899462	0.0035967018042767	0.0001886418376299	0.16887871894336	0.036000759496603
15.2	9.8939366427951	0.0023051866264219	0.00084539743089102	0.00060793706323112	0.0035125755050112	0.00018184751857435	0.16457397860416	0.035733027295451
15.48	9.8956415700955	0.0022435022334018	0.00081762179449827	0.00058026744698339	0.0034007455141955	0.00017303760091338	0.15863521773415	0.035354421582183
15.872	9.8979476593967	0.0021625814761649	0.00078184185772669	0.00054541561620714	0.0032553531421289	0.00016196069291221	0.15048954491831	0.034817363278431
16	9.8986824600694	0.0021373247458527	0.00077085232291348	0.00053487026842446	0.0032104635235716	0.00015862178398516	0.14786949747259	0.034641411861786
16.2	9.8998204288194	0.002099179689754	0.00075434096087236	0.00051922816828447	0.0031428170687916	0.00015366706695782	0.14381543594507	0.034364920066181
16.48	9.9013733134766	0.0020480667793298	0.00073250391251815	0.00049887466952068	0.0030530061709208	0.00014723380933573	0.1382194039012	0.033974552064728
16.872	9.9034952394748	0.0019803389469	0.00070417842272876	0.00047303052067267	0.002936096902094	0.00013911133361134	0.13053576566967	0.033420050152437
