Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
27.48	6.549831490109E-10	3.0583476370323E-9	7.8278401447281E-9	1.0727167754689E-10	2.8549936212586E-8	-2.0937584655897E-4	8.6680332115771E-14	0.11536649886306	
27.872	6.7630094291992E-10	3.1769827515211E-9	7.8209626145282E-9	1.1082380421682E-10	2.8572919398252E-8	-2.1077077937014E-4	8.6681380966922E-14	0.11536510408985	
28.0	6.8216746368517E-10	3.2105254309951E-9	7.836941423469E-9	1.1180107175402E-10	2.8579471152294E-8	-2.1116515956279E-4	8.6681677492064E-14	0.11536470977257	
28.2	6.9031897469481E-10	3.2579511001529E-9	7.9716293586522E-9	1.1315983207049E-10	2.856727935989E-8	-2.1173214818513E-4	8.6682103737307E-14	0.11536414296337	
28.48	6.9981561078537E-10	3.3145787654356E-9	7.8583087808309E-9	1.1474394823634E-10	2.855154271675E-8	-2.1245179040578E-4	8.6682644972828E-14	0.11536342325979	
28.872	7.0979344053474E-10	3.3764107031244E-9	7.8514443454558E-9	1.1641190659496E-10	2.8525215547383E-8	-2.1331499149092E-4	8.6683294093917E-14	0.11536256009898	
29.0	7.1233764262971E-10	3.3927648976449E-9	7.8671731376191E-9	1.168383395054E-10	2.851496826646E-8	-2.1356507276245E-4	8.6683482143465E-14	0.11536231004251	
29.2	7.1565532373841E-10	3.4147811480303E-9	8.0016673164312E-9	1.1739597773516E-10	2.8484860604525E-8	-2.1392977239185E-4	8.6683756312037E-14	0.11536194547316	
29.48	7.1906068616583E-10	3.4388239968637E-9	7.8857044399084E-9	1.1797149782646E-10	2.8441977936959E-8	-2.1440514859562E-4	8.6684113915394E-14	0.11536146996612	
29.872	7.2168813579507E-10	3.4606986780778E-9	7.8758210348118E-9	1.1842313656034E-10	2.8377092933264E-8	-2.1499580679428E-4	8.6684558151762E-14	0.1153608792581	
30.0	7.2208705418944E-10	3.4652985737868E-9	7.8906404834496E-9	1.1849466433553E-10	2.8354467015617E-8	-2.1517213418593E-4	8.668469075846E-14	0.11536070292798	
30.2	7.2228826349944E-10	3.4701674198694E-9	8.0233287574025E-9	1.1853664388645E-10	2.8310448201597E-8	-2.1543350825844E-4	8.6684887251086E-14	0.11536044164769	
30.48	7.2177668167088E-10	3.4725586770214E-9	7.9040769220182E-9	1.1846417351339E-10	2.8247560026924E-8	-2.1578419961338E-4	8.6685151123634E-14	0.11536009077599	
