Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
4	7.2319799945244e-09	3.7167102825952e-08	1.6205307361883e-08	2.4895627522416e-09	1.3806713189805e-07	-0.0092056515383749	9.4170150686004e-14	0.10637038434624
4.2	6.6009764861602e-09	3.3515514999406e-08	1.5724073498885e-08	2.2689841767081e-09	1.2699354510997e-07	-0.0080486780790476	9.3117518431045e-14	0.10752734175561
4.48	5.834367238525e-09	2.9187722607717e-08	1.395388729166e-08	2.0003318515319e-09	1.1517950698249e-07	-0.0066729821200868	9.190303308772e-14	0.10890301876465
4.872	4.9452192338475e-09	2.4323088685931e-08	1.2171673007564e-08	1.6878434272061e-09	1.0252644856402e-07	-0.0051395438947417	9.0594445648725e-14	0.11043643647432
5	4.6916815998761e-09	2.2960713012677e-08	1.1716174342887e-08	1.5986850381056e-09	9.9013306993702e-08	-0.0047171095649909	9.0241974273855e-14	0.11085886499288
5.2	4.3284302321372e-09	2.1034698751942e-08	1.1556287072953e-08	1.4706275662997e-09	9.4199891705486e-08	-0.0041266591266409	8.9754936373456e-14	0.11144930803877
5.48	3.8795566987823e-09	1.8694115807265e-08	1.0636873065785e-08	1.3120728368072e-09	8.8394191925413e-08	-0.0034241038282422	8.9183794540996e-14	0.1121518536635
5.872	3.3493765968319e-09	1.5983800585882e-08	9.6835068163906e-09	1.1243415116604e-09	8.1699376063004e-08	-0.0026404849915161	8.855721211146e-14	0.11293546141989
6	3.1964583386763e-09	1.521062349094e-08	9.4335818669073e-09	1.0701586319196e-09	7.9788778958958e-08	-0.0024245316210403	8.8386435294255e-14	0.11315141161327
6.2	2.9763180415408e-09	1.4105912103308e-08	9.3966900415857e-09	9.9197828902609e-10	7.7144591251826e-08	-0.0021226562695743	8.8149064536476e-14	0.11345328287924
6.48	2.7028695309997e-09	1.274636412478e-08	8.8408594672917e-09	8.9463979337795e-10	7.3910928490344e-08	-0.0017634720377674	8.786866670762e-14	0.11381246159038
6.872	2.3785720373901e-09	1.1151720075588e-08	8.2658827807874e-09	7.7880144766671e-10	7.0158441169799e-08	-0.0013630120099316	8.7558622802686e-14	0.11421291525398
7	2.2847871661115e-09	1.0693483488717e-08	8.1152098106967e-09	7.4524849725799e-10	6.9087666605287e-08	-0.0012527039766449	8.7473692631032e-14	0.11432322146954
7.2	2.149971283595e-09	1.003688553142e-08	8.1387326805809e-09	6.9684814532467e-10	6.761290150114e-08	-0.0010986275746116	8.7355402031573e-14	0.11447729557971
7.48	1.9831443116639e-09	9.2274749371113e-09	7.7758086140334e-09	6.3666822758083e-10	6.5835167157313e-08	-0.00091560175889271	8.7215396664679e-14	0.11466031821775
7.872	1.7867142476381e-09	8.2791163888495e-09	7.4131275573932e-09	5.6524735900108e-10	6.3849740575629e-08	-0.00071224439155964	8.7060485000132e-14	0.11486367201968
8	1.7301130412583e-09	8.0068433916404e-09	7.3207333075696e-09	5.4457147552517e-10	6.3300245756815e-08	-0.00065639780416104	8.7018061303021e-14	0.11491951761238
8.2	1.6492690577919e-09	7.617870147385e-09	7.3847594655819e-09	5.1482039747402e-10	6.2584745875772e-08	-0.00057863881372948	8.6959076392353e-14	0.11499727545131
8.48	1.5502791183701e-09	7.1413324972524e-09	7.1412753930088e-09	4.779626146632e-10	6.178607575472e-08	-0.00048680408386354	8.6889541158101e-14	0.11508910852626
8.872	1.4350446519855e-09	6.5875932049585e-09	6.9161243172311e-09	4.3425556821563e-10	6.1037184665431e-08	-0.00038584293076456	8.6813253538796e-14	0.11519006799202
9	1.4018983879108e-09	6.4289794833344e-09	6.8628284560711e-09	4.2154778194459e-10	6.0856774437849e-08	-0.00035835937965798	8.6792515224894e-14	0.11521755110401
9.2	1.3546321962406e-09	6.2027454157427e-09	6.9589488242544e-09	4.031754890621e-10	6.0696031120861e-08	-0.00032039658854198	8.6763889467965e-14	0.11525551353837
9.48	1.2966101014862e-09	5.9253599353171e-09	6.795331721966e-09	3.8013980612012e-10	6.05962577557e-08	-0.00027616612766986	8.6730567171419e-14	0.11529974337718
9.872	1.2273253604432e-09	5.598047900812e-09	6.6649226887756e-09	3.5192742326556e-10	6.0671055477669e-08	-0.00022860268568812	8.6694769056356e-14	0.1153473063384
10	1.2067354380129e-09	5.5021727153896e-09	6.6388923660665e-09	3.4346633664859e-10	6.0719778341868e-08	-0.00021587635241791	8.6685196911888e-14	0.11536003256919
10.2	1.1763916613836e-09	5.3624157751576e-09	6.7594415317355e-09	3.3088275850691e-10	6.0886823769732e-08	-0.00019853386961213	8.667215674591e-14	0.11537737515677
10.48	1.1367658910096e-09	5.1830273549878e-09	6.6470658823488e-09	3.1429864990532e-10	6.1119938291648e-08	-0.00017875096407248	8.6657287704586e-14	0.11539715794733
10.872	1.0843326152742e-09	4.9528954636587e-09	6.5775083973153e-09	2.9243540730087e-10	6.1433581115146e-08	-0.00015810170880764	8.664177422153e-14	0.11541780714209
11	1.0676534820417e-09	4.8810918303401e-09	6.5685396063165e-09	2.8556949955207e-10	6.1518316625967e-08	-0.00015269482586477	8.6637713254212e-14	0.11542321400539
11.2	1.0418863265694e-09	4.7720238032633e-09	6.7032635795302e-09	2.750611213399e-10	6.1693740722841e-08	-0.0001454315703577	8.6632258616059e-14	0.11543047742564
11.48	1.006017687436e-09	4.6223059296951e-09	6.6171231019382e-09	2.6067212777824e-10	6.1833496237678e-08	-0.00013732516462575	8.6626172046755e-14	0.11543858368496
11.872	9.5600255657217e-10	4.4158597194745e-09	6.5782632601913e-09	2.4116393407207e-10	6.1873936252186e-08	-0.00012910374266495	8.6620000307679e-14	0.11544680483248
12	9.398690453228e-10	4.3493041823397e-09	6.5774771422552e-09	2.3500486364554e-10	6.1854762038509e-08	-0.00012699820189746	8.66184199054e-14	0.11544891026441
12.2	9.149495358033e-10	4.2472468941684e-09	6.7164651432929e-09	2.2561992531794e-10	6.1822398622887e-08	-0.00012421504871286	8.6616330920134e-14	0.11545169338784
12.48	8.8049388317378e-10	4.1054239916047e-09	6.6383366728413e-09	2.1290359915324e-10	6.1669648027559e-08	-0.00012120968126177	8.6614075587715e-14	0.11545469833541
12.872	8.3370941465106e-10	3.9105728355018e-09	6.6099330222101e-09	1.960994843394e-10	6.1312638347808e-08	-0.00011833665443427	8.6611919895785e-14	0.11545757071838
13	8.1895697097129e-10	3.8484458577024e-09	6.6119537739916e-09	1.9090049688318e-10	6.1172917814237e-08	-0.00011764473484727	8.6611400803993e-14	0.11545826241818
13.2	7.965318312412e-10	3.7539302081849e-09	6.7497870584558e-09	1.830893072995e-10	6.0912654317231e-08	-0.00011678829185176	8.6610758281064e-14	0.115459118614
13.48	7.6628932950923e-10	3.6249697752078e-09	6.6715345453147e-09	1.7274295423724e-10	6.0491803440576e-08	-0.00011600849863763	8.6610173620447e-14	0.11545989773857
13.872	7.2645374958183e-10	3.4523413957387e-09	6.6458237916281e-09	1.5944601620079e-10	5.9818610416023e-08	-0.00011554872607807	8.660982932127e-14	0.11546035658647
14	7.1410436278795e-10	3.3982123320722e-09	6.6489092487704e-09	1.5539719712721e-10	5.9586884788053e-08	-0.00011551514466205	8.6609804354897e-14	0.11546038986873
14.2	6.9546823675027e-10	3.3160324542802e-09	6.7846992117989e-09	1.4935396318064e-10	5.9155521195389e-08	-0.00011558348751969	8.6609855961751e-14	0.11546032112345
14.48	6.7069872451441e-10	3.2057660158887e-09	6.705309437704e-09	1.414645419078e-10	5.8535088971778e-08	-0.00011592681687195	8.6610114271729e-14	0.11545997695136
14.872	6.3849484977749e-10	3.0607733571805e-09	6.682098425991e-09	1.3146641441064e-10	5.7621130275188e-08	-0.00011678486169069	8.6610759065089e-14	0.1154591177822
15	6.2855898755184e-10	3.0157109277838e-09	6.6864324416606e-09	1.2844047802814e-10	5.7317079281327e-08	-0.00011713264297515	8.6611020335595e-14	0.1154587696432
15.2	6.1356531801216e-10	2.947141687907e-09	6.8214916287055e-09	1.2392686001113e-10	5.6766606384645e-08	-0.00011775871914224	8.6611490574864e-14	0.11545814306355
15.48	5.9370339609284e-10	2.8558338185378e-09	6.7424924716524e-09	1.1806327821037e-10	5.5995466819207e-08	-0.00011881763673587	8.6612286017086e-14	0.1154570831788
15.872	5.6788336690725e-10	2.7364863204545e-09	6.7238440280739e-09	1.106518944624e-10	5.4886968958602e-08	-0.00012057986667364	8.661360954827e-14	0.11545531966917
