# Time [h]	All Liquid [L/h]	MS [g/L]	Butyric [g/L]	AA [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
4	9.6904919711372	0.010842114406582	0.0059665829525124	0.0067519843582326	0.028210241494215	0.0021721147705271	0.57019563605912	0.062472924574627
4.2	9.7110090938585	0.01008023975291	0.005523310419985	0.0062334801804651	0.025731110866202	0.0020077969165123	0.57214861333722	0.058739039858341
4.48	9.7360309163411	0.0091239669861665	0.0049690124845154	0.0055863383676342	0.022729606276683	0.0018016824185865	0.57198157443969	0.054353506109167
4.872	9.7654406105686	0.0079761758078087	0.0043055028327046	0.0048133316505042	0.019280264662286	0.0015540561078065	0.56631677995169	0.049427338315939
5	9.773967265625	0.0076396362627467	0.0041123402725413	0.0045873600065673	0.018299782964981	0.0014818996717727	0.56319562527672	0.048033269724408
5.2	9.78614010102	0.0071577597714896	0.0038332188848372	0.0042635492051361	0.016905869431728	0.0013772945589372	0.55710346749239	0.046076356325867
5.48	9.8012120863715	0.0065564350204627	0.0034850756495728	0.0038600313284672	0.01520176182218	0.0012464273230561	0.5462069458902	0.04371706629792
5.872	9.8189791803385	0.0058425271165465	0.0030705415476631	0.003380076488998	0.013219588827394	0.0010899443275924	0.52668941144134	0.04102138154058
6	9.8241373552517	0.0056339752873569	0.0029503048831703	0.0032400832239559	0.012652307409905	0.001044474800651	0.51937887167963	0.040253924689848
6.2	9.831416094401	0.005340335799297	0.0027775125728412	0.003040862733037	0.011842941110464	0.00097885786734498	0.50710696717085	0.039179137002213
6.48	9.8403256223958	0.0049798782707894	0.0025640519215368	0.0027946006243912	0.01085122753174	0.00089736078017817	0.48837494532097	0.037894785981938
6.872	9.8505803489583	0.004564361945551	0.0023138227787505	0.0025056095574021	0.0096992197081164	0.00080097636098399	0.45967419160763	0.036463371926169
7	9.8535301992187	0.0044440490086644	0.00224194311209	0.0024217116854424	0.009370216247416	0.00077314306802108	0.44984428027156	0.036063134949023
7.2	9.8575408159722	0.0042820506862271	0.0021398877004708	0.0023043306357933	0.0089027823842065	0.00073327824867274	0.43413942525218	0.035522353930343
7.48	9.8622508800998	0.0040915613975171	0.0020164255349137	0.0021616777261351	0.0083355765746361	0.00068437251766463	0.41166574469531	0.034917569794382
7.872	9.8672784722222	0.0038878530319984	0.001875997482939	0.0019979947856151	0.0076875286053634	0.00062740005615549	0.37986026303324	0.034331005708733
8	9.8686841032986	0.0038297844088738	0.0018362986547646	0.0019505729973006	0.0075042579998703	0.00061104120232547	0.36953261368839	0.034182705316738
8.2	9.870397515625	0.0037603742661367	0.0017808580725191	0.0018857054564318	0.0072460969266779	0.00058771476137151	0.35355563084166	0.034017795077446
8.48	9.8721684307726	0.0036871747072252	0.001715564742315	0.0018077623199262	0.0069373362440766	0.00055923555321669	0.33169259792925	0.033903805354314
8.872	9.8736652320964	0.0036209867126191	0.001642896248159	0.0017172622414648	0.0065890035944072	0.00052574000665388	0.3025131853765	0.033932763949224
9	9.8740634517144	0.0036012490882991	0.0016222623119264	0.0016900490351794	0.0064903447734067	0.00051592865235686	0.2934239305865	0.033965595057565
9.2	9.8743812144097	0.0035834110603788	0.0015930540961269	0.0016516865955812	0.006350156186425	0.00050159402758386	0.27971705714016	0.034062780851944
9.48	9.8745600711806	0.0035660164239669	0.0015574024651435	0.0016018507715465	0.0061787342631789	0.00048322507607985	0.26162395427086	0.034267640428751
