# Time [h]	Carbondioxide [g/L/h]	Methane [g/L/h]	Hydrogen [g/L/h]
13.872	0.068001368805957	0.11798822829594	6.3147995331587e-06
14	0.065895343795372	0.11374385328182	6.0708915156208e-06
14.2	0.3360921841061	0.62616124718315	2.8502473693075e-05
14.48	0.10073492174802	0.17819624417598	8.8883984335508e-06
14.872	0.065801714039984	0.11287714702142	5.6427926643369e-06
15	0.063685319324129	0.10865502344265	5.4151057811161e-06
15.2	0.33769414306999	0.62387562639596	2.643844618085e-05
15.48	0.099241002755162	0.17378735238659	8.0757803317742e-06
15.872	0.06372278352148	0.10805745701076	5.0359588885965e-06
16	0.061568656513944	0.10379861627	4.8236044741148e-06
16.2	0.33978987644217	0.62207704967535	2.4587035127479e-05
16.48	0.097887726036986	0.16953882559938	7.3751401900065e-06
16.872	0.06169766714057	0.10329671402918	4.5200411990941e-06
17	0.059492058565251	0.09897876539896	4.3215951362557e-06
17.2	0.34265372929785	0.62083994031395	2.3078814756533e-05
17.48	0.096679344245236	0.16536533630811	6.796965311301e-06
17.872	0.059699909281896	0.098526828658083	4.0876724060237e-06
18	0.057431933766162	0.094142954787472	3.9002144383165e-06
18.2	0.34630003802253	0.62013026120096	2.1849636037826e-05
18.48	0.095588074862685	0.16123800552902	6.2991805921861e-06
18.872	0.057693038851287	0.093726168276892	3.7027329576578e-06
19	0.055351666915823	0.089273446932313	3.523251031653e-06
19.2	0.35055862604948	0.61980107770035	2.0704058921743e-05
19.48	0.094552628960859	0.1571210212081	5.8168983645246e-06
19.872	0.055625307722531	0.088865371863355	3.3240343660268e-06
20	0.053198205904718	0.084338066579054	3.1510020059431e-06
20.2	0.35522183002997	0.61967083675921	1.9428665955437e-05
20.48	0.09349844962885	0.15295164973925	5.294053154322e-06
20.872	0.053432982486417	0.083884002270511	2.9228457157382e-06
21	0.050905625235605	0.079270926464044	2.7568154107574e-06
21.2	0.36015311087609	0.61959028697408	1.7872176216805e-05
21.48	0.092357206419305	0.14864679189623	4.7011654365212e-06
21.872	0.051049836008005	0.078699872749308	2.4905647011607e-06
22	0.04840578794212	0.073986618473989	2.3340053104023e-06
22.2	0.36532436228336	0.61948000578357	1.5989541393239e-05
22.48	0.09108642935009	0.1441409293819	4.0441312075607e-06
22.872	0.04843358338348	0.073263712332032	2.0416300683921e-06
23	0.045658254937053	0.068441473176434	1.8983153661058e-06
23.2	0.37076739710072	0.61933982592257	1.386605369864e-05
23.48	0.089692943975801	0.1394573249643	3.3660780857522e-06
23.872	0.045612655666859	0.067651431565741	1.6107445240221e-06
24	0.041997894869987	0.061736856680863	1.4841103141293e-06
24.2	0.38403809892231	0.6275835391409	1.3413665467187e-05
24.48	0.10014801310815	0.15096760130949	3.6674078532365e-06
24.872	0.062950688139927	0.089158580945584	2.2291936837339e-06
25	0.062087681245489	0.086683156939243	2.1846309610395e-06
25.2	0.43652219876338	0.67390001105929	1.2375397585827e-05
