# Time [h]	MS [1]	Lignin [1]	Butyric [1]	Initial_Substrate [1]	Carbohydrates [1]	Substrate [1]	MO_AcidoLCFA [1]	MO_hydroM [1]	MO_Acetic [1]	Proteins [1]	AA [1]	MO_acetoM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_ButyricValeric [1]	Valeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	Hydrogen [1]	Hydrogen_gas [1]	Lipids [1]	MO_AcidoAA [1]	Acetic [1]	Phi [1]
2.872	1.5425118188075e-05	1.3391951603856	8.5194488235274e-06	0	0.0099737972159937	0.0090188979761501	0.015766084771949	0.040191826602953	0.012217303481858	0.0034938892957696	9.9538269542629e-06	0.022443235362233	4.2170603207911e-05	0.26514237719974	0.68373182030498	0.013308809941725	0.022798414181231	3.1098267926049e-06	0.00039994735837152	0.082042553781504	0.064707567061647	0.43598812146197	1.8956112733548e-06	9.7166422761291e-05	0.0028634813833542	0.012286333616989	0.00011272055164533	0.91135508927547
3	1.4647133713328e-05	1.3401169636357	8.071658786405e-06	0	0.009487993480904	0.0089789446610517	0.015781531011519	0.040311157014263	0.012233750400072	0.0033168356483427	9.4073995266361e-06	0.022477554729906	3.9525084229508e-05	0.2471064788992	0.65013708299064	0.01332601864175	0.022819269306066	2.9471387957883e-06	0.00040151106370233	0.0821246361112	0.060227504909706	0.43153329304978	1.7775026449749e-06	9.2603667928491e-05	0.0027169467381678	0.012306611385458	0.00010080047965441	0.9114192780376
3.2	1.3525355531992e-05	1.3414751131759	7.4239638910881e-06	0	0.0087783004038081	0.0089163189351596	0.015805562903249	0.040485461078113	0.012257205564942	0.0030582576998583	8.6268758736737e-06	0.022525681366202	3.5742507063346e-05	0.24264224840118	0.81309955697271	0.013350947145184	0.022849420597818	2.7104126112087e-06	0.00040339342655888	0.082243573471535	0.054661815499699	0.55430767534077	1.6020197098348e-06	7.5038754303724e-05	0.0025029548879946	0.012336059805166	8.2848183677576e-05	0.91151353161944
3.48	1.2113307303424e-05	1.3432176864812	6.6140944014164e-06	0	0.0078778952566427	0.0088283206612916	0.015839024289652	0.04070723043425	0.012286179543903	0.0027303405128443	7.6541061337944e-06	0.022584075872421	3.1122122946259e-05	0.2097351317927	0.59201357063114	0.013382098116827	0.022886980222174	2.4131558415632e-06	0.0004026759095026	0.082392289211089	0.047518719971775	0.42610275496199	1.412533447182e-06	6.13843438564e-05	0.0022316091845698	0.012373049247312	6.8786555420777e-05	0.91163390688673
3.872	1.0408407138301e-05	1.345368428131	5.6429594097798e-06	0	0.0067798601992454	0.0087046947395446	0.01588526044884	0.040982228876678	0.012321125867601	0.0023307295599362	6.4916437790523e-06	0.022653607288689	2.5804996358101e-05	0.17549100048947	0.50796691697259	0.013419061612334	0.022931259061755	2.0550680384894e-06	0.00039603187599903	0.082568722002307	0.040431729994431	0.40895881889077	1.2188331120155e-06	5.296903872386e-05	0.0019009942243403	0.012417338550849	5.8039514861249e-05	0.91178164368887
4	9.9073670287778e-06	1.3460065888866	5.3597703864809e-06	0	0.0064566856436707	0.0086642827516179	0.015900170290131	0.04106465733226	0.012331440145943	0.0022131850442751	6.1514025920416e-06	0.022673997749946	2.4296006433414e-05	0.16689516271992	0.48847569916726	0.013429690191847	0.022943891897801	1.9505623245121e-06	0.00039269991344443	0.08261934227829	0.038649623894958	0.40896114923679	1.1643302767412e-06	5.0833865591413e-05	0.0018037585488642	0.012430160615014	5.5424490502183e-05	0.91182529710962
4.2	9.1830819287702e-06	1.3469437893816	4.9491924970834e-06	0	0.0059847012357902	0.0086011293151681	0.015923381891138	0.041186606392833	0.012346511637469	0.0020415867945696	5.6623421179833e-06	0.022703694417263	2.2157219873126e-05	0.16392380693843	0.55153114075955	0.013444942324289	0.022961924325005	1.7984736287371e-06	0.0003885093661674	0.082691906646141	0.036772827414281	0.52038603474608	1.0897711021524e-06	4.7699509898739e-05	0.0016618225387571	0.012448660100683	5.1585400904953e-05	0.91188924389829
4.48	8.2706408319132e-06	1.3481421984066	4.4340850593622e-06	0	0.0053860932547868	0.0085127655268395	0.01595575261569	0.041344522804957	0.012365703473824	0.001824094612202	5.0500830523643e-06	0.02274136261878	1.9552261244098e-05	0.14786815419146	0.44204629326724	0.01346375253373	0.02298394417336	1.6071520242652e-06	0.00038062549512052	0.082781151237111	0.033862414152238	0.42726114000173	1.0004111979628e-06	4.4247303471358e-05	0.0014819542258365	0.012471665751981	4.7421793051219e-05	0.91197071574763
4.872	7.168535185493e-06	1.3496207029292	3.8143753345991e-06	0	0.0046563854203764	0.0083893362590207	0.016000695796991	0.041543638827306	0.012389336246994	0.0015592403806344	4.3152503009672e-06	0.022787557518596	1.6530582097208e-05	0.1312072098028	0.39946182598107	0.013485682345464	0.023009136546817	1.3762979262443e-06	0.00036630650362731	0.082884508458586	0.03063331818049	0.41694744634603	8.9775974535303e-07	4.064029366961e-05	0.0012629711412833	0.012498823557236	4.283433874154e-05	0.91207072275599
5	6.8448469226106e-06	1.3500600342469	3.6333985988682e-06	0	0.0044416731145471	0.0083491486715421	0.016015260150207	0.041603893714534	0.012396356517827	0.0014813751522458	4.1000678186103e-06	0.022801241576505	1.5666149510354e-05	0.12688103826842	0.38883805708935	0.013491895014716	0.023016136765237	1.3088479971263e-06	0.00036098849440353	0.082913556810285	0.029750574261016	0.4174612677679	8.677317632912e-07	3.9528584646497e-05	0.0011986050433132	0.012506593636661	4.1531232024446e-05	0.91210032060328
