# Time [h]	Lignin [g/L]	Initial_Substrate [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	MO_Acetic [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
7	6.991936112792	0	0.01563508057233	0.15919318226439	0.41492195787759	0.12229554244481	0.0072155810506623	0.00022313372388457	0.22502005961839	0.13280382489915	0.22618022970649	0.81524825965268	0.12330979332375	0.021333548827465	9.2553163067536
7.2	6.9920103154605	0	0.015510502179225	0.15935977489005	0.41534531676365	0.122316223955	0.006683736315211	0.0002091533450381	0.22506267652269	0.13279172845525	0.22613556465211	0.81512222182118	0.12331081889668	0.018709627687745	9.2525676609443
7.48	6.9921131559005	0	0.015337760272473	0.15959051803517	0.41590464608994	0.12234214886639	0.0060102132954322	0.00019174501148528	0.2251162626809	0.13277100059086	0.22606937319376	0.81493033230173	0.12330700386457	0.015592698030556	9.2492768581338
7.872	6.9922551113906	0	0.015099154070373	0.15990578725373	0.41662604932305	0.12237274719914	0.0051907076706442	0.00017106976021106	0.22517996192629	0.13273539180511	0.22597034532625	0.81463480108501	0.12329253953352	0.012129522047727	9.2455631883917
8	6.9923009837499	0	0.015022045175361	0.1600067281962	0.41684787364633	0.12238147310168	0.0049498989675998	0.0001650339074516	0.2251982569561	0.13272234817473	0.22593663792409	0.8145324662222	0.12328584171359	0.011178454659633	9.2445280423949
8.2	6.992372167263	0	0.014902350929729	0.16016149266888	0.41718034535911	0.12239378156987	0.0045984956678197	0.00015646114253793	0.22522424611321	0.13270062569261	0.22588267698688	0.81436709026701	0.12327352732978	0.0098542190460552	9.2430674800365
8.48	6.9924708265308	0	0.014736381317129	0.16037151347278	0.41761742261193	0.12240838009712	0.0041532857683923	0.00014584762006886	0.22525550160265	0.13266769520392	0.22580470829212	0.81412529572304	0.12325282414466	0.0082902735887418	9.2412999559733
8.872	6.9926070188255	0	0.01450712935469	0.1606507139116	0.41817651459452	0.1224238319245	0.0036112067793493	0.00013326129895343	0.2252896150389	0.13261722506299	0.22569135479613	0.81376889205251	0.12321782872457	0.0065709051430223	9.2392654975073
9	6.9926510222258	0	0.014433043629205	0.16073847561865	0.41834744154647	0.12242778688831	0.0034518278719815	0.00012955400869292	0.22529865125828	0.13259981259589	0.22565344133254	0.81364863809518	0.12320510278603	0.0061028602653817	9.2386876581224
9.2	6.9927193088588	0	0.014318042136427	0.16087141212737	0.41860244818566	0.12243281729165	0.0032191581926954	0.00012427711984	0.22531057026042	0.13257172112121	0.22559335209777	0.81345708213759	0.12318400132308	0.005456353929508	9.237860544782
9.48	6.9928139608243	0	0.014158579494318	0.1610488895395	0.41893548106653	0.12243761206638	0.0029241902287394	0.00011762564921162	0.22532296927958	0.13253074478954	0.22550764559266	0.81318207154193	0.12315218620051	0.0047031091771674	9.2368350654504
9.872	6.9929446400867	0	0.013938315417362	0.16128054741245	0.41935847052626	0.12244020917055	0.0025646873809758	0.00010935817590334	0.22533250888374	0.13247055707295	0.22538494470096	0.81278516929187	0.12310371148256	0.003893103756256	9.2356062233585
10	6.9929868627072	0	0.013867134390767	0.16135261082193	0.41948735420702	0.12244019078414	0.002458901267461	0.00010682575567008	0.2253339807396	0.13245030778964	0.22534430118843	0.81265299374048	0.12308703319417	0.003676374299605	9.2352448708861
10.2	6.9930523915243	0	0.013756641778283	0.16146127363077	0.41967951708524	0.12243929408934	0.0023043795670428	0.00010305810877053	0.22533464221916	0.13241811149254	0.2252802570447	0.8124440421402	0.12306018192233	0.0033810318159792	9.2347148224186
10.48	6.9931432326251	0	0.013603431191339	0.16160589486281	0.41993076930838	0.12243640851793	0.0021083052083599	9.800294010537e-05	0.22533249572181	0.13237201127941	0.2251895989836	0.81214698300406	0.12302111163169	0.0030441289329932	9.2340323742076
10.872	6.993268673517	0	0.013391802968327	0.16179532746961	0.42025224624477	0.12242955338805	0.0018689935200917	9.1179311770126e-05	0.22532418637527	0.13230574001883	0.2250609810278	0.81172322334487	0.12296385453027	0.0026924721141159	9.2331682338308
11	6.993309206662	0	0.01332341281513	0.1618545994291	0.42035096084569	0.12242674428018	0.0017984912733118	8.9017981910906e-05	0.22532039685992	0.1322837328338	0.22501861891593	0.8115831348831	0.12294460181866	0.0026003928971493	9.2329033114959
11.2	6.9933721186803	0	0.013217252405745	0.16194460029958	0.42049932737309	0.12242182979627	0.001695423423033	8.5672480302084e-05	0.22531348882947	0.13224901037031	0.22495209362157	0.81136264108189	0.12291400552778	0.0024766996552601	9.2325041635446
11.48	6.9934593419793	0	0.013070048906506	0.16206590636168	0.42069585849997	0.12241399217313	0.0015644693308352	8.1065117798075e-05	0.22530201526075	0.13219977674495	0.2248583342108	0.81105092775173	0.12287020256617	0.0023386475649714	9.2319705864686
11.872	6.9935798039693	0	0.012866718191484	0.16222817728729	0.42095265094018	0.1224014073892	0.0014043157034664	7.4822085366344e-05	0.22528290075241	0.13212978153811	0.22472599120048	0.81060923510117	0.1228071906002	0.0021986367482958	9.231261631507
12	6.9936187307406	0	0.01280100952774	0.16227972490315	0.4210327049694	0.12239696924515	0.0013570547478892	7.2871084683591e-05	0.22527603267765	0.13210669178539	0.22468254016385	0.81046384166267	0.12278624520717	0.0021627793888506	9.2310371961042
12.2	6.993679152749	0	0.012699011528449	0.16235882825537	0.42115431980072	0.12238974365548	0.0012878827064523	6.9881935621349e-05	0.22526474692154	0.13207039953826	0.22461443001072	0.81023557847962	0.12275317644236	0.0021153822898856	9.2306925343135
12.48	6.9937629296685	0	0.012557579679748	0.16246699222453	0.42131773942575	0.12237908798443	0.0011998341952295	6.5860246474432e-05	0.22524791102864	0.13201918469138	0.22451866329539	0.80991394577053	0.12270623278128	0.0020642008819438	9.2302201618738
12.872	6.9938786415018	0	0.012362221268294	0.16261422637907	0.4215352129911	0.12236323187235	0.0010918482183709	6.0610050353365e-05	0.22522252029499	0.13194676438754	0.2243838637127	0.80946001983803	0.12263937789014	0.0020152732348329	9.2295738116396
13	6.9939160346268	0	0.012299088978282	0.16266147579486	0.42160379379581	0.12235785313505	0.0010599071935268	5.9004347734911e-05	0.22521383433681	0.13192295499123	0.22433968678762	0.80931099166007	0.12261729888853	0.0020034898442088	9.2293654143805
13.2	6.9939740779153	0	0.012201090219733	0.16273439351168	0.42170865579931	0.12234925833706	0.0010130815004408	5.6590927482547e-05	0.22519988633958	0.13188560218616	0.22427051134291	0.8090773822125	0.12258256979261	0.0019889046199241	9.2290420047047
13.48	6.9940545598923	0	0.012065203767936	0.16283472777861	0.42185063250238	0.12233685516808	0.0009533257525372	5.3415482267023e-05	0.22517962123913	0.13183301983107	0.22417338305673	0.80874889316369	0.1225335122442	0.0019756247414227	9.2285927746203
13.872	6.9941657260004	0	0.011877505140788	0.16297204573043	0.42204115973316	0.12231882415175	0.00087975261830636	4.9369250813335e-05	0.22514990787281	0.13175888681107	0.22403690586637	0.80828646615031	0.12246406677506	0.0019677948146952	9.2279684109159
14	6.9942016508309	0	0.011816848218988	0.16301620013624	0.42210152148857	0.12231278660651	0.00085792058725043	4.8143897193296e-05	0.22513990024312	0.13173456317764	0.22399223241596	0.8081349034282	0.12244122312767	0.0019672229231776	9.2277651170814
14.2	6.9942574159572	0	0.011722691912801	0.16308435838284	0.42219397666263	0.12230319385574	0.00082584348885159	4.6320231793433e-05	0.22512393816081	0.13169644714276	0.22392232798059	0.80789755605935	0.12240537385561	0.0019683868020489	9.227447830493
14.48	6.9943347408295	0	0.011592133453475	0.16317804882596	0.42231928819014	0.12228944278481	0.00078476727604007	4.3943743318568e-05	0.22510093082725	0.13164287303248	0.22382426889915	0.8075642567558	0.12235488998269	0.0019742337009464	9.2270038183016
14.872	6.9944415489594	0	0.011411794315658	0.16330580955574	0.42248743839378	0.12226960323734	0.00073392626305576	4.0938209080019e-05	0.22506750232929	0.13156749091718	0.22368664931393	0.80709583606007	0.12228369646545	0.0019888462042808	9.2263810802242
15	6.9944760657585	0	0.011353515710994	0.16334673922349	0.42254065718998	0.12226298921779	0.00071877488161064	4.0028133820112e-05	0.22505630296837	0.13154279144347	0.22364163891	0.80694247913434	0.12226033663909	0.0019947689195841	9.2261770881311
15.2	6.9945296457114	0	0.011263051207555	0.16340971852595	0.42262203613097	0.12225250088159	0.00069644759051384	3.8677471326511e-05	0.22503848339565	0.13150411748445	0.22357124125321	0.80670247854106	0.12222373120751	0.0020054309967616	9.2258575603979
15.48	6.9946039413831	0	0.011137611848659	0.16349581531066	0.42273194078764	0.1222374994838	0.00066772583530298	3.6919202040764e-05	0.22501287264262	0.13144981866717	0.22347255516976	0.80636575024333	0.12217228415691	0.0020234643634691	9.2254081990945
15.872	6.9947065664642	0	0.0109643436627	0.16361214152983	0.42287847243625	0.12221590359032	0.00063193107325176	3.4691051933133e-05	0.22497577210983	0.13137352434254	0.22333417047981	0.80589302911386	0.12209990903784	0.0020534751394556	9.2247739300318
16	6.9947397314782	0	0.010908350125822	0.16364913449313	0.42292459452303	0.12220871239846	0.00062120438901269	3.4012998144516e-05	0.22496336321788	0.13134855030477	0.22328893526866	0.80573837797371	0.12207619987158	0.0020640699087522	9.2245652369512
16.2	6.9947912131766	0	0.010821432676878	0.16370574660493	0.42299481319288	0.12219731666838	0.00060533743462562	3.3006056414669e-05	0.22494364043535	0.13130946904666	0.22321820957968	0.80549645678204	0.12203908239246	0.0020817307657069	9.2242374548126
