# Time [h]	MS [g/L]	Lignin [g/L]	Butyric [g/L]	Initial_Substrate [g/L]	Carbohydrates [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	MO_Acetic [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	Valeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	Hydrogen [g/L]	Lipids [g/L]	MO_AcidoAA [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
21.2	0.00071459854191608	116.59921643339	0.00026090841395606	0	0.026533982270881	0.37694100200632	1.4433529002501	3.7186425075058	1.0688012398333	0.0032202331808486	0.00015426999605232	1.9676115480586	0.0011162537814246	0.082264708357236	1.1431387748255	1.9424641457376	4.6631534048012e-05	0.029450046563284	7.0120812567639	0.009967124379166	2.1226035067841e-07	0.0013779211054586	1.0622390968958	0.014706850944681	0.0027844521681454	0.0027844521545747
21.48	0.00070108269433616	116.60019011141	0.00025581174621161	0	0.026201076435382	0.37274291220046	1.4434375430489	3.7186621324024	1.0685891799138	0.0031706887108739	0.00015090418499979	1.9672219186743	0.0010944974130487	0.081385273885899	1.1426470251713	1.9415891716022	4.5598142247453e-05	0.027176409041402	7.0090519397115	0.0097472207332768	2.0474469263298e-07	0.0013512424055317	1.0617712651542	0.014350997503622	0.0028310862541323	0.002831086240334
21.872	0.00068291409223487	116.60153492184	0.00024900352037415	0	0.025748153400496	0.36694412963968	1.443495162586	3.7186104838415	1.0682851303698	0.0031047840150472	0.00014645646260227	1.9666622818665	0.0010654856436303	0.081469576120645	1.1419580383829	1.94036414475	4.4238305326017e-05	0.024390618128718	7.0048080607706	0.0094560287788799	1.9503456847554e-07	0.0013164877329058	1.0611159333566	0.013885082322081	0.0028968760660427	0.0028968760519231
22	0.0006771072105966	116.60196948141	0.00024685209982208	0	0.025603285842866	0.36507018943435	1.4435004409626	3.7185757324979	1.0681842252686	0.0030840348089543	0.00014505557433713	1.9664763358115	0.001056328474777	0.081660601329956	1.1417329386015	1.9399641292392	4.3813065380202e-05	0.023569802567651	7.0034216337048	0.009380598685485	1.9211355229181e-07	0.0013057108558036	1.0609018654218	0.013741750194249	0.0029180798837445	0.0029180798695214
22.2	0.00066831824639922	116.60264401269	0.0002435565426155	0	0.025379809217806	0.36216131590391	1.4434932360479	3.7185017497508	1.0680246636988	0.0030523377504718	0.00014293992312488	1.9661820722677	0.0010422113008777	0.083239866736529	1.1413810936122	1.9393390969496	4.3164809693891e-05	0.022119182296631	7.0012546798794	0.0096093871693032	1.8698716794057e-07	0.0012894058459859	1.0605673044418	0.013490394405393	0.0029514966606928	0.0029514966463065
22.48	0.00065634100806637	116.60357927693	0.00023909674084033	0	0.025072557756155	0.35812783015184	1.4434508138013	3.7183547358402	1.0677973323447	0.0030093463569575	0.00014009063737164	1.9657623808374	0.0010231307714182	0.082337410431613	1.1408882626955	1.9384640460853	4.2295577970918e-05	0.020279248331882	6.9982196499448	0.0093934186153344	1.8007905190783e-07	0.0012675925177345	1.0600987680664	0.013162345855912	0.00299934298959	0.00299934297497
22.872	0.00064017390387046	116.60487103307	0.00023310794911694	0	0.024652702998785	0.35255641369586	1.4433317254613	3.7180712896321	1.0674719062159	0.002951627029511	0.00013629532738192	1.9651608253287	0.00099756861776598	0.08245148737672	1.1401978456402	1.9372389881937	4.1142176656968e-05	0.018050562670604	6.9939681759138	0.0091067028867978	1.7127777347601e-07	0.001238840664974	1.0594425470348	0.01273837784118	0.003066855575123	0.0030668555601733
23	0.00063499502184448	116.6052884496	0.00023120850587425	0	0.0245180084835	0.35075594937733	1.4432796988281	3.7179613594612	1.0673640401778	0.002933335200456	0.00013509370105686	1.9649612659498	0.00098947246267171	0.082658406235391	1.1399722975343	1.9368389795915	4.0779353609321e-05	0.017399254298884	6.9925793611754	0.0090328169094039	1.6864629264207e-07	0.0012298480791561	1.0592282103027	0.012608961657921	0.0030885953231622	0.0030885953081064
23.2	0.0006271386987123	116.6059363742	0.00022829311134885	0	0.024309844678405	0.34796113076442	1.4431833625148	3.7177703696549	1.0671936174745	0.0029052775811037	0.0001332724624749	1.9646458012287	0.00097697143505222	0.084229871513154	1.1396197706751	1.936213974749	4.0224409883641e-05	0.016224739063839	6.9904087667453	0.0092694152118944	1.6395960282764e-07	0.0012161677384378	1.0588932499486	0.012378498291302	0.0031228394095498	0.0031228393943268
23.48	0.00061640577615499	116.60683475469	0.00022433397341115	0	0.024022927745302	0.34408579524778	1.4430169921045	3.7174606962411	1.0669511132821	0.0028670039697686	0.00013080727041266	1.9641965729166	0.00096001849199223	0.083303324195875	1.139126021043	1.9353389940803	3.9476183367303e-05	0.014747524207489	6.9873688134383	0.0090573329477041	1.5770639316198e-07	0.0011977215050358	1.0584241935174	0.012080261153567	0.0031718150626491	0.0031718150471868
23.872	0.00060187627814303	116.60807558424	0.00021899446023807	0	0.023629603638293	0.33873283036732	1.4427269167512	3.7169525085053	1.0666046005161	0.0028152315186905	0.00012750301348838	1.9635541101702	0.00093720739083644	0.083448186132736	1.1384343817162	1.9341140911145	3.8476267206675e-05	0.012979289592918	6.9831107654054	0.0087750184451998	1.4985087209112e-07	0.0011731486055154	1.0577673139647	0.011699575185212	0.0032406484555823	0.0032406484397838
24	0.00059324940667275	116.60840408927	0.00023369773690399	0	0.023332331128677	0.33728739570724	1.4426215039034	3.7167453502746	1.0664826730089	0.0027786078887693	0.00012575627686162	1.9633275595459	0.00094713002569841	0.083537164645452	1.1382070183381	1.9337122662122	3.9441470039255e-05	0.012459792358122	6.981719556852	0.0086497242432976	1.5022495599793e-07	0.0011571504083411	1.0575527819628	0.011998707243143	0.0032670306629206	0.0032670306469932
24.2	0.00059326142103067	116.60918318219	0.00035967293154055	0	0.023604570427563	0.50646402639158	1.4424338306473	3.7165445560755	1.0663334120148	0.0028083742445426	0.000125079431293	1.9630526346103	0.001209490553588	0.086000084578568	1.1378590384865	1.933095886392	4.8864649119856e-05	0.011558324130519	6.9795443549364	0.009248841886034	1.6853325021427e-07	0.0011679255852886	1.0572174037586	0.014823183694497	0.0032797411876229	0.0032797411716335
24.48	0.0006294735530643	116.61079767356	0.00043907140450441	0	0.025374921038025	0.74104655817052	1.442133709402	3.7163751190858	1.0661628035068	0.0030140842499412	0.00013106610534874	1.9627420235975	0.0014563535612221	0.086674787777981	1.1373824484324	1.9322451535615	5.4889296645177e-05	0.010476043331196	6.9765055229796	0.0096708405844191	1.7893100967908e-07	0.0012504676331738	1.056748405114	0.016390575478658	0.0032764371604475	0.0032764371444741
