# Time [h]	hydro_Methanogenesis [g/h]	Disintegration_Initial [g/h]	Hydrolysis_Proteins [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acetic_Degradation [g/h]	Acidogenesis_MS [g/h]	Disintegration_Substrate [g/h]	Propionic_Degradation [g/h]	Butyric_Degradation [g/h]	Hydrolysis_Lipids [g/h]	Hydrolysis_Carbohydrates [g/h]	Acidogenesis_AA [g/h]	Acidogenesis_LCFA [g/h]
8.872	5.0750847261805	0	1.223150683328	10.04282627229	0.21088690674707	3.3074945485141	4.7339161194405	2.4688041077448	1.3639399569064	0.65674258380887	0.92456385643301	4.562592007852	1.1361518640231	6.7811178044408
9	4.9586131621642	0	1.169167505026	9.8485453206186	0.20101506625977	3.2440690150671	4.5649464828398	2.4561962968588	1.3078273523719	0.63002969752931	0.88029711075403	4.4088171825365	1.0843446644906	6.6643580945287
9.2	4.7837216551389	0	1.0903600330097	9.5626373629181	0.18668539363297	3.1503196223704	4.3248924046526	2.43662549475	1.2263499756207	0.59123114682277	0.81571605955912	4.1837530548293	1.0097082692555	6.475383597018
9.48	4.5501204790692	0	0.99045152908914	9.1822254172766	0.16871087349919	3.0251971860946	4.020702193077	2.4094883529871	1.1241556692569	0.54250641684065	0.73392673121129	3.8972780442132	0.9156085207588	6.2148024558208
9.872	4.2541200684798	0	0.8686844354918	8.6983623326921	0.14711997875487	2.865416533114	3.6490763733681	2.3720041033688	1.0018031378767	0.48381575019813	0.63440146700337	3.5459480253458	0.80149928652948	5.8663090495218
10	4.1636957361421	0	0.83285365510777	8.5492795495275	0.14081292399029	2.816118721579	3.5362501060045	2.3598906103024	0.96606212389625	0.4665615184046	0.60515441962292	3.4420316241999	0.76776167915741	5.758018543266
10.2	4.0312884728852	0	0.78051565980483	8.339873530777	0.13169383329836	2.7465551948671	3.375652461539	2.3410871234853	0.91461656151586	0.44161299571713	0.56247313199543	3.2896930634249	0.71900341193718	5.5902893235834
10.48	3.8610368571014	0	0.71410337702512	8.0708314912647	0.12029142203192	2.6571986501267	3.1719277105438	2.3150139482105	0.85076680620804	0.41043804378877	0.50839386893213	3.0952956957641	0.65748913342171	5.3785746754746
10.872	3.6585746563457	0	0.63304619228912	7.7494542897719	0.10660244111004	2.550438141424	2.9221188503082	2.2789993368072	0.77509600192078	0.37299710014328	0.44253991896148	2.8559602013387	0.58274451750442	5.1272040456669
11	3.5998600856734	0	0.60916639902496	7.6558353916907	0.10261068176008	2.5193711325166	2.8474544212995	2.2673607908885	0.75315412037856	0.36204023481153	0.42317601338208	2.7849429187402	0.56084228729733	5.0557218747223
11.2	3.5156803965534	0	0.57425632070472	7.5310041834322	0.096817020459762	2.4777496769418	2.7390637278511	2.2492945526715	0.72161742135734	0.34613868663076	0.39490553601849	2.6806026219125	0.52883750872604	4.9473449943744
11.48	3.4099480212276	0	0.52990090237968	7.3731328922193	0.089482960337859	2.4253882883241	2.6006398387542	2.2242436556461	0.68208440512909	0.32602087474764	0.35906146602319	2.546996179075	0.48817267927905	4.8202610590955
11.872	3.2884538841921	0	0.47565531891603	7.1882925382578	0.080504191801055	2.3644429655484	2.4294338361425	2.1896411031904	0.63411462185599	0.30135174444275	0.31536753258028	2.3816398205202	0.43837020777918	4.6808715450754
12	3.2539732914153	0	0.45964757589796	7.1355443461296	0.077851680645931	2.3471321891874	2.3786621508677	2.1784588896044	0.61994282525012	0.29403720350206	0.30250844381735	2.3323638841249	0.42375936805485	4.6431980947694
12.2	3.2034937795761	0	0.43621833605641	7.0641797806441	0.073968898024099	2.323711923535	2.303613562605	2.1611010048379	0.59934088973082	0.28330909577336	0.28372325142353	2.2597529837234	0.40225374174938	4.5831965004388
12.48	3.1387967892134	0	0.40639545322291	6.9717085039995	0.068981080110091	2.2936710436603	2.2070051081896	2.1370323196762	0.57279750119855	0.26948111315886	0.25988265531937	2.1663521286432	0.37476719489343	4.5141177441415
12.872	3.0629477414094	0	0.3698195578353	6.8585044928225	0.062782738374422	2.2573281856682	2.0864960551167	2.1037864833091	0.53945375646628	0.25217869011056	0.23077756030791	2.0499608310212	0.34092605929448	4.4370290234627
13	3.0410078883106	0	0.3590008236139	6.8253070397924	0.060935547107079	2.2467539823367	2.0505575383098	2.0930427136011	0.52939053007302	0.24698780209564	0.22220129788571	2.0150840979787	0.33093739010763	4.4154902867413
13.2	3.0065154521085	0	0.34314050821382	6.7743489604953	0.058220627200058	2.2306420435642	1.9971740804028	2.0763654143405	0.51458236729487	0.23932786880087	0.20966175613249	1.9634968083949	0.31623608552262	4.3765491099121
13.48	2.9604394273563	0	0.32290065811744	6.7075947241922	0.054726583171682	2.2097300933585	1.9280872471415	2.0532404374976	0.49525011553363	0.22940107693285	0.19372584616653	1.8967545081828	0.29742541131827	4.3288615263474
13.872	2.9038630587199	0	0.29798072555538	6.6218738338492	0.050380752855792	2.1831851009684	1.8412431969544	2.0212981331043	0.47065459663718	0.21691429937258	0.17422972669946	1.8128652470793	0.27421102054486	4.2689659722428
14	2.8869846900988	0	0.29058600535902	6.5958115530891	0.049083234362054	2.1751731399454	1.8150630507891	2.0109756182883	0.46317418096359	0.21315010205836	0.16847478542975	1.7875551313607	0.26731578263974	4.2503990577316
14.2	2.8581782297735	0	0.2797211817078	6.549717415616	0.047169630857292	2.1610683306208	1.7761661487752	1.9949522224942	0.45203592213989	0.20756960744757	0.1600500197217	1.7499445495307	0.25717691549817	4.2141499529113
