# Time [h]	MS [g/L]	AA [g/L]	Butyric [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	MO_AcidoAA [g/L]	Valeric [g/L]	Hydrogen [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
4	0.00018029156414257	0.00025492467099383	0.00035714383270184	1.395746099616	1.0414924754281	3.2717195533412	0.0024774033145813	0.13025898694504	1.1360857802945	1.9132272362193	1.9560005814005	0.32698553377671	6.9895581248812	0.01949629803304	1.0189637187815	0.00013642696090237	5.4367966241725e-08	0.025511756046067	0.15141503932476	0.15141503851036
4.2	0.0001261918114825	0.0001860456429781	0.00027564113192709	1.3980271753745	1.0415190966556	3.2743979269676	0.0019124278013876	0.11915831953157	1.1360383055217	1.9138261781751	1.9557521875985	0.33878105864847	6.9884489866184	0.019534969651112	1.0188275390819	0.00010568413113203	5.2529820183968e-08	0.024350455151637	0.13179464798523	0.13179464728598
4.48	0.0001257105747392	0.00017264863224509	0.00024791952108858	1.4012751487402	1.0415474639644	3.2780549044211	0.0016094289995641	0.10356275527222	1.1359367746058	1.9146240564277	1.9553876688356	0.35291840930146	6.9868900461893	0.018991406763956	1.0186300480314	9.4376169763012e-05	5.189474352237e-08	0.023528843984226	0.10850284637213	0.10850284580557
4.872	0.00012616297767556	0.00017181705111464	0.00024364530925163	1.4058892949843	1.0415799157244	3.2831460986724	0.0015138825964523	0.087732845729676	1.135772271204	1.9157082657329	1.9548713202859	0.3684850819095	6.9847080462528	0.018591073984997	1.0183521512662	9.2488391732253e-05	5.2132651856246e-08	0.023306630856303	0.082598273530992	0.08259827310713
5	0.00012631175295346	0.00017197788787109	0.0002436753307039	1.407407131196	1.0415900100125	3.2848122586517	0.0015060962058556	0.083472655215362	1.1357169980472	1.9160601330057	1.9547025039521	0.37266114023723	6.9839957109681	0.018538078628535	1.0182613929771	9.2486667519569e-05	5.2286561674444e-08	0.023326584154153	0.075473059368538	0.075473058983064
5.2	9.2047314953099e-05	0.00012911138919542	0.00019281567237511	1.4097865300276	1.0416034921059	3.287370659174	0.0012024295874972	0.077244511573742	1.1356189070819	1.9165995068445	1.9544304717683	0.37639445084206	6.9828730021848	0.018833380216232	1.0181148691119	7.3080821448104e-05	5.1140158046566e-08	0.022792862155792	0.06552882933374	0.065528829001241
5.48	9.1925452841156e-05	0.00012093919415346	0.00017579594902126	1.4131229776186	1.0416167592017	3.2908752714761	0.0010490258500789	0.068830671627783	1.1354618497615	1.9173290493144	1.954039118551	0.38010195157505	6.9812974188106	0.018660840439657	1.0179054832956	6.6038301147093e-05	5.0693676170818e-08	0.022395190743129	0.053728433132982	0.053728432862451
5.872	9.25770274916e-05	0.00012085587532418	0.00017372938890436	1.4177763182888	1.0416290408321	3.295713302598	0.001005578807275	0.060046643861788	1.1352302630349	1.9183219278227	1.953487478234	0.38287841480776	6.9790921496509	0.018464384523526	1.0176114832507	6.5060688284096e-05	5.0695611595599e-08	0.022286931543927	0.040613864211872	0.040613864009103
6	9.2797449017565e-05	0.00012111848265878	0.00017397740335977	1.419288610399	1.0416321391485	3.2972819280438	0.0010032646960916	0.057653675329688	1.1351538586198	1.9186420603018	1.9533072277084	0.38334372603328	6.9783722171985	0.018424801894089	1.0175154798571	6.5142982348412e-05	5.0734606767912e-08	0.022297354053582	0.0370089270489	0.037008926864557
6.2	7.1878797549859e-05	9.4827569612313e-05	0.00014288322380234	1.4216377989925	1.0416347898138	3.2996875418818	0.00083343803002695	0.054203889493763	1.135027469031	1.9191322811631	1.953020515558	0.37989446111453	6.9772415123912	0.018602902870643	1.0173626024023	5.3104559412966e-05	4.9930479085982e-08	0.021992458062253	0.031981469825047	0.031981469666258
6.48	7.2127459106404e-05	9.0055775622305e-05	0.00013279601451649	1.4248863406387	1.0416331657267	3.3029668136532	0.00075153767636924	0.049570906246469	1.1348391368262	1.9197942095057	1.9526126441869	0.37454721017635	6.9756563067403	0.018409985261515	1.0171459636471	4.8840900601739e-05	4.9500166486349e-08	0.021747728911118	0.026024526505499	0.026024526376777
6.872	7.3184086378898e-05	9.0727109415459e-05	0.00013252028069945	1.4293277732751	1.0416223309326	3.3074210091888	0.00073349878140207	0.04473031935364	1.1345688648004	1.9206818672525	1.9520392898024	0.36658886304506	6.9734375758258	0.018127180888033	1.0168421440145	4.8578009975787e-05	4.9280570709541e-08	0.021664019400955	0.019422899273595	0.019422899177928
7	7.3550608352531e-05	9.1163332125856e-05	0.00013306602591574	1.4307506763741	1.0416170549932	3.3088454427427	0.00073444523188326	0.043422884554444	1.1344801676041	1.920963807834	1.9518520000065	0.36401035958072	6.9727132466897	0.018044764524669	1.0167429409062	4.8768814019378e-05	4.9238927194564e-08	0.021666178281716	0.017612723384383	0.017612723297732
