# Time [h]	MS [1]	AA [1]	Butyric [1]	MO_AcidoLCFA [1]	MO_Acetic [1]	MO_hydroM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_acetoM [1]	MO_ButyricValeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	MO_AcidoAA [1]	Valeric [1]	Hydrogen [1]	Hydrogen_gas [1]	Acetic [1]	Phi [1]
2.872	2.9166238616205e-07	4.2891450524518e-07	5.9581896923687e-07	0.015575438240143	0.011718330954115	0.036645662402712	4.8811696775418e-06	0.23497799554752	0.54433243920004	0.01278646818608	0.02148588578436	0.02202928195697	0.00026063385988604	0.078737678126692	0.031909265299766	0.45987099615489	0.011476459221092	2.2744763311443e-07	6.0454287879508e-08	9.7410340695732e-06	5.1322898768884e-05	0.90928891889064
3	2.9174917416689e-07	4.288778573303e-07	5.9517817560418e-07	0.015588728603119	0.011718852019972	0.036666445154719	4.8307571091043e-06	0.21869112912169	0.51883148911189	0.012786533709996	0.021492835876766	0.022027133267185	0.0002724682825139	0.078727241084507	0.029124131295358	0.45988209725597	0.011475279910427	2.2718245075368e-07	6.0419957006808e-08	9.7221272707229e-06	4.5320573550926e-05	0.90928607592521
3.2	1.9887085623534e-07	3.0654292515575e-07	4.5131439698683e-07	0.015610410755142	0.011719282259799	0.036697307478687	3.6752027208834e-06	0.20025314643663	0.50973979049249	0.012786361673294	0.021501800809816	0.022023639579133	0.00029338447937196	0.078711002082309	0.026353789415166	0.58833283594187	0.01147335035169	1.7372926910641e-07	5.596038988469e-08	7.5454027360276e-06	3.6097107947184e-05	0.90928198085794
3.48	1.9781802007365e-07	2.8236413592507e-07	4.0150017078207e-07	0.015642357768883	0.011719369330055	0.03673817514041	2.9890466393891e-06	0.16910187961997	0.4144307199172	0.012785511708231	0.021511817412545	0.022018569209668	0.00031971046061945	0.078688591105189	0.022710967377279	0.49011370916276	0.01147058806063	1.5376587619948e-07	5.3908068275723e-08	7.0524279161079e-06	3.0305141333573e-05	0.90927668860238
3.872	1.9819656903048e-07	2.8032088665672e-07	3.930693153756e-07	0.015689244625637	0.011719077980993	0.036794619595325	2.7480453309634e-06	0.13827230349074	0.35364816822447	0.012783845956076	0.021523896244064	0.022011399743588	0.00035083065202493	0.078657361339465	0.019976852484433	0.48686791046315	0.011466715015513	1.5016801755087e-07	5.4046663829371e-08	6.9808052800204e-06	2.8199719068458e-05	0.90926941836869
4	1.983157423545e-07	2.8040592693076e-07	3.9283871623525e-07	0.015704962822041	0.011718948925198	0.036813202588645	2.7249764985901e-06	0.13025898694504	0.33623595972358	0.012783259245942	0.021527698707108	0.022009046404567	0.00035962472820272	0.07864713674066	0.01949629803304	0.49061349551297	0.01146544565369	1.500619357402e-07	5.4367966241725e-08	6.9739142553961e-06	2.8058647567542e-05	0.90926701365666
4.2	1.3880867801177e-07	2.0464311127788e-07	3.0319139893886e-07	0.015729906891869	0.01171871411432	0.036841636316084	2.1035450030412e-06	0.11915831953157	0.30962246617523	0.012782139314666	0.021533451448195	0.022005248117336	0.00037259883797834	0.078631079974164	0.019534969651112	0.5833672370773	0.011463390733734	1.162469876598e-07	5.2529820183968e-08	5.7319912305191e-06	2.6781393444383e-05	0.90926335001244
4.48	1.3828097373216e-07	1.8990944745956e-07	2.727026155713e-07	0.015765464613951	0.011718305483021	0.03688046244935	1.7702886814179e-06	0.10356275527222	0.26363981023484	0.012780199791363	0.021541084841484	0.021999780619047	0.00038814900728952	0.078608668633676	0.018991406763956	0.52260359882942	0.011460457076913	1.0381019467665e-07	5.189474352237e-08	5.4854722669553e-06	2.5877833657716e-05	0.90925835918206
4.872	1.387807053919e-07	1.8899758444918e-07	2.6800530059867e-07	0.015815996837354	0.011717655896506	0.036934503020105	1.6652216473555e-06	0.087732845729676	0.22793890464525	0.012777237988356	0.021551408511788	0.021992067194161	0.00040527207229916	0.078577330388406	0.018591073984997	0.52433709351212	0.011456338700663	1.0173530171802e-07	5.2132651856246e-08	5.4561375820824e-06	2.5633626101382e-05	0.90925139992508
5	1.3894503893716e-07	1.8917539149668e-07	2.6803956981037e-07	0.015832619006819	0.011717436754107	0.036952184226726	1.6566651363551e-06	0.083472655215362	0.21757783349678	0.012776251907711	0.02155475219725	0.021989543776695	0.00040986588428038	0.078567091014603	0.018538078628535	0.52739613010197	0.011454992516689	1.0173387709655e-07	5.2286561674444e-08	5.4541273377251e-06	2.5655640266666e-05	0.90924911787405
5.2	1.012542578192e-07	1.4202282739235e-07	2.1209513971528e-07	0.015858691745897	0.011717079748465	0.036979340074456	1.3226406343284e-06	0.077244511573742	0.20046754699902	0.012774591878141	0.021559879811829	0.021985529466559	0.00041397294067866	0.078551058845956	0.018833380216232	0.58878785184734	0.011452847250317	8.0387910580044e-08	5.1140158046566e-08	4.7012993789855e-06	2.5068640814693e-05	0.9092456285821
5.48	1.0112121673688e-07	1.3303493520707e-07	1.9337585118105e-07	0.015895274402468	0.011716535603982	0.037016547518904	1.1539134102567e-06	0.068830671627783	0.17609491657788	0.012772066980168	0.021566804692161	0.021979827040923	0.00041805221670205	0.078528698264427	0.018660840439657	0.54759017730352	0.011449814691305	7.2642073900526e-08	5.0693676170818e-08	4.5588451488074e-06	2.4631347620152e-05	0.90924087159769
5.872	1.0183925156038e-07	1.3294497932798e-07	1.9110516377621e-07	0.015946307939298	0.011715721156544	0.037067917967779	1.1061386553367e-06	0.060046643861788	0.1552009110978	0.012768420725916	0.021576211047181	0.021971836456799	0.00042110850661944	0.07849752463365	0.018464384523526	0.54855688464734	0.011445577639596	7.1567659648924e-08	5.0695611595599e-08	4.5461492344224e-06	2.4512452553769e-05	0.90923433551054
6	1.0208214130205e-07	1.332343768e-07	1.9137872993126e-07	0.015962893707471	0.011715448146081	0.037084574674909	1.1035977324274e-06	0.057653675329688	0.14915475154954	0.012767224858824	0.021579242157429	0.02196923211717	0.00042162119657127	0.078487369573736	0.018424801894089	0.55039456907953	0.011444197314837	7.1658463560478e-08	5.0734606767912e-08	4.5466419049956e-06	2.4523976545722e-05	0.90923222303854
6.2	7.9070945355243e-08	1.0431377594557e-07	1.571747504797e-07	0.015988668834416	0.011715009110246	0.037110128404843	9.1678731325264e-07	0.054203889493763	0.13973903322025	0.012765291120237	0.021583888128782	0.021965129015192	0.00041782827108708	0.078471519390763	0.018602902870643	0.59246670714871	0.011442020357942	5.841604445692e-08	4.9930479085982e-08	4.0722708549722e-06	2.4188666905404e-05	0.90922900574644
6.48	7.9345160395899e-08	9.9065616877643e-08	1.4608003375477e-07	0.016024329541218	0.011714358444567	0.037144980934334	8.2670425922141e-07	0.049570906246469	0.12608494653866	0.012762482454165	0.021590161937321	0.021959357386329	0.00041194847340976	0.078449466266039	0.018409985261515	0.56231352819176	0.011438966972234	5.3726473867237e-08	4.9500166486349e-08	3.9800860297505e-06	2.3919584896009e-05	0.90922466578932
6.872	8.050837090211e-08	9.9805182111788e-08	1.4577833472678e-07	0.016073103638554	0.011713390851143	0.037192354933287	8.0687107092961e-07	0.04473031935364	0.11416687944955	0.012758519631606	0.02159857787721	0.021951325953123	0.00040319781321768	0.078418866603631	0.018127180888033	0.56203092659883	0.011434725444436	5.3437888740459e-08	4.9280570709541e-08	3.9760939228748e-06	2.3827668710431e-05	0.90921886139311
7	8.091184760696e-08	1.0028537557548e-07	1.4637914682512e-07	0.016088732639783	0.011713064253173	0.037207513064409	8.0791493952228e-07	0.043422884554444	0.11076738461579	0.012757230417542	0.021601253068481	0.021948719509158	0.00040036265669716	0.078408937000015	0.018044764524669	0.56297238871086	0.011433349285184	5.3647952785691e-08	4.9238927194564e-08	3.9785787689973e-06	2.3830094948336e-05	0.90921702708886
7.2	6.8329021493929e-08	8.3430558185492e-08	1.2684501222722e-07	0.01611272995328	0.011712539165544	0.037230599590089	7.0515846646618e-07	0.041676150904227	0.10644160948663	0.012755188456353	0.02160532016979	0.021944644901686	0.00039074187192338	0.078393497769172	0.018085245943173	0.5939596452095	0.011431196543795	4.5816482027093e-08	4.8602452368411e-08	3.6690905087756e-06	2.3645939973504e-05	0.90921427381532
7.48	6.9256871467562e-08	8.0949499234068e-08	1.2126546389342e-07	0.016145289117968	0.011711764888632	0.037261630678967	6.5981110829183e-07	0.039265025798297	0.098687048929425	0.012752295429271	0.021610735769996	0.021938964974107	0.00037774820450313	0.07837211101772	0.017786547692471	0.56978059358921	0.011428200496876	4.3284017370959e-08	4.8116245425639e-08	3.6030395326657e-06	2.3481369069307e-05	0.90921066502685
7.872	7.1466040214339e-08	8.2971804855766e-08	1.233373314725e-07	0.01618848414056	0.01171060286225	0.037302585378858	6.6017456617217e-07	0.036883841251902	0.092567608897904	0.012748278703556	0.021617762434778	0.021931130858663	0.00036100321015339	0.078342655750835	0.017317134604909	0.56822816232941	0.011424072313499	4.3866224506322e-08	4.7698141926821e-08	3.6072633317929e-06	2.3436948910796e-05	0.90920610298249
8	7.2252823383494e-08	8.3861800976351e-08	1.2457456148014e-07	0.016202011745251	0.011710206311162	0.037315385493959	6.6530990968071e-07	0.036276470055045	0.090902745352953	0.012746981926781	0.021619932581695	0.021928603397993	0.00035599955998192	0.078333150867179	0.017165598751407	0.56849051185824	0.011422740627251	4.4295450048711e-08	4.7597326202571e-08	3.6126122425561e-06	2.3450330587415e-05	0.90920472719247
8.2	6.7570192447088e-08	7.5147088056448e-08	1.1541144557124e-07	0.016222378914883	0.011709565665454	0.037334545393609	6.1639999850532e-07	0.035673317483854	0.090116677586454	0.012744956641381	0.021623160727063	0.021924681327794	0.00034337463337639	0.078318445483376	0.017058393291328	0.59354514887656	0.011420673147695	4.0147276989885e-08	4.7043188305617e-08	3.4047838013766e-06	2.3405498024276e-05	0.90920274162954
8.48	6.997995775544e-08	7.5328958388294e-08	1.1483004042609e-07	0.016249140657983	0.011708617988966	0.037359521786352	6.0388516102222e-07	0.034711605270975	0.085958404034262	0.01274213725107	0.021627300448498	0.021919265209714	0.00032704871182198	0.078298207084476	0.016594076900963	0.57187003934376	0.011417820269101	3.941375122628e-08	4.6503390025349e-08	3.3569884215293e-06	2.3380722386086e-05	0.90920032435912
8.872	7.4857844182001e-08	7.9988805068611e-08	1.2115788102916e-07	0.016282910646773	0.011707182239207	0.037390792982992	6.2933463173126e-07	0.034020244607483	0.083937833552562	0.012738276681119	0.021632297430813	0.021911871496476	0.00030717681849421	0.078270595399504	0.015879178069726	0.56893378783249	0.011413927951089	4.1411506711664e-08	4.5984015032211e-08	3.3759814526408e-06	2.3510750871056e-05	0.90919767570039
9	7.66081631957e-08	8.1812970333255e-08	1.2381496476385e-07	0.016293099467096	0.011706689297967	0.037400180388763	6.4186885278177e-07	0.033905312279105	0.083517296342527	0.012737039348436	0.021633751585348	0.02190950143416	0.00030146172061586	0.078261741157256	0.015649337056134	0.56862073511469	0.011412680336942	4.2303499909949e-08	4.5864997443698e-08	3.3866428277247e-06	2.3584966929576e-05	0.90919697536611
9.2	7.7883986376607e-08	7.8259989730729e-08	1.2222914192109e-07	0.016307998636373	0.01170589164226	0.037413809966098	6.3154566661686e-07	0.034111715606597	0.085286923830027	0.012735124127629	0.021635814207633	0.021905844334228	0.00028878018736483	0.078248102881725	0.015413840225064	0.59122816413619	0.011410754250564	4.0658244217421e-08	4.5389795741325e-08	3.2414537397928e-06	2.3732599074136e-05	0.90919608677481
9.48	8.3549258763944e-08	8.1625789783986e-08	1.2740645457024e-07	0.016326745004122	0.011704716611991	0.037430759120333	6.511877607256e-07	0.034117320901027	0.083451405597635	0.012732484542936	0.02163826202437	0.02190082469957	0.000272849016313	0.078229420333663	0.014814798576148	0.56960990722686	0.011408111131698	4.1717243942862e-08	4.4892667683635e-08	3.2130155088743e-06	2.3963264596777e-05	0.90919526563157
9.872	9.3404305132481e-08	9.0492079793888e-08	1.4054552735176e-07	0.016349149632674	0.011702959244576	0.037450676038939	7.1131571416735e-07	0.034523530049315	0.084298192496449	0.012728886419909	0.021640862487701	0.021893994539159	0.00025409996654088	0.078204009193091	0.014003025218556	0.56548394126111	0.01140451605061	4.5753468947857e-08	4.4441499526784e-08	3.249911010566e-06	2.442925973991e-05	0.90919487731072
10	9.663252508623e-08	9.3605278649126e-08	1.4528121106698e-07	0.016355693947605	0.011702363359626	0.037456423601134	7.3401072581904e-07	0.034715079076733	0.084712823276575	0.012727733376899	0.021641548532783	0.021891805014113	0.00024880986635341	0.078195860244091	0.013765173387982	0.56480938902748	0.011403363623671	4.7265902207427e-08	4.4348607453075e-08	3.2649642248881e-06	2.4602592158763e-05	0.9091949018032
10.2	9.9834072759308e-08	9.1493565516167e-08	1.4767914806166e-07	0.016365121510563	0.011701411036244	0.037464600606338	7.472346022251e-07	0.035372415326694	0.087888109415299	0.012725948130589	0.021642457593557	0.021888420778658	0.00023794439523889	0.078183279718372	0.013556473755982	0.58765113898023	0.011401581075588	4.6807278912758e-08	4.3945251236148e-08	3.144414795175e-06	2.4925895070643e-05	0.90919509983957
10.48	1.0751013069078e-07	9.5619818632452e-08	1.5574207472784e-07	0.016376878147725	0.011700040875046	0.037474606564001	7.8495362685365e-07	0.035841210287051	0.087251103805901	0.012723479139177	0.021643443732117	0.021883750526231	0.00022439460548	0.078165944895145	0.013063071368663	0.56501606641163	0.011399120470681	4.8469222377822e-08	4.3493847512288e-08	3.1199516230802e-06	2.5338849324917e-05	0.90919566310649
