# Time [h]	AA [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
4.48	2.1408430398391e-05	0.15974536695639	0.11873641089194	0.373698259104	0.12949679230506	0.21826714243276	0.22291419424725	0.79650546526558	0.11612382547557	0.10850284637213	2.2440117114811
4.872	2.1305314338215e-05	0.16027137962821	0.11874011039258	0.37427865524865	0.12947803891725	0.21839074229355	0.22285533051259	0.79625671727282	0.11609214524435	0.082598273530992	2.2189826983553
5	2.1325258096015e-05	0.16044441295634	0.11874126114142	0.37446859748629	0.12947173777738	0.21843085516265	0.22283608545054	0.79617551105037	0.11608179879938	0.075473059368538	2.212144644451
5.2	1.6009812260232e-05	0.16071566442315	0.11874279810008	0.37476025514584	0.12946055540734	0.21849234378028	0.22280507378159	0.79604752224906	0.11606509507876	0.06552882933374	2.2026341471121
5.48	1.4996460075029e-05	0.16109601944852	0.118744310549	0.37515978094828	0.12944265087281	0.21857551162184	0.22276045951481	0.79586790574441	0.1160412250957	0.053728433132982	2.1914312933884
5.872	1.4986128540199e-05	0.16162650028493	0.11874571065486	0.37571131649617	0.12941624998598	0.21868869977179	0.22269757251868	0.7956165050602	0.11600770909058	0.040613864211872	2.1791391142036
6	1.5018691849688e-05	0.16179890158549	0.11874606386293	0.37589013979699	0.12940753988266	0.21872519487441	0.22267702395876	0.79553443276063	0.11599676470371	0.0370089270489	2.1758000071663
6.2	1.1758618631927e-05	0.16206670908514	0.11874636603877	0.37616437977453	0.12939313146953	0.2187810800526	0.22264433877361	0.7954055324126	0.11597933667386	0.031981469825047	2.1711741027243
6.48	1.1166916177166e-05	0.16243704283281	0.11874618089285	0.37653821675646	0.12937166159819	0.21885653988365	0.22259784143731	0.79522481896839	0.11595463985577	0.026024526505499	2.1657626356471
6.872	1.1250161567517e-05	0.16294336615336	0.11874494572631	0.37704599504752	0.12934085058725	0.21895773286678	0.22253247903748	0.79497188364414	0.11592000441765	0.019422899273595	2.1598914069157
7	1.1304253183606e-05	0.16310557710664	0.11874434426923	0.37720838047267	0.12933073910687	0.21898987409307	0.22251112800074	0.79488931012262	0.1159086952633	0.017612723384383	2.1583120760727
7.2	9.4043438950327e-06	0.1633545303125	0.11874308802727	0.37745552388427	0.12931447651652	0.219038645514	0.22247743119087	0.79475993427429	0.11589083519089	0.015094853687316	2.1561387229418
7.48	9.1246042666756e-06	0.16369208119948	0.11874056925848	0.37778731302833	0.12929096235968	0.21910343867617	0.22242981959715	0.79457867896762	0.11586565483273	0.012126794064658	2.1536244365886
7.872	9.3524815574036e-06	0.16413950035495	0.11873552799682	0.3782243355925	0.12925759095805	0.21918719518481	0.22236299539323	0.79432498342565	0.11583036480306	0.0088700881975539	2.1509419343882
8	9.4527786752476e-06	0.16427952799487	0.11873354030245	0.37836070716207	0.12924666079444	0.21921297661233	0.22234116952407	0.79424216122952	0.1158188420141	0.0079848861341924	2.1502299245467
8.2	8.4704583273562e-06	0.16449019162413	0.118729979132	0.37856450213976	0.12922932678133	0.21925116502722	0.22230688604146	0.79411260748519	0.11580073513628	0.0067644168135379	2.1492582806392
8.48	8.490914199201e-06	0.16476662840928	0.11872394378496	0.37882938793169	0.12920463714445	0.21929979385727	0.22225864333778	0.79393118805799	0.11577528423281	0.0053496134147678	2.1481476110852
