# Time [h]	hydro_Methanogenesis [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acidogenesis_MS [g/h]	Acetic_Degradation [g/h]	Propionic_Degradation [g/h]	Acidogenesis_LCFA [g/h]	Acidogenesis_AA [g/h]	Butyric_Degradation [g/h]
21.2	0.21782836423213	0.93437717019585	0.0016391663731463	0.013966660182339	0.12530436387284	0.033892009055353	0.44514090804214	0.0027856000731015	0.0083836298635975
21.48	0.20694959449721	0.91126347176633	0.0015892077132831	0.013813208050063	0.12219321622498	0.032999897016942	0.41662286724933	0.0027125382470136	0.0081606656351054
21.872	0.19441686587561	0.88493816918708	0.0015636245060916	0.013799044642346	0.11864261340481	0.032464357261751	0.38299285598519	0.0026874062764509	0.0080566420089565
22	0.19101103670799	0.8775322643935	0.0015595418819342	0.013794984895274	0.11764228385053	0.032365863279701	0.37340540548169	0.0026839795448753	0.0080403903742573
22.2	0.18210487063082	0.85782212256148	0.0014993333827556	0.012931373155163	0.11499532255914	0.031328033510989	0.35092820810393	0.0025506818048428	0.0077386954548578
22.48	0.17140716019433	0.83428471291143	0.001457424704833	0.01280559257359	0.11182988190761	0.030540674532247	0.32292300346981	0.0024902981555979	0.007544990545932
22.872	0.15931418739447	0.80804576732993	0.0014365321061573	0.012794053213011	0.10829433610353	0.030077159477613	0.2905736778828	0.0024701711167132	0.007457208066206
23	0.15605582030196	0.80078994209442	0.0014332435095943	0.012790496267316	0.10731529435486	0.029992951667488	0.28151466844211	0.002467430129407	0.0074436854211101
23.2	0.14816134053071	0.78274000826099	0.0013819573243455	0.012013074025301	0.10489219106856	0.029068429863016	0.26169371468077	0.0023505870197459	0.0071877806112848
23.48	0.13885440433344	0.76163344554944	0.0013467961044803	0.011908280291084	0.10205461527282	0.028379722871931	0.23746395857214	0.002299548094761	0.0070263162278363
23.872	0.12859759520351	0.7387564392069	0.0013297367253204	0.011898966230511	0.098972955647884	0.027984015556547	0.2101613117797	0.0022831919482164	0.0069551813316305
24	0.12586527300425	0.73256221321002	0.0013271275824363	0.011896258201779	0.098137349082457	0.027913907295881	0.20266773773437	0.0022810519465332	0.0069445125608578
24.2	0.12514742495791	0.75587886065937	0.0015442986132259	0.013107864227923	0.10122561677385	0.033553001923666	0.18700058914636	0.0023991874498238	0.0098374178365796
24.48	0.12167164507646	0.76732366650421	0.00165856225442	0.013254601562359	0.10273165574114	0.037407774119327	0.16816429927942	0.002447301412883	0.011339920510494
24.872	0.11586489037469	0.76563593764174	0.0017002720480247	0.013259983903337	0.10248216918445	0.039402789832016	0.14745409508201	0.0024598414101923	0.011884646421465
25	0.11412243347916	0.76353187884927	0.0017047182040685	0.013258785730889	0.10219382554719	0.039701827116773	0.141891910253	0.0024606128698257	0.011944046232864
25.2	0.11044679155729	0.73700569750788	0.0018245547654766	0.019006352855661	0.098650895598281	0.041667026099804	0.1311194682102	0.0032234464098467	0.011600607978754
25.48	0.10571043977751	0.71533938076162	0.0019399140087381	0.019680047947448	0.095747319804055	0.043295044404336	0.11849789997437	0.0035339381351215	0.011606318821555
25.872	0.10067695250354	0.69890010090056	0.0019986256244006	0.019707711751105	0.09353373658423	0.04417196749768	0.1049773615195	0.0036171115755059	0.011637656227876
26	0.099362799111265	0.69520125361586	0.0020061129943974	0.019705886488974	0.093033838052459	0.0443015782246	0.10140273997073	0.0036236720441164	0.01164139190976
