# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	LCFA [g/L]	Valeric [g/L]	Acetic [g/L]
10.872	9.9831429556447	6.6498197467676e-08	1.3738855878456e-06	5.208431718186e-06	5.7022775755315e-05	0.25415807881139	1.9383262375018e-06	0.028388134997826
11	9.9830413618552	7.7601548573999e-08	1.5477109505967e-06	5.8382784550209e-06	6.2937892193449e-05	0.2482856709557	2.1598332100155e-06	0.028578462321036
11.2	9.9829008723349	9.6803393539416e-08	1.8422361342456e-06	6.8953778748247e-06	7.2717641891074e-05	0.23919048672445	2.5282416582025e-06	0.028838863609922
11.48	9.9827507038068	1.2375293288609e-07	2.2731311993841e-06	8.4588125009073e-06	8.7042989624401e-05	0.2266876179802	3.0676449724034e-06	0.029116019394307
11.872	9.9826446660187	1.5543491615025e-07	2.7827269489673e-06	1.0474446978082e-05	0.0001059820853824	0.2097968265482	3.7357808112772e-06	0.029312124808993
12	9.9826348694187	1.6399721956478e-07	2.9143680960534e-06	1.1036179214098e-05	0.00011141552287902	0.20447577530522	3.9137541647401e-06	0.029331030708805
12.2	9.9826455914205	1.7557275493661e-07	3.0869124967062e-06	1.180379018127e-05	0.00011898058002642	0.19635711097078	4.1479708764988e-06	0.029313866990021
12.48	9.9827110539043	1.8474024805591e-07	3.2546782104371e-06	1.2629958991554e-05	0.00012743645726189	0.18544021159466	4.3846470172016e-06	0.029199242547824
12.872	9.9828912303403	1.8489965377016e-07	3.2949850001485e-06	1.3176060780777e-05	0.00013423826819086	0.1711675384834	4.4934408347633e-06	0.028882008852336
13	9.982966154806	1.8363042646402e-07	3.2703414504396e-06	1.3220072523808e-05	0.00013528281732763	0.16678673357439	4.4805146025837e-06	0.028749972743482
13.2	9.983100115525	1.8126202913398e-07	3.2060515216192e-06	1.3173814947082e-05	0.00013580941180149	0.16022344520781	4.4197188275225e-06	0.028517125196868
13.48	9.9833100382664	1.7476552088263e-07	3.0827351735089e-06	1.2936654380644e-05	0.0001347220548481	0.15163836935067	4.2791784593769e-06	0.028149001559734
13.872	9.9836327969368	1.6085453988932e-07	2.8382063050456e-06	1.2306651748854e-05	0.00013020865443566	0.1408495703074	3.9884564018151e-06	0.027581567809927
14	9.9837404388429	1.5654118676807e-07	2.7491544605807e-06	1.2052727194904e-05	0.00012820934741417	0.13763124797536	3.8788022883888e-06	0.027391992891028
14.2	9.9839127895838	1.5075123169763e-07	2.610300412542e-06	1.1628895363241e-05	0.00012468840717853	0.1329003334277	3.7002804516527e-06	0.02709354720459
14.48	9.9841497800821	1.4208205750784e-07	2.4274563634546e-06	1.1027651856174e-05	0.00011935282838186	0.12687628103157	3.4547187819026e-06	0.02667951241581
14.872	9.9844678162482	1.2878103348993e-07	2.1743455343693e-06	1.0165443642064e-05	0.00011140467859482	0.11955023571234	3.1163253917715e-06	0.026121877600874
15	9.9845666000256	1.2503226275657e-07	2.0945171288103e-06	9.8857411701297e-06	0.00010877197297012	0.11740441446924	3.0086546917814e-06	0.025948209325574
15.2	9.9847192779984	1.2021367375187e-07	1.9776633859917e-06	9.4613248682561e-06	0.00010468288773387	0.11428113822755	2.8466676424783e-06	0.025685608211956
15.48	9.9849191251811	1.133698836229e-07	1.8335854845058e-06	8.9141746028395e-06	9.9210872165054e-05	0.11034354135389	2.6410623436172e-06	0.02533801420381
15.872	9.9851765522036	1.0325017604749e-07	1.6467543705879e-06	8.1989335789174e-06	9.196846374005e-05	0.10555056471303	2.3795119680311e-06	0.024887989733405
16	9.9852556958	1.0044324151113e-07	1.5894469977182e-06	7.9764072029026e-06	8.970154885082e-05	0.10412547042139	2.2993549759293e-06	0.024749133883156
16.2	9.9853788695872	9.6860971863289e-08	1.5066221052066e-06	7.6453475101345e-06	8.6277837712808e-05	0.10201824669809	2.1809046204447e-06	0.024539274521424
