Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
6.48	1.8369540360532e-10	1.1805405156787e-09	4.424906075011e-09	6.3906955784664e-11	5.5255687815901e-08	-0.001528157743792	8.7686208831252e-14	0.11404773788866
6.872	1.8236356990301e-10	1.1463249934144e-09	3.9761613880484e-09	6.3234167516268e-11	5.4833692890012e-08	-0.0011405108149106	8.7387563403176e-14	0.11443538390743
7	1.8285370480034e-10	1.1461915585545e-09	3.8555314815166e-09	6.3392254414907e-11	5.4782544434537e-08	-0.0010342174572949	8.7306110798065e-14	0.1145416770912
7.2	1.581345251726e-10	9.9841521486895e-10	3.6945747061933e-09	5.4029746148949e-11	5.4279700140503e-08	-0.00088636838597596	8.7193124772987e-14	0.11468952531657
7.48	1.5082736258193e-10	9.3206147628812e-10	3.4742928630655e-09	5.0924955242003e-11	5.381027518064e-08	-0.0007120842046508	8.7060398118928e-14	0.11486380873044
7.872	1.5301249144581e-10	9.3022580055177e-10	3.2569388262201e-09	5.1478421812717e-11	5.3609750505157e-08	-0.00052085074305079	8.6915333757217e-14	0.11505504177378
8	1.5443981503972e-10	9.3681754611004e-10	3.2015317460642e-09	5.1946012668498e-11	5.361372892704e-08	-0.00046887176131218	8.6876006674812e-14	0.11510702071171
8.2	1.4294189260345e-10	8.6711650298068e-10	3.1459119931154e-09	4.703593453308e-11	5.3474373257966e-08	-0.00039720591782064	8.6821856590177e-14	0.11517868627385
8.48	1.4206387852862e-10	8.4857838223129e-10	3.0583810570385e-09	4.6125389298041e-11	5.3375302075753e-08	-0.00031412879557555	8.675918818496e-14	0.11526176318874
8.872	1.4971501517153e-10	8.833065383131e-10	2.9946560833795e-09	4.8406101309401e-11	5.3627156909579e-08	-0.00022581449896726	8.6692690923542e-14	0.11535007771758
9	1.5295037980963e-10	9.0062006826774e-10	2.9838000223794e-09	4.9433277768926e-11	5.378457829681e-08	-0.00020246156608651	8.6675128025934e-14	0.11537343081837
9.2	1.509276730894e-10	8.8576542370961e-10	3.0009744907014e-09	4.7490703205567e-11	5.410522298343e-08	-0.00017108000704116	8.6651540875147e-14	0.11540481269625
9.48	1.5724725247001e-10	9.1289377358994e-10	3.000355433995e-09	4.870500396695e-11	5.4613178783195e-08	-0.00013631766536869	8.6625431074919e-14	0.11543957557972
9.872	1.7338424228619e-10	9.9673611799235e-10	3.0349786829023e-09	5.3392903881146e-11	5.5657329127455e-08	-0.00010209625994787	8.659974611948e-14	0.11547379816835
10	1.792060876888e-10	1.0284227333429e-09	3.0515434137704e-09	5.5151627573692e-11	5.604778499655e-08	-9.3593658916319e-05	8.6593367291722e-14	0.11548230121569
10.2	1.8213780261073e-10	1.0468025879628e-09	3.1089715145889e-09	5.4608692550235e-11	5.6778566987899e-08	-8.2714851661078e-05	8.6585207316671e-14	0.11549318083185
10.48	1.9205390114549e-10	1.0994845234592e-09	3.1498001713699e-09	5.6539355071545e-11	5.7713260469172e-08	-7.1551165225762e-05	8.657683550201e-14	0.11550434555827
10.872	2.0899757813727e-10	1.1913695917061e-09	3.2246055459759e-09	6.1015757018608e-11	5.8898863067957e-08	-6.1678198466583e-05	8.6569432953443e-14	0.11551421989868
11	2.1423673466343e-10	1.2206420707417e-09	3.2506669093449e-09	6.2484639162597e-11	5.9238412550273e-08	-5.9413526981221e-05	8.6567735104721e-14	0.11551648497178
11.2	2.1298581846098e-10	1.2258579285993e-09	3.3176924687681e-09	6.0726920021721e-11	5.9723458676228e-08	-5.6671636077923e-05	8.6565679540871e-14	0.11551922741694
11.48	2.1514940482603e-10	1.2448525777819e-09	3.3642412661627e-09	6.0164856139382e-11	6.0128266448028e-08	-5.4109946280614e-05	8.6563759217878e-14	0.11552178957868
