# Time [h]	MS [g]	AA [g]	Butyric [g]	MO_AcidoLCFA [g]	MO_Acetic [g]	MO_hydroM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_acetoM [g]	MO_ButyricValeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	MO_AcidoAA [g]	Valeric [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Acetic [g]
30.48	0.0019735892244363	0.00091774691130611	0.002424600257397	47.195850023212	33.039628023701	106.95772235874	0.01287183901395	1.6424496522665	0.40764546793463	2.0500951202012	35.801081881538	61.571417442177	61.522445803322	0.063811796763126	219.68681187489	0.29789545011174	1.7499430712435	2.0478385213553	32.041113684619	0.000458095313744	1.6607321786262e-07	2.7888880061163e-06	2.9549612239789e-06	0.22753613619487
30.872	0.0019727393099705	0.00091715310979819	0.0024237040820271	47.182539255807	33.031027567897	106.93490819372	0.01288576099242	1.6458519350761	0.4117982985577	2.0576502336338	35.790548067764	61.561420959263	61.503046222646	0.061346131306586	219.61621712081	0.2946850226847	1.7358241163475	2.0305091390322	32.030864581996	0.00045789067563266	1.6485000156116e-07	2.7866899907243e-06	2.9515399922855e-06	0.22689741859656
31	0.0019725220380798	0.00091702689722407	0.0024234079099546	47.178179974642	33.028219006878	106.92744646213	0.012886844223798	1.648123975234	0.41290397265231	2.0610279478864	35.787109415459	61.55815378552	61.496713029135	0.06068273025716	219.59317073952	0.2940599433113	1.7348417655969	2.0289017089082	32.027518652474	0.00045782751971563	1.6450817123862e-07	2.7861863182723e-06	2.9506944895109e-06	0.22671749725832
31.2	0.0019433951518716	0.00090748169758045	0.0024067120521116	47.171353240052	33.023829718408	106.91576436588	0.01284285900591	1.6535548995225	0.41554221338739	2.0690971129099	35.781736243028	61.553042712672	61.486817492607	0.059332287620063	219.55716094678	0.30043926290009	1.8511609802468	2.1516002431468	32.022290751375	0.00045495975662045	1.635057517199e-07	2.7583473538261e-06	2.921853105546e-06	0.22619754337271
31.48	0.0019398840432242	0.00090359192117903	0.0023963672815411	47.161763943199	33.017682614679	106.89936270394	0.012807073892409	1.6446729682284	0.4082596049497	2.0529325731781	35.774212996633	61.545873605471	61.472964193576	0.057727295097119	219.50675407766	0.29743711816149	1.7496342344784	2.0470713526399	32.014972363232	0.0004529382266061	1.6247800774679e-07	2.7489666340824e-06	2.9114446418292e-06	0.22561999334741
31.872	0.0019392698973156	0.00090238199875351	0.0023919611504812	47.148289414312	33.009074387458	106.87634078122	0.012785090271458	1.6474978138695	0.41228078262868	2.0597785964982	35.763681362892	61.53581881379	61.453573453505	0.055957484880453	219.43620376356	0.29422881637513	1.7355299055193	2.0297587218944	32.004729124904	0.00045196496718224	1.6144327974032e-07	2.746598849655e-06	2.9080421293953e-06	0.22503385448954
32	0.0019391477597766	0.00090223862676704	0.0023913520391979	47.143880381276	33.006263305641	106.86881320261	0.012781068333776	1.6496006886152	0.4133445516224	2.0629452402376	35.76024298645	61.532532672383	61.447243026206	0.055478557876775	219.41317188872	0.29360659367023	1.7345606327971	2.0281672264673	32.001385094687	0.00045182506004048	1.611705640474e-07	2.7461554674065e-06	2.9073260314539e-06	0.22488008212063
32.2	0.001896869681766	0.00088803369131783	0.0023628493835682	47.136979988406	33.001869876927	106.85702392206	0.012669764738396	1.6546630787718	0.41582725168406	2.0704903304559	35.754868369484	61.527391003968	61.437350837924	0.054469045795537	219.37718257978	0.29999743112655	1.85101646286	2.1510138939866	31.996159858857	0.00044684941299184	1.6002349254306e-07	2.7047313764025e-06	2.8647548689456e-06	0.22431126773547
32.48	0.0018920873480782	0.00088236717437383	0.0023460061064599	47.127295700088	32.995716473223	106.84046612167	0.012587905919952	1.6453768732684	0.40846934521507	2.0538462184834	35.747339636522	61.520176676964	61.423500606308	0.053262655023077	219.32680291177	0.29699651177273	1.7494368922387	2.0464334040115	31.988844808563	0.00044356181190463	1.5899405597112e-07	2.6928951915079e-06	2.851889247479e-06	0.22370814535261
32.872	0.0018915746315913	0.00088075355836073	0.0023393536287039	47.113700778703	32.987099113391	106.81722712231	0.012542864813	1.6477391914217	0.41238216815325	2.0601213595749	35.736797528	61.510057082364	61.404113153872	0.051922872563528	219.2562905075	0.29379052611669	1.7353556553679	2.0291461814846	31.978606069506	0.00044209838229096	1.5807093223948e-07	2.6904198691608e-06	2.8484908014002e-06	0.22314693603362
