Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
6.872	1.9982896996426E-9	6.5146276278465E-9	1.6026233922331E-8	6.2955423572639E-10	1.4915565611968E-7	-0.0012024225105569	8.7435009219951E-14	0.11437358648385	
7.0	1.930992917345E-9	6.2891957004855E-9	1.5130242513431E-8	6.0494686263032E-10	1.3372253727758E-7	-0.0010944479260669	8.7352170616556E-14	0.11448154428194	
7.2	1.8357679376739E-9	5.9721369343048E-9	1.4116910011098E-8	5.6977355976059E-10	1.1756674156681E-7	-9.442952642935E-4	8.7237289325868E-14	0.11463167932722	
7.48	1.7221450318343E-9	5.5967569083675E-9	1.2330676741498E-8	5.2707972542777E-10	1.0476193773177E-7	-7.6675023122738E-4	8.7101925411131E-14	0.11480920923481	
7.872	1.5972558964503E-9	5.1886827690106E-9	1.0508759218805E-8	4.7855882185064E-10	9.6001362587827E-8	-5.704240258216E-4	8.6952839310801E-14	0.11500552427199	
8.0	1.563318171723E-9	5.0786080403559E-9	1.0026957476776E-8	4.6501140641953E-10	9.4212514558241E-8	-5.1668584349182E-4	8.6912140713251E-14	0.11505926001693	
8.2	1.5185274980207E-9	4.9336072634434E-9	9.4169318737847E-9	4.4633591693989E-10	9.2149033041885E-8	-4.4208297321469E-4	8.6855717523132E-14	0.1151338600048	
8.48	1.4729052764846E-9	4.7867550226383E-9	8.489931898847E-9	4.2534504607468E-10	9.0338976351221E-8	-3.544560308355E-4	8.6789558808572E-14	0.115221483996	
8.872	1.4397557693372E-9	4.6827229827414E-9	7.5566215362278E-9	4.0499879100082E-10	8.9293795388937E-8	-2.5926239539674E-4	8.6717826975692E-14	0.11531667549443	
9.0	1.4345352837715E-9	4.6674717442778E-9	7.3075058518286E-9	4.0005122882417E-10	8.9196746890192E-8	-2.3364878805878E-4	8.6698551032358E-14	0.11534228872865	
9.2	1.4342477346342E-9	4.6684275430324E-9	6.9878807733451E-9	3.9436865359056E-10	8.9340759087218E-8	-1.9869219304174E-4	8.667226065628E-14	0.11537724514267	
9.48	1.4504062903466E-9	4.72301443721E-9	6.4926005926196E-9	3.9069900157605E-10	9.0158857570947E-8	-1.5886360668781E-4	8.6642329667463E-14	0.11541707411841	
9.872	1.4992701457604E-9	4.8873207497388E-9	5.997669793845E-9	3.921983687969E-10	9.2369160901542E-8	-1.1788189463121E-4	8.6611557660236E-14	0.1154580577598	
10.0	1.5185968716733E-9	4.9532395773313E-9	5.866816716711E-9	3.9359158451283E-10	9.325003070444E-8	-1.0733991981503E-4	8.6603646123208E-14	0.11546860057107	
10.2	1.5534733141011E-9	5.0719755155936E-9	5.7067843384234E-9	3.9679914856294E-10	9.4847743832067E-8	-9.3485183659874E-5	8.6593250778688E-14	0.11548245690143	
10.48	1.6097270883462E-9	5.2651121362571E-9	5.4380202914538E-9	4.0286608853513E-10	9.7459444912131E-8	-7.8588811402026E-5	8.6582076682666E-14	0.1154973558717	
10.872	1.6909789736362E-9	5.5549814918519E-9	5.1827359630357E-9	4.1178633109381E-10	1.0154019216836E-7	-6.4456831738356E-5	8.6571477990887E-14	0.11551149205638	
11.0	1.7152436021614E-9	5.6452823669519E-9	5.1177806698231E-9	4.1420010848339E-10	1.028676705814E-7	-6.1021582355619E-5	8.6568901847094E-14	0.11551492868522	
11.2	1.7499580606026E-9	5.7790579862927E-9	5.049566398276E-9	4.1721545234253E-10	1.0492036400147E-7	-5.6664132940823E-5	8.6565634102884E-14	0.11551928829041	
11.48	1.7915669931972E-9	5.9499579527002E-9	4.9073061510101E-9	4.1978866762371E-10	1.0772728977229E-7	-5.2167371720027E-5	8.6562261719325E-14	0.1155237879311	
11.872	1.8298889972294E-9	6.1352687601719E-9	4.7879440497535E-9	4.1891802554892E-10	1.1124042384348E-7	-4.8039331637276E-5	8.6559165423871E-14	0.11552791958738	
12.0	1.8373618895239E-9	6.1807447901693E-9	4.7599144554014E-9	4.1754923976141E-10	1.1224561143443E-7	-4.704685942343E-5	8.6558420928619E-14	0.11552891308824	
12.2	1.8436591134849E-9	6.2351100458084E-9	4.7458827858684E-9	4.1424941174804E-10	1.1364863346998E-7	-4.5784257765044E-5	8.655747371857E-14	0.1155301771361	
12.48	1.8440334178022E-9	6.2840468426481E-9	4.6713757465413E-9	4.0784932910602E-10	1.1534454647592E-7	-4.4462772448901E-5	8.6556482250154E-14	0.11553150028553	
12.872	1.8293578022728E-9	6.2996173287254E-9	4.6207836628815E-9	3.9581928322733E-10	1.1711176390897E-7	-4.3209737090544E-5	8.6555542070665E-14	0.11553275502614	
13.0	1.8217832492043E-9	6.293978910107E-9	4.6106160464602E-9	3.9138440487184E-10	1.175491698051E-7	-4.2901584949686E-5	8.6555310869294E-14	0.11553306358779	
13.2	1.8070893758864E-9	6.2738017229802E-9	4.6233311601505E-9	3.8393919183526E-10	1.180723995403E-7	-4.2503991828799E-5	8.6555012590801E-14	0.11553346167444	
13.48	1.783667103385E-9	6.2320427930124E-9	4.5789078252003E-9	3.7314460521657E-10	1.186018062942E-7	-4.2083976982413E-5	8.6554697579421E-14	0.11553388209817	
13.872	1.7460665426044E-9	6.1489624561637E-9	4.5564528815192E-9	3.575719324312E-10	1.1891451115443E-7	-4.1693279047058E-5	8.6554404729687E-14	0.11553427294995	
14.0	1.7331410598558E-9	6.117567325572E-9	4.5532135805858E-9	3.525063534275E-10	1.1892769963883E-7	-4.1602429613502E-5	8.655433669019E-14	0.1155343637599	
14.2	1.7119988358878E-9	6.0631599555217E-9	4.5758190536452E-9	3.445512519544E-10	1.1883604389575E-7	-4.1493386316874E-5	8.6554255104434E-14	0.11553447265058	
14.48	1.6828293590269E-9	5.9846159509634E-9	4.542095474698E-9	3.3383277788696E-10	1.1860811663043E-7	-4.1398082250425E-5	8.6554183984638E-14	0.11553456757449	
14.872	1.6420586895256E-9	5.8680059854155E-9	4.5289478732213E-9	3.1951655694701E-10	1.1804507219826E-7	-4.1353884711449E-5	8.6554151433918E-14	0.11553461102406	
15.0	1.6289325667316E-9	5.8290779740143E-9	4.5278784562614E-9	3.1504500482925E-10	1.1781241984284E-7	-4.1357290417583E-5	8.6554154204582E-14	0.1155346073281	
15.2	1.6086755936686E-9	5.7677481628424E-9	4.5529495982948E-9	3.0827053949582E-10	1.1740467504123E-7	-4.1379067121619E-5	8.6554170876177E-14	0.11553458508033	
15.48	1.5809598742626E-9	5.6815567043414E-9	4.5223365700907E-9	2.9923893213981E-10	1.1675463617435E-7	-4.144078517529E-5	8.6554217724454E-14	0.11553452255865	
15.872	1.5436390202984E-9	5.5617229269218E-9	4.5117628450445E-9	2.8749672740782E-10	1.1571599851564E-7	-4.1579252305668E-5	8.6554322389939E-14	0.11553438287339	
16.0	1.5318443519209E-9	5.5230646752415E-9	4.511268337653E-9	2.8388072194005E-10	1.1535153254186E-7	-4.1635125088043E-5	8.6554364568858E-14	0.11553432658158	
16.2	1.5133392479433E-9	5.4614603201275E-9	4.5363035897069E-9	2.7835342434568E-10	1.1472637090731E-7	-4.1733879741339E-5	8.6554439078518E-14	0.11553422714116	
16.48	1.4890381398064E-9	5.3794734091872E-9	4.5064142441119E-9	2.7118465432496E-10	1.1385969199411E-7	-4.1893244037429E-5	8.6554559245236E-14	0.11553406676684	
16.872	1.4565457398031E-9	5.267774815552E-9	4.4965951967907E-9	2.619319584E-10	1.1257774486851E-7	-4.2150920483702E-5	8.6554753402367E-14	0.11553380764519	
17.0	1.4462894029175E-9	5.2320810166936E-9	4.4963081637193E-9	2.5908738546252E-10	1.1214565261915E-7	-4.2242221902792E-5	8.6554822174223E-14	0.11553371586262	
17.2	1.4301917922086E-9	5.1755265933936E-9	4.5209254296185E-9	2.5473455870094E-10	1.1142774641796E-7	-4.2393484686238E-5	8.6554936091461E-14	0.11553356382956	
17.48	1.4090456345285E-9	5.1005888227464E-9	4.4914982454262E-9	2.490941074111E-10	1.1044624544623E-7	-4.2621415792127E-5	8.6555107712787E-14	0.11553333478582	
17.872	1.3806747580026E-9	4.9989294896283E-9	4.4824139873834E-9	2.4178906375115E-10	1.0903342584269E-7	-4.2967590817067E-5	8.6555368269558E-14	0.11553298705159	
18.0	1.3716834418867E-9	4.9664789668896E-9	4.4823768045542E-9	2.3953347424069E-10	1.0856444705537E-7	-4.3086203972729E-5	8.6555457530774E-14	0.11553286792575	
18.2	1.3575117294604E-9	4.9150446114581E-9	4.5067756286137E-9	2.3606265510845E-10	1.0779536568685E-7	-4.3279011980361E-5	8.6555602612392E-14	0.11553267430401	
18.48	1.3388419284742E-9	4.8469079802228E-9	4.4779985061099E-9	2.3155296528797E-10	1.0674928068465E-7	-4.3563155853654E-5	8.6555816397505E-14	0.115532388994	
18.872	1.3136058399311E-9	4.7542705620153E-9	4.4699455654602E-9	2.2565895123846E-10	1.0526020933703E-7	-4.3985270483891E-5	8.6556133908163E-14	0.11553196525853	
19.0	1.3055583990234E-9	4.7246207161943E-9	4.4702573898588E-9	2.2382456422403E-10	1.0476906451727E-7	-4.4128039867188E-5	8.6556241285184E-14	0.11553182195881	
19.2	1.2928138749177E-9	4.6775247108078E-9	4.4946909461001E-9	2.2098062955293E-10	1.0396927327996E-7	-4.4358316947065E-5	8.6556414464552E-14	0.11553159084372	
19.48	1.2759426266833E-9	4.6149673393975E-9	4.4667602182281E-9	2.1726469772273E-10	1.0288188736477E-7	-4.4694540915532E-5	8.655666730377E-14	0.11553125342134	
19.872	1.2529436502362E-9	4.5294954296045E-9	4.4599870196703E-9	2.1234874804677E-10	1.0134119160604E-7	-4.5189458246505E-5	8.6557039405693E-14	0.11553075684322	
20.0	1.2455624221622E-9	4.5020268849984E-9	4.4607220363132E-9	2.1080402195413E-10	1.0083437170299E-7	-4.5355896310863E-5	8.6557164530428E-14	0.11553058986271	
20.2	1.2341569033385E-9	4.4595498507626E-9	4.4854023636771E-9	2.084476851987E-10	1.0003837915468E-7	-4.5622388560186E-5	8.6557364844053E-14	0.11553032254295	
20.48	1.2184460796704E-9	4.4009717281716E-9	4.4584659938615E-9	2.0525913360035E-10	9.8916148456702E-8	-4.6009457947063E-5	8.655765581224E-14	0.11552993424697	
20.872	1.1969020115726E-9	4.3205598842424E-9	4.4531295356633E-9	2.0098843704124E-10	9.7330190613931E-8	-4.6578185548239E-5	8.6558083262612E-14	0.11552936382192	
21.0	1.1899591946572E-9	4.2946350395418E-9	4.4543287343787E-9	1.9963483958199E-10	9.6809339116181E-8	-4.6769106213192E-5	8.6558226745999E-14	0.11552917234743	
21.2	1.1788825325751E-9	4.2532513977298E-9	4.4792720537928E-9	1.9750379485209E-10	9.5967003465081E-8	-4.7075563715795E-5	8.6558457047784E-14	0.11552886501798	
21.48	1.1640934851555E-9	4.197930242611E-9	4.4532511088507E-9	1.9468386999706E-10	9.4819182103716E-8	-4.7520387969152E-5	8.6558791320335E-14	0.11552841894701	
21.872	1.1436596191575E-9	4.1215843012659E-9	4.4493485917702E-9	1.908626107695E-10	9.3197567927003E-8	-4.8171633334024E-5	8.6559280643804E-14	0.11552776597561	
22.0	1.1370369832893E-9	4.0968610330435E-9	4.4510220408271E-9	1.8964023832077E-10	9.2665053252069E-8	-4.8389794256509E-5	8.6559444552872E-14	0.11552754725132	
22.2	1.1264613728282E-9	4.0573851534164E-9	4.4762872441873E-9	1.8770653998823E-10	9.180723029463E-8	-4.8739443021569E-5	8.6559707239506E-14	0.11552719671806	
22.48	1.1122475943511E-9	4.0042973781308E-9	4.4512088318872E-9	1.851255385351E-10	9.0633477566436E-8	-4.9246169700999E-5	8.6560087930477E-14	0.11552668872272	
22.872	1.0925157556749E-9	3.9307258409482E-9	4.4487908787688E-9	1.8159345475852E-10	8.8975767821076E-8	-4.9987278270636E-5	8.6560644640272E-14	0.11552594585727	
23.0	1.0861006438209E-9	3.9068333849365E-9	4.4509525161487E-9	1.8045594352432E-10	8.8431601763051E-8	-5.0235320097983E-5	8.656083095667E-14	0.11552569724204	
23.2	1.0758522310794E-9	3.8686739208998E-9	4.4765397821582E-9	1.7864997827413E-10	8.7557325787461E-8	-5.0632548394535E-5	8.6561129321937E-14	0.11552529911489	
23.48	1.0620273088207E-9	3.8171765053294E-9	4.4523557540459E-9	1.7622553997231E-10	8.635845455114E-8	-5.1207689094375E-5	8.6561561316984E-14	0.11552472268345	
23.872	1.0427836268492E-9	3.745625941824E-9	4.4514125109219E-9	1.7288486395673E-10	8.4666548852616E-8	-5.2048190936759E-5	8.6562192563109E-14	0.11552388039471	
24.0	1.0886691158904E-9	3.7958757536594E-9	4.4320957490869E-9	1.7576402044218E-10	8.5422006701209E-8	-5.2559024290896E-5	8.6562574778165E-14	0.11552337039671	
24.2	1.6640685023467E-9	5.0018409393239E-9	4.5493413940463E-9	2.1675576446353E-10	1.1599474529562E-7	-5.2064894924539E-5	8.6562180117819E-14	0.11552389702888	
24.48	2.1332746648147E-9	6.1879597341707E-9	4.7680342812089E-9	2.491560042083E-10	1.5022614068945E-7	-5.0082214731806E-5	8.6560667203317E-14	0.11552591584062	
24.872	2.5384464841092E-9	7.4174290875349E-9	5.1744903148708E-9	2.7960648752487E-10	1.8861394735576E-7	-4.6751139614555E-5	8.6558140675582E-14	0.11552928736549	
25.0	2.6505951437245E-9	7.7833565185212E-9	5.3133022124866E-9	2.8936020909391E-10	1.9971159062833E-7	-4.5669727954329E-5	8.6557321534102E-14	0.11553038051858	
25.2	2.1940276419382E-9	7.0457704599982E-9	5.5746478404476E-9	2.5964049033732E-10	1.8297464346717E-7	-4.4678932544981E-5	8.6556592366012E-14	0.11553135361681	
25.48	1.8902092262848E-9	6.499608101222E-9	5.6739099178512E-9	2.4634011961951E-10	1.6419945670001E-7	-4.457698766644E-5	8.6556530622456E-14	0.11553143602272	
25.872	1.7697777252465E-9	6.2775208422617E-9	5.7097674924055E-9	2.5253363147793E-10	1.4530136454041E-7	-4.5444586630088E-5	8.6557195136103E-14	0.11553054922549	
26.0	1.764546145637E-9	6.2774681675317E-9	5.7067444107194E-9	2.5703520245068E-10	1.4051065097524E-7	-4.5801070585923E-5	8.6557465859692E-14	0.11553018794733	
26.2	1.7762913472453E-9	6.3264304702231E-9	5.7307576122869E-9	2.6526672005174E-10	1.3426203297946E-7	-4.637705833782E-5	8.6557902092613E-14	0.11552960580406	
26.48	1.8143314205758E-9	6.4565491466011E-9	5.6421198293949E-9	2.7755406162135E-10	1.2757752896741E-7	-4.7144457784216E-5	8.655848209707E-14	0.1155288318121	
26.872	1.8825798114353E-9	6.69404233366E-9	5.5541619957221E-9	2.9402887959889E-10	1.2119539937246E-7	-4.8049817827714E-5	8.655916516429E-14	0.11552792030441	
