# Time [h]	hydro_Methanogenesis [g/h]	Disintegration_Initial [g/h]	Hydrolysis_Proteins [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acidogenesis_MS [g/h]	Disintegration_Substrate [g/h]	Propionic_Degradation [g/h]	Butyric_Degradation [g/h]	Hydrolysis_Lipids [g/h]	Hydrolysis_Carbohydrates [g/h]	Acidogenesis_AA [g/h]	Acidogenesis_LCFA [g/h]
7.872	1.6679368463434	0	0.6492493756894	5.0765795018993	0.11653456965432	2.5802515842118	1.4888042113805	0.76208823189324	0.36495727026129	0.48776655987851	2.4629740512183	0.61696252836421	3.0070062292539
8	1.6232809447106	0	0.62132614091823	4.915246950299	0.1111298507093	2.4920713104122	1.4849978135349	0.73276856047588	0.35059654183225	0.46472609073162	2.3854007836692	0.58896619966136	2.9488513652226
8.2	1.5548157631255	0	0.58058430056269	4.6851611408016	0.10323439089939	2.3682301296233	1.4790698010351	0.68984784311162	0.32963288016947	0.43112134251969	2.2720400757822	0.54868869634104	2.8512331896066
8.48	1.4599706155872	0	0.52897723840787	4.3887076999885	0.093267600472846	2.2117996738778	1.470810341624	0.63541510761848	0.30313851602161	0.38858042688126	2.1280944378966	0.49794252181907	2.7013761966198
8.872	1.3282539554693	0	0.46616118897222	3.9952717179905	0.081094191689427	2.0205459404524	1.4593245910833	0.56826164830856	0.27057084588656	0.33684872923405	1.9522096042796	0.43612384536392	2.4681762387242
9	1.2839445000686	0	0.44769702205288	3.8653870290682	0.077395352051985	1.9581967256976	1.4555935463484	0.54738815194314	0.26046973221302	0.32165485378491	1.9003428614566	0.4170945472373	2.3859935574196
9.2	1.2163568413645	0	0.4207467278881	3.6657621882395	0.072011566437859	1.874186105885	1.4497828856003	0.51684415284144	0.24577800128617	0.29949036972291	1.8244664030117	0.39008691305973	2.253891373582
9.48	1.1242033922651	0	0.3865894422306	3.394979672102	0.065273118682397	1.7685714850042	1.4416869290985	0.47832750384199	0.22736800608439	0.27142375264451	1.7279548468151	0.3562835106916	2.0652765311807
9.872	1.0033043905714	0	0.34497552878363	3.0424516053126	0.057249753537928	1.6399610593225	1.4304285448505	0.43206395349846	0.20529395677643	0.23727789021366	1.6097177245555	0.31562171548103	1.8071939036424
10	0.96495292335855	0	0.33273420959378	2.9318299261643	0.054854103025195	1.5961127505336	1.4267713655044	0.41791546066497	0.19851971330638	0.22724523039562	1.5747740001058	0.30307824347971	1.7258983625845
10.2	0.91009428668438	0	0.31485717928694	2.77246020818	0.051479377875077	1.540007927185	1.4210757415178	0.3980655330693	0.18903092087302	0.2126058393162	1.5235757137469	0.28573985926264	1.6063029293247
10.48	0.84289775596083	0	0.29218026025629	2.5802553593259	0.047501170182619	1.4721224473786	1.4131400660156	0.37507455107324	0.17800340852232	0.19406018981614	1.4582962889914	0.26481603148595	1.457890200178
10.872	0.76811207081324	0	0.26451619260049	2.37482148656	0.043185386160266	1.3926038118519	1.4021045731741	0.35129035882201	0.16630596010102	0.1714823350586	1.3780227178458	0.24076194313417	1.2924911208938
11	0.7473518949594	0	0.25636933929135	2.3200627251847	0.041989758982323	1.3672646860102	1.3985198030702	0.34488045677718	0.16306579005798	0.16484480056346	1.3542250921939	0.23373037371392	1.2478692928633
11.2	0.7196114943058	0	0.24446246739983	2.2490233005255	0.040351985979487	1.3338052512674	1.3929369487883	0.33652522885919	0.15872715846337	0.15515561020666	1.3192823657209	0.22389955242009	1.1880695119389
11.48	0.68854892999242	0	0.2293399575467	2.1756643021953	0.038455344461806	1.2932242105353	1.385158395915	0.32779972657525	0.15393379209687	0.14287326050576	1.274578895345	0.21190676494651	1.1221887809985
11.872	0.65602065036207	0	0.21085603076687	2.1092520933223	0.036262601869688	1.2431595394032	1.3743414013946	0.31903106117913	0.14861800919339	0.12790564274312	1.2193222633393	0.19730799751489	1.0568772167283
12	0.64723452179155	0	0.20540384857337	2.0931763955713	0.035611563176125	1.2278287981392	1.3708276109716	0.31657501034824	0.14704677820235	0.12350172696613	1.2028711482399	0.19294512853159	1.0402900263266
