# Time [h]	Lignin [g/L]	Initial_Substrate [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
3.872	6.979862930127	0	0.054939591715649	0.15928792178609	0.39449999601395	0.025269529997067	0.0010727636662097	0.22234485817758	0.13220400998647	0.22692703268322	0.81667736406476	0.1228345507394	0.17098265687269	9.3069032058301
4	6.9799464174988	0	0.054799131881057	0.15944733453216	0.3950392645685	0.024003522643414	0.0010163998968021	0.22270367131878	0.13224753519544	0.22697308943844	0.81689584530678	0.12292026309761	0.15658239936735	9.2925748747451
4.2	6.9800763687231	0	0.054580383186619	0.15969905531024	0.39584212835633	0.022157456633158	0.0009351396409334	0.22325857551894	0.132309574232	0.22703810931922	0.81720888199043	0.12304414061755	0.13644648251741	9.2725962960459
4.48	6.9802573159118	0	0.054275603661278	0.16005599495987	0.39689194574024	0.019821318388746	0.00083466231814169	0.22402077128981	0.13238552120023	0.22711617189773	0.81759410619776	0.12319882765636	0.1124768323449	9.2489290715669
4.872	6.9805087456352	0	0.053851775121426	0.16056229782262	0.39823327935671	0.016982053129797	0.00071433641905678	0.22504802932237	0.13247338955574	0.22720304471881	0.8180412245506	0.12338290789491	0.085731742728618	9.2227328262559
5	6.9805905498305	0	0.053714095816546	0.16072881435233	0.39864346185086	0.016148514217014	0.0006791879244926	0.22537224746637	0.13249817143952	0.22722656612345	0.8181672382168	0.12343598956297	0.078360461759593	9.2155652985605
5.2	6.9807179056325	0	0.053499677122414	0.16098970658503	0.39925804695844	0.014932970208273	0.00062863317134553	0.2258624522031	0.13253321505332	0.2272587869962	0.81834548971378	0.12351236421179	0.068060179642736	9.2055994274989
5.48	6.9808952680961	0	0.053200929833376	0.16135561632609	0.40006846674379	0.013394549287329	0.00056552371051624	0.22650659038077	0.13257543259534	0.22729539006164	0.81856002780423	0.12360698124572	0.05581981088332	9.1938445869682
5.872	6.9811417470143	0	0.052785488194296	0.16186686126472	0.40111472793234	0.011524445266339	0.00049019309629615	0.22729560238048	0.13262275001946	0.22733187333449	0.81879949605946	0.12371808547377	0.042225544379501	9.1809168144155
6	6.9812218519562	0	0.0526505341134	0.16203323863409	0.40143700277863	0.010975346650422	0.0004682324386782	0.2275240026564	0.13263567631414	0.22734059645352	0.81886448690796	0.12374974345074	0.038495972296927	9.1773966846511
6.2	6.981346564873	0	0.052440359309468	0.16229196148967	0.40192182338157	0.010174508643403	0.00043674282736094	0.22784067946884	0.13265349528283	0.22735123733747	0.81895369919823	0.12379488943145	0.03331061961083	9.1725165808541
6.48	6.981520248512	0	0.052147524467676	0.16265074452735	0.4025643760038	0.0091607669696937	0.00039762499214421	0.2282007316672	0.13267399377801	0.22736052321013	0.81905543557249	0.12384999406049	0.027198650696028	9.166780614457
6.872	6.9817616356625	0	0.051740303905594	0.16314363200387	0.40339820896298	0.0079281154279006	0.00035140002748279	0.22856828956301	0.13269498490195	0.22736377289607	0.81915754892929	0.12391307174751	0.02047309589134	9.1604940599195
7	6.9818400556748	0	0.051608021101021	0.16330206171994	0.40365585733599	0.0075661019836222	0.00033801088131542	0.22866597279099	0.13270018351016	0.2273627284876	0.81918214915539	0.12393062523706	0.018634350699931	9.1587861185778
7.2	6.9819621576577	0	0.051402006429511	0.1635460859963	0.4040436407574	0.0070380315086826	0.00031907430491474	0.22880044060097	0.13270672950583	0.22735910403679	0.81921236522865	0.12395519290652	0.016077418109588	9.1564222470429
7.48	6.9821322300721	0	0.051114967769563	0.1638793979646	0.40455722396097	0.0063693953716944	0.0002961186910581	0.22896319300795	0.13271293443515	0.22735028922166	0.81923926155054	0.12398423038864	0.013054127571346	9.1536533700052
7.872	6.9823686407628	0	0.050715807108762	0.16432627640386	0.40522064187073	0.0055560333047264	0.00027020209358039	0.22915910521138	0.13271645435508	0.22733142346439	0.81925002459234	0.12401555968391	0.0097111194622838	9.1506412883138
8	6.9824454340478	0	0.050586142954511	0.16446725799018	0.40542469221083	0.0053170767062706	0.00026292700777567	0.22921760577749	0.1327164962742	0.22732385928448	0.81924771780337	0.12402377678745	0.0087960863408408	9.1498290731852
