# Time [h]	MS [g/L]	Lignin [g/L]	Butyric [g/L]	Initial_Substrate [g/L]	Carbohydrates [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	Valeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	Hydrogen [g/L]	Lipids [g/L]	MO_AcidoAA [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
5.48	0.0066747774117243	116.34825446827	0.002231826942276	0	0.34390456837649	2.263415988395	1.4154001432113	3.5093725152964	0.10802055876878	0.0045606750848084	1.9868999156208	0.0065590650713406	0.27019120845248	1.1629423911872	1.993819211067	0.00078043608523954	0.41076451240131	7.1803511210898	0.060890479959935	8.989879621467e-08	0.085944985882937	1.0842717653133	0.31640326472904	0.05581981088332	0.055819810601872
5.872	0.0059266737980379	116.35236245024	0.001959170272576	0	0.30257852161761	2.2457411610738	1.4198847479361	3.5185502450206	0.092939074728542	0.0039531701314206	1.993821073513	0.0057028806323402	0.24849244468734	1.1633574563111	1.9941392397762	0.00067734470924925	0.40179088499336	7.1824517198198	0.055106192438185	8.3037634925546e-08	0.073459129391698	1.085246363805	0.20387467869226	0.042225544379501	0.042225544168463
6	0.0057081025989115	116.3536975326	0.0018799816333073	0	0.29043202313487	2.2399995842751	1.4213441985446	3.5213772173564	0.088510860084045	0.0037760680538565	1.9958245847053	0.0054572649674179	0.24091475978474	1.1634708448608	1.9942157583642	0.00064735936127732	0.39853661341148	7.1830218149821	0.053033703296144	8.1030476290928e-08	0.069793941054299	1.0855240653573	0.17249360162622	0.038495972296927	0.038495972104991
6.2	0.0053970779312697	116.35577608122	0.001765958060272	0	0.27270411502386	2.2310577666589	1.4236136972778	3.5256300296629	0.082052489059705	0.0035221195754915	1.998602451481	0.0051077788295112	0.23902944110101	1.1636271516038	1.9943090994515	0.00060397170300806	0.39317592798523	7.1838043789319	0.050011417707529	7.817820310439e-08	0.064449339044952	1.085920082732	0.13132280022844	0.03331061961083	0.033310619445299
6.48	0.0050124161027625	116.35867080853	0.0016246661497901	0	0.25023767382315	2.2185992050333	1.4267609169066	3.5312664561737	0.073877152981401	0.0032066531624533	2.0017608040982	0.0046805834532979	0.21417227917525	1.163806962965	1.9943905544748	0.00054990807826129	0.38519017979696	7.1846968032675	0.043884683999509	7.4633559532786e-08	0.057685726955808	1.086403456671	0.090139202656816	0.027198650696028	0.027198650561396
6.872	0.0045638021190685	116.36269392771	0.001458517911027	0	0.22287098354859	2.2012741407176	1.431084491262	3.538580780377	0.063936414741134	0.0028338711893774	2.0049849961667	0.0041862173713011	0.18040108671086	1.1639910956312	1.9944190604918	0.0004857564039468	0.37329476474981	7.1855925344674	0.03575946091763	7.0456397603243e-08	0.049465112507611	1.086956769715	0.059016701724224	0.02047309589134	0.020473095790433
7	0.0044342710881109	116.36400092791	0.0014108047338094	0	0.21482164659226	2.1956462124878	1.4324742256135	3.5408408538244	0.061016951480824	0.0027258942041566	2.0058418665877	0.0040453674173009	0.17050738414763	1.1640366974575	1.994409899014	0.00046723472415627	0.36927188345652	7.1858083259244	0.033547511549272	6.9240772633746e-08	0.047051707063015	1.0871107476935	0.05294694191979	0.018634350699931	0.018634350608194
7.2	0.0042567592850519	116.36603596096	0.0013430875897069	0	0.20306759519534	2.1868813863315	1.4346147894412	3.5442424627842	0.056758318618408	0.0025731798783447	2.0070214087804	0.003846719506392	0.15933607610682	1.1640941184722	1.9943781055858	0.00044067678334332	0.36286406437146	7.1860733791987	0.031160625493235	6.75312805377e-08	0.043532168376414	1.0873262535659	0.046596602319207	0.016077418109588	0.016077418030567
7.48	0.0040483778088466	116.3688705012	0.0012620319046237	0	0.1881597869197	2.1746694213481	1.4375385786368	3.548747578605	0.051366091707213	0.002388053960146	2.0084490614733	0.0036108505840539	0.13943190170342	1.1641485476768	1.9943007826462	0.00040832701484725	0.35383452273716	7.1863093118468	0.027794438052642	6.5461689616164e-08	0.039077589809284	1.0875809683214	0.041575918558908	0.013054127571346	0.013054127507306
7.872	0.0038312155108505	116.37281067938	0.0011726350050003	0	0.16997750526006	2.1576872628703	1.4414585649462	3.5545670339538	0.044806720199407	0.0021790491417774	2.0101675895735	0.0033536456399329	0.11906221913224	1.1641794241673	1.9941352935473	0.0003714111935655	0.34119051752693	7.1864037244943	0.024640033151424	6.3152801941792e-08	0.033662288466426	1.087855786701	0.038160899871882	0.0097111194622838	0.0097111194147449
