Hions_Offset = 0.11565151033489# Time [h]	Carbondioxide -	Acetic -	Nitrogen -	Water -	Hions -
0.2	0.021633869871989	0.022892646445064	-0.16018048198791	1.1373012574785e-06	8.7933363184775e-09
0.3939181716763	0.023714746256123	0.020904657545303	-0.16027304525215	1.122759888989e-06	8.9073426172507e-09
0.66540361202311	0.026609444998994	0.018170244802937	-0.16043483342557	1.098789618186e-06	9.1016333784221e-09
0.79401985657861	0.027966203403869	0.016896131667589	-0.16051554870733	1.0870365188245e-06	9.2000695536862e-09
0.97408259895631	0.029843136975399	0.015140674457084	-0.16063771483338	1.0696048988927e-06	9.3500983778105e-09
1.2261704382851	0.032433032105556	0.0124281751208	-0.16051456805208	1.0798829602579e-06	9.2612678305078e-09
1.5790934133454	0.035892185001529	0.0087993999056963	-0.16034563909143	1.0941838016005e-06	9.1404782286205e-09
2.0731855784298	0.040118766571731	0.0043610904683479	-0.16013500414578	1.1123219895185e-06	8.9917121849026e-09
2.7649146095479	0.043322700870059	0.0010256319186531	-0.16000317057688	1.1235273856584e-06	8.9018948748758e-09
3.4547281678275	0.044202876560228	0.00018497297156912	-0.16004041455702	1.1191032390266e-06	8.9365494922875e-09
4.3309554431579	0.04447453532302	6.3253492104608e-05	-0.16019128755533	1.1029122666737e-06	9.0672592760842e-09
5.3309554431579	0.044694711582155	6.0304423371005e-05	-0.16040947015402	1.0792905959625e-06	9.26548395624e-09
6.3309554431579	0.044933942361614	5.9777078197215e-05	-0.16064853268753	1.0532797646443e-06	9.4942145508841e-09
7.3309554431579	0.045183061240052	5.9235233817634e-05	-0.1608973013036	1.0262018553717e-06	9.7447027582874e-09
8.3309554431579	0.04543556689863	5.8700185563787e-05	-0.16114935434512	9.9881500341219e-07	1.0011883432649e-08
9.3309554431579	0.04568785022234	5.8171169365965e-05	-0.16140112797286	9.7153643845858e-07	1.0292989265084e-08
10	0.045855505599464	5.7820437578818e-05	-0.16156697184113	9.5362990891646e-07	1.0486261664682e-08
