# Time [h]	Lignin [g/L]	Methane [g/L]	Substrate [g/L]	Carbondioxide [g/L]	MO_acetoM [g/L]	Acetic [g/L]	Nitrogen [g/L]
0.2	113.34838778649	0.083332623043145	0.51351084082069	0.9708501839533	1.8107274681971	1.3753990240054	2.9023344614506
0.3939181716763	113.3487374214	0.10093928108318	1.0104271586976	1.064498856868	1.8157199597944	1.2559681198964	2.9017795810514
0.66540361202311	113.34961086093	0.12253035766166	1.7044833415003	1.1949443106524	1.8226425761415	1.0916946699876	2.9010259849864
0.79401985657861	113.35016862687	0.13148069594223	2.0326429037841	1.2561431775859	1.8258912988542	1.0151498514558	2.9006787937892
0.97408259895631	113.35111611208	0.14259722148195	2.4913550516899	1.3408895834669	1.830393983544	0.90968668756926	2.9002047535921
1.2261704382851	113.35256611998	0.15543100607813	2.485082563158	1.456973042874	1.8365694968731	0.74670964824472	2.8995611777532
1.5790934133454	113.35458999773	0.16810954680784	2.4763276083011	1.6119398401136	1.8448169122615	0.52868189403839	2.89870532277
2.0731855784298	113.35741144509	0.1741910693741	2.4641224938343	1.8011702802503	1.8548535954022	0.26201898611796	2.8976787318616
2.7649146095479	113.36133792052	0.1495142450127	2.4471365152651	1.9446303396512	1.8621525903335	0.061620745822728	2.8970103043421
3.4547281678275	113.36522672331	0.11016521700812	2.430314069126	1.9842892705014	1.8636015491257	0.011113338985711	2.8970072014978
4.3309554431579	113.370127922	0.072751571441192	2.4091122896535	1.9970564817598	1.8632200674799	0.003800354065231	2.8972549593425
5.3309554431579	113.37566918723	0.048557984278846	2.3851416253965	2.0078158350858	1.8624598622726	0.0036232113929068	2.8975725690631
6.3309554431579	113.38115531683	0.035841440160373	2.3614094692208	2.0195753298118	1.8616874435524	0.0035915746775835	2.8978892732205
7.3309554431579	113.38658685969	0.029144947113706	2.3379134478529	2.0318871586095	1.8609085969783	0.0035590704179637	2.8982044351018
8.3309554431579	113.39196435893	0.025600161132431	2.3146512117562	2.0444384128751	1.8601233482747	0.0035269769483884	2.8985180744112
9.3309554431579	113.39728835228	0.023705475993024	2.2916204347708	2.0570556407067	1.8593317740807	0.0034952477292144	2.8988302048234
10	113.40082077222	0.022940211990839	2.2763397634125	2.0654773746595	1.8587986855804	0.0034742124264309	2.899038199091
