# Time [h]	simpleHydrolysis [g/h]	aceto_Methanogenesis [g/h]
0.2	0.17716124008314	24.18307882529
0.3939181716763	0.34859736975067	24.037216468553
0.66540361202311	0.58804675281759	23.767865846371
0.79401985657861	0.7012618018055	23.606621930346
0.97408259895631	0.85951749283301	23.334898150498
1.2261704382851	0.8573534842895	22.747337034633
1.5790934133454	0.85433302486389	21.44473786247
2.0731855784298	0.85012226037282	17.756441015994
2.7649146095479	0.84426209776644	8.3384279729376
3.4547281678275	0.83845835384847	2.0044736419182
4.3309554431579	0.83114373993046	0.71981239198947
5.3309554431579	0.82287386076181	0.68688753764295
6.3309554431579	0.81468626688116	0.6807959381254
7.3309554431579	0.80658013950927	0.67452441688325
8.3309554431579	0.7985546680559	0.66831862593125
9.3309554431579	0.79060904999594	0.66217491272678
10	0.78533721837732	0.65809863902131
