# Time [h]	Methane [NL]	Carbondioxide [NL]	Sum [NL]
0.2	-14.73373741045	-12.143206269421	-26.87694367987
0.3939181716763	1.3120967789389	0.14462316698529	1.4567199459242
0.66540361202311	4.4291855241179	0.13689917155474	4.5660846956726
0.79401985657861	5.2130987937264	0.14587753257696	5.3589763263033
0.97408259895631	5.591560680476	0.16204346189731	5.7536041423734
1.2261704382851	5.9754746294306	0.16965348696786	6.1451281163985
1.5790934133454	6.3209086394575	0.19022039183411	6.5111290312917
2.0731855784298	6.3140486011356	0.20607289481799	6.5201214959536
2.7649146095479	4.8484116411469	0.17796788361211	5.026379524759
3.4547281678275	3.1456572691147	0.12695888621021	3.2726161553249
4.3309554431579	1.8633220510118	0.081891981246054	1.9452140322579
5.3309554431579	1.1000600795893	0.05251271271137	1.1525727923007
6.3309554431579	0.70501590786427	0.036399803331371	0.74141571119564
7.3309554431579	0.4975398554625	0.027730625905925	0.52527048136843
8.3309554431579	0.38841057911329	0.023239012661461	0.41164959177475
9.3309554431579	0.33077979719688	0.021063618732467	0.35184341592934
10	0.29660074515174	0.019842131092421	0.31644287624416
