# Time [h]	Lignin [g/L]	Substrate [g/L]	MO_acetoM [g/L]	Nitrogen [g/L]	SUM [g/L]
0.2	6.8009032671893	0.012069921901785	0.20642293137446	2.9023344614506	9.9217305819161
0.3939181716763	6.8009242452838	0.023749794402453	0.20699207541657	2.9017795810514	9.9334456961542
0.66540361202311	6.8009766516557	0.040063381684254	0.20778125368013	2.9010259849864	9.9498472720065
0.79401985657861	6.801010117612	0.047776676075	0.20815160806938	2.9006787937892	9.9576171955455
0.97408259895631	6.8010669667251	0.058558570750825	0.20866491412402	2.9002047535921	9.968495205192
1.2261704382851	6.8011539671991	0.058411137745148	0.20936892264354	2.8995611777532	9.9684952053409
1.5790934133454	6.8012753998638	0.058205355095639	0.21030912799782	2.89870532277	9.9684952057272
2.0731855784298	6.8014446867051	0.057918477455077	0.21145330987585	2.8976787318616	9.9684952058977
2.7649146095479	6.801680275231	0.057519227004146	0.21228539529802	2.8970103043421	9.9684952018752
3.4547281678275	6.8019136033986	0.057123820335086	0.21245057660033	2.8970072014978	9.9684952018318
4.3309554431579	6.8022076753203	0.056625478718766	0.21240708769271	2.8972549593425	9.9684952010743
5.3309554431579	6.8025401512337	0.056062055276618	0.21232042429908	2.8975725690631	9.9684951998725
6.3309554431579	6.8028693190101	0.055504237897058	0.21223236856498	2.8978892732205	9.9684951986926
7.3309554431579	6.8031952115815	0.054951970796992	0.21214358005553	2.8982044351018	9.9684951975358
8.3309554431579	6.8035178615357	0.054405198751246	0.21205406170332	2.8985180744112	9.9684951964014
9.3309554431579	6.8038373011365	0.053863867084116	0.2119638222452	2.8988302048234	9.9684951952892
10	6.804049246333	0.053504699379677	0.21190305015616	2.899038199091	9.9684951949599
